open,high,low,close,volume
0.05471,0.05482,0.05421,0.05459,7133611.0
0.05459,0.05477,0.05429,0.05452,6378889.0
0.0545,0.05503,0.0544,0.05464,10766308.0
0.05464,0.05472,0.05437,0.0546,4768337.0
0.0546,0.05487,0.05431,0.05432,4103089.0
0.05434,0.05453,0.05261,0.05281,18993639.0
0.05281,0.05282,0.05134,0.05172,41994492.0
0.05173,0.05176,0.05034,0.05054,17297695.0
0.05057,0.05078,0.0498,0.05004,14089073.0
0.05002,0.0503,0.04937,0.04941,16875036.0
0.04941,0.05006,0.04919,0.04942,11002821.0
0.04942,0.05054,0.04927,0.05053,11029197.0
0.05054,0.05112,0.05028,0.05111,9267219.0
0.05112,0.05139,0.05084,0.05118,9398039.0
0.05117,0.05141,0.05046,0.0514,13609426.0
0.05139,0.05143,0.05062,0.05082,8519560.0
0.05082,0.05192,0.05082,0.05166,9741186.0
0.05166,0.05171,0.05127,0.0515,3529079.0
0.0515,0.05192,0.05122,0.05155,5942892.0
0.05155,0.05378,0.05154,0.05301,41692457.0
0.05302,0.05358,0.05266,0.05348,25017607.0
0.05348,0.05401,0.05289,0.05308,29782871.0
0.05309,0.0535,0.05254,0.05308,19243374.0
0.05308,0.05326,0.05226,0.05231,22723970.0
0.05227,0.05278,0.0521,0.05272,11804353.0
0.05275,0.0534,0.05252,0.05278,13353985.0
0.05278,0.0531,0.05251,0.05301,7720999.0
0.053,0.05301,0.05243,0.05245,5480529.0
0.05243,0.05244,0.05027,0.05039,30283314.0
0.05041,0.05047,0.04923,0.04936,29194957.0
0.04938,0.04977,0.04818,0.0483,24568400.0
0.04828,0.04865,0.04721,0.04816,29163158.0
0.04818,0.04891,0.04775,0.04878,19561826.0
0.04877,0.05032,0.04846,0.04992,27385013.0
0.04993,0.05062,0.04967,0.05003,13002666.0
0.05004,0.05011,0.04943,0.0495,7652361.0
0.04949,0.0502,0.04931,0.0494,11191472.0
0.04939,0.04941,0.04834,0.04847,12459905.0
0.04845,0.04883,0.04545,0.04598,48779430.0
0.04598,0.04612,0.041,0.0435,82631917.0
0.04355,0.04368,0.04237,0.04346,38950689.0
0.04345,0.04349,0.04253,0.04253,18315150.0
0.04257,0.04332,0.04246,0.04265,20668923.0
0.04266,0.04294,0.04099,0.04229,53488942.0
0.04229,0.04258,0.03945,0.04189,91970257.0
0.04191,0.04518,0.04166,0.04481,44577935.0
0.04482,0.04493,0.04362,0.04415,20499861.0
0.04416,0.04463,0.0434,0.04426,14823677.0
0.04422,0.04424,0.04238,0.04287,21763972.0
0.0429,0.04291,0.04123,0.04282,30039207.0
0.04281,0.04326,0.04142,0.04172,42581188.0
0.04171,0.04446,0.04104,0.04423,56304049.0
0.04426,0.04628,0.04424,0.04576,41376008.0
0.04577,0.04718,0.04529,0.04689,24524571.0
0.04689,0.04808,0.04673,0.04679,21146454.0
0.04682,0.04735,0.04643,0.0468,10156845.0
