open,high,low,close,volume
12.495,12.521,12.423,12.478,16553.2
12.477,12.527,12.457,12.486,16476.4
12.487,12.631,12.463,12.495,28373.5
12.495,12.505,12.337,12.363,41324.6
12.363,12.457,12.313,12.321,45778.4
12.321,12.339,11.913,11.928,87608.5
11.926,12.009,11.683,11.855,147246.6
11.854,11.858,11.489,11.536,87642.8
11.539,11.65,11.365,11.413,78291.2
11.413,11.523,11.325,11.336,51044.4
11.336,11.546,11.309,11.349,49474.8
11.349,11.639,11.309,11.636,46501.1
11.638,11.761,11.568,11.672,38410.1
11.673,11.795,11.603,11.693,34686.5
11.691,11.83,11.657,11.76,45095.1
11.761,11.776,11.624,11.76,33842.7
11.755,11.95,11.755,11.904,27797.0
11.904,11.919,11.817,11.858,21244.0
11.852,11.884,11.733,11.74,16959.5
11.741,11.838,11.729,11.756,16738.7
11.755,11.798,11.713,11.754,14178.5
11.754,11.754,11.538,11.553,33063.1
11.557,11.695,11.473,11.602,30761.2
11.599,11.648,11.551,11.572,26195.2
11.569,11.65,11.507,11.647,15060.3
11.649,11.692,11.594,11.624,11394.6
11.623,11.748,11.595,11.748,18553.5
11.748,11.77,11.614,11.614,21011.8
11.612,11.632,11.214,11.236,77228.2
11.239,11.243,10.943,10.978,114785.3
10.981,11.077,10.695,10.721,90536.1
10.713,10.854,10.464,10.755,138996.1
10.758,11.027,10.601,11.004,83475.8
11.003,11.303,10.868,11.194,86479.2
11.186,11.336,11.056,11.166,42895.2
11.166,11.195,11.059,11.125,33929.6
11.127,11.23,11.042,11.074,47534.8
11.076,11.078,10.829,10.85,38059.7
10.849,10.989,10.2,10.333,274475.9
10.329,10.364,8.924,9.653,874236.1
9.645,9.733,9.348,9.711,203803.9
9.711,9.718,9.473,9.491,96991.6
9.492,9.677,9.43,9.52,84492.7
9.523,9.567,9.098,9.304,213256.7
9.304,9.365,8.283,9.033,600465.5
9.03,9.543,8.965,9.401,163078.6
9.403,9.41,9.152,9.215,83185.7
9.215,9.307,9.028,9.218,64555.1
9.216,9.217,8.801,8.909,99273.9
8.904,8.98,8.589,8.951,165386.8
8.95,9.038,8.687,8.742,178796.4
8.734,9.43,8.614,9.38,286857.4
9.377,9.867,9.377,9.788,199415.7
9.792,10.086,9.68,10.033,113409.5
10.035,10.453,9.996,10.132,141469.9
10.133,10.375,10.052,10.248,69669.0
10.243,10.25,9.831,9.844,81755.6
9.843,10.027,9.786,9.937,90604.2
9.94,10.088,9.869,9.973,53299.0
9.965,10.104,9.872,9.916,56743.0
9.917,10.091,9.881,10.053,43154.3
10.061,10.142,9.903,9.924,34611.9
9.924,10.574,9.898,10.55,105497.5
10.549,10.693,10.356,10.43,73026.6
10.429,10.503,10.346,10.444,30682.8
10.445,10.448,10.329,10.335,38019.8
10.338,10.464,10.274,10.459,49643.1
10.459,10.645,10.396,10.634,48229.5
10.629,10.737,10.492,10.664,61211.1
10.663,10.7,10.532,10.668,32443.3
10.663,10.663,10.266,10.368,67378.6
10.367,10.413,10.268,10.38,53783.7
10.379,10.416,10.276,10.35,33871.6
10.348,10.443,10.286,10.369,28807.8
10.366,10.491,10.301,10.329,41336.1
10.329,10.453,10.166,10.394,84676.1
10.391,10.897,10.382,10.689,149089.4
10.692,10.819,10.605,10.791,57509.9
10.794,10.907,10.671,10.809,56341.5
10.805,10.861,10.625,10.625,31920.1
10.626,10.765,10.612,10.665,32069.5
10.664,10.703,10.561,10.6,37202.4
10.597,10.683,10.534,10.64,32019.5
10.642,10.672,10.573,10.62,20850.9
10.615,10.731,10.492,10.55,43074.9
10.55,10.621,10.459,10.52,25214.2
10.516,10.627,10.406,10.557,47065.3
10.56,10.796,10.421,10.777,51853.8
10.773,10.903,10.622,10.703,55814.0
10.7,10.792,10.627,10.672,29246.3
10.669,10.799,10.64,10.693,37520.0
10.694,10.849,10.666,10.68,45164.1
10.681,10.727,10.586,10.621,32065.9
10.621,10.686,10.568,10.656,31178.7
10.652,10.746,10.61,10.694,33314.6
10.693,10.769,10.618,10.677,48158.5
10.68,10.762,10.621,10.666,45289.4
10.664,10.693,10.519,10.546,65974.5
10.546,10.637,10.466,10.619,41801.0
10.618,10.716,10.533,10.559,50192.9
10.568,10.604,10.041,10.165,151638.0
10.167,10.245,10.065,10.178,65445.6
10.176,10.232,10.062,10.13,70991.4
10.129,10.185,9.96,10.092,48109.2
10.094,10.157,9.892,9.922,72996.3
9.921,10.004,9.842,9.906,46353.3
9.907,10.049,9.773,9.931,74848.1
9.936,10.037,9.894,9.978,29156.4
9.977,10.006,9.771,9.969,53995.6
9.969,10.029,9.889,9.968,27559.3
9.97,10.042,9.788,9.986,59304.1
9.988,10.457,9.979,10.423,103615.4
10.422,10.642,10.408,10.582,69042.3
10.585,10.639,10.456,10.464,57207.2
10.464,10.589,10.461,10.476,28346.8
10.477,10.586,10.454,10.539,25945.4
10.54,10.569,10.467,10.502,37123.9
10.505,10.515,10.429,10.433,25320.0
10.434,10.471,10.399,10.438,20243.0
10.441,10.495,10.379,10.434,28780.1
10.433,10.473,10.389,10.432,30709.2
10.432,10.442,10.352,10.368,22459.1
10.362,10.692,10.31,10.451,94807.5
10.449,10.549,10.21,10.315,62444.7
10.316,10.656,10.295,10.622,75759.1
10.622,10.684,10.509,10.665,107674.5
10.669,10.959,10.635,10.888,116891.0
