open,high,low,close,volume
0.7024,0.7032,0.6987,0.7014,167497.7
0.7013,0.7046,0.6996,0.7028,118842.5
0.7028,0.7066,0.7001,0.7023,319241.7
0.7021,0.7023,0.695,0.6976,285397.2
0.6976,0.7018,0.6948,0.6954,220762.8
0.6954,0.6955,0.6699,0.6713,800497.5
0.6715,0.6734,0.6528,0.6563,1799819.6
0.6563,0.6566,0.6427,0.6459,1000452.1
0.6461,0.6481,0.6361,0.6418,760516.3
0.6419,0.6482,0.64,0.6407,449075.5
0.6403,0.646,0.6373,0.6417,510789.8
0.6417,0.652,0.6406,0.6499,457956.1
0.6502,0.6545,0.6454,0.6463,239295.8
0.6467,0.6494,0.6431,0.6467,239334.2
0.647,0.6548,0.6453,0.6534,378251.7
0.6534,0.655,0.6457,0.6513,235389.5
0.6516,0.6617,0.6516,0.6584,334453.0
0.6586,0.6596,0.6473,0.6494,385055.7
0.6495,0.6529,0.6481,0.6489,285135.7
0.6489,0.652,0.6467,0.6509,179122.1
0.6508,0.6557,0.649,0.6537,191273.4
0.6535,0.6544,0.6449,0.6464,225325.2
0.6463,0.6509,0.6441,0.6482,274145.4
0.6482,0.6499,0.6459,0.648,166523.3
0.648,0.6517,0.6461,0.6511,186010.8
0.6515,0.6533,0.6498,0.6512,126895.3
0.6511,0.6573,0.649,0.6567,410790.6
0.6566,0.6579,0.6488,0.6488,201585.8
0.6489,0.6499,0.6279,0.631,889473.5
0.6308,0.631,0.6228,0.6241,682537.7
0.6242,0.6265,0.6069,0.6087,846280.2
0.6086,0.609,0.5895,0.6053,1408689.3
0.6052,0.6177,0.5971,0.6169,786071.7
0.6171,0.6374,0.6134,0.6308,789249.5
0.631,0.6394,0.6269,0.6319,292290.2
0.6322,0.6324,0.6259,0.6279,169200.9
0.628,0.6369,0.6254,0.6287,248282.6
0.6287,0.6287,0.6176,0.6192,164915.5
0.6191,0.6252,0.5766,0.5894,1447102.0
0.5895,0.5914,0.495,0.5387,5453549.6
0.5388,0.541,0.5224,0.5404,1881541.4
0.5401,0.5403,0.5238,0.5258,754279.5
0.5259,0.5339,0.5191,0.5244,865565.2
0.5245,0.5305,0.5038,0.521,1736097.5
0.521,0.5245,0.4857,0.5229,5266254.3
0.5228,0.5532,0.5189,0.5477,1252087.7
0.5478,0.5525,0.5364,0.5422,972193.7
0.5427,0.5492,0.5345,0.5464,600316.5
0.5464,0.5478,0.5226,0.5325,1007425.3
0.5326,0.5331,0.5116,0.5324,986984.4
0.5323,0.5392,0.5194,0.5256,1401446.0
0.5256,0.5662,0.5196,0.5651,2047797.4
0.5649,0.5868,0.5646,0.5783,1664607.8
0.5787,0.5908,0.5733,0.5863,1044921.0
0.5862,0.6003,0.5828,0.5841,1005601.7
0.5837,0.592,0.5796,0.5847,500066.1
0.5849,0.5879,0.5687,0.5692,692248.0
0.5689,0.5823,0.5672,0.577,701124.3
0.577,0.5853,0.5735,0.581,382776.6
0.5809,0.5896,0.5752,0.5787,432927.1
0.5789,0.5874,0.5763,0.5833,185983.9
0.5833,0.5886,0.5754,0.5768,294974.2
0.5769,0.6113,0.5762,0.6099,1122513.2
0.6097,0.6176,0.6023,0.609,637576.4
0.6088,0.6153,0.6054,0.6097,561561.5
0.6096,0.6104,0.6041,0.6065,317873.3
0.6065,0.6147,0.601,0.613,413107.7
0.6125,0.624,0.6078,0.6216,350908.5
0.6219,0.6246,0.6168,0.6203,334296.9
0.6201,0.6211,0.6128,0.6193,360033.8
0.6191,0.6192,0.6002,0.607,449847.3
0.6071,0.6099,0.6027,0.6095,330633.5
0.6093,0.6107,0.6032,0.6064,212549.2
0.6063,0.6077,0.5962,0.6002,715121.2
0.5997,0.6045,0.5942,0.5966,242158.2
0.5966,0.609,0.5965,0.608,535487.9
0.6075,0.6287,0.6063,0.6172,716596.6
0.6177,0.6192,0.6069,0.6154,360649.6
0.6152,0.62,0.6076,0.6162,298397.4
0.6161,0.6186,0.6066,0.6069,250929.8
0.6067,0.6181,0.6067,0.6138,238923.8
0.614,0.6163,0.6097,0.6111,221482.7
0.6108,0.6158,0.6085,0.6143,149464.3
0.6141,0.6151,0.6093,0.6115,108026.8
0.6114,0.6186,0.6053,0.6105,368758.0
0.6104,0.6133,0.6038,0.6072,207456.5
0.6072,0.6169,0.6023,0.6143,679607.3
0.6138,0.6275,0.6076,0.6269,529115.9
0.6269,0.6314,0.6167,0.6207,594465.6
0.6206,0.6248,0.6166,0.62,206237.7
0.6194,0.6259,0.6185,0.6192,159871.7
0.6193,0.6261,0.618,0.6185,189462.1
0.6182,0.6214,0.6155,0.6176,147132.9
0.6178,0.6209,0.6047,0.6099,771034.0
0.6099,0.6199,0.6097,0.6183,382950.9
0.6184,0.6262,0.6165,0.6185,180136.0
0.6183,0.624,0.615,0.6157,164546.1
0.6156,0.6172,0.6075,0.6087,272582.0
0.6091,0.6156,0.6051,0.615,213951.9
0.6147,0.619,0.6084,0.6104,231421.3
0.6109,0.6138,0.5832,0.5949,722577.7
0.595,0.6027,0.5926,0.599,359003.1
0.5987,0.6022,0.5939,0.5968,329609.5
0.597,0.5986,0.5845,0.5922,579302.4
0.5924,0.5946,0.5808,0.5857,437644.1
0.5859,0.5885,0.5811,0.5871,260425.3
0.5874,0.5933,0.578,0.5885,556698.7
0.5885,0.5961,0.5854,0.593,257639.5
0.5933,0.6006,0.5864,0.6,335914.0
0.6001,0.6007,0.592,0.5946,206904.8
0.5947,0.5958,0.5835,0.5952,457232.5
0.5952,0.621,0.5939,0.6201,546894.2
0.6198,0.6278,0.6186,0.6231,441961.6
0.623,0.6245,0.6114,0.6117,333331.3
0.6115,0.6197,0.6114,0.6132,250734.9
0.6133,0.6224,0.6133,0.6184,153026.7
0.6187,0.6222,0.6151,0.6197,168747.7
0.6199,0.6215,0.6156,0.6165,182038.5
0.6167,0.6199,0.6155,0.6179,144311.9
0.618,0.623,0.6149,0.6185,253956.5
0.6186,0.6232,0.6155,0.6216,268254.9
0.6215,0.6243,0.6172,0.6184,233872.3
0.6185,0.64,0.6162,0.6252,557633.9
0.6254,0.6356,0.6229,0.6287,673727.8
0.6287,0.6405,0.6275,0.6393,284320.1
0.6388,0.645,0.6356,0.6405,323373.8
0.6406,0.6485,0.6388,0.6433,352622.1
0.643,0.647,0.6382,0.6388,266492.1
0.6392,0.6445,0.6392,0.643,143681.7
0.6427,0.6497,0.6421,0.6463,260161.3
0.6457,0.6493,0.6449,0.6467,129791.4
0.6466,0.659,0.6465,0.658,212294.9
0.659,0.6678,0.6542,0.6643,347903.0
0.6638,0.6668,0.6577,0.6594,269802.3
0.6593,0.6618,0.648,0.6509,628100.3
0.6507,0.6519,0.6479,0.6494,307584.3
0.6496,0.6515,0.6476,0.6496,165786.9
0.6497,0.6551,0.6497,0.6543,135623.9
0.6542,0.6548,0.644,0.6444,132042.8
0.6444,0.6493,0.6429,0.6491,111075.0
0.6492,0.6538,0.647,0.6532,111107.3
0.653,0.6566,0.6516,0.6532,160666.1
0.6531,0.6571,0.6495,0.656,220906.2
0.6558,0.6571,0.6484,0.6498,158905.0
0.65,0.6516,0.6426,0.6489,187949.7
0.649,0.6518,0.6451,0.6466,199145.3
0.6464,0.6479,0.6373,0.6415,282948.0
0.6415,0.645,0.6352,0.6436,276553.3
0.6436,0.6533,0.6321,0.6418,425327.5
0.6417,0.6441,0.6354,0.6364,198842.5
0.6356,0.6412,0.6326,0.6389,211615.2
0.6391,0.6436,0.6378,0.6422,180114.1
0.642,0.6485,0.6419,0.6459,257986.4
0.6456,0.6512,0.6435,0.6502,125093.7
0.6502,0.6547,0.6478,0.6506,205864.8
0.6501,0.6541,0.6444,0.6538,154281.1
0.6536,0.656,0.6478,0.6519,112206.4
0.6522,0.6566,0.6486,0.6562,118453.1
0.656,0.661,0.6452,0.6456,262290.4
0.6456,0.6518,0.6443,0.6452,198267.2
0.6453,0.6488,0.6444,0.6465,87729.6
0.6468,0.6475,0.6417,0.6442,79185.2
0.6444,0.6458,0.6407,0.644,57745.1
0.6438,0.6459,0.6423,0.6437,58785.5
0.6437,0.6508,0.6428,0.6503,124972.8
0.6503,0.6524,0.6478,0.6515,97320.4
0.6515,0.6538,0.6503,0.6531,130461.8
0.653,0.6567,0.6507,0.6551,157762.9
0.6553,0.6568,0.6526,0.656,101320.4
0.6561,0.6596,0.6546,0.6593,79013.0
0.6593,0.6624,0.6553,0.6572,184909.3
0.6572,0.6575,0.652,0.6543,178666.0
0.6545,0.66,0.6542,0.6573,142831.3
0.6573,0.6603,0.6561,0.6572,130670.3
0.6572,0.6633,0.6569,0.6632,182417.8
0.6631,0.6631,0.6544,0.6605,182803.4
0.6605,0.6636,0.6578,0.6582,109113.7
0.658,0.6637,0.6576,0.663,110733.4
0.6631,0.6673,0.6615,0.6655,184766.7
0.6655,0.6674,0.6643,0.6661,64824.4
0.6659,0.667,0.6622,0.6632,97893.1
0.6629,0.6633,0.6603,0.6611,89128.5
0.6611,0.668,0.6602,0.6665,230693.8
0.6665,0.6699,0.6641,0.6673,120345.6
0.6674,0.6707,0.6669,0.6683,126569.2
0.6685,0.676,0.6685,0.671,145762.1
0.6713,0.6754,0.671,0.6724,114338.8
0.6723,0.674,0.6697,0.6734,83488.8
0.6734,0.6738,0.6666,0.667,189664.4
0.667,0.6711,0.667,0.6686,66389.1
0.6687,0.6725,0.6666,0.6704,122905.9
0.6704,0.6766,0.6669,0.6681,250169.3
0.6679,0.6693,0.6646,0.667,102574.1
0.667,0.6675,0.6559,0.6586,311191.8
0.6583,0.6608,0.6531,0.656,202800.7
0.6558,0.6559,0.6468,0.6509,247420.3
0.651,0.653,0.6438,0.6457,228421.6
0.6456,0.6475,0.642,0.6461,230746.5
0.6459,0.6492,0.6442,0.6484,160221.8
0.6483,0.6494,0.6453,0.6461,83667.6
0.6461,0.6493,0.646,0.6485,141631.8
0.6488,0.6489,0.6349,0.6369,342569.6
0.6368,0.6373,0.6302,0.6337,389103.0
0.6335,0.6337,0.6276,0.6322,237703.3
0.6321,0.6346,0.623,0.6288,322644.6
0.6285,0.6286,0.6252,0.6272,100125.3
0.627,0.6365,0.6266,0.6319,488846.1
0.6319,0.6364,0.6299,0.6329,252371.8
0.6326,0.6331,0.6299,0.6315,135932.8
0.6312,0.6341,0.6295,0.631,311193.5
0.631,0.6323,0.628,0.6282,353263.9
0.628,0.6287,0.6243,0.6276,177750.2
0.6275,0.6279,0.6224,0.6241,170601.7
0.6244,0.6335,0.6156,0.6304,596633.9
0.6306,0.637,0.6291,0.6307,521889.0
0.6307,0.638,0.6305,0.6353,373993.8
0.6356,0.6443,0.6337,0.6438,305787.3
0.6438,0.6594,0.6438,0.6583,520337.2
0.6583,0.6649,0.6542,0.6641,494915.2
0.6645,0.6664,0.6416,0.6441,479479.6
0.6439,0.6679,0.6377,0.6669,604884.0
0.6671,0.6699,0.6519,0.6594,510516.2
0.6595,0.6635,0.6561,0.6599,214025.2
0.6599,0.6629,0.655,0.6551,213217.1
0.6551,0.659,0.6462,0.6465,230916.5
0.6465,0.6526,0.6462,0.6471,208653.6
0.6476,0.6545,0.6467,0.6494,200137.9
0.6496,0.6501,0.6444,0.6496,157836.7
0.6495,0.6523,0.647,0.6495,91257.7
0.6495,0.6615,0.6494,0.6551,257977.7
0.6555,0.6587,0.6511,0.6514,228510.2
0.6514,0.6523,0.6469,0.6505,276289.5
0.6503,0.6513,0.6432,0.6471,193664.0
0.6472,0.6476,0.6383,0.6392,254610.2
0.6392,0.6433,0.635,0.643,179136.1
0.643,0.6447,0.6417,0.642,99757.7
0.6421,0.6434,0.637,0.642,222406.8
0.642,0.6427,0.6386,0.6387,88136.1
0.6387,0.6398,0.6349,0.6361,115106.8
0.636,0.6361,0.6268,0.6307,289643.4
0.6305,0.6324,0.6268,0.6316,243354.2
0.6318,0.6353,0.6309,0.6326,698525.8
0.633,0.6405,0.6328,0.6401,362104.9
0.6401,0.6466,0.6384,0.6445,260074.2
0.6448,0.6462,0.6341,0.6408,278669.0
0.641,0.643,0.6374,0.6406,148757.3
0.6407,0.6546,0.6403,0.6539,400205.0
0.6539,0.6561,0.6494,0.6537,342361.9
0.6536,0.6551,0.6494,0.6512,233164.5
0.651,0.6524,0.6433,0.6511,226764.8
0.651,0.6524,0.6443,0.6455,219135.6
0.6454,0.6502,0.6445,0.6501,75984.9
0.6502,0.6516,0.6474,0.6484,101211.5
0.6482,0.6495,0.6454,0.6479,99478.0
0.6479,0.6514,0.6464,0.6506,204378.5
0.6506,0.6515,0.6445,0.6449,149220.3
