open,high,low,close,volume
0.8726,0.8734,0.8675,0.8712,49899.0
0.8708,0.8729,0.8582,0.8613,607960.0
0.8613,0.8756,0.8605,0.8698,186716.0
0.8699,0.8709,0.8651,0.8672,91311.0
0.867,0.871,0.8642,0.865,105893.0
0.8653,0.8672,0.8436,0.8448,257044.0
0.8447,0.852,0.8322,0.8396,501040.0
0.8396,0.8399,0.819,0.8214,336063.0
0.8218,0.8259,0.811,0.817,275658.0
0.8174,0.8207,0.8094,0.8098,191593.0
0.8099,0.8195,0.8063,0.8114,155177.0
0.8114,0.8237,0.8083,0.8225,171911.0
0.8225,0.8246,0.8156,0.8186,125409.0
0.819,0.8239,0.8132,0.8225,138233.0
0.8222,0.827,0.8183,0.8251,207052.0
0.8251,0.8259,0.817,0.8238,110841.0
0.8233,0.8371,0.8231,0.8325,123839.0
0.8326,0.8332,0.8268,0.8298,99979.0
0.8299,0.8324,0.8253,0.8259,68527.0
0.8261,0.8331,0.8251,0.8311,52581.0
0.8308,0.8334,0.8294,0.8321,47422.0
0.8325,0.8325,0.8214,0.823,77673.0
0.8232,0.8308,0.818,0.8269,157003.0
0.8272,0.8322,0.825,0.8299,110659.0
0.8299,0.8306,0.8244,0.8292,102364.0
0.8287,0.8304,0.8243,0.8271,137535.0
0.8273,0.8321,0.8242,0.8318,51081.0
0.832,0.833,0.8261,0.8275,64474.0
0.8275,0.8286,0.7936,0.7952,399694.0
0.7953,0.7954,0.7844,0.7879,325036.0
0.7883,0.7921,0.7734,0.7748,470281.0
0.7748,0.7805,0.7559,0.7747,569029.0
0.7748,0.7889,0.7688,0.787,307478.0
0.7867,0.8105,0.7811,0.8047,247129.0
0.8052,0.8142,0.796,0.8047,231825.0
0.8041,0.8052,0.7942,0.7956,133076.0
0.7956,0.8066,0.7927,0.794,227879.0
0.7938,0.7942,0.7836,0.7878,172364.0
0.7878,0.7932,0.749,0.7546,1174676.0
0.7542,0.7567,0.6889,0.7201,3723026.0
0.7205,0.7298,0.698,0.7296,1419130.0
0.7295,0.7299,0.7086,0.7114,686638.0
0.7118,0.7278,0.7089,0.7126,662422.0
0.7127,0.7314,0.6907,0.7167,1596501.0
0.7164,0.722,0.659,0.7064,3597653.0
0.7064,0.7356,0.7026,0.7287,1098882.0
0.7285,0.7311,0.7139,0.7209,652408.0
0.7209,0.7292,0.7081,0.72,829383.0
0.7198,0.72,0.6892,0.7013,1121251.0
0.7016,0.7095,0.6797,0.7082,1108993.0
0.7082,0.7138,0.6824,0.6881,1289809.0
0.6879,0.734,0.6784,0.7303,1827969.0
0.731,0.7665,0.73,0.7586,1548464.0
0.759,0.78,0.7513,0.7748,776850.0
0.7745,0.7878,0.7687,0.7698,1022469.0
0.77,0.7851,0.766,0.7762,473919.0
0.7766,0.7795,0.7542,0.7549,404687.0
0.7543,0.7707,0.7514,0.7678,717735.0
0.7677,0.7804,0.7665,0.7766,461635.0
0.7768,0.7887,0.7668,0.7687,412815.0
0.7685,0.7835,0.7653,0.7782,297184.0
0.7784,0.7879,0.7662,0.7673,369335.0
0.7672,0.7972,0.7657,0.7922,1188645.0
0.7921,0.8046,0.7849,0.7912,730762.0
0.7909,0.7957,0.7866,0.7949,282132.0
0.7949,0.796,0.7902,0.7907,345989.0
0.7907,0.7962,0.787,0.7935,267013.0
0.7935,0.7974,0.7862,0.7962,340487.0
0.7963,0.8033,0.7944,0.7976,401067.0
0.7976,0.8012,0.7912,0.8009,262085.0
0.8006,0.8007,0.7757,0.7812,445256.0
0.7811,0.7834,0.7739,0.7824,341097.0
0.7824,0.7836,0.7734,0.7769,209353.0
0.7765,0.7818,0.7729,0.7763,215522.0
0.7766,0.7807,0.7702,0.7726,465803.0
0.7725,0.7818,0.7643,0.7754,654823.0
0.7752,0.803,0.7747,0.7905,616367.0
