open,high,low,close,volume
65.91,66.05,65.71,65.95,24405.714
65.94,66.1,65.87,65.9,23790.51
65.91,66.34,65.83,66.06,34730.22
66.07,66.32,66.02,66.06,37009.6
66.06,66.3,65.94,66.05,49348.024
66.05,66.06,64.66,64.82,121364.605
64.83,65.25,64.07,64.59,216855.189
64.59,64.63,62.87,63.28,193249.878
63.29,63.64,62.72,63.22,118794.73
63.23,63.39,62.68,62.71,89328.926
62.7,63.58,62.53,62.94,84788.574
62.95,63.85,62.58,63.82,84081.835
63.83,64.47,63.69,64.29,62996.661
64.3,64.66,63.95,64.62,55369.259
64.61,64.95,64.4,64.87,44184.37
64.88,64.91,64.09,64.71,38819.823
64.71,65.21,64.5,64.88,44510.51
64.89,65.03,64.72,65.0,22678.461
64.99,65.13,64.48,64.55,26609.482
64.55,64.91,64.47,64.85,22855.941
64.85,65.06,64.71,64.92,17027.879
64.93,64.97,64.26,64.45,43306.729
64.45,64.75,63.97,64.56,62896.997
64.56,64.78,64.45,64.71,19054.204
64.72,65.0,64.52,64.97,24558.407
64.98,65.19,64.88,64.91,30151.209
64.91,65.04,64.66,65.0,34617.678
65.01,65.09,64.72,64.81,19243.362
64.8,64.85,63.14,63.47,139547.818
63.48,63.48,62.81,63.0,119738.666
63.01,63.36,62.45,62.57,142054.151
62.56,62.69,60.17,61.4,320812.949
61.41,62.88,60.96,62.67,158369.3
62.67,63.62,62.23,63.34,107317.361
63.34,63.95,63.03,63.37,67081.571
63.36,63.38,62.74,62.85,42186.867
62.86,63.64,62.75,63.21,65305.09
63.21,63.21,62.22,62.42,48741.222
62.42,62.56,58.72,59.31,386382.575
59.32,59.58,54.0,56.09,1111293.973
56.08,56.36,54.6,56.31,469793.566
56.31,56.35,54.96,55.25,263373.276
55.26,56.23,55.16,55.76,203441.942
55.76,55.97,53.28,54.76,496387.94
54.77,55.04,49.23,52.08,1126262.756
52.08,54.69,51.81,54.17,388205.831
54.18,54.29,53.06,53.47,248150.963
53.48,53.9,52.64,53.28,161392.346
53.29,53.41,51.81,52.55,366421.779
52.54,53.1,51.21,53.05,320774.413
53.04,53.59,50.87,50.99,566871.51
50.98,53.83,50.19,53.59,510534.738
53.59,56.24,53.59,55.97,427749.75
55.98,57.12,55.42,56.76,279695.945
56.76,57.85,56.18,56.28,229932.321
56.27,57.45,56.04,56.91,122439.322
56.91,56.93,55.02,55.08,151027.61
55.08,55.78,54.73,55.41,183784.857
55.41,56.27,55.41,56.11,109066.955
56.11,56.85,55.67,56.1,106903.864
56.11,56.96,55.96,56.76,84097.732
56.76,57.17,55.99,56.04,90021.481
56.04,58.6,55.96,58.49,191343.042
58.49,59.0,57.66,57.98,120412.804
57.97,58.24,57.62,57.95,51618.514
57.95,57.99,57.55,57.72,44570.421
57.71,58.02,57.48,57.89,50787.023
57.88,58.41,57.61,58.28,62133.489
58.27,58.87,58.16,58.43,104695.942
58.43,58.72,58.05,58.58,67441.214
58.58,58.62,56.9,57.35,147337.514
57.35,57.51,56.88,57.38,144196.123
57.38,57.51,56.92,57.25,60292.159
57.26,57.57,57.02,57.24,73520.958
57.23,57.54,56.81,56.92,71690.973
56.92,57.43,56.34,56.94,196178.584
56.94,59.02,56.88,58.45,238971.862
58.45,58.78,57.91,58.69,102330.462
58.69,59.2,58.42,58.89,105545.56
58.88,59.21,58.51,58.54,74376.566
58.53,59.27,58.5,58.74,66751.583
58.74,59.0,58.34,58.54,57284.735
58.54,58.84,58.2,58.6,88051.244
58.59,58.79,58.3,58.77,39854.483
58.76,59.19,58.09,58.5,114491.106
58.5,58.69,58.04,58.22,52722.74
58.22,58.33,57.49,57.97,130619.022
57.97,58.67,57.28,58.57,109537.063
58.57,59.23,58.15,58.67,79620.959
58.66,59.09,58.61,58.87,34942.625
58.86,59.4,58.71,59.14,66045.754
59.14,59.46,58.82,58.83,45658.252
58.83,58.98,58.37,58.47,51001.479
58.47,58.97,58.19,58.56,54331.011
58.57,58.83,58.29,58.55,50163.381
58.55,58.91,58.36,58.49,64243.55
58.49,59.0,58.36,58.38,51213.231
58.38,58.48,57.87,57.93,79724.778
57.94,58.53,57.69,58.26,112975.197
58.26,58.39,57.67,58.01,81859.502
