open,high,low,close,volume
0.4235,0.4241,0.4214,0.423,218195.9
0.423,0.4243,0.4223,0.4228,239503.7
0.4229,0.4307,0.4223,0.4267,669331.9
0.4268,0.4283,0.4254,0.4261,240954.7
0.426,0.4281,0.425,0.4254,216583.1
0.4253,0.4278,0.4126,0.4136,975667.3
0.4135,0.4164,0.4045,0.4098,1645677.8
0.4097,0.41,0.3991,0.4011,1215282.1
0.4014,0.4026,0.3936,0.3965,1164912.5
0.3965,0.3984,0.3922,0.3926,714079.0
0.3926,0.398,0.3909,0.3928,780795.6
0.3928,0.3997,0.3912,0.3992,608152.1
0.3993,0.4011,0.3965,0.3975,253969.1
0.3975,0.4003,0.3953,0.3979,600018.6
0.3979,0.4036,0.3968,0.4021,688575.6
0.4021,0.4029,0.396,0.4001,547176.2
0.4001,0.4087,0.3998,0.4064,690940.9
0.4065,0.4074,0.404,0.4052,338553.7
0.4052,0.4065,0.4036,0.4038,256871.1
0.404,0.4088,0.4033,0.4078,315635.2
0.4077,0.4091,0.4051,0.4068,290942.2
0.4068,0.407,0.4006,0.401,257420.3
0.4009,0.4053,0.3979,0.403,497343.5
0.4032,0.4051,0.4015,0.4017,254809.7
0.4016,0.4025,0.4,0.4021,472068.8
0.402,0.4027,0.3976,0.3992,1136621.2
0.3992,0.4016,0.3983,0.4012,359288.6
0.4015,0.4064,0.3999,0.4026,1977246.2
0.4024,0.4032,0.3862,0.3895,1854379.4
0.3894,0.3894,0.3789,0.3796,1793112.1
0.3797,0.3828,0.3723,0.3734,2265664.8
0.3734,0.3742,0.3622,0.3701,2901122.1
0.3701,0.3757,0.3663,0.3751,1272099.7
0.375,0.3865,0.3715,0.3832,1163683.4
0.3829,0.389,0.3813,0.3845,720018.5
0.3846,0.3854,0.3806,0.3815,461814.5
0.3818,0.3867,0.38,0.3807,721690.1
0.3807,0.3809,0.3735,0.3738,466913.7
0.3739,0.3777,0.3531,0.3585,3134274.6
0.3582,0.3594,0.2875,0.325,18195918.5
0.3249,0.3264,0.3136,0.3257,5577933.7
0.3256,0.3259,0.3166,0.3181,2713569.5
0.3181,0.3258,0.3177,0.3202,1746568.7
0.3203,0.3221,0.3066,0.3122,5164795.9
0.3124,0.3146,0.2829,0.3019,10893892.2
0.3018,0.3108,0.2998,0.3058,4723695.8
0.3057,0.3061,0.298,0.3002,2977305.9
0.3002,0.3023,0.2925,0.299,2593069.9
0.299,0.2991,0.2867,0.2888,3488312.5
0.2888,0.2913,0.28,0.2907,4443295.1
0.2907,0.2937,0.2808,0.2834,5542862.5
0.2832,0.2995,0.2778,0.2974,6912052.8
0.2976,0.31,0.2976,0.3063,5059448.2
0.3064,0.3092,0.3026,0.307,2990928.7
0.3072,0.3137,0.3011,0.302,4895821.6
0.3019,0.3081,0.2993,0.3048,3964953.4
0.3048,0.3048,0.2939,0.2941,2508893.2
0.2942,0.2999,0.2931,0.2971,2927480.1
0.2972,0.3027,0.2966,0.3025,2167541.9
0.3025,0.3055,0.2988,0.3018,2063122.5
0.3018,0.3058,0.3004,0.3042,1349431.2
0.3042,0.3072,0.2986,0.2999,1700936.9
0.3,0.32,0.2997,0.3199,3314512.1
0.3198,0.323,0.3155,0.3175,2960822.1
0.3175,0.3188,0.3144,0.3152,1446109.9
0.3151,0.3152,0.309,0.3092,2438863.1
0.3091,0.3124,0.3068,0.3109,2921987.4
0.3108,0.3192,0.3087,0.3188,2981304.9
0.3187,0.3212,0.3149,0.3186,3131479.9
0.3185,0.3238,0.3166,0.3206,3003677.2
0.3208,0.3212,0.3085,0.3102,3826491.8
0.3103,0.3139,0.3078,0.3136,2048810.5
0.3138,0.3142,0.3092,0.3129,1526647.2
