open,high,low,close,volume
0.2939,0.2945,0.2929,0.2932,1784666.0
0.2931,0.2954,0.2926,0.2953,1531745.0
0.2953,0.2977,0.2946,0.2947,2014523.0
0.2947,0.2951,0.2927,0.2933,1082653.0
0.2933,0.294,0.2911,0.2913,2049666.0
0.2914,0.2917,0.2829,0.2835,4013718.0
0.2835,0.2852,0.278,0.2806,8857521.0
0.2807,0.2807,0.2738,0.2748,6225398.0
0.2749,0.2757,0.2702,0.271,6576897.0
0.271,0.2736,0.2691,0.2692,5749320.0
0.2693,0.2734,0.2679,0.2708,3958765.0
0.2709,0.2766,0.27,0.2766,3993719.0
0.2767,0.2784,0.2746,0.2768,3160980.0
0.2769,0.2792,0.2755,0.2774,2259662.0
0.2773,0.2813,0.2764,0.2808,2106315.0
0.2808,0.2812,0.2783,0.2803,1159514.0
0.2803,0.2843,0.2799,0.2839,2189271.0
0.2839,0.2839,0.2806,0.2815,1006621.0
0.2814,0.2829,0.2806,0.281,2308852.0
0.2811,0.2825,0.2807,0.282,834528.0
0.2819,0.2832,0.2815,0.2827,1175377.0
0.2827,0.2828,0.2784,0.2789,1662974.0
0.279,0.2815,0.277,0.28,4380146.0
0.28,0.2805,0.2787,0.279,996380.0
0.2788,0.2796,0.2774,0.2793,1035859.0
0.2793,0.2804,0.2786,0.2797,1214111.0
0.2798,0.2812,0.2785,0.281,1257953.0
0.281,0.2814,0.2794,0.2794,1080274.0
0.2793,0.2795,0.2701,0.2711,6269188.0
0.2712,0.2712,0.2671,0.2677,5629957.0
0.2678,0.2697,0.2623,0.2632,8597756.0
0.2632,0.2638,0.2556,0.2621,10317475.0
0.2621,0.2665,0.2585,0.2663,6176443.0
0.2662,0.2735,0.2636,0.2721,7681572.0
0.272,0.2752,0.2686,0.2706,4119022.0
0.2706,0.2713,0.2684,0.2693,2196640.0
0.2693,0.2738,0.2685,0.271,3010697.0
0.2709,0.2711,0.2659,0.2667,2839915.0
0.2668,0.2698,0.2531,0.256,14528301.0
0.256,0.2565,0.222,0.242,52550238.0
0.242,0.2425,0.2349,0.2423,19216016.0
0.2423,0.2425,0.2356,0.236,8358165.0
0.2361,0.2408,0.2353,0.237,5973733.0
0.2371,0.2393,0.2276,0.2343,16894686.0
0.2343,0.2358,0.2151,0.2271,42537345.0
0.2271,0.2403,0.2259,0.2386,14793841.0
0.2386,0.2389,0.2322,0.235,8694049.0
0.2351,0.2379,0.2318,0.236,6801950.0
0.2359,0.236,0.2262,0.2287,11880205.0
0.2288,0.2296,0.221,0.2293,15154875.0
0.2293,0.2318,0.2224,0.2248,16848759.0
0.2247,0.2416,0.2214,0.2406,26442343.0
0.2405,0.2536,0.2405,0.253,20136581.0
0.253,0.2586,0.2502,0.2577,11100842.0
0.2577,0.262,0.2552,0.2553,12545806.0
0.2554,0.2586,0.2535,0.256,5320374.0
0.256,0.2571,0.2484,0.2485,6391053.0
0.2485,0.2537,0.2475,0.2509,8269184.0
0.2508,0.2553,0.2506,0.2545,5526096.0
0.2545,0.2579,0.2522,0.2536,4564784.0
0.2537,0.2574,0.2526,0.2556,4306155.0
0.2557,0.2576,0.2524,0.253,2675561.0
0.2531,0.2652,0.2524,0.2651,8849511.0
0.2651,0.2672,0.26,0.2616,6128823.0
0.2616,0.2624,0.2594,0.2614,2490054.0
0.2615,0.2618,0.2595,0.2598,1728500.0
0.2599,0.2622,0.2585,0.2611,2020587.0
0.2611,0.2642,0.2596,0.2637,2212778.0
0.2637,0.265,0.2619,0.2634,3432477.0
0.2633,0.266,0.2622,0.2649,3879239.0
0.2649,0.2649,0.2567,0.2594,5339586.0
0.2593,0.2598,0.2568,0.2597,3627228.0
0.2597,0.2604,0.2573,0.2589,2288762.0
0.2589,0.2597,0.2574,0.2582,2696314.0
0.2581,0.2598,0.2559,0.2566,3505054.0
0.2565,0.2589,0.2537,0.2573,5942926.0
0.2571,0.2675,0.2571,0.2639,7722374.0
0.264,0.2659,0.261,0.2652,3837974.0
0.2653,0.2681,0.2638,0.2667,4437482.0
0.2667,0.2676,0.2636,0.2636,2284759.0
0.2635,0.2669,0.2632,0.2647,1982068.0
0.2646,0.2661,0.2633,0.264,2098071.0
0.264,0.2655,0.2618,0.2642,3826560.0
0.2642,0.2657,0.263,0.2651,1307427.0
0.265,0.2678,0.2624,0.2646,4367045.0
0.2647,0.2658,0.2631,0.2648,1609210.0
0.2648,0.2675,0.2622,0.2662,4143089.0
0.2663,0.2699,0.2625,0.2694,3971975.0
0.2694,0.2712,0.2659,0.2674,4292626.0
0.2673,0.2697,0.2667,0.2678,1433517.0
0.2678,0.271,0.2674,0.2691,2321840.0
0.269,0.2706,0.268,0.2682,2402357.0
0.2683,0.269,0.267,0.2675,1708380.0
0.2675,0.2685,0.2652,0.2672,1572183.0
0.2671,0.2687,0.2659,0.2677,2630528.0
0.2676,0.27,0.2666,0.268,2684971.0
0.2679,0.2699,0.2665,0.2666,1886983.0
0.2665,0.2669,0.2644,0.2651,2484851.0
0.2651,0.2681,0.2644,0.2677,3020325.0
0.2676,0.2689,0.2652,0.2659,3417461.0
0.2659,0.2667,0.2545,0.2579,10380131.0
0.2579,0.2598,0.255,0.2571,6424809.0
0.257,0.2577,0.2542,0.2553,5051297.0
0.2553,0.2567,0.2515,0.254,4869591.0
0.2539,0.2549,0.2493,0.2509,6347408.0
0.2509,0.2529,0.2504,0.2522,2911907.0
0.2521,0.2562,0.2495,0.2536,7329051.0
0.2537,0.2551,0.2521,0.2545,3023243.0
0.2545,0.2555,0.2506,0.2555,3749515.0
0.2555,0.2563,0.2535,0.2547,2480157.0
0.2547,0.2554,0.249,0.2531,5729664.0
0.2532,0.2618,0.253,0.2608,7222424.0
0.2608,0.2668,0.2607,0.2655,4368894.0
0.2656,0.2675,0.2635,0.2635,2093642.0
0.2636,0.2663,0.263,0.2632,1831810.0
0.2632,0.2658,0.2631,0.2649,1759950.0
0.2648,0.2664,0.2639,0.2657,1911996.0
0.2658,0.266,0.2634,0.2636,1369320.0
0.2637,0.2645,0.2628,0.2638,1420509.0
0.2638,0.2646,0.2625,0.263,2024394.0
0.263,0.2639,0.2615,0.263,1515284.0
0.263,0.2638,0.2623,0.2628,1164811.0
0.2628,0.2703,0.2621,0.2661,6753247.0
0.2661,0.2686,0.2628,0.2653,4517769.0
0.2653,0.2709,0.2648,0.2705,4978448.0
0.2705,0.2715,0.269,0.2707,3585586.0
0.2708,0.2735,0.2702,0.2719,5286523.0
0.272,0.2734,0.2706,0.2708,1793705.0
0.2709,0.2716,0.2704,0.2706,1343154.0
0.2706,0.2717,0.2697,0.2704,2226017.0
0.2704,0.2712,0.2701,0.2706,1007238.0
0.2706,0.2765,0.2705,0.2758,2274448.0
0.2759,0.28,0.2739,0.279,4773393.0
0.279,0.2803,0.2773,0.2788,3485068.0
0.2788,0.2788,0.2754,0.2766,3304774.0
0.2766,0.2771,0.2746,0.2767,2447464.0
0.2767,0.2771,0.2755,0.2758,1243935.0
0.2759,0.2771,0.2756,0.2764,1173410.0
0.2762,0.2765,0.2722,0.2723,1834668.0
0.2723,0.2755,0.2717,0.2754,1844715.0
0.2754,0.2767,0.2748,0.2756,1157200.0
0.2757,0.2777,0.2755,0.2761,1131835.0
0.2761,0.2771,0.2751,0.277,1493169.0
0.277,0.2774,0.275,0.2762,2091126.0
0.2762,0.2771,0.2742,0.2766,4538686.0
0.2766,0.2781,0.2758,0.2778,3636177.0
0.2779,0.2783,0.2755,0.2769,2079691.0
0.2769,0.2782,0.2732,0.2759,3802430.0
0.2759,0.2795,0.2713,0.2757,5984449.0
0.2756,0.2767,0.2727,0.2728,2959131.0
0.2728,0.2755,0.2719,0.2746,2753066.0
0.2745,0.2762,0.2743,0.275,1375257.0
0.275,0.2764,0.2737,0.2764,1292908.0
0.2763,0.2774,0.275,0.276,2290673.0
0.276,0.2769,0.275,0.276,1079499.0
0.276,0.2772,0.2741,0.277,1737227.0
0.2769,0.2781,0.2751,0.2763,1776874.0
0.2763,0.2782,0.2749,0.2779,1627114.0
0.2778,0.2817,0.2767,0.2768,3748722.0
0.2769,0.2786,0.2758,0.276,1506233.0
0.276,0.278,0.2757,0.2767,1897962.0
0.2766,0.2767,0.274,0.2754,1771461.0
0.2754,0.2757,0.2732,0.2744,1099625.0
0.2745,0.2752,0.2733,0.2747,874737.0
0.2746,0.2778,0.2741,0.2763,2951545.0
0.2763,0.2783,0.2759,0.2782,4177805.0
0.2782,0.2783,0.2768,0.2772,1421404.0
0.2773,0.2812,0.2768,0.2802,2623232.0
0.2802,0.2817,0.2783,0.2809,3239326.0
0.2809,0.2823,0.2806,0.2815,1680941.0
0.2816,0.2817,0.2802,0.2805,1521884.0
0.2805,0.2807,0.2772,0.2775,3008552.0
0.2775,0.2795,0.2773,0.279,1321117.0
0.279,0.2813,0.2787,0.2799,1593033.0
0.2799,0.2829,0.279,0.2822,3910172.0
0.2823,0.2831,0.2814,0.2827,1924633.0
0.2828,0.2848,0.2826,0.2835,1659915.0
0.2835,0.2854,0.2831,0.2848,1191846.0
0.2848,0.2862,0.2844,0.2856,1340339.0
0.2856,0.2861,0.2848,0.2855,1369762.0
0.2857,0.2859,0.2841,0.2843,750548.0
0.2844,0.2844,0.2817,0.2823,2494533.0
0.2823,0.2843,0.2819,0.2837,1986401.0
0.2836,0.2842,0.2813,0.283,1394703.0
0.2831,0.2832,0.2816,0.2817,940681.0
0.2816,0.2836,0.2805,0.2815,2779032.0
0.2816,0.2818,0.2799,0.2801,1493702.0
0.2801,0.281,0.2796,0.2807,941958.0
0.2808,0.2809,0.2794,0.2797,1220437.0
0.2798,0.2807,0.2797,0.2806,1334315.0
0.2807,0.2812,0.2796,0.2807,1772511.0
0.2807,0.2833,0.2802,0.2808,3182766.0
