open,high,low,close,volume
0.8052,0.8061,0.7981,0.801,831994.7
0.8009,0.8027,0.7977,0.7999,707668.6
0.8,0.8182,0.7981,0.8114,1704218.0
0.8113,0.812,0.8021,0.8034,1168721.3
0.8035,0.8091,0.798,0.7989,1334727.6
0.7987,0.8041,0.7737,0.7757,3275091.3
0.7759,0.795,0.7601,0.7743,7560784.3
0.774,0.7746,0.7509,0.7555,3980407.8
0.7558,0.7596,0.744,0.746,3714344.7
0.7462,0.7565,0.7421,0.7421,1453591.8
0.7423,0.755,0.738,0.7432,1748375.5
0.7431,0.7577,0.7397,0.7551,1297877.0
0.7551,0.758,0.7476,0.7492,1090117.2
0.7494,0.756,0.7439,0.7487,1538989.4
0.7487,0.7647,0.7464,0.7637,1327302.5
0.764,0.7645,0.7472,0.7542,1302710.1
0.754,0.7734,0.7508,0.764,2535768.5
0.7639,0.7647,0.7547,0.7608,1227169.6
0.761,0.7646,0.7574,0.7584,520185.8
0.7583,0.766,0.7574,0.7625,489646.6
0.7623,0.769,0.762,0.7665,463857.9
0.7665,0.7667,0.7522,0.7535,914923.6
0.7535,0.7625,0.7469,0.7598,1051678.4
0.7599,0.7617,0.7546,0.7584,845373.6
0.7584,0.7608,0.7529,0.76,443181.8
0.76,0.7614,0.7538,0.7549,534946.7
0.7548,0.7609,0.7418,0.7582,2874670.9
0.7583,0.7597,0.752,0.7535,590287.8
0.7532,0.7544,0.7225,0.7282,4237339.4
0.7281,0.7284,0.7073,0.7098,4381210.1
0.7098,0.7131,0.6791,0.6813,7766780.8
0.6813,0.6863,0.6588,0.6815,7438925.9
0.6815,0.6902,0.6676,0.6888,3699010.6
0.6889,0.7212,0.6809,0.7086,6808839.2
0.7085,0.7194,0.7006,0.7065,2062445.6
0.7068,0.7077,0.6993,0.7009,1120830.9
0.701,0.71,0.6961,0.6981,1500069.6
0.6982,0.6984,0.6817,0.6841,2457698.5
0.6842,0.6932,0.6513,0.6635,8170127.1
0.6632,0.6662,0.6,0.6179,21266625.5
0.6179,0.6231,0.5988,0.622,10274043.8
0.6218,0.625,0.6063,0.612,7902686.6
0.6121,0.6278,0.6081,0.6173,4920013.7
0.6172,0.6185,0.5869,0.6007,12275860.6
0.6009,0.6044,0.5489,0.5806,21956672.9
0.5806,0.6212,0.5773,0.6139,7383420.0
0.6138,0.6165,0.5972,0.6039,4507866.9
0.6039,0.61,0.5913,0.6009,4181509.7
0.6009,0.6012,0.5716,0.5781,5202586.1
0.578,0.5834,0.5576,0.5825,6438775.5
0.5825,0.5916,0.5651,0.5724,7408395.9
0.5723,0.6156,0.5593,0.6143,10676110.8
0.6145,0.6527,0.6144,0.6499,6433962.4
0.65,0.6651,0.6416,0.6505,6065293.0
0.6503,0.6577,0.6327,0.6342,4758589.3
0.6344,0.6432,0.6307,0.6326,2026686.2
0.6325,0.6327,0.6147,0.6153,2478455.1
0.6154,0.6302,0.6151,0.625,3229217.2
0.6251,0.6339,0.6234,0.6282,1951539.6
0.6281,0.6372,0.6228,0.6245,1514306.2
0.6245,0.6347,0.6213,0.631,1660314.8
0.6311,0.639,0.6243,0.625,1534144.8
0.625,0.6649,0.6244,0.6645,3378049.7
0.6643,0.6794,0.6581,0.6636,3785098.6
0.6635,0.667,0.6543,0.6611,2969287.7
0.6609,0.6628,0.6532,0.6594,2143973.2
0.6596,0.6709,0.6575,0.6699,1298666.5
0.6699,0.6771,0.6645,0.676,2169506.7
0.676,0.6855,0.6729,0.6745,3991520.6
0.6745,0.6798,0.6669,0.677,1759794.3
0.6769,0.6769,0.6496,0.6574,2243649.6
0.6575,0.6593,0.6505,0.6574,1385130.9
0.6574,0.659,0.6501,0.6546,1350873.2
0.6546,0.6594,0.65,0.6535,1261241.1
0.6533,0.6606,0.65,0.6534,1394866.8
0.6532,0.6632,0.6457,0.6588,2801434.4
0.659,0.6949,0.6583,0.6819,4094659.7
0.682,0.6912,0.6746,0.6879,2467858.7
0.6878,0.6938,0.6815,0.6883,1979299.3
0.6883,0.6919,0.6781,0.6789,1489011.7
0.6784,0.6882,0.6778,0.6812,1067482.3
0.6812,0.684,0.6763,0.6792,861208.1
0.6794,0.6833,0.674,0.6807,898208.4
0.6807,0.6828,0.6761,0.6801,570467.8
0.6801,0.6875,0.6718,0.6772,1888592.5
0.6771,0.6795,0.6672,0.6719,881254.4
0.6719,0.6752,0.6611,0.6709,1566250.3
0.6709,0.6833,0.6607,0.6825,1709744.2
0.6824,0.6921,0.674,0.6777,1753595.9
0.6777,0.6841,0.6749,0.6793,932554.4
0.679,0.6982,0.6781,0.6863,2921004.9
0.6866,0.6935,0.6831,0.6835,1225595.8
0.6836,0.6869,0.6792,0.6806,1037316.4
0.6806,0.6853,0.6763,0.6828,1074401.0
0.6828,0.69,0.6811,0.6864,1147318.9
0.6866,0.6937,0.6835,0.6873,1416773.6
0.6874,0.6961,0.6837,0.686,1234722.6
0.6859,0.687,0.6744,0.6747,1534385.4
0.6747,0.6869,0.6721,0.6853,1266225.0
0.6853,0.6893,0.6765,0.6798,1728557.3
0.6795,0.6831,0.6473,0.6596,3234568.0
0.6596,0.667,0.6556,0.6621,1734930.7
0.6619,0.666,0.6536,0.6579,1582622.3
0.6578,0.6609,0.6471,0.6559,1492556.2
0.6558,0.6583,0.6429,0.6464,1784690.7
0.6465,0.6517,0.6428,0.648,872052.2
0.6483,0.6566,0.6399,0.6512,2629614.7
0.6514,0.6537,0.6448,0.6491,932474.4
0.6491,0.6503,0.6363,0.6494,1952367.0
0.6495,0.6517,0.6423,0.6451,1007419.8
0.6452,0.6487,0.6305,0.6411,2069766.9
0.6413,0.6704,0.6409,0.669,3069813.4
0.6689,0.6881,0.6687,0.6835,1812563.8
0.6836,0.6874,0.6716,0.6718,1198442.5
0.6718,0.6815,0.6715,0.6726,1299826.9
0.6727,0.685,0.6721,0.6817,878154.2
0.6819,0.6852,0.6778,0.6804,802877.8
0.6804,0.6822,0.6728,0.6731,680627.7
0.6733,0.68,0.6724,0.6781,631951.4
0.6781,0.6824,0.6743,0.6772,745492.0
0.6772,0.6829,0.6739,0.6807,847516.5
0.6808,0.6818,0.6762,0.6775,711111.5
0.6775,0.701,0.675,0.6879,2461344.5
