open,high,low,close,volume
2.0078,2.01,2.0,2.0014,158490.0
2.0013,2.0116,2.0,2.0043,93119.0
2.0043,2.0228,1.9998,2.0061,148052.0
2.006,2.0094,1.9984,2.0044,94864.0
2.0043,2.0129,1.995,1.9957,103766.0
1.9961,1.9988,1.9423,1.9447,393430.0
1.9447,1.9679,1.9207,1.9394,734513.0
1.9391,1.9411,1.9019,1.9091,483983.0
1.909,1.9163,1.8629,1.8818,667529.0
1.8818,1.906,1.8749,1.8758,478789.0
1.8758,1.9078,1.8622,1.884,383280.0
1.884,1.9197,1.8787,1.9187,342869.0
1.9192,1.9254,1.9045,1.912,125231.0
1.9124,1.925,1.9035,1.9166,134216.0
1.9166,1.9403,1.913,1.9391,334586.0
1.9391,1.9424,1.9152,1.9328,391774.0
1.9328,1.961,1.9314,1.9534,189581.0
1.9535,1.9549,1.942,1.9475,139760.0
1.947,1.9539,1.9372,1.9386,362178.0
1.9386,1.9615,1.9363,1.9596,188324.0
1.9595,1.9662,1.9586,1.9622,115834.0
1.9622,1.9649,1.9398,1.9429,203255.0
1.9428,1.9686,1.9327,1.9573,268316.0
1.9575,1.9665,1.9504,1.9522,160795.0
1.9522,1.9576,1.9384,1.9485,266656.0
1.9486,1.9556,1.9405,1.9464,88968.0
1.9464,1.959,1.9357,1.9567,146115.0
1.9571,1.9601,1.9421,1.9436,101489.0
1.9434,1.9452,1.8784,1.887,622116.0
1.8872,1.8875,1.8502,1.8575,575568.0
1.8574,1.873,1.8107,1.8143,885050.0
1.8146,1.8298,1.7754,1.807,979308.0
1.807,1.8473,1.7857,1.845,575191.0
1.8449,1.8958,1.827,1.8805,457354.0
1.8804,1.9076,1.8676,1.8862,272343.0
1.8863,1.8897,1.867,1.8722,164259.0
1.8719,1.8959,1.8648,1.8759,264144.0
1.8752,1.8759,1.8426,1.847,203712.0
1.8472,1.857,1.7529,1.7691,1394566.0
1.769,1.7965,1.6375,1.697,5386267.0
1.6962,1.7253,1.6537,1.7118,2671570.0
1.7117,1.7123,1.6653,1.6709,1285185.0
1.6706,1.7073,1.6672,1.6979,1155505.0
1.6975,1.729,1.6331,1.6994,2407925.0
1.6997,1.7072,1.5323,1.6242,4565777.0
1.624,1.7507,1.6131,1.732,1866871.0
1.7323,1.734,1.6825,1.701,1115626.0
1.7012,1.7178,1.673,1.7056,1076920.0
1.7052,1.7052,1.6472,1.6609,1268650.0
1.6605,1.6643,1.5974,1.6548,1824723.0
1.6547,1.6815,1.6178,1.6342,2098909.0
1.634,1.7409,1.6003,1.7325,3064123.0
1.7325,1.8195,1.7325,1.8065,2492781.0
1.8065,1.8395,1.7878,1.8304,1456699.0
1.8296,1.8657,1.8136,1.8156,1352174.0
1.8158,1.8444,1.8061,1.8274,596500.0
1.8272,1.8298,1.7618,1.7647,757987.0
1.7646,1.7964,1.7557,1.7822,754295.0
1.7823,1.8125,1.7797,1.8006,542003.0
1.8001,1.8272,1.7858,1.7945,396323.0
1.7946,1.8223,1.788,1.811,306500.0
1.811,1.8277,1.784,1.7855,372044.0
1.7857,1.8653,1.7818,1.8651,765865.0
1.8648,1.8836,1.8365,1.8443,491883.0
1.8439,1.8563,1.837,1.8491,271775.0
1.849,1.8522,1.8372,1.8427,203808.0
1.8428,1.8587,1.8369,1.8496,261129.0
1.8496,1.8702,1.8438,1.8664,263352.0
1.8664,1.8847,1.8614,1.8719,241818.0
1.8721,1.8878,1.866,1.879,214113.0
1.879,1.8807,1.8244,1.841,487238.0
1.8411,1.849,1.8269,1.8488,301444.0
1.8489,1.8508,1.8299,1.8422,212632.0
1.8423,1.8523,1.8332,1.8452,195888.0
1.845,1.8504,1.8321,1.8352,336427.0
1.835,1.8407,1.806,1.8243,555006.0
1.8244,1.8878,1.8228,1.8629,778746.0
1.8627,1.874,1.8418,1.8641,483410.0
1.8646,1.8802,1.8476,1.8671,513014.0
1.8671,1.8744,1.8418,1.8427,278382.0
1.8422,1.8674,1.8415,1.8546,240016.0
1.8546,1.8668,1.8476,1.8507,138960.0
1.8507,1.8607,1.8378,1.8526,233425.0
1.8526,1.8689,1.8458,1.866,144691.0
1.866,1.8817,1.8477,1.8578,280762.0
1.8579,1.8687,1.8439,1.8548,401387.0
1.8548,1.874,1.8373,1.8657,380291.0
1.8654,1.8942,1.8497,1.8909,401524.0
1.8906,1.9053,1.873,1.8824,371606.0
