open,high,low,close,volume
0.4716,0.4729,0.4702,0.4714,4054756.0
0.4713,0.4724,0.4702,0.4714,4198158.0
0.4713,0.473,0.4699,0.4703,7233165.0
0.4704,0.4709,0.4683,0.4695,4074057.0
0.4696,0.4715,0.4674,0.4679,5437826.0
0.468,0.4692,0.4593,0.4598,16117305.0
0.4599,0.4608,0.452,0.4559,33615804.0
0.4559,0.456,0.4466,0.4483,24137684.0
0.4482,0.4506,0.4434,0.4459,18514113.0
0.4459,0.4492,0.4431,0.4435,11621369.0
0.4435,0.4489,0.4415,0.4453,10876194.0
0.4453,0.4519,0.4422,0.4516,11942357.0
0.4516,0.454,0.45,0.4522,6316758.0
0.4521,0.455,0.4505,0.4544,8694904.0
0.4543,0.456,0.4519,0.4551,8659115.0
0.4551,0.4556,0.451,0.454,4896280.0
0.4539,0.4581,0.4537,0.4561,5448973.0
0.4561,0.4576,0.4553,0.4561,3723261.0
0.4562,0.4574,0.4536,0.4539,3636401.0
0.454,0.457,0.4537,0.4551,3761361.0
0.455,0.456,0.4542,0.455,2729898.0
0.4549,0.455,0.4493,0.4496,10737843.0
0.4496,0.4542,0.448,0.452,9283394.0
0.452,0.4534,0.4511,0.4514,4724132.0
0.4514,0.4518,0.4491,0.4516,4664596.0
0.4515,0.4526,0.4501,0.4508,4474088.0
0.4509,0.4527,0.4497,0.4524,4402643.0
0.4523,0.4528,0.4488,0.4489,3631056.0
0.4489,0.4494,0.4337,0.4346,38053733.0
0.4346,0.4347,0.427,0.4286,41099378.0
0.4286,0.4301,0.4204,0.4214,34978173.0
0.4213,0.4221,0.4087,0.4164,53669347.0
0.4164,0.4223,0.4122,0.4217,26196050.0
0.4218,0.4295,0.4186,0.4272,21010839.0
0.4272,0.432,0.4251,0.429,12652926.0
0.429,0.4294,0.425,0.4262,6057671.0
0.4263,0.4297,0.4248,0.4259,9394647.0
0.4259,0.4265,0.42,0.4212,9988207.0
0.4212,0.4248,0.3973,0.4018,71910711.0
0.4017,0.4027,0.356,0.3783,189361882.0
0.3783,0.3791,0.3672,0.3769,85012879.0
0.3768,0.3771,0.3655,0.3662,51152334.0
0.3662,0.3733,0.3636,0.3683,34508767.0
0.3683,0.3718,0.3536,0.3629,79021859.0
0.363,0.365,0.3332,0.3522,188311465.0
0.3522,0.3737,0.3493,0.3689,67384065.0
0.369,0.3694,0.3596,0.364,39603738.0
0.364,0.3666,0.3595,0.3653,23863144.0
0.3652,0.3662,0.3538,0.3585,37593780.0
0.3585,0.3604,0.3462,0.3596,54516800.0
0.3596,0.3631,0.3502,0.3522,53776644.0
0.3521,0.3737,0.3472,0.3719,82457093.0
0.3718,0.3827,0.3717,0.3768,78220459.0
0.3768,0.3857,0.373,0.384,30403085.0
0.3839,0.3917,0.3822,0.3832,50742846.0
0.3831,0.3896,0.3808,0.3866,26745002.0
0.3866,0.3874,0.3756,0.376,25720573.0
0.376,0.3824,0.3742,0.3808,31403023.0
0.3808,0.3874,0.3805,0.3841,17070040.0
0.3842,0.3892,0.3811,0.3838,15979124.0
0.3838,0.3894,0.3833,0.388,11462989.0
0.3881,0.3902,0.3838,0.3843,13117356.0
0.3842,0.4023,0.3834,0.4023,34424394.0
0.4023,0.4066,0.3989,0.402,22535560.0
0.4019,0.4041,0.4003,0.4034,11173929.0
0.4033,0.4042,0.4007,0.4025,8350213.0
0.4025,0.4087,0.4006,0.4082,12261433.0
0.4083,0.4117,0.4064,0.4112,15855553.0
0.4112,0.4148,0.4098,0.4128,14082548.0
0.4128,0.4151,0.4112,0.4139,10140974.0
0.414,0.414,0.403,0.4061,22874164.0
0.4061,0.4062,0.4014,0.4048,15886169.0
0.4048,0.4052,0.4008,0.4024,8688915.0
0.4024,0.4033,0.3993,0.4015,9984739.0
0.4016,0.4042,0.3979,0.3984,12448847.0
0.3984,0.4023,0.3947,0.3992,25964383.0
0.3992,0.4153,0.3988,0.4105,37910171.0
0.4105,0.4137,0.4062,0.4116,14861637.0
0.4116,0.4164,0.4091,0.4141,12762091.0
0.4141,0.4157,0.4095,0.4096,9720150.0
0.4097,0.4147,0.4096,0.4111,8669696.0
0.4111,0.4132,0.4091,0.4105,9585978.0
0.4104,0.4126,0.4084,0.4116,12197691.0
0.4116,0.4136,0.41,0.4129,4736248.0
0.4129,0.4174,0.4099,0.4109,16189956.0
0.4109,0.4112,0.4064,0.4077,9959453.0
