open,high,low,close,volume
38.73,38.88,38.65,38.65,4770.11
38.64,38.7,38.56,38.59,3312.19
38.6,39.05,38.51,38.93,3388.8
38.93,38.96,38.56,38.66,3121.75
38.67,38.89,38.49,38.52,3504.02
38.53,38.66,37.92,37.98,9619.09
37.98,38.16,37.04,37.14,22020.17
37.13,37.22,36.39,36.53,9796.03
36.54,36.72,36.19,36.33,6003.73
36.33,36.42,35.84,35.91,5767.48
35.9,36.08,35.59,35.69,10668.45
35.69,36.27,35.59,36.2,8295.8
36.21,36.29,35.88,35.89,4382.22
35.9,36.26,35.75,36.19,5158.68
36.22,36.5,36.13,36.45,9564.04
36.45,36.53,35.96,36.32,4477.62
36.31,36.7,36.27,36.47,7309.97
36.5,36.56,36.24,36.5,3751.68
36.49,36.71,36.41,36.41,2445.72
36.41,36.79,36.41,36.74,3047.35
36.74,36.89,36.67,36.82,3567.73
36.83,36.89,36.3,36.36,2790.52
36.36,36.58,36.08,36.39,6388.58
36.4,36.45,36.22,36.29,1636.81
36.29,36.34,36.15,36.32,1291.11
36.31,36.4,36.14,36.19,1412.68
36.19,36.42,36.16,36.42,1781.24
36.43,36.46,36.08,36.11,2315.41
36.08,36.13,34.9,34.96,20055.69
34.97,34.97,34.24,34.29,8081.27
34.3,34.42,33.56,33.63,15820.63
33.61,33.65,32.33,33.01,28387.07
33.0,33.45,32.67,33.42,7892.21
33.41,33.9,33.1,33.77,17925.62
33.77,33.89,33.28,33.48,14266.94
33.49,33.49,32.98,33.02,8280.33
33.03,33.37,32.84,32.92,11907.2
32.91,32.91,32.41,32.56,9558.29
32.56,32.64,30.45,30.81,35461.42
30.82,30.98,26.05,28.5,128575.84
28.5,28.64,27.62,28.48,45801.91
28.45,28.5,27.94,28.09,26225.61
28.09,28.6,28.04,28.2,16771.67
28.21,28.33,27.06,27.8,38950.75
27.8,27.98,25.32,27.16,87826.3
27.14,28.16,26.98,27.9,34057.57
27.89,28.02,27.41,27.61,20226.29
27.61,27.73,26.94,27.41,21957.39
27.4,27.42,26.33,26.67,31677.12
26.69,26.7,25.94,26.67,44754.87
26.67,26.82,25.86,26.09,51829.64
26.08,27.26,25.66,27.24,104393.19
27.24,28.46,27.23,28.18,67890.04
28.19,28.43,27.88,28.2,29520.64
28.18,28.57,27.78,27.84,48495.05
27.84,28.23,27.61,27.96,24437.65
27.96,28.0,27.17,27.2,25693.73
27.18,27.64,27.07,27.54,27096.87
27.55,27.86,27.52,27.82,16941.19
27.82,28.13,27.63,27.73,19163.47
27.74,28.11,27.64,28.05,10569.55
28.04,28.27,27.65,27.67,11439.38
27.68,29.26,27.66,29.24,29526.06
29.24,29.57,28.93,29.1,15295.17
29.1,29.27,28.93,29.05,9663.38
29.06,29.12,28.82,28.88,6302.65
28.88,29.23,28.73,29.16,8976.25
29.16,29.91,29.09,29.9,10478.02
29.9,30.01,29.57,29.8,7443.63
29.8,29.97,29.47,29.93,10632.16
29.94,29.96,28.98,29.27,20197.75
29.27,29.44,29.07,29.44,9969.97
29.44,29.46,29.11,29.3,7419.49
29.31,29.52,29.17,29.32,6712.05
29.33,29.68,29.15,29.2,14159.02
29.2,29.44,28.94,29.34,17439.62
29.33,30.71,29.33,30.36,23972.26
30.38,30.81,30.11,30.76,9774.59
30.78,31.03,30.49,30.83,10253.2
30.83,31.43,30.77,30.83,12702.8
30.84,31.27,30.82,30.84,7984.86
30.83,31.19,30.76,30.97,5151.73
30.95,31.14,30.75,31.0,6403.12
30.99,31.19,30.82,31.13,4292.91
31.12,31.43,30.75,30.89,10124.24
30.89,31.0,30.56,30.68,5334.09
30.67,30.96,30.43,30.76,11194.47
30.75,31.22,30.36,31.2,13138.2
31.21,31.42,30.8,30.96,6691.94
30.96,31.17,30.81,31.02,6402.76
31.02,31.36,30.99,31.04,4352.84
31.03,31.23,30.86,30.87,6372.88
30.87,31.0,30.76,30.86,3483.52
30.87,31.08,30.71,30.92,4747.65
30.92,31.18,30.87,31.07,6041.12
31.06,31.36,30.95,31.17,5293.6
31.17,31.44,31.03,31.06,4988.51
31.06,31.12,30.56,30.62,10961.56
30.65,30.91,30.56,30.86,6016.82
30.85,30.99,30.44,30.54,12416.81
30.56,30.64,29.35,29.74,33363.37
29.75,30.13,29.63,30.0,8968.0
30.0,30.04,29.69,29.84,6483.91
29.85,30.0,29.39,29.55,10978.77
29.56,29.69,29.15,29.3,11647.42
29.3,29.52,29.18,29.38,6279.09
29.37,29.6,28.94,29.39,12377.19
29.4,29.47,29.13,29.36,5665.9
29.35,29.42,28.91,29.3,7400.65
29.3,29.37,28.97,29.09,4143.32
29.09,29.17,28.57,29.07,9884.44
29.09,30.05,29.03,30.01,24661.72
30.0,30.53,29.98,30.37,11460.07
30.38,30.54,30.01,30.01,6943.39
30.02,30.32,29.97,30.0,5323.13
30.0,30.3,29.99,30.25,4656.67
30.24,30.36,30.11,30.25,3534.16
30.25,30.27,29.93,29.95,3092.18
29.95,30.05,29.82,29.98,6249.31
29.98,30.19,29.82,30.01,2864.97
30.01,30.22,29.91,30.08,3518.02
30.08,30.21,30.0,30.08,3149.57
30.09,30.86,29.95,30.34,16749.55
30.34,30.56,29.84,30.13,10717.5
30.13,30.98,30.1,30.91,11477.67
30.91,31.05,30.54,30.96,8365.56
30.96,31.92,30.93,31.83,15876.66
31.84,32.26,31.74,31.8,19892.7
31.79,31.96,31.66,31.76,5179.65
31.76,31.87,31.67,31.8,2818.32
31.78,31.89,31.63,31.64,1744.25
31.63,32.58,31.63,32.56,5101.86
32.57,33.87,32.37,33.67,14653.89
33.69,34.46,33.61,34.22,24443.6
34.22,34.22,33.57,33.67,11907.47
33.68,33.7,33.46,33.5,6540.93
33.5,33.73,33.39,33.45,4655.35
33.44,33.78,33.42,33.59,5676.87
33.59,33.74,33.2,33.22,7275.54
33.21,33.26,32.96,33.13,7750.91
33.14,33.49,33.07,33.39,3855.82
33.38,33.61,33.23,33.3,4878.78
33.31,33.48,33.16,33.45,2918.95
33.44,33.47,32.98,33.06,4720.93
33.06,33.11,32.77,32.94,7853.63
32.97,33.12,32.83,33.09,3863.48
33.08,33.21,32.79,32.97,6063.55
32.96,33.09,32.56,32.96,8642.36
32.95,33.32,32.47,32.82,21157.35
32.8,32.89,32.22,32.25,10101.83
32.25,32.6,32.08,32.6,7731.61
32.59,32.74,32.43,32.55,3814.5
32.54,32.74,32.48,32.71,2214.53
32.73,32.87,32.64,32.81,3305.62
32.81,32.95,32.71,32.79,3920.28
32.79,32.8,32.41,32.76,7487.41
32.75,32.87,32.48,32.7,4542.82
32.7,32.93,32.49,32.88,4261.69
32.87,33.14,32.54,32.56,9175.7
32.56,32.82,32.46,32.64,3351.5
32.64,32.87,32.61,32.67,2572.87
32.67,32.7,32.33,32.57,5591.13
32.59,32.61,32.34,32.51,1842.76
32.5,32.64,32.41,32.61,1717.32
32.61,32.82,32.58,32.81,2068.13
32.81,32.93,32.74,32.93,2905.79
32.92,32.94,32.71,32.79,2838.31
32.78,33.17,32.77,33.0,4406.27
32.99,33.16,32.94,33.15,2161.49
33.13,33.22,33.05,33.21,4508.64
33.2,33.2,32.88,32.93,2665.0
32.93,32.96,32.69,32.79,4135.97
32.79,32.89,32.69,32.83,2089.42
32.84,33.16,32.82,32.88,2418.83
32.88,33.19,32.85,33.06,3455.3
33.06,33.09,32.84,33.03,3015.52
33.03,33.19,32.96,33.06,3491.32
33.06,33.2,32.97,33.11,1632.8
33.11,33.24,33.05,33.21,2599.84
33.19,33.35,33.19,33.3,1683.68
33.31,33.33,33.1,33.12,1299.12
33.12,33.12,32.91,32.99,1793.66
32.99,33.19,32.83,33.12,4197.99
33.14,33.3,33.03,33.29,1809.68
33.29,33.29,32.98,33.09,2587.85
33.09,33.49,33.09,33.22,3063.94
33.24,33.28,33.08,33.12,2463.42
33.12,33.45,33.11,33.39,1138.88
33.39,33.43,33.22,33.34,2815.85
33.35,33.58,33.35,33.54,2857.0
33.54,33.83,33.52,33.77,4914.69
33.78,34.2,33.59,33.62,9135.38
33.62,33.74,33.36,33.38,4702.28
33.39,33.45,32.83,32.92,12887.28
32.9,33.01,32.51,32.98,10125.44
32.97,33.06,32.6,32.98,9360.66
32.97,33.0,32.3,32.36,9071.54
32.36,32.45,32.1,32.24,7273.26
32.23,32.47,32.1,32.42,4726.68
32.41,32.51,32.2,32.39,2259.92
32.38,32.61,32.32,32.44,3514.88
32.44,32.47,31.76,31.78,9821.58
31.78,31.86,31.01,31.05,16110.24
31.06,31.25,30.81,31.21,7065.2
31.2,31.33,30.66,31.1,5695.22
31.09,31.09,30.78,30.86,1950.91
30.88,31.29,30.75,31.04,7816.64
31.04,31.37,30.94,31.33,4291.49
31.32,31.43,31.17,31.37,2993.1
31.37,31.48,31.21,31.31,2337.1
31.31,31.46,31.22,31.22,2080.68
31.21,31.31,31.06,31.26,4715.75
31.26,31.28,31.0,31.12,2224.38
31.12,31.79,30.68,31.62,16596.16
31.62,32.07,31.56,31.59,11395.15
31.57,32.13,31.57,32.13,7513.69
32.12,32.86,32.04,32.81,14798.34
32.79,33.7,32.75,33.54,13374.49
33.53,33.64,33.08,33.26,10024.72
33.26,33.54,32.34,32.42,20560.03
32.43,33.65,32.13,33.63,24818.99
33.63,33.83,32.98,33.55,16802.98
33.56,33.68,33.25,33.43,8328.74
33.43,33.55,33.23,33.23,3487.23
33.23,33.42,32.82,32.83,8434.21
32.85,33.25,32.84,33.06,3602.75
33.06,33.34,32.98,33.02,4417.38
33.0,33.09,32.8,33.04,3890.07
33.05,33.34,33.04,33.26,5189.25
33.26,33.93,33.24,33.67,11930.58
33.67,33.85,33.51,33.56,5639.95
33.57,33.82,33.37,33.77,5853.88
33.77,33.85,33.21,33.53,6609.71
33.52,33.65,33.04,33.06,14645.37
33.06,33.42,32.93,33.28,5290.42
33.29,33.41,33.15,33.25,1901.73
33.26,33.45,33.06,33.39,4688.59
33.41,33.47,33.26,33.32,3096.52
33.31,33.46,33.02,33.13,3280.16
33.13,33.19,32.74,32.91,14364.37
32.9,32.92,32.51,32.6,13727.12
32.61,33.14,32.53,33.04,12123.35
33.04,33.3,32.89,33.16,8629.89
33.17,33.37,32.87,33.32,10043.27
33.32,33.4,32.8,33.25,10895.46
33.25,33.31,32.91,33.08,6544.85
33.1,34.13,33.08,34.1,13594.58
34.1,34.37,33.97,34.3,10067.25
34.32,34.32,33.8,33.91,6062.26
33.9,33.95,33.51,33.84,6376.77
33.83,33.86,33.66,33.71,2228.81
33.7,34.02,33.67,33.93,3320.24
33.93,34.07,33.71,33.73,6214.72
33.72,33.8,33.54,33.71,3083.42
33.7,33.71,33.5,33.69,3355.43
33.69,33.78,33.34,33.52,6389.11
33.52,33.89,33.47,33.82,3630.92
33.82,33.9,33.63,33.67,3102.8
33.66,33.75,33.54,33.6,4290.93
33.6,33.8,33.5,33.59,2673.5
33.58,33.81,33.4,33.57,5242.41
33.56,33.65,33.48,33.64,1479.0
33.62,33.74,33.47,33.61,3478.66
33.62,33.7,33.52,33.59,1400.65
33.59,34.03,33.56,33.75,6282.63
33.75,33.8,33.16,33.62,25591.26
33.63,34.01,33.42,33.53,16874.07
33.52,33.61,32.58,32.71,26752.86
32.7,33.01,32.25,32.82,28239.22
32.81,32.97,32.25,32.66,22416.69
32.65,32.65,32.09,32.35,22349.46
32.34,32.4,32.21,32.22,6152.19
32.22,32.37,32.02,32.23,11914.74
32.22,32.37,32.08,32.2,6478.83
32.19,32.33,32.18,32.22,2299.52
32.23,32.48,32.22,32.35,4094.49
32.36,32.55,32.07,32.51,6580.48
32.52,32.58,32.36,32.44,2350.72
32.44,32.58,32.32,32.47,3826.37
32.47,32.51,32.11,32.19,3678.29
32.19,32.47,32.13,32.3,5561.72
32.3,32.42,32.25,32.3,1170.16
32.31,32.33,32.09,32.28,2250.53
32.28,32.33,31.99,32.01,3548.93
32.02,32.25,31.84,31.95,6334.88
