open,high,low,close,volume
0.4424,0.4429,0.4397,0.4422,662690.0
0.442,0.4435,0.4415,0.4424,407565.0
0.4424,0.447,0.4414,0.444,820749.0
0.4439,0.4447,0.442,0.4426,435130.0
0.4426,0.4448,0.4382,0.4388,1031097.0
0.4389,0.4404,0.4269,0.4273,2527934.0
0.4274,0.4308,0.4199,0.4251,4829722.0
0.4253,0.4256,0.4155,0.4166,3218340.0
0.4165,0.4184,0.41,0.4121,2417244.0
0.4122,0.4155,0.4088,0.4094,1971144.0
0.4094,0.4154,0.4073,0.4116,1899255.0
0.4117,0.4177,0.4103,0.4177,1234887.0
0.4178,0.4191,0.4146,0.4166,1082863.0
0.4167,0.4195,0.4138,0.4164,1163246.0
0.4164,0.4217,0.4152,0.4212,1311530.0
0.4214,0.4219,0.4158,0.4196,669802.0
0.4196,0.4265,0.4193,0.424,870351.0
0.4242,0.425,0.4223,0.4231,628401.0
0.4229,0.425,0.4203,0.4204,609590.0
0.4204,0.4235,0.4199,0.4225,422679.0
0.4224,0.4236,0.4213,0.4221,748155.0
0.4221,0.4223,0.4159,0.4163,1456478.0
0.4164,0.4207,0.4135,0.4189,1020921.0
0.419,0.4196,0.4173,0.4174,530734.0
0.4174,0.4178,0.4155,0.4174,830916.0
0.4175,0.4182,0.414,0.4151,1243008.0
0.4152,0.4194,0.4144,0.4189,614559.0
0.4189,0.4194,0.4159,0.4161,624665.0
0.4159,0.4163,0.3968,0.3996,5407293.0
0.3996,0.3996,0.3904,0.3914,3630558.0
0.3915,0.3938,0.3834,0.3845,3676224.0
0.3846,0.3904,0.3775,0.3881,5153856.0
0.3881,0.3961,0.3842,0.3948,3098208.0
0.3948,0.4048,0.3904,0.4019,3627958.0
0.4017,0.4079,0.3981,0.402,2007455.0
0.402,0.4026,0.3985,0.3999,954314.0
0.3999,0.4052,0.3978,0.4001,2270103.0
0.4,0.4005,0.3927,0.3937,1197812.0
0.3937,0.3974,0.3742,0.3787,5608292.0
0.3785,0.3797,0.3243,0.3569,17740887.0
0.3568,0.361,0.3469,0.3598,6977492.0
0.3598,0.3601,0.3523,0.3535,4143003.0
0.3537,0.3615,0.353,0.3559,3321951.0
0.3562,0.3625,0.3415,0.3566,11125766.0
0.3567,0.3592,0.325,0.3494,20821786.0
0.3493,0.3726,0.3472,0.3688,8208453.0
0.3688,0.3692,0.3544,0.3574,7258033.0
0.3575,0.3587,0.3475,0.3534,4514631.0
0.3533,0.3594,0.3448,0.3483,9749654.0
0.3482,0.3531,0.3369,0.3528,8026129.0
0.3528,0.3567,0.3424,0.3464,9841617.0
0.3464,0.3703,0.34,0.3686,13933893.0
0.3686,0.3894,0.3686,0.3858,11376395.0
0.3859,0.396,0.3817,0.3931,6231913.0
0.393,0.4017,0.3892,0.3898,5805692.0
0.3899,0.3972,0.3873,0.3929,4221140.0
0.393,0.3936,0.3793,0.38,3523804.0
0.38,0.3861,0.3773,0.3829,4062148.0
0.3829,0.3881,0.3813,0.3845,2109684.0
0.3845,0.3906,0.3811,0.3823,2089295.0
0.3824,0.3879,0.381,0.3854,1536266.0
0.3855,0.3889,0.3796,0.3799,1306599.0
0.3799,0.3989,0.3791,0.3988,3257555.0
0.3988,0.4029,0.3931,0.3965,2589149.0
0.3966,0.3987,0.3921,0.3949,1628694.0
0.3948,0.3961,0.3928,0.3935,769841.0
0.3936,0.3967,0.3906,0.3961,1050089.0
0.3961,0.4025,0.3948,0.402,1632662.0
0.4019,0.4066,0.4007,0.4042,2055075.0
0.4042,0.4063,0.4009,0.4048,1345708.0
0.4046,0.4052,0.3907,0.3944,2964914.0
0.3943,0.3957,0.3907,0.3946,1947938.0
0.3947,0.3961,0.3907,0.3929,875241.0
0.3928,0.3958,0.3905,0.3934,1095952.0
0.3931,0.3962,0.3878,0.3883,3544108.0
0.3881,0.3921,0.3841,0.3898,3619042.0
0.3897,0.4063,0.3893,0.4,4364169.0
0.4001,0.4022,0.3949,0.401,2142490.0
0.4011,0.4053,0.3978,0.4028,1715442.0
0.4028,0.4052,0.3979,0.3979,1432303.0
0.398,0.4035,0.398,0.4001,1076521.0
0.4001,0.4022,0.3967,0.3984,943810.0
0.3979,0.4003,0.3952,0.3985,1022529.0
0.3984,0.3999,0.3962,0.3997,732217.0
0.3996,0.4037,0.3956,0.3972,2266328.0
0.3972,0.3993,0.3935,0.3955,935313.0
0.3954,0.3993,0.3919,0.3969,1824382.0
0.3971,0.4055,0.3929,0.4048,2017292.0
0.4049,0.4078,0.3991,0.4015,1461490.0
0.4016,0.4045,0.4002,0.4007,1003577.0
0.4007,0.4063,0.3999,0.4027,1307189.0
0.4026,0.4061,0.4009,0.4028,1412648.0
0.4028,0.4043,0.3995,0.4014,1231004.0
0.4014,0.4034,0.3988,0.4017,736263.0
0.4015,0.4041,0.4002,0.4033,730060.0
0.4034,0.4071,0.4024,0.4041,1252090.0
0.404,0.4104,0.4034,0.4045,1078731.0
0.4044,0.4049,0.4,0.4002,1091969.0
0.4002,0.4072,0.399,0.4068,1797408.0
0.4067,0.4089,0.401,0.4022,2037109.0
0.4021,0.4039,0.3848,0.3912,4769299.0
0.3912,0.3953,0.3882,0.3916,3010786.0
0.3914,0.3927,0.3873,0.3893,1751789.0
0.3894,0.3915,0.3842,0.387,1784109.0
0.3869,0.3877,0.3787,0.3796,3863344.0
0.3798,0.3831,0.378,0.3811,2158644.0
0.3812,0.3856,0.3755,0.3822,3170862.0
0.3823,0.3844,0.3794,0.3832,1778084.0
0.3832,0.3844,0.3764,0.3834,1318084.0
0.3835,0.385,0.3798,0.3813,775924.0
0.3815,0.3842,0.3737,0.3805,1510150.0
0.3806,0.3957,0.3801,0.3951,2582319.0
0.395,0.4027,0.3949,0.399,1900381.0
0.3991,0.4009,0.3951,0.3951,1054081.0
0.3952,0.3992,0.3941,0.3946,1012165.0
0.3945,0.3983,0.3942,0.3967,832913.0
0.3968,0.4005,0.3946,0.3989,1050829.0
0.399,0.3993,0.3937,0.3938,829135.0
0.394,0.3964,0.3933,0.3952,660239.0
0.3953,0.3974,0.3932,0.3955,740320.0
0.3954,0.398,0.3939,0.3964,617250.0
0.3965,0.398,0.3953,0.3958,443323.0
0.3958,0.4074,0.3932,0.3999,2620039.0
0.4001,0.4034,0.3935,0.3982,2035092.0
0.3982,0.4082,0.3973,0.4072,2139251.0
0.407,0.4102,0.4053,0.4088,2570279.0
0.4088,0.4151,0.4083,0.4122,3196288.0
0.4123,0.4138,0.4093,0.4095,998550.0
0.4096,0.4109,0.4077,0.4091,858675.0
0.4091,0.4134,0.409,0.4125,1790613.0
0.4124,0.4145,0.4113,0.4122,1565292.0
0.412,0.4236,0.4119,0.422,1799975.0
0.4221,0.4309,0.4189,0.4293,4181325.0
0.4293,0.4357,0.4274,0.4342,3182662.0
0.4342,0.4342,0.4262,0.4286,3013641.0
0.4287,0.4299,0.4263,0.4287,890097.0
0.4287,0.4289,0.4258,0.4259,494958.0
0.4259,0.4282,0.4257,0.428,417075.0
0.4279,0.4281,0.4197,0.4198,1024528.0
0.4198,0.4235,0.418,0.4235,649240.0
0.4234,0.4255,0.4224,0.424,525757.0
0.424,0.4265,0.4229,0.4232,571517.0
0.4232,0.4265,0.4225,0.4262,598676.0
0.4262,0.4272,0.4214,0.4221,627185.0
0.4224,0.4226,0.4171,0.4202,1469546.0
0.4204,0.422,0.4184,0.4214,630082.0
0.4214,0.4219,0.4176,0.4198,610273.0
0.4198,0.4213,0.4148,0.4199,1126712.0
0.4199,0.4264,0.4138,0.4201,2524573.0
0.4201,0.4226,0.415,0.4151,1715655.0
0.4151,0.4198,0.4134,0.4177,1711901.0
