open,high,low,close,volume
8.896,8.9,8.785,8.814,26892.9
8.804,8.852,8.79,8.811,5703.64
8.81,8.926,8.793,8.846,13871.88
8.847,8.855,8.791,8.815,8824.58
8.815,8.883,8.774,8.791,12430.9
8.792,8.826,8.52,8.541,25643.77
8.54,8.608,8.334,8.46,61060.76
8.462,8.465,8.205,8.249,42136.99
8.25,8.283,8.073,8.133,36296.27
8.133,8.219,8.069,8.076,33638.19
8.08,8.211,8.032,8.119,23088.22
8.119,8.311,8.091,8.287,37416.26
8.29,8.332,8.225,8.27,9602.92
8.272,8.332,8.231,8.308,16084.19
8.308,8.375,8.285,8.358,12886.28
8.359,8.364,8.267,8.332,18635.28
8.329,8.485,8.318,8.43,15503.79
8.431,8.445,8.386,8.431,7105.72
8.435,8.467,8.381,8.381,7924.1
8.385,8.448,8.376,8.417,8146.34
8.415,8.48,8.414,8.461,7804.11
8.463,8.467,8.344,8.363,11835.98
8.362,8.445,8.305,8.404,18251.01
8.407,8.424,8.373,8.375,10368.37
8.376,8.431,8.348,8.425,9386.6
8.425,8.45,8.373,8.402,9766.15
8.399,8.451,8.378,8.447,8444.11
8.449,8.48,8.419,8.42,8613.86
8.415,8.434,8.062,8.097,51117.32
8.1,8.1,7.928,7.943,32981.93
7.943,7.998,7.724,7.745,59486.22
7.744,7.822,7.568,7.769,68687.54
7.772,7.979,7.703,7.967,45142.13
7.965,8.21,7.9,8.127,53970.69
8.126,8.215,7.994,8.054,61009.4
8.053,8.06,7.962,7.985,18734.24
7.985,8.101,7.963,8.001,28578.57
8.001,8.003,7.839,7.861,14559.21
7.862,7.941,7.439,7.535,97245.09
7.533,7.557,6.455,6.991,449884.29
6.994,7.076,6.791,7.06,104531.81
7.061,7.064,6.866,6.889,62400.37
6.889,7.031,6.84,6.905,50499.7
6.904,6.957,6.608,6.783,132694.11
6.786,6.838,6.206,6.571,416531.87
6.576,6.912,6.538,6.859,137737.95
6.852,6.88,6.688,6.748,63735.83
6.745,6.818,6.627,6.754,48926.6
6.751,6.755,6.498,6.574,115957.24
6.574,6.616,6.336,6.603,133703.38
6.606,6.711,6.412,6.472,125014.08
6.468,6.928,6.36,6.888,178836.72
6.892,7.256,6.892,7.195,141865.47
7.197,7.372,7.12,7.339,53471.21
7.335,7.541,7.294,7.331,59965.24
7.333,7.474,7.297,7.389,38358.04
7.394,7.396,7.113,7.12,42879.97
7.12,7.29,7.11,7.21,108050.03
7.211,7.305,7.192,7.266,39001.49
7.263,7.366,7.191,7.214,37596.72
7.217,7.347,7.185,7.31,28928.3
7.311,7.376,7.199,7.207,36043.83
7.211,7.596,7.184,7.594,53790.04
7.594,7.688,7.481,7.529,37062.35
7.528,7.563,7.463,7.528,21401.24
7.531,7.537,7.462,7.487,15798.99
7.488,7.535,7.437,7.516,19330.73
7.514,7.662,7.48,7.654,26193.26
7.655,7.714,7.601,7.692,25877.7
7.689,7.733,7.604,7.722,21189.25
7.72,7.721,7.413,7.495,45017.26
7.493,7.543,7.421,7.524,26593.6
7.527,7.558,7.453,7.509,18975.53
7.505,7.568,7.464,7.509,24961.83
7.509,7.595,7.447,7.484,23779.77
7.482,7.573,7.406,7.53,32315.61
7.529,7.869,7.519,7.735,44264.05
7.744,7.782,7.629,7.751,31779.45
7.75,7.864,7.689,7.807,33204.94
7.808,7.831,7.704,7.704,23720.41
7.706,7.808,7.704,7.739,13180.08
7.739,7.778,7.696,7.725,15657.01
7.718,7.759,7.664,7.727,27392.3
7.727,7.754,7.675,7.736,15017.18
7.735,7.833,7.658,7.731,30370.44
7.728,7.758,7.653,7.7,15599.4
7.699,7.803,7.624,7.724,43453.31
7.725,7.898,7.65,7.89,41195.56
7.886,7.943,7.777,7.82,34897.06
7.818,7.892,7.799,7.873,21684.44
7.872,7.966,7.858,7.891,18520.16
7.892,7.969,7.876,7.882,19196.35
7.881,7.933,7.849,7.885,13063.34
7.883,7.908,7.812,7.856,11794.57
7.853,7.921,7.833,7.892,15155.93
7.89,7.965,7.843,7.893,22394.96
7.895,7.945,7.841,7.843,19097.02
7.84,7.851,7.739,7.758,18064.68
7.756,7.824,7.718,7.783,28054.08
7.781,7.821,7.638,7.664,49246.64
7.663,7.684,7.304,7.422,73323.21
7.42,7.522,7.388,7.433,38317.36
7.435,7.476,7.368,7.419,35289.77
7.421,7.473,7.321,7.393,34582.81
7.395,7.444,7.28,7.311,51078.4
7.312,7.386,7.284,7.332,25174.13
7.336,7.456,7.238,7.364,53183.07
7.366,7.394,7.296,7.377,26018.06
7.381,7.392,7.224,7.378,34475.78
7.38,7.413,7.304,7.329,15610.8
7.335,7.387,7.212,7.357,41734.9
7.359,7.669,7.353,7.655,57197.72
7.652,7.816,7.651,7.78,31419.13
7.784,7.828,7.674,7.675,16656.09
7.675,7.764,7.671,7.679,21363.46
7.68,7.75,7.663,7.707,14663.66
7.708,7.757,7.659,7.704,16825.43
7.706,7.719,7.646,7.657,15469.16
7.658,7.679,7.621,7.66,17070.15
7.662,7.698,7.622,7.657,26037.45
7.658,7.68,7.621,7.662,14239.71
7.663,7.674,7.603,7.603,15396.29
7.6,7.878,7.557,7.679,51088.82
7.678,7.764,7.545,7.637,40181.43
7.635,7.821,7.613,7.808,33983.08
7.807,7.856,7.753,7.841,27868.75
7.842,7.939,7.817,7.896,37873.64
7.896,7.916,7.81,7.816,16959.94
7.817,7.847,7.799,7.845,10841.68
7.847,7.875,7.825,7.845,13392.29
7.844,7.897,7.829,7.876,10116.63
7.875,8.053,7.875,8.044,28358.06
8.045,8.306,7.994,8.259,59345.33
8.257,8.344,8.192,8.292,50855.32
8.287,8.311,8.203,8.245,30801.46
8.242,8.277,8.202,8.213,21830.74
8.214,8.235,8.18,8.184,11577.16
8.185,8.215,8.158,8.167,9055.07
8.166,8.185,8.024,8.026,26077.91
8.031,8.123,7.995,8.104,14067.2
8.106,8.15,8.08,8.122,14282.88
8.125,8.18,8.102,8.106,15330.78
8.109,8.17,8.075,8.145,13399.89
8.148,8.187,8.06,8.078,12888.6
8.079,8.081,7.975,8.048,18884.81
8.046,8.069,8.004,8.062,13259.34
8.064,8.082,7.997,8.055,15550.6
8.059,8.088,7.931,8.04,35301.18
8.037,8.188,7.892,8.039,40689.57
8.034,8.053,7.873,7.877,19080.05
7.878,8.011,7.86,7.992,16549.01
7.996,8.054,7.974,8.013,15488.18
8.012,8.031,7.964,8.008,10406.76
