open,high,low,close,volume
4.641,4.641,4.554,4.562,1324114.0
4.562,4.602,4.555,4.589,837514.0
4.588,4.656,4.585,4.609,782395.0
4.609,4.611,4.586,4.596,782531.0
4.596,4.634,4.584,4.589,537787.0
4.59,4.594,4.45,4.455,1673868.0
4.455,4.492,4.381,4.42,3650877.0
4.421,4.422,4.305,4.316,2860212.0
4.315,4.324,4.239,4.273,2158859.0
4.273,4.342,4.265,4.267,1128322.0
4.267,4.33,4.235,4.275,1505046.0
4.275,4.357,4.234,4.349,1324780.0
4.35,4.388,4.333,4.344,1108217.0
4.345,4.376,4.331,4.361,771450.0
4.36,4.404,4.345,4.396,665292.0
4.397,4.401,4.335,4.378,583866.0
4.377,4.448,4.37,4.421,669699.0
4.42,4.422,4.384,4.397,409609.0
4.398,4.411,4.354,4.358,446419.0
4.357,4.388,4.349,4.364,500395.0
4.364,4.38,4.348,4.356,273729.0
4.357,4.363,4.275,4.28,943612.0
4.28,4.336,4.246,4.316,1106388.0
4.317,4.334,4.3,4.303,533877.0
4.303,4.315,4.272,4.311,710570.0
4.311,4.391,4.308,4.385,1197870.0
4.384,4.434,4.368,4.417,959529.0
4.417,4.436,4.378,4.378,935415.0
4.378,4.387,4.206,4.223,3355356.0
4.223,4.224,4.134,4.144,2838150.0
4.145,4.194,4.079,4.082,2984940.0
4.083,4.136,3.985,4.074,5621238.0
4.074,4.156,4.017,4.149,3405086.0
4.15,4.254,4.105,4.221,1990875.0
4.22,4.276,4.17,4.202,1238589.0
4.202,4.216,4.165,4.176,527344.0
4.177,4.247,4.159,4.182,1380555.0
4.182,4.184,4.113,4.131,1327057.0
4.131,4.187,3.926,3.976,5849521.0
3.975,3.988,3.408,3.703,20355909.0
3.702,3.71,3.567,3.683,7715404.0
3.683,3.687,3.555,3.564,3937368.0
3.564,3.647,3.513,3.545,3985477.0
3.545,3.585,3.4,3.482,8172117.0
3.483,3.509,3.122,3.348,17041148.0
3.348,3.57,3.314,3.506,6733700.0
3.506,3.509,3.366,3.391,4815096.0
3.391,3.42,3.32,3.363,2911202.0
3.363,3.379,3.241,3.255,4247805.0
3.255,3.292,3.135,3.285,6887602.0
3.286,3.322,3.168,3.18,6262496.0
3.179,3.347,3.074,3.326,10730436.0
3.326,3.533,3.326,3.435,11636698.0
3.436,3.555,3.379,3.514,6055098.0
3.513,3.673,3.489,3.529,5571562.0
3.529,3.615,3.509,3.577,3018376.0
3.577,3.585,3.429,3.436,2718329.0
3.437,3.501,3.398,3.468,4563344.0
3.468,3.537,3.462,3.518,2005221.0
3.518,3.596,3.489,3.52,2024199.0
3.52,3.606,3.512,3.598,1781167.0
3.599,3.636,3.518,3.522,1853031.0
3.522,3.726,3.511,3.713,4452225.0
3.713,3.78,3.671,3.7,3069530.0
3.7,3.73,3.661,3.701,1706742.0
3.701,3.712,3.664,3.666,1364878.0
3.667,3.716,3.639,3.699,1460410.0
3.699,3.754,3.683,3.745,2049219.0
3.744,3.792,3.706,3.748,2148498.0
3.748,3.764,3.692,3.744,1872037.0
3.745,3.759,3.601,3.629,3293851.0
3.629,3.631,3.583,3.609,2617592.0
3.61,3.621,3.563,3.576,2401235.0
3.576,3.602,3.556,3.574,2395116.0
3.575,3.614,3.533,3.535,2070639.0
