open,high,low,close,volume
10.041,10.041,9.959,10.002,42062.25
10.001,10.014,9.957,9.957,26665.51
9.959,9.978,9.894,9.922,91868.34
9.923,9.966,9.906,9.925,31529.98
9.926,9.988,9.909,9.915,32883.78
9.917,9.919,9.599,9.612,128863.74
9.612,9.725,9.507,9.613,175414.93
9.611,9.614,9.402,9.431,126580.81
9.432,9.509,9.376,9.421,109768.8
9.423,9.511,9.385,9.39,69048.2
9.39,9.517,9.359,9.416,59554.45
9.417,9.566,9.392,9.566,52396.41
9.567,9.625,9.514,9.566,69592.93
9.569,9.617,9.514,9.567,42713.47
9.568,9.665,9.552,9.641,58363.57
9.638,9.647,9.513,9.585,45976.12
9.582,9.711,9.574,9.669,39469.11
9.67,9.683,9.631,9.647,25997.93
9.646,9.698,9.619,9.625,28353.47
9.625,9.7,9.622,9.676,21734.37
9.674,9.721,9.666,9.704,27216.77
9.707,9.709,9.539,9.544,52844.45
9.547,9.617,9.483,9.583,69568.56
9.584,9.617,9.551,9.559,31702.09
9.558,9.594,9.482,9.593,34165.08
9.593,9.657,9.584,9.619,31840.48
9.619,9.659,9.572,9.653,34136.92
9.654,9.669,9.578,9.587,24362.86
9.586,9.605,9.236,9.295,126630.35
9.297,9.298,9.166,9.18,117165.8
9.181,9.241,9.04,9.061,128476.47
9.059,9.117,8.875,9.028,254114.31
9.03,9.183,8.915,9.171,149812.21
9.171,9.334,9.077,9.289,103964.01
9.286,9.387,9.205,9.268,70696.95
9.266,9.278,9.18,9.21,43439.55
9.213,9.331,9.175,9.271,70726.53
9.269,9.27,9.115,9.136,68043.47
9.136,9.237,8.609,8.712,410376.06
8.71,8.736,7.903,8.252,1185446.38
8.251,8.371,8.061,8.358,410625.39
8.356,8.362,8.161,8.187,172622.06
8.186,8.35,8.171,8.222,167894.98
8.222,8.343,7.918,8.162,391823.47
8.163,8.206,7.519,7.949,995778.03
7.948,8.334,7.895,8.269,369822.11
8.267,8.276,8.016,8.107,261434.43
8.109,8.197,8.001,8.137,196183.51
8.135,8.142,7.823,7.886,292116.7
7.886,7.907,7.619,7.897,379299.16
7.896,7.976,7.644,7.704,489363.81
7.703,8.233,7.597,8.191,642480.4
8.194,8.563,8.194,8.473,539634.24
8.475,8.64,8.392,8.603,210635.54
8.602,8.767,8.548,8.565,259123.63
8.565,8.699,8.521,8.629,140003.78
8.628,8.644,8.368,8.375,172462.98
8.373,8.501,8.32,8.433,231262.64
8.432,8.576,8.432,8.555,160393.41
8.554,8.661,8.486,8.534,144501.16
8.535,8.679,8.522,8.63,131150.92
8.631,8.692,8.509,8.519,88061.85
8.517,8.901,8.501,8.899,221456.28
8.899,8.969,8.732,8.771,165738.41
8.767,8.814,8.728,8.782,74190.1
8.783,8.829,8.733,8.79,77583.03
8.791,8.893,8.751,8.883,84722.69
8.882,8.991,8.844,8.978,67824.99
8.977,9.027,8.924,8.966,81693.57
8.969,9.044,8.929,9.016,68473.05
9.014,9.018,8.745,8.816,120084.2
8.815,8.838,8.753,8.827,105425.46
8.828,8.847,8.746,8.781,55409.24
8.781,8.839,8.743,8.782,63835.51
8.78,8.844,8.73,8.757,74709.92
8.751,8.803,8.636,8.753,150138.58
8.749,9.066,8.745,8.958,196718.96
8.959,9.007,8.86,8.983,99972.86
8.983,9.086,8.95,9.036,90401.74
9.035,9.063,8.965,8.971,73248.24
8.973,9.046,8.965,8.98,75078.78
8.982,9.006,8.938,8.958,42889.17
8.956,8.998,8.914,8.958,62609.7
8.958,9.004,8.922,8.998,38699.28
8.997,9.057,8.884,8.943,87207.73
8.943,8.962,8.868,8.938,43989.48
8.936,9.002,8.844,8.973,87129.79
8.977,9.097,8.874,9.08,116444.24
9.081,9.132,8.976,9.033,83085.75
9.034,9.096,9.004,9.087,54795.52
9.087,9.167,9.074,9.115,53153.32
9.113,9.182,9.063,9.078,75635.26
9.079,9.115,9.022,9.036,46973.47
9.038,9.072,8.997,9.037,47402.4
9.038,9.121,9.017,9.091,75270.58
9.09,9.176,9.075,9.114,66672.78
9.117,9.21,9.098,9.118,51380.91
9.118,9.131,9.037,9.043,88576.64
9.045,9.144,9.015,9.131,74774.08
9.13,9.169,9.027,9.052,109557.16
9.055,9.079,8.703,8.859,314889.08
8.86,8.958,8.825,8.925,117120.72
8.926,8.943,8.853,8.911,121987.64
8.913,8.946,8.772,8.856,103308.49
8.85,8.88,8.709,8.736,100236.31
8.742,8.793,8.701,8.779,76083.97
8.781,8.868,8.666,8.788,144688.68
8.788,8.84,8.759,8.813,70844.81
8.813,8.868,8.687,8.867,114443.84
8.867,8.922,8.806,8.834,57768.79
8.836,8.897,8.694,8.829,108744.31
8.831,9.114,8.823,9.095,166308.8
9.093,9.275,9.087,9.257,103193.47
9.256,9.305,9.153,9.156,67997.5
9.154,9.247,9.149,9.163,56163.86
9.163,9.254,9.158,9.229,43455.19
9.229,9.284,9.189,9.232,52099.75
9.233,9.275,9.206,9.223,50520.64
9.223,9.281,9.204,9.211,108574.35
9.213,9.268,9.192,9.212,37605.93
9.212,9.244,9.185,9.229,41214.04
9.228,9.282,9.222,9.254,22488.8
9.254,9.438,9.199,9.35,156486.06
9.349,9.407,9.227,9.315,81527.87
9.314,9.511,9.296,9.5,88238.01
9.503,9.528,9.435,9.519,93396.17
9.519,9.616,9.475,9.495,116137.96
9.494,9.533,9.436,9.446,47397.03
9.447,9.46,9.396,9.411,36250.53
9.411,9.47,9.406,9.434,40393.01
9.434,9.474,9.409,9.432,40163.2
9.433,9.667,9.433,9.654,48314.81
9.657,9.756,9.56,9.715,97653.69
9.714,9.753,9.627,9.706,114337.49
9.705,9.725,9.586,9.627,116482.33
9.626,9.644,9.579,9.618,70066.82
9.619,9.643,9.588,9.589,35655.86
9.59,9.65,9.589,9.607,37794.48
9.606,9.618,9.501,9.501,44477.65
9.503,9.573,9.464,9.566,55534.65
9.566,9.623,9.538,9.621,49739.07
9.621,9.711,9.592,9.615,116030.76
9.614,9.675,9.57,9.664,63134.98
9.664,9.726,9.63,9.695,112589.64
9.697,9.703,9.615,9.695,136007.47
9.696,9.741,9.665,9.713,94350.67
9.714,9.714,9.586,9.643,75479.42
9.642,9.658,9.484,9.595,102093.51
9.594,9.715,9.43,9.576,143462.18
9.575,9.596,9.463,9.469,57442.25
9.464,9.57,9.44,9.521,70315.91
9.521,9.572,9.503,9.524,36604.11
9.526,9.552,9.482,9.537,45987.46
9.536,9.58,9.496,9.553,40027.73
9.553,9.607,9.544,9.56,28920.61
9.561,9.596,9.483,9.582,60629.34
9.582,9.617,9.513,9.58,60350.44
9.581,9.644,9.54,9.639,46412.94
9.638,9.763,9.564,9.569,101443.86
9.568,9.639,9.544,9.57,47761.84
9.57,9.641,9.557,9.605,31023.24
9.602,9.611,9.566,9.579,22216.62
9.579,9.585,9.483,9.528,29062.42
9.526,9.54,9.489,9.531,23780.26
9.532,9.569,9.52,9.56,20512.83
9.561,9.613,9.555,9.611,28688.28
9.612,9.613,9.547,9.562,22177.47
9.562,9.622,9.524,9.567,36733.32
9.568,9.605,9.532,9.591,30721.94
9.59,9.66,9.581,9.66,33122.28
9.661,9.676,9.64,9.658,29652.53
9.658,9.71,9.655,9.678,85934.43
9.678,9.75,9.66,9.74,37301.4
9.739,9.819,9.711,9.773,62943.15
9.773,9.803,9.727,9.746,51562.15
9.746,9.829,9.703,9.813,111560.42
9.817,9.88,9.799,9.811,28423.02
9.813,9.829,9.779,9.792,26329.73
9.796,9.862,9.796,9.857,41059.79
9.857,9.873,9.841,9.86,17140.02
9.86,9.874,9.833,9.845,18919.59
9.844,9.862,9.78,9.859,54301.65
9.859,9.9,9.851,9.897,40139.2
9.896,9.927,9.856,9.907,29244.93
9.909,9.935,9.835,9.846,19789.27
9.846,9.959,9.844,9.851,57774.23
9.853,9.867,9.8,9.811,33365.95
9.81,9.824,9.779,9.819,23094.98
9.818,9.841,9.792,9.841,22119.4
9.841,9.862,9.817,9.849,19167.42
9.847,9.96,9.839,9.917,70183.11
9.919,10.008,9.888,9.901,71088.86
9.902,9.917,9.844,9.888,26281.72
9.887,9.889,9.684,9.723,100176.94
9.722,9.749,9.614,9.671,74199.84
9.671,9.686,9.583,9.637,62077.82
9.638,9.664,9.494,9.54,82655.97
9.539,9.596,9.477,9.53,66199.92
9.531,9.617,9.496,9.575,46913.37
9.574,9.626,9.559,9.588,27020.25
9.587,9.621,9.569,9.605,22652.42
9.603,9.611,9.447,9.46,63772.02
9.46,9.473,9.31,9.352,113506.62
9.351,9.396,9.289,9.391,65883.5
9.39,9.429,9.263,9.322,86642.89
9.318,9.361,9.26,9.323,43723.14
9.323,9.521,9.31,9.319,232102.05
9.319,9.432,9.318,9.395,48562.06
9.392,9.404,9.357,9.391,23224.09
9.389,9.429,9.355,9.398,25740.59
9.397,9.434,9.381,9.403,35955.93
9.404,9.487,9.37,9.406,335233.0
9.405,9.421,9.304,9.333,60150.56
9.33,9.483,9.221,9.452,97090.12
9.452,9.541,9.375,9.398,74686.61
9.396,9.452,9.387,9.446,43211.23
9.445,9.577,9.425,9.577,59794.11
9.575,9.766,9.572,9.757,88855.01
9.758,9.8,9.671,9.712,86726.36
9.713,9.743,9.359,9.387,121045.12
9.388,9.753,9.281,9.71,202330.98
9.713,9.756,9.53,9.682,121932.71
9.683,9.709,9.605,9.618,59878.9
9.616,9.658,9.533,9.541,42087.39
9.541,9.567,9.378,9.388,57309.44
9.388,9.477,9.375,9.43,75707.95
9.432,9.514,9.413,9.423,55622.24
9.423,9.453,9.352,9.45,35416.16
9.451,9.497,9.436,9.469,28274.1
