open,high,low,close,volume
0.2445,0.2451,0.2425,0.2445,1971584.2
0.2445,0.2463,0.2437,0.2451,1242170.0
0.2451,0.2501,0.2449,0.2482,1778416.2
0.2481,0.2482,0.2448,0.2458,1178151.7
0.2457,0.2477,0.2438,0.2441,1107550.3
0.2442,0.2454,0.2344,0.2349,3042769.0
0.2349,0.2361,0.2276,0.2306,6228394.7
0.2307,0.2311,0.2233,0.2243,5131496.1
0.2244,0.2252,0.219,0.2197,3937272.4
0.2198,0.2223,0.2181,0.2183,2779483.8
0.2184,0.2215,0.2169,0.2176,2678712.3
0.2176,0.2223,0.2168,0.2214,2533977.7
0.2215,0.2226,0.2195,0.2205,1358301.2
0.2205,0.2234,0.2195,0.2222,1805997.0
0.2221,0.2275,0.2215,0.2268,1579179.6
0.2268,0.227,0.2227,0.2247,1902153.4
0.2246,0.2314,0.2246,0.2294,1524186.0
0.2296,0.2302,0.2279,0.2292,898373.1
0.2292,0.2309,0.228,0.2283,804003.9
0.2282,0.231,0.2278,0.2297,643714.1
0.2296,0.2303,0.2287,0.2292,779566.8
0.2293,0.2293,0.2253,0.2256,1365940.9
0.2256,0.2293,0.2245,0.2285,1877348.1
0.2283,0.2296,0.2276,0.2277,833857.1
0.2278,0.2294,0.2266,0.2291,706257.0
0.2291,0.2299,0.2276,0.2283,680533.6
0.2282,0.2309,0.2274,0.2306,1052544.8
0.2306,0.2308,0.2279,0.2283,1085797.9
0.2282,0.2286,0.2186,0.22,4262755.0
0.2199,0.22,0.2132,0.2138,3508990.2
0.2139,0.2153,0.2062,0.2067,5767514.0
0.2067,0.2102,0.2013,0.2085,7021514.7
0.2087,0.2123,0.2057,0.2119,3183967.5
0.2117,0.2185,0.2098,0.2162,2950616.6
0.2161,0.2196,0.2135,0.2157,1907296.4
0.2156,0.2162,0.2138,0.2145,1529503.0
0.2145,0.2177,0.2131,0.2139,1805694.1
0.2138,0.2138,0.2089,0.2096,1542932.1
0.2096,0.2124,0.1974,0.2008,9282463.3
0.2007,0.2016,0.1705,0.1821,50593819.3
0.1821,0.1828,0.1762,0.1819,13184328.7
0.1819,0.1821,0.1771,0.1786,7589504.5
0.1787,0.1822,0.1767,0.178,5934042.2
0.178,0.1783,0.1692,0.1729,16898311.9
0.173,0.1744,0.155,0.1673,35934210.6
0.1673,0.177,0.1658,0.1748,13043336.9
0.175,0.1754,0.1697,0.1713,7564296.7
0.1713,0.1726,0.1674,0.1705,7693655.9
0.1705,0.1705,0.1622,0.1642,10457283.5
0.1642,0.1648,0.1583,0.1646,12018819.2
0.1646,0.1669,0.1597,0.1614,15033338.4
0.1613,0.1702,0.1582,0.169,22207354.7
0.169,0.1766,0.169,0.1743,16570126.4
0.1744,0.1799,0.1722,0.1775,14771250.7
0.1774,0.1835,0.1761,0.1776,14038067.7
0.1776,0.1817,0.1771,0.1791,7041661.5
0.1791,0.1801,0.1734,0.1735,6513430.4
0.1734,0.177,0.1726,0.1753,9555723.4
0.1753,0.1781,0.1747,0.1765,4774118.7
0.1765,0.1789,0.1746,0.1752,3793686.4
0.1753,0.1793,0.175,0.1784,3107447.7
0.1784,0.1804,0.1762,0.1764,3134029.9
0.1764,0.1894,0.1761,0.1893,6649052.0
0.1892,0.1937,0.1883,0.1902,5273440.9
0.1901,0.1938,0.1898,0.1928,3360023.4
0.1927,0.1952,0.1917,0.193,2808064.0
0.1931,0.1966,0.1918,0.1959,3621431.4
0.1959,0.1996,0.1942,0.1995,2958342.7
0.1995,0.2012,0.1974,0.2004,3573959.4
0.2003,0.201,0.1978,0.2004,3344338.6
0.2004,0.2004,0.1925,0.195,4093854.1
0.195,0.1954,0.1931,0.1948,2769788.0
0.1948,0.1954,0.1926,0.1945,1876360.0
