open,high,low,close,volume
0.3903,0.3907,0.3887,0.3891,91765.0
0.389,0.3916,0.3886,0.3903,67884.0
0.3904,0.393,0.3899,0.3909,197495.0
0.3909,0.3913,0.3873,0.3879,146668.0
0.3879,0.3917,0.3876,0.3888,324869.0
0.3888,0.3895,0.377,0.3773,619080.0
0.3773,0.3791,0.3691,0.3736,948026.0
0.3737,0.3737,0.3658,0.3666,562335.0
0.3666,0.369,0.3596,0.363,794239.0
0.363,0.3665,0.3611,0.3616,403244.0
0.3616,0.3675,0.36,0.3638,324520.0
0.3639,0.3695,0.3627,0.369,310474.0
0.369,0.3707,0.3668,0.3687,255823.0
0.369,0.3708,0.3665,0.3687,151901.0
0.3686,0.3716,0.3673,0.3705,259888.0
0.3704,0.3711,0.3667,0.37,150374.0
0.3698,0.3757,0.3697,0.3741,191960.0
0.3744,0.3762,0.3726,0.3759,224573.0
0.3759,0.3765,0.372,0.3723,137241.0
0.3722,0.3773,0.3719,0.3762,130439.0
0.3761,0.3778,0.3757,0.3773,103445.0
0.3773,0.3773,0.3715,0.3725,104775.0
0.3726,0.3751,0.3709,0.3725,409910.0
0.3725,0.3726,0.3689,0.3692,548904.0
0.3692,0.3715,0.3674,0.3698,322508.0
0.3699,0.3711,0.3673,0.3679,205237.0
0.3678,0.3711,0.3676,0.3708,221520.0
0.371,0.3721,0.3683,0.3694,174601.0
0.3694,0.3699,0.359,0.3608,925004.0
0.3607,0.3607,0.3562,0.3588,522093.0
0.3589,0.3598,0.3516,0.3522,928105.0
0.3522,0.3565,0.347,0.3549,1234512.0
0.355,0.3623,0.3521,0.3614,1215183.0
0.3614,0.3708,0.3577,0.3686,493264.0
0.3685,0.3727,0.3657,0.3686,326885.0
0.3686,0.3697,0.3659,0.3675,194876.0
0.3675,0.3727,0.3663,0.368,387470.0
0.3678,0.3678,0.3601,0.3615,343187.0
0.3615,0.3637,0.3411,0.3463,2122013.0
0.3464,0.3471,0.2981,0.3228,8370411.0
0.3228,0.3253,0.3148,0.3239,2109132.0
0.3239,0.324,0.3173,0.3186,790055.0
0.3187,0.3246,0.3172,0.32,627109.0
0.3204,0.3218,0.3083,0.3148,2291300.0
0.3146,0.3168,0.2828,0.3054,6203664.0
0.3053,0.3215,0.3037,0.3194,1303832.0
0.3197,0.3209,0.3132,0.3169,907914.0
0.3166,0.322,0.3142,0.3206,975340.0
0.3205,0.3208,0.3073,0.3117,1388476.0
0.3116,0.3117,0.3003,0.3106,1686504.0
0.3105,0.313,0.3024,0.3044,1841028.0
0.3043,0.3236,0.2991,0.3216,2845875.0
0.3217,0.3393,0.3217,0.3364,1785971.0
0.3364,0.3462,0.3331,0.3425,1395446.0
0.3425,0.3496,0.3402,0.3426,863693.0
0.3428,0.3477,0.3409,0.3448,500084.0
0.345,0.3461,0.3329,0.333,610906.0
0.333,0.3406,0.3322,0.3369,873656.0
0.3367,0.3407,0.336,0.3393,637710.0
0.3393,0.3419,0.3354,0.3366,661872.0
0.3366,0.3425,0.3345,0.3411,334935.0
0.3412,0.3437,0.3362,0.3366,382350.0
0.3367,0.3512,0.3356,0.3504,950258.0
0.3504,0.3545,0.3463,0.3479,627723.0
0.3478,0.3487,0.3448,0.3466,365660.0
0.3464,0.347,0.3445,0.3452,200078.0
0.3453,0.3472,0.3436,0.3468,307689.0
0.3469,0.3523,0.3455,0.352,332898.0
0.3521,0.3556,0.3503,0.354,401449.0
0.3541,0.3567,0.3512,0.3567,387372.0
0.3567,0.3567,0.3455,0.3488,636254.0
0.3489,0.3505,0.3458,0.3493,444687.0
0.3495,0.35,0.3455,0.3471,375862.0
0.3469,0.3496,0.3456,0.3478,278646.0
0.3476,0.3495,0.3443,0.3459,474696.0
0.3458,0.3486,0.3418,0.3459,816940.0
0.3458,0.3579,0.3456,0.3525,1007041.0
0.3528,0.3554,0.3492,0.3535,445038.0
0.3534,0.3556,0.351,0.3538,507036.0
0.3537,0.3554,0.3506,0.3506,256577.0
0.3507,0.3549,0.3504,0.3522,277336.0
0.3522,0.3544,0.3509,0.3523,209943.0
0.3521,0.3545,0.3501,0.3533,574913.0
0.3533,0.3546,0.3513,0.3544,156018.0
0.3544,0.358,0.3514,0.3542,436044.0
0.3541,0.3555,0.3518,0.3538,160866.0
0.3536,0.3556,0.3501,0.3539,475855.0
0.354,0.3593,0.3506,0.3589,631500.0
0.3591,0.3619,0.3555,0.3585,391136.0
0.3587,0.3607,0.3574,0.3592,166244.0
0.359,0.3635,0.3588,0.3622,361152.0
0.3622,0.3642,0.3604,0.3605,166058.0
0.3605,0.362,0.3595,0.3605,164441.0
0.3605,0.3612,0.3573,0.3597,245251.0
0.3599,0.3631,0.3595,0.362,203677.0
0.3618,0.3651,0.3609,0.3625,217991.0
0.3626,0.3653,0.3601,0.3604,249800.0
0.3604,0.3609,0.355,0.3555,368432.0
0.3555,0.3581,0.353,0.3575,393490.0
0.3576,0.3597,0.3533,0.3547,430900.0
0.3548,0.3558,0.3365,0.3425,1322694.0
0.3425,0.3463,0.3391,0.3426,815916.0
