open,high,low,close,volume
0.0843,0.0847,0.084,0.0843,1167850.0
0.0843,0.0844,0.0838,0.0838,845981.0
0.0838,0.0846,0.0837,0.084,1235810.0
0.084,0.0841,0.0834,0.0835,894780.0
0.0835,0.0839,0.0828,0.0829,1668220.0
0.0829,0.0834,0.0801,0.0802,4677847.0
0.0802,0.0813,0.0791,0.0795,10028479.0
0.0795,0.0796,0.0777,0.0781,4192699.0
0.0782,0.0784,0.0769,0.0774,3519508.0
0.0774,0.0778,0.0761,0.0762,4491161.0
0.0761,0.0773,0.0759,0.0762,3060976.0
0.0762,0.0768,0.0759,0.0766,3694825.0
0.0767,0.0767,0.0756,0.076,2771579.0
0.076,0.0766,0.0755,0.0762,2298550.0
0.0762,0.077,0.0759,0.0769,2883272.0
0.0769,0.077,0.0758,0.0767,1394890.0
0.0767,0.0783,0.0766,0.0777,1513857.0
0.0777,0.0781,0.0774,0.0778,857037.0
0.0777,0.0781,0.0773,0.0773,738216.0
0.0774,0.0776,0.0772,0.0774,998293.0
0.0775,0.078,0.0773,0.0777,1126345.0
0.0777,0.0778,0.0766,0.0768,1045943.0
0.0768,0.0778,0.0765,0.0774,1669728.0
0.0773,0.0777,0.0772,0.0775,642768.0
0.0775,0.078,0.0774,0.0779,1126465.0
0.0779,0.0783,0.0777,0.0778,766714.0
0.0777,0.0785,0.0776,0.0784,810484.0
0.0784,0.0786,0.0777,0.0778,1176257.0
0.0778,0.0778,0.0747,0.0753,4607927.0
0.0753,0.0753,0.0734,0.0736,4162315.0
0.0736,0.0741,0.0721,0.0722,4118614.0
0.0722,0.0733,0.0706,0.0728,7480714.0
0.0728,0.0748,0.0719,0.0745,4636653.0
0.0744,0.0766,0.0737,0.0756,3491838.0
0.0756,0.0764,0.0745,0.0751,2517355.0
0.0752,0.0756,0.0744,0.075,1828065.0
0.075,0.0758,0.0746,0.0748,1419795.0
0.0748,0.0749,0.0735,0.0737,1928481.0
0.0737,0.0746,0.0701,0.0711,8399527.0
0.0711,0.0713,0.0628,0.0659,30294405.0
0.0659,0.0665,0.0641,0.0664,13246181.0
0.0664,0.0664,0.0643,0.0646,7555868.0
