open,high,low,close,volume
0.2321,0.2331,0.2316,0.2324,262540.8
0.2322,0.2326,0.2309,0.2314,442002.5
0.2314,0.2353,0.231,0.2338,498119.1
0.2338,0.2343,0.232,0.2331,299726.9
0.2329,0.2347,0.2321,0.2321,297257.6
0.2322,0.2333,0.2233,0.2237,1724177.7
0.2237,0.2261,0.2193,0.2234,2056798.7
0.2235,0.2237,0.2158,0.2163,1740815.0
0.2164,0.22,0.216,0.2175,1131211.5
0.2177,0.2189,0.2147,0.2151,1340648.0
0.2153,0.2183,0.2142,0.216,902686.8
0.2161,0.2206,0.2159,0.2202,585019.2
0.2204,0.2207,0.218,0.2191,353214.2
0.2191,0.2203,0.2181,0.2189,253096.5
0.219,0.22,0.2171,0.2192,521422.7
0.2193,0.22,0.2176,0.2192,208895.9
0.2192,0.2228,0.2192,0.2214,497568.1
0.2214,0.2216,0.22,0.2205,246766.9
0.2206,0.2215,0.2198,0.22,239140.9
0.2202,0.2224,0.2201,0.222,191926.0
0.2219,0.2227,0.2208,0.2211,407603.4
0.2211,0.2215,0.2185,0.2189,322263.2
0.219,0.221,0.2172,0.2203,365730.1
0.2204,0.2211,0.22,0.2204,165217.3
0.2204,0.221,0.2191,0.2207,197402.5
0.2207,0.2216,0.22,0.2205,172493.6
0.2205,0.2211,0.2194,0.2209,205987.1
0.2207,0.221,0.219,0.2193,220998.6
0.2192,0.2199,0.2115,0.2122,2154664.1
0.2123,0.2123,0.2072,0.2074,1108729.9
0.2074,0.2077,0.2028,0.2032,2024584.4
0.2031,0.2038,0.1986,0.2027,2125028.9
0.2028,0.2077,0.2012,0.2073,1421606.0
0.2074,0.2118,0.2056,0.2104,1076504.3
0.2106,0.2126,0.2089,0.2106,305074.1
0.2105,0.211,0.2086,0.21,284746.3
0.21,0.2131,0.2094,0.2106,356290.3
0.2107,0.2108,0.206,0.2066,634145.3
0.207,0.2079,0.1931,0.196,2335776.6
0.1958,0.1966,0.1715,0.1871,6527777.8
0.1871,0.1887,0.1819,0.1862,3241601.8
0.1862,0.1867,0.1813,0.1829,2004522.3
0.1829,0.1859,0.1814,0.1839,1763367.0
0.1839,0.186,0.1776,0.1827,2363196.0
0.1825,0.1839,0.1678,0.1811,3760109.4
0.1811,0.1894,0.1792,0.1893,1773103.2
0.1894,0.2149,0.1854,0.212,10145257.6
0.2118,0.2124,0.1961,0.2012,9976183.8
0.2012,0.2098,0.1968,0.2038,12951389.2
0.204,0.2075,0.196,0.204,8776105.4
0.204,0.208,0.1957,0.1961,6554132.8
0.196,0.21,0.1919,0.2061,11310728.0
0.2059,0.2198,0.2033,0.2154,10515645.6
0.2154,0.217,0.2087,0.21,5764186.9
0.21,0.2143,0.2077,0.2116,2902606.7
0.2116,0.2176,0.2115,0.212,2775320.5
0.212,0.2135,0.2086,0.2091,2176351.5
0.2092,0.212,0.2071,0.2098,2038879.7
0.2097,0.2113,0.2056,0.2083,1275886.7
0.2082,0.2106,0.2066,0.2082,871473.3
0.2084,0.2123,0.2075,0.2109,870461.2
0.2109,0.2137,0.2094,0.2104,956268.6
0.2103,0.2234,0.2102,0.2201,3298617.9
0.2201,0.2266,0.2186,0.223,3019647.0
0.223,0.2254,0.222,0.2229,1396946.6
0.223,0.2253,0.2203,0.2227,1439252.5
0.2226,0.226,0.2213,0.222,1926878.4
0.2218,0.2248,0.2214,0.2239,1703505.6
0.2238,0.2257,0.2205,0.2223,1601824.9
0.2222,0.2265,0.2218,0.2237,1403965.0
0.2238,0.2239,0.2157,0.2173,2498507.5
0.2172,0.2175,0.2121,0.2166,3423682.0
0.2167,0.2206,0.2166,0.2204,2093726.2
0.2204,0.2206,0.2152,0.2167,1362293.1
0.2165,0.2196,0.2152,0.2176,957977.7
0.2176,0.2207,0.2153,0.22,1146968.5
0.2198,0.2249,0.219,0.2231,1645786.2
0.223,0.2266,0.2218,0.2243,1765501.1
0.2243,0.2277,0.2224,0.226,1660562.5
0.226,0.2299,0.2251,0.2269,1173769.6
0.2267,0.2297,0.2261,0.2262,719674.2
0.226,0.2283,0.225,0.2264,659256.6
0.2263,0.229,0.2248,0.2265,653521.0
0.2265,0.2298,0.2249,0.2296,387962.4
0.2295,0.2315,0.2253,0.2285,1019504.2
0.2285,0.2303,0.2266,0.2293,626578.7
0.2292,0.2317,0.2269,0.2299,1252869.7
0.2299,0.2373,0.2289,0.2342,2760694.2
0.2343,0.2429,0.2341,0.239,2240526.2
0.2392,0.2436,0.2379,0.2425,1306092.3
0.2423,0.2486,0.2414,0.2459,1484078.2
0.2457,0.2558,0.2455,0.2531,3558343.4
0.253,0.2532,0.2461,0.2479,2800186.7
0.2479,0.2497,0.245,0.2474,1644887.9
0.2476,0.2504,0.2448,0.2478,2041601.1
0.248,0.2506,0.245,0.2457,3347161.2
0.2459,0.251,0.2452,0.2487,1872016.3
0.2486,0.2492,0.2385,0.2399,4891862.2
0.24,0.2422,0.2363,0.2374,2905516.8
0.2374,0.2428,0.2352,0.2372,2741526.9
0.2373,0.2386,0.2264,0.2282,5778246.0
0.2282,0.2315,0.2261,0.2285,2758731.8
0.2287,0.2305,0.2235,0.2265,2321504.9
0.2266,0.2287,0.2232,0.2272,1528111.7
0.2274,0.228,0.2191,0.2206,2145142.1
0.2206,0.2234,0.2198,0.2221,1333530.7
0.2219,0.2259,0.221,0.224,1255909.8
0.2242,0.2257,0.2223,0.2244,978024.1
0.2244,0.225,0.2199,0.2229,619337.8
0.2229,0.2232,0.2205,0.2214,446911.0
0.2215,0.2217,0.2158,0.2199,1356927.7
0.2199,0.2244,0.2188,0.2223,1212804.7
0.2223,0.2299,0.2211,0.229,1858314.1
0.2289,0.2317,0.228,0.2294,1174402.4
0.2292,0.237,0.2291,0.2321,2731713.7
0.2321,0.2355,0.2314,0.2342,1174423.5
0.2342,0.2359,0.2318,0.2323,1247778.4
0.2324,0.2342,0.2312,0.2322,1004098.3
0.2325,0.2338,0.2313,0.2321,629969.5
0.2321,0.2364,0.2308,0.2333,1883920.9
0.2335,0.2345,0.2316,0.2323,819971.7
0.2323,0.2336,0.2314,0.2328,541316.1
0.2328,0.237,0.2311,0.2337,1624876.0
0.2335,0.2343,0.2317,0.2336,714236.6
0.2338,0.2374,0.233,0.2369,677494.2
0.2369,0.2414,0.2368,0.2401,1649159.6
0.2401,0.242,0.2393,0.2399,1270647.3
0.2401,0.2403,0.2361,0.2367,615724.4
0.2367,0.2379,0.2352,0.2356,410697.0
0.2356,0.2378,0.2356,0.2363,490637.9
0.2364,0.2373,0.2362,0.2366,272698.6
0.2368,0.2396,0.236,0.2395,605761.6
0.2396,0.2419,0.2375,0.2415,986496.3
0.2415,0.2424,0.2387,0.239,873124.4
0.2391,0.2404,0.2369,0.2383,946895.4
0.2383,0.2402,0.2371,0.2387,649987.8
0.2387,0.2398,0.2364,0.237,682679.6
0.237,0.2385,0.2365,0.2377,233696.5
0.2376,0.2383,0.2347,0.2353,707756.1
0.2351,0.2385,0.2346,0.2384,503206.8
0.2382,0.2401,0.2372,0.2398,501634.6
0.2396,0.2418,0.2388,0.2399,877968.6
0.2397,0.2439,0.239,0.2434,857173.4
0.2434,0.2437,0.2416,0.2421,515374.1
0.242,0.2423,0.2396,0.2407,1082867.3
0.2405,0.2414,0.2398,0.2409,400680.5
0.2407,0.2412,0.2365,0.2381,878563.5
0.2381,0.2393,0.2348,0.2373,897462.1
0.2373,0.239,0.2316,0.2352,1373685.6
0.2354,0.2358,0.2336,0.2337,353682.0
0.2337,0.2354,0.232,0.234,697346.0
0.2339,0.236,0.2337,0.2342,187386.6
0.2342,0.2344,0.2325,0.2344,201157.3
0.2342,0.2351,0.2328,0.2338,404376.2
0.2338,0.2346,0.2331,0.2338,157136.6
0.234,0.2351,0.2319,0.2346,522478.8
0.2348,0.2353,0.2325,0.2335,271675.8
0.2333,0.2353,0.2324,0.2351,426166.8
0.2351,0.2374,0.233,0.2331,591789.9
0.2331,0.2351,0.2323,0.234,383007.6
0.234,0.2353,0.2336,0.2338,124449.1
0.2337,0.2344,0.2333,0.2339,124833.2
0.2339,0.2341,0.2321,0.2332,139128.0
0.2329,0.2335,0.232,0.2328,135536.6
0.233,0.2339,0.2323,0.2326,209882.7
0.2328,0.2342,0.2328,0.2339,171073.6
0.2339,0.235,0.2326,0.2329,385529.1
0.2329,0.2344,0.2324,0.234,250674.3
0.234,0.2349,0.2331,0.2341,340163.6
0.234,0.2353,0.2338,0.2351,202279.3
0.2351,0.2353,0.2332,0.234,268382.0
0.234,0.234,0.2318,0.2326,870904.0
0.2326,0.2339,0.232,0.2335,342367.3
0.2334,0.2345,0.2329,0.2336,205329.9
0.2337,0.2361,0.2334,0.2344,431100.3
0.2344,0.235,0.2333,0.2343,186268.5
0.2345,0.2367,0.2344,0.2347,320570.4
0.2346,0.2351,0.2338,0.2344,214189.7
0.2343,0.2356,0.2341,0.2347,181915.0
0.2347,0.2364,0.2346,0.2358,341974.5
0.2358,0.2363,0.2344,0.2346,200721.0
0.2346,0.2351,0.2336,0.2351,226568.8
0.2349,0.2367,0.2342,0.2365,291484.4
0.2365,0.2376,0.2354,0.237,184058.3
0.2369,0.237,0.2358,0.2368,210888.5
0.2368,0.2389,0.2364,0.2374,318905.8
0.2374,0.2385,0.2368,0.2373,305559.3
0.2375,0.2378,0.2364,0.2373,214707.7
0.2374,0.2384,0.2363,0.2376,399969.5
0.2376,0.2391,0.2376,0.2388,151032.3
0.2388,0.2414,0.2368,0.2401,617911.4
0.2402,0.2429,0.239,0.2394,511103.2
0.2394,0.2403,0.2382,0.2383,287566.9
0.2385,0.2388,0.2359,0.2366,527152.5
0.2365,0.2373,0.2332,0.2353,464285.2
0.235,0.235,0.23,0.2323,1078863.6
0.2323,0.2327,0.229,0.23,786597.1
0.23,0.2305,0.2275,0.2288,592195.2
0.2287,0.23,0.2275,0.2298,307392.5
0.2296,0.2301,0.228,0.2286,164070.9
0.2286,0.2291,0.2266,0.2279,251841.1
0.2278,0.2279,0.2221,0.2234,746402.1
0.2233,0.2236,0.2191,0.2201,1040525.5
0.2201,0.2213,0.2192,0.2202,469367.0
0.2202,0.2212,0.2166,0.2198,709807.8
0.2199,0.2202,0.2178,0.219,412899.2
0.219,0.222,0.2186,0.2216,487593.0
0.2216,0.2247,0.2214,0.2243,430474.5
0.2243,0.2244,0.2223,0.2239,439720.0
0.2238,0.2238,0.2207,0.2211,458337.6
0.2209,0.2226,0.2208,0.2215,244439.0
0.2215,0.2223,0.2212,0.2222,141046.3
0.2222,0.2224,0.2196,0.2204,158031.9
0.2203,0.2221,0.2172,0.2216,790067.7
0.2216,0.2246,0.2195,0.2206,859948.1
0.2205,0.2206,0.2187,0.2204,662142.1
0.2202,0.2232,0.22,0.2232,752758.3
0.2231,0.2286,0.2231,0.2276,782674.9
0.2276,0.2309,0.2275,0.2302,975288.6
0.2305,0.2322,0.2222,0.2243,1283656.3
0.2243,0.2316,0.2189,0.2307,1805255.8
0.2307,0.2322,0.2275,0.2313,925886.2
0.2315,0.2335,0.2307,0.2324,742431.6
0.2326,0.2426,0.2325,0.2412,1906314.9
0.2412,0.2441,0.2349,0.2384,4605787.7
0.2385,0.2438,0.2326,0.234,2542036.6
0.2339,0.2392,0.2325,0.2369,1420430.0
0.237,0.2378,0.2317,0.2351,1147174.3
0.2352,0.2357,0.2333,0.2344,269179.6
0.2342,0.2393,0.2338,0.2386,455608.0
0.2385,0.24,0.2345,0.2354,606338.1
0.2355,0.2388,0.2343,0.2388,377375.3
0.2387,0.2387,0.2351,0.2373,280606.9
0.2373,0.2381,0.2318,0.2329,1217188.2
0.2328,0.2353,0.2304,0.2346,550651.1
0.2348,0.2367,0.2344,0.2351,442448.8
0.2353,0.2362,0.2335,0.2339,258279.9
0.2339,0.235,0.2322,0.2336,402263.3
0.2337,0.2344,0.2316,0.2323,623794.2
0.2322,0.2334,0.2293,0.2299,1615163.5
0.23,0.2326,0.2294,0.2303,805443.3
0.2304,0.2307,0.2279,0.2287,1001693.4
0.2289,0.2329,0.2288,0.2315,732587.3
0.2314,0.2329,0.2282,0.2324,770625.6
0.2324,0.2335,0.2284,0.2299,664989.1
0.2299,0.2306,0.2281,0.2286,230725.1
0.2289,0.2341,0.2286,0.2335,676496.7
0.2337,0.236,0.2335,0.2347,648673.4
0.2347,0.2348,0.2316,0.2321,480046.6
0.2321,0.234,0.2307,0.233,611517.6
0.233,0.2337,0.2318,0.2329,359314.2
0.233,0.2349,0.233,0.2349,308981.7
0.2348,0.2353,0.2329,0.2331,502927.8
0.2331,0.2342,0.2322,0.2328,278493.1
0.2328,0.2335,0.2313,0.2334,316054.1
0.2335,0.234,0.2288,0.2293,548491.0
0.2293,0.2307,0.229,0.2302,355113.6
0.2302,0.2314,0.2297,0.2302,221740.2
0.2302,0.2326,0.2296,0.2296,1371724.0
0.2298,0.2316,0.2292,0.2302,454205.9
0.2302,0.2322,0.229,0.2307,290413.7
