open,high,low,close,volume
0.7858,0.7868,0.7776,0.7829,2951520.0
0.7829,0.7906,0.7807,0.788,2843926.4
0.788,0.7994,0.787,0.7959,4746021.9
0.7959,0.7979,0.789,0.7947,2868881.7
0.7947,0.8017,0.7944,0.7966,3656320.8
0.7966,0.7997,0.7637,0.7664,12508221.5
0.7664,0.772,0.75,0.7575,19287009.0
0.7576,0.76,0.731,0.7337,15584314.3
0.7336,0.739,0.7249,0.7311,10518963.2
0.7313,0.7365,0.7226,0.7262,9326068.1
0.7262,0.7406,0.723,0.7298,5788112.4
0.7299,0.7379,0.7268,0.7298,6189968.7
0.7299,0.7362,0.7251,0.7313,5246647.1
0.7314,0.7354,0.7253,0.7334,3923473.2
0.7333,0.7456,0.7277,0.7446,6552975.5
0.7446,0.7461,0.7329,0.7439,5698256.0
0.7439,0.7591,0.7433,0.7574,6075685.5
0.7575,0.7581,0.7472,0.7478,3736002.9
0.7479,0.7516,0.7339,0.7358,4270953.6
0.7357,0.7459,0.7342,0.7417,3475820.5
0.7417,0.7456,0.7384,0.7438,2085222.0
0.7439,0.7445,0.7237,0.7249,5570195.4
0.7246,0.7307,0.7127,0.7256,8762696.3
0.7257,0.7313,0.7234,0.7267,3171674.3
0.7265,0.7329,0.7191,0.7323,4725782.1
0.7323,0.7381,0.7278,0.7328,4886576.8
0.7327,0.7384,0.7289,0.7379,2506788.2
0.7379,0.7386,0.7302,0.7304,2397957.1
0.7303,0.7317,0.6966,0.6991,21618517.6
0.6991,0.6995,0.6777,0.6803,20730345.8
0.6803,0.6931,0.6638,0.6663,24450299.7
0.6663,0.6724,0.649,0.6648,30934091.0
0.6647,0.6878,0.663,0.6873,14843600.3
0.6874,0.7127,0.6852,0.7074,15179507.0
0.7073,0.7197,0.7026,0.7103,8540988.7
0.7103,0.7136,0.6994,0.7018,5589437.5
0.7018,0.7121,0.6995,0.7011,6595932.4
0.701,0.701,0.6816,0.6839,11149150.7
0.6838,0.6891,0.6299,0.6412,32344190.1
0.6411,0.6452,0.5627,0.6239,91701307.5
0.624,0.6476,0.6115,0.6462,47273183.1
0.6461,0.6494,0.6221,0.6239,27402969.4
0.6239,0.6337,0.606,0.6085,20995267.3
0.6083,0.6132,0.581,0.5884,39564426.1
0.5885,0.5948,0.53,0.5627,69488137.1
0.5627,0.599,0.559,0.584,38131976.7
0.5841,0.5869,0.5636,0.5705,25425326.6
0.5706,0.5757,0.5508,0.5602,17378125.0
0.5601,0.5603,0.5257,0.5319,24953228.1
0.5319,0.5328,0.5074,0.5287,34327568.3
0.5286,0.5357,0.5011,0.5108,38292833.0
0.5107,0.5767,0.5073,0.5738,48903980.9
