open,high,low,close,volume
0.1731,0.1731,0.1723,0.1726,848213.9
0.1725,0.1726,0.1713,0.1715,2484793.8
0.1715,0.1734,0.1713,0.1725,1089107.3
0.1726,0.1726,0.171,0.1716,709943.0
0.1716,0.173,0.1714,0.1716,1174497.4
0.1716,0.1718,0.167,0.1672,2563507.8
0.1671,0.1681,0.1641,0.166,5410712.8
0.1659,0.166,0.1624,0.1632,4127445.0
0.1632,0.1635,0.1607,0.1615,2570566.4
0.1616,0.1627,0.1598,0.16,1915048.8
0.1601,0.1618,0.1594,0.1599,2115365.7
0.16,0.1625,0.1594,0.1622,2198011.6
0.1622,0.1632,0.1612,0.1618,1986239.4
0.1619,0.1636,0.1613,0.1623,1378481.3
0.1624,0.1643,0.1617,0.1641,1629370.7
0.1642,0.1644,0.1618,0.1634,1312300.0
0.1634,0.1663,0.1633,0.1651,1603394.7
0.1652,0.1661,0.1647,0.1653,833019.4
0.1654,0.1663,0.1647,0.1649,609798.6
0.1648,0.1662,0.1645,0.1659,602803.7
0.1659,0.167,0.1657,0.1666,661339.2
0.1667,0.1668,0.1644,0.1645,1149836.4
0.1645,0.166,0.1633,0.1653,1412597.5
0.1653,0.1657,0.1646,0.1646,1003047.8
0.1646,0.165,0.1636,0.1649,577369.5
0.165,0.1654,0.1641,0.1645,477402.8
0.1645,0.1659,0.1642,0.1657,572638.3
0.1657,0.1661,0.1642,0.1642,617602.0
0.1641,0.1643,0.1568,0.1575,6579075.7
0.1575,0.1575,0.1544,0.1547,4041633.9
0.1548,0.1553,0.1511,0.1515,5161967.0
0.1515,0.1527,0.148,0.1521,6856889.4
0.1521,0.1547,0.15,0.1543,3645071.4
0.1543,0.1575,0.1534,0.1563,4065594.0
0.1562,0.1585,0.1552,0.1562,2398147.1
0.1562,0.1565,0.1549,0.1551,1429676.7
0.1552,0.1572,0.1547,0.1554,3378222.5
0.1553,0.1554,0.1523,0.1529,1909624.2
0.153,0.1547,0.1447,0.1473,11499305.9
0.1473,0.1477,0.129,0.1402,36255910.1
0.1403,0.1419,0.1362,0.1417,12960969.1
0.1416,0.1418,0.1387,0.1397,6698066.4
0.1397,0.1421,0.1392,0.1402,5638944.5
0.1403,0.1422,0.1351,0.1396,14476499.2
0.1396,0.1404,0.127,0.1359,35570566.7
0.1358,0.1424,0.1351,0.1411,12595134.3
0.1412,0.1413,0.1369,0.1382,8505051.9
0.1382,0.1398,0.1361,0.1385,6188190.4
0.1385,0.1389,0.133,0.1341,9831313.5
0.1341,0.1356,0.1301,0.1355,12797416.1
0.1354,0.1367,0.1309,0.1321,15666869.3
0.1321,0.1418,0.1302,0.1412,22153719.4
0.1412,0.1467,0.1412,0.1452,17316819.3
