open,high,low,close,volume
2.9674,2.9737,2.9488,2.9617,242979.0
2.9618,2.99,2.9509,2.9813,280262.0
2.9813,3.0183,2.9803,2.9985,521797.0
2.9985,3.0012,2.9615,2.9768,332665.0
2.9765,3.0006,2.9685,2.9724,363533.0
2.9728,2.9953,2.8474,2.8516,1253147.0
2.8513,2.8668,2.7785,2.8161,1653129.0
2.8148,2.8201,2.7077,2.7148,1223718.0
2.7157,2.7251,2.6571,2.6812,1146949.0
2.6812,2.7046,2.6544,2.6569,700417.0
2.656,2.7139,2.6413,2.6804,807399.0
2.6803,2.735,2.6653,2.7227,601980.0
2.7228,2.7337,2.6965,2.6979,294689.0
2.6983,2.7217,2.6814,2.6946,419556.0
2.6942,2.7391,2.6859,2.7379,466473.0
2.738,2.7421,2.6838,2.7238,506254.0
2.723,2.7891,2.7169,2.7586,673584.0
2.758,2.7678,2.7421,2.7631,293152.0
2.763,2.8136,2.7627,2.7653,737937.0
2.7656,2.7841,2.7591,2.7697,249279.0
2.7694,2.7853,2.7586,2.7766,250947.0
2.7769,2.8009,2.7411,2.7452,682447.0
2.7454,2.803,2.7224,2.7894,586954.0
2.7898,2.8085,2.779,2.7995,362536.0
2.7994,2.8192,2.7669,2.8173,470103.0
2.818,2.8282,2.794,2.8125,445291.0
2.8123,2.8464,2.8009,2.8346,611751.0
2.8346,2.8437,2.7972,2.7993,561107.0
2.7991,2.8071,2.6855,2.7038,1578851.0
2.7038,2.7053,2.5794,2.5888,2113701.0
2.5891,2.6048,2.4821,2.4854,1893567.0
2.4851,2.4861,2.361,2.4293,3803351.0
2.4294,2.5206,2.389,2.5149,2109664.0
2.5143,2.607,2.4864,2.5817,1530487.0
2.5816,2.6255,2.5255,2.5516,1015828.0
2.552,2.5581,2.5218,2.5268,486300.0
2.527,2.5826,2.5173,2.529,852000.0
2.5286,2.5296,2.4321,2.4409,1258258.0
2.4412,2.4949,2.3326,2.3861,3743068.0
2.3847,2.3904,1.9571,2.1707,10402349.0
2.1697,2.181,2.075,2.1624,3564890.0
2.1627,2.1642,2.0782,2.0831,2044111.0
2.0833,2.1399,2.0552,2.092,2315760.0
2.0922,2.0966,1.9967,2.044,3103227.0
2.0442,2.0551,1.7891,1.9376,7480825.0
1.9375,2.0718,1.9194,2.0474,3180405.0
2.0475,2.0521,1.9787,2.007,2378906.0
2.0076,2.0175,1.9288,1.9748,1786055.0
1.9751,1.9769,1.8811,1.9084,2749495.0
1.9084,1.917,1.834,1.9143,3155627.0
1.9139,1.9394,1.8559,1.9099,2892099.0
1.9098,2.0978,1.8582,2.095,4641856.0
2.0955,2.2052,2.0917,2.1722,4636963.0
2.1719,2.2903,2.1412,2.2737,2829892.0
2.2733,2.3629,2.25,2.2662,2603842.0
2.267,2.3256,2.249,2.2934,1290700.0
2.2941,2.2996,2.1596,2.1657,2937382.0
2.1657,2.2385,2.1648,2.2149,1748213.0
2.2144,2.252,2.196,2.2223,1062148.0
2.2222,2.2564,2.1971,2.2133,1089103.0
2.2133,2.248,2.1957,2.2321,721690.0
2.2325,2.2628,2.1951,2.1971,859892.0
2.1975,2.3694,2.1867,2.3476,3145038.0
2.3474,2.3747,2.268,2.2812,2344583.0
2.2814,2.3023,2.2552,2.2856,1015238.0
2.2855,2.3034,2.2563,2.2951,869784.0
2.295,2.3402,2.2789,2.3368,695458.0
2.3366,2.3737,2.3207,2.3737,1308292.0
2.3734,2.7312,2.3212,2.6506,20179229.0
2.6507,2.7239,2.589,2.7213,11104958.0
2.7217,2.7644,2.6245,2.6632,16116391.0
2.6632,2.908,2.596,2.7579,31921514.0
2.7578,2.7867,2.7078,2.7591,8639293.0
2.7589,2.7875,2.7058,2.758,7039719.0
2.7572,2.838,2.7106,2.7313,12706919.0
2.731,2.7607,2.6573,2.6855,12796844.0
2.6855,2.75,2.6808,2.7235,6300805.0
2.7235,2.7402,2.6682,2.7184,4198168.0
2.7185,2.7471,2.6865,2.7266,4607440.0
2.7268,2.776,2.7147,2.7216,4057312.0
2.7217,2.8083,2.7195,2.7842,3065617.0
2.7843,2.7882,2.7385,2.747,1885508.0
2.7474,2.7874,2.7261,2.7807,2526371.0
2.7807,2.8308,2.7638,2.8217,3233436.0
2.8215,2.8227,2.7467,2.7588,2864821.0
2.7584,2.7638,2.7135,2.7317,1834499.0
2.7317,2.7328,2.6285,2.6656,4611284.0
2.6658,2.7194,2.6202,2.7081,2817493.0
2.7081,2.7185,2.6591,2.6694,2426160.0
2.6693,2.7,2.6499,2.6677,1873022.0
2.6678,2.7337,2.6628,2.6982,2217959.0
2.6984,2.7341,2.682,2.6879,2507083.0
2.6874,2.7098,2.66,2.6742,2474090.0
2.6741,2.6982,2.6616,2.6815,1512951.0
2.6821,2.6974,2.6585,2.6878,2005336.0
2.688,2.7096,2.6653,2.6939,2261796.0
2.694,2.7189,2.6716,2.6738,2027386.0
2.6744,2.6797,2.6343,2.645,2363788.0
2.6452,2.6655,2.63,2.6541,2467447.0
2.6542,2.6661,2.56,2.5834,5304172.0
2.5833,2.5899,2.4788,2.5058,6000086.0
2.5058,2.5888,2.4959,2.5784,3776618.0
2.5786,2.5922,2.512,2.5246,2427737.0
2.5243,2.531,2.4868,2.5068,1922624.0
2.5069,2.514,2.462,2.4726,2471351.0
2.4726,2.4982,2.4634,2.4851,1262405.0
2.4849,2.5005,2.4202,2.4709,2910910.0
2.471,2.5414,2.4473,2.485,2123429.0
2.485,2.4922,2.4241,2.4889,1993733.0
2.4889,2.5023,2.4642,2.4844,1603369.0
2.4843,2.493,2.4053,2.4623,3392862.0
2.4628,2.5699,2.46,2.5662,3758986.0
2.5666,2.6164,2.5639,2.5955,2209030.0
2.5955,2.6066,2.5506,2.5518,1189717.0
2.5519,2.5873,2.5425,2.5543,1465011.0
2.5543,2.591,2.54,2.5716,1282855.0
2.5716,2.5736,2.5484,2.5584,1084319.0
2.5585,2.5656,2.5199,2.5222,1043147.0
2.5228,2.5462,2.4985,2.5402,1207429.0
2.5407,2.57,2.5245,2.5463,1124048.0
2.5465,2.5645,2.5365,2.5518,750477.0
2.5516,2.562,2.5361,2.5445,741796.0
2.5446,2.6261,2.5285,2.5773,2468017.0
2.5773,2.5872,2.5016,2.5277,1771687.0
2.5279,2.6013,2.5216,2.5934,1883391.0
2.5934,2.619,2.5766,2.6108,1956353.0
2.6106,2.7176,2.6015,2.715,3600730.0
2.715,2.7281,2.6683,2.6961,1847037.0
2.6961,2.7311,2.6961,2.7275,1050647.0
2.7273,2.7293,2.6928,2.7083,1146277.0
2.7083,2.7167,2.6833,2.6846,590238.0
2.6849,2.7787,2.681,2.7689,1062050.0
2.7697,2.7959,2.737,2.7792,1822540.0
2.7797,2.81,2.7627,2.7726,2284595.0
2.7726,2.7862,2.7325,2.7471,1988320.0
2.7471,2.7583,2.7227,2.7528,1001488.0
2.7532,2.762,2.7347,2.7355,565173.0
2.7355,2.7774,2.7315,2.7716,749564.0
2.7716,2.7744,2.6855,2.687,1627607.0
2.687,2.7056,2.6733,2.7014,672197.0
2.7015,2.7229,2.694,2.7118,765027.0
2.7118,2.7406,2.7062,2.7121,556352.0
2.7123,2.7323,2.7054,2.72,518816.0
2.7201,2.7338,2.675,2.679,840486.0
2.6789,2.7034,2.6573,2.6777,1177534.0
2.6778,2.6845,2.6579,2.6755,561656.0
2.6755,2.6785,2.6498,2.6653,725873.0
2.6652,2.6823,2.6158,2.6559,1287067.0
2.6561,2.7116,2.6077,2.652,1919550.0
2.6518,2.6707,2.6088,2.6155,899137.0
2.6153,2.6568,2.6109,2.6415,790349.0
2.6416,2.663,2.6375,2.648,549176.0
2.6483,2.6619,2.6363,2.6541,627555.0
2.6539,2.658,2.6362,2.6484,300188.0
2.6489,2.6566,2.6172,2.6242,968413.0
2.624,2.652,2.6029,2.6478,738749.0
2.6478,2.6875,2.6452,2.6634,1230612.0
2.6635,2.682,2.6441,2.6782,584569.0
2.6781,2.7198,2.6222,2.6443,1575752.0
2.6441,2.6635,2.6363,2.6464,735259.0
2.6464,2.6615,2.6405,2.6452,892561.0
2.6453,2.6457,2.6155,2.6207,788832.0
2.6207,2.6207,2.5804,2.5919,839583.0
2.5917,2.5988,2.5822,2.586,537571.0
2.586,2.6104,2.5789,2.6094,725998.0
2.6094,2.6208,2.5929,2.6001,665550.0
2.6001,2.6022,2.5786,2.5798,627445.0
2.5798,2.6219,2.5793,2.5954,890111.0
2.5956,2.6223,2.5872,2.6127,618070.0
2.6127,2.6256,2.6093,2.6215,368323.0
2.6215,2.6232,2.5884,2.5922,520005.0
2.5918,2.6064,2.5718,2.5749,731605.0
2.5747,2.5829,2.5617,2.5784,802454.0
2.5784,2.5987,2.5655,2.5666,624439.0
2.5666,2.5766,2.5558,2.5726,602706.0
2.5725,2.5854,2.5598,2.5771,586266.0
2.5776,2.5964,2.5654,2.569,727298.0
2.569,2.5917,2.5641,2.5867,400933.0
2.5866,2.5962,2.5677,2.5848,427309.0
2.5847,2.6161,2.5845,2.6099,611666.0
2.6098,2.6183,2.5926,2.6019,449724.0
2.6018,2.6054,2.5874,2.5931,450878.0
2.5931,2.6259,2.5851,2.6177,812042.0
2.6178,2.6376,2.6049,2.6357,515660.0
2.6358,2.6471,2.6165,2.6266,461823.0
2.6269,2.6847,2.6242,2.6458,867465.0
2.6459,2.6515,2.6206,2.6408,535488.0
2.6408,2.698,2.6373,2.6863,1240939.0
2.6863,2.7419,2.6725,2.7214,1254235.0
2.7219,2.85,2.7209,2.844,3305537.0
2.844,2.8859,2.7952,2.816,4313976.0
2.8161,2.8888,2.8107,2.8429,3203934.0
2.843,2.8788,2.8228,2.8475,1832418.0
2.8472,2.8648,2.78,2.79,3356915.0
2.79,2.7949,2.6966,2.7089,3576714.0
2.7091,2.7163,2.6769,2.6939,1917813.0
2.6938,2.723,2.653,2.6668,1981523.0
2.667,2.6771,2.6317,2.6479,1951427.0
2.648,2.6554,2.6303,2.6339,1106812.0
2.6341,2.6575,2.6135,2.6385,1062145.0
2.638,2.6614,2.627,2.6503,1129838.0
2.6505,2.652,2.5655,2.5677,2217757.0
2.5677,2.5738,2.5251,2.5484,2771410.0
2.5484,2.5542,2.5231,2.5426,1059683.0
2.5425,2.5487,2.4933,2.5169,1542336.0
