open,high,low,close,volume
0.1554,0.1557,0.1533,0.1536,2664065.0
0.1536,0.1545,0.153,0.1538,3570959.0
0.1538,0.1564,0.1537,0.1552,5671677.0
0.1553,0.1561,0.1539,0.1545,3382157.0
0.1545,0.156,0.1535,0.1539,4227466.0
0.154,0.1548,0.1483,0.1486,8545743.0
0.1485,0.1495,0.1441,0.1459,19468730.0
0.1459,0.1461,0.1412,0.1417,14124281.0
0.1418,0.1424,0.1383,0.1395,12848033.0
0.1395,0.1407,0.1379,0.138,6729649.0
0.138,0.1414,0.1371,0.1392,7985356.0
0.1392,0.1425,0.1386,0.1419,4822732.0
0.142,0.1424,0.1401,0.1405,2730341.0
0.1406,0.1423,0.1396,0.1415,4086398.0
0.1415,0.1441,0.1409,0.144,4307953.0
0.144,0.1441,0.1419,0.1433,2192429.0
0.1433,0.147,0.143,0.1464,2978953.0
0.1464,0.1465,0.1449,0.145,1549791.0
0.1451,0.1462,0.1441,0.1443,2131856.0
0.1442,0.145,0.1437,0.1447,2976463.0
0.1447,0.1453,0.144,0.1447,1902366.0
0.1447,0.1448,0.142,0.1424,3976754.0
0.1424,0.1444,0.1415,0.1439,3808805.0
0.1439,0.1445,0.1434,0.1437,1685115.0
0.1438,0.1443,0.1426,0.1443,1731051.0
0.1443,0.1444,0.1431,0.1435,2302543.0
0.1434,0.145,0.143,0.145,2549347.0
0.1449,0.1453,0.1434,0.1434,1630271.0
0.1434,0.1438,0.1375,0.1383,11522526.0
0.1383,0.1384,0.1339,0.1342,10931631.0
0.1343,0.1355,0.1296,0.1298,14998557.0
0.1298,0.1312,0.1263,0.1308,23738543.0
0.1309,0.1339,0.1287,0.1337,11608033.0
0.1336,0.1384,0.1322,0.137,8451091.0
0.137,0.1395,0.1359,0.1368,5474444.0
0.1367,0.1369,0.1346,0.135,4311627.0
0.1351,0.1375,0.1345,0.1353,5251607.0
0.1352,0.1352,0.1318,0.1324,4205574.0
0.1324,0.1342,0.1252,0.1269,25796615.0
0.1268,0.1274,0.1085,0.1157,105222405.0
0.1157,0.1162,0.1122,0.1155,33164579.0
0.1155,0.1158,0.1125,0.1136,20241829.0
0.1136,0.116,0.1121,0.1131,13286006.0
0.1131,0.1139,0.108,0.111,40275100.0
0.111,0.1118,0.1014,0.1076,93055981.0
0.1076,0.1161,0.1068,0.115,30348172.0
0.115,0.1159,0.1125,0.1139,19254179.0
0.1139,0.1151,0.1109,0.1134,18651049.0
0.1134,0.1137,0.1092,0.1103,18801065.0
0.1104,0.1107,0.1058,0.1106,29644849.0
0.1106,0.112,0.107,0.1083,30352939.0
0.1083,0.1158,0.1067,0.1154,41528428.0
0.1154,0.1222,0.1153,0.1211,32924547.0
0.121,0.1243,0.1198,0.1226,19062399.0
0.1226,0.1253,0.1203,0.1206,17618228.0
0.1206,0.1226,0.12,0.1208,9303534.0
0.1208,0.1209,0.1169,0.1172,11510161.0
0.1171,0.1197,0.1169,0.119,16117479.0
0.1189,0.1203,0.1182,0.1194,8082694.0
0.1193,0.1211,0.1181,0.1189,8685415.0
0.1189,0.1205,0.1182,0.12,5117707.0
0.1201,0.1213,0.1186,0.1189,5105507.0
0.1189,0.1265,0.1187,0.1265,13980678.0
0.1264,0.1313,0.1259,0.1268,18576170.0
0.1268,0.1279,0.1258,0.1271,6454184.0
0.127,0.1272,0.1253,0.1257,6636854.0
0.1257,0.1278,0.1251,0.1276,5543621.0
0.1276,0.1295,0.1267,0.1293,6551131.0
0.1293,0.1314,0.1289,0.1297,14131378.0
0.1297,0.1304,0.1276,0.1298,10388312.0
0.1297,0.13,0.1252,0.1265,9261587.0
0.1265,0.1268,0.1253,0.1267,6398533.0
0.1266,0.1271,0.1252,0.1262,3935252.0
0.1262,0.1271,0.1253,0.1261,4577565.0
0.1261,0.1278,0.1254,0.1261,8889902.0
0.1261,0.128,0.1246,0.127,12442040.0
0.1271,0.1328,0.1269,0.1306,14306895.0
0.1306,0.1318,0.1287,0.1308,7127833.0
0.1308,0.1324,0.1297,0.1313,6006972.0
0.1312,0.1319,0.129,0.129,4479963.0
0.129,0.131,0.1289,0.1298,5037391.0
0.1298,0.1306,0.1291,0.1296,3248981.0
0.1295,0.1304,0.1288,0.13,3797868.0
0.1301,0.1305,0.1292,0.1303,2092335.0
0.1303,0.1321,0.1291,0.1301,5527445.0
0.1302,0.131,0.1288,0.1299,2622227.0
0.1298,0.1313,0.1281,0.1302,6153340.0
0.1302,0.134,0.1287,0.1336,8719192.0
0.1335,0.1351,0.1316,0.1331,7877616.0
0.133,0.1348,0.1327,0.1347,4931109.0
0.1347,0.1375,0.1345,0.1358,5828277.0
0.1358,0.1368,0.1344,0.1346,4917419.0
0.1346,0.1354,0.1336,0.1347,4220166.0
0.1346,0.1351,0.133,0.1339,3075138.0
0.1338,0.1354,0.1335,0.1344,2955538.0
0.1343,0.1351,0.1332,0.1335,4488589.0
0.1334,0.1348,0.1327,0.1332,3744679.0
0.1331,0.1333,0.1312,0.1314,6405296.0
0.1315,0.1342,0.1315,0.1339,5731511.0
0.1339,0.1345,0.1319,0.1323,6870200.0
0.1323,0.1329,0.1265,0.1283,13918038.0
0.1284,0.1298,0.1274,0.1286,6163249.0
0.1285,0.1291,0.1272,0.1277,4726187.0
0.1277,0.1287,0.1259,0.1278,5393501.0
0.1278,0.1284,0.1253,0.126,6575042.0
0.126,0.1269,0.1253,0.1264,3582256.0
0.1265,0.1279,0.1241,0.1265,6647714.0
0.1266,0.1278,0.1256,0.1269,3248016.0
0.1269,0.1272,0.1245,0.1271,4956159.0
0.1271,0.128,0.1261,0.1267,2281579.0
0.1268,0.1279,0.1246,0.1268,6543783.0
0.1269,0.1323,0.1268,0.132,11577195.0
0.1319,0.1345,0.1319,0.1333,5948825.0
0.1333,0.1342,0.1315,0.1315,4074589.0
0.1314,0.1331,0.1307,0.1309,5007973.0
0.1308,0.1328,0.1308,0.1326,2929984.0
0.1326,0.1333,0.1318,0.1323,2444207.0
0.1323,0.1326,0.1309,0.131,2257542.0
0.1311,0.1322,0.1309,0.132,1673013.0
0.132,0.1326,0.131,0.1315,2815059.0
0.1316,0.1323,0.1307,0.132,2034571.0
0.132,0.1321,0.1312,0.1313,1456787.0
0.1313,0.1357,0.1307,0.1328,9018382.0
0.1329,0.1341,0.1304,0.1318,6284047.0
0.1317,0.135,0.1316,0.1349,5626163.0
0.1348,0.1357,0.1338,0.1349,5244646.0
0.1349,0.1368,0.1347,0.1362,8588290.0
0.1362,0.1368,0.1343,0.1345,3856288.0
0.1345,0.1351,0.134,0.1343,2401025.0
0.1343,0.1351,0.1335,0.1338,3209910.0
0.1339,0.1348,0.1338,0.1344,1966233.0
0.1344,0.1393,0.1342,0.1389,4075321.0
0.139,0.1424,0.1378,0.1417,8627956.0
0.1416,0.1427,0.1402,0.1419,7647100.0
0.1419,0.143,0.1395,0.1404,7204938.0
0.1404,0.1404,0.1391,0.1394,3385394.0
0.1393,0.1395,0.1383,0.1384,1768141.0
0.1384,0.1392,0.138,0.1387,1619843.0
0.1386,0.1391,0.1359,0.136,2830207.0
0.136,0.1373,0.1354,0.1373,3112279.0
0.1372,0.138,0.1367,0.1375,2901014.0
0.1375,0.1387,0.1372,0.1379,2725482.0
0.1379,0.1381,0.1364,0.1376,6433563.0
0.1376,0.1378,0.1351,0.1354,4824895.0
0.1354,0.1357,0.1336,0.1343,5530618.0
0.1343,0.1347,0.1337,0.1343,2752054.0
0.1343,0.135,0.133,0.134,4491547.0
0.1339,0.1349,0.1314,0.1334,7217081.0
0.1333,0.1354,0.1301,0.1326,12319720.0
0.1325,0.133,0.1306,0.1307,4854420.0
0.1306,0.1324,0.1301,0.1319,4069983.0
0.1319,0.1325,0.1311,0.1312,3442570.0
0.1312,0.1316,0.1298,0.1307,5232470.0
0.1306,0.1315,0.1299,0.1311,3624405.0
0.1311,0.132,0.1308,0.1314,3426563.0
0.1314,0.1319,0.1299,0.1317,4367451.0
0.1316,0.1327,0.1308,0.1319,5818725.0
0.1319,0.1329,0.1308,0.1324,5252690.0
0.1325,0.1351,0.1318,0.1321,8268479.0
0.132,0.1336,0.1317,0.1327,3413593.0
0.1327,0.1339,0.1325,0.1328,1814274.0
0.1327,0.1329,0.1316,0.1322,2306090.0
0.1322,0.1324,0.1309,0.1316,3411975.0
0.1317,0.1321,0.131,0.1314,2486656.0
0.1315,0.1335,0.1312,0.1333,3671358.0
0.1333,0.134,0.1323,0.1333,5328609.0
0.1334,0.1335,0.1321,0.1323,2667153.0
0.1322,0.1338,0.1322,0.1332,3540281.0
0.1333,0.135,0.1328,0.1344,5464196.0
0.1343,0.1354,0.134,0.1352,4222809.0
0.1351,0.1352,0.1332,0.1337,5290035.0
0.1337,0.1338,0.1323,0.1326,4187816.0
0.1325,0.1337,0.1322,0.1335,3717657.0
0.1335,0.1354,0.1332,0.1334,5758620.0
0.1335,0.1352,0.1328,0.1345,5832031.0
0.1344,0.1348,0.1335,0.1348,3097174.0
0.1348,0.1356,0.1342,0.1345,3903360.0
0.1346,0.135,0.134,0.1344,1404622.0
0.1345,0.1349,0.1339,0.1347,2412896.0
0.1348,0.1361,0.1347,0.1357,2150105.0
0.1357,0.1358,0.1348,0.1349,2336338.0
0.1349,0.135,0.1341,0.1349,2427104.0
0.1348,0.136,0.1343,0.1355,4044243.0
0.1354,0.1363,0.1349,0.136,2837419.0
0.136,0.1361,0.1349,0.1352,2850697.0
0.1352,0.1375,0.1352,0.1358,4742209.0
0.1359,0.1362,0.1349,0.1353,2585650.0
0.1354,0.1364,0.1349,0.136,3268714.0
0.1361,0.1361,0.1347,0.1353,2330277.0
0.1353,0.1361,0.1348,0.136,2639545.0
0.1359,0.1371,0.1352,0.1361,3192589.0
0.1362,0.138,0.1349,0.1356,6139788.0
0.1356,0.1358,0.1346,0.1347,4940183.0
0.1348,0.135,0.1325,0.1335,8270830.0
0.1335,0.134,0.1312,0.1322,7724456.0
0.1321,0.1323,0.1302,0.1312,6515828.0
0.1311,0.1315,0.1281,0.1288,8725575.0
0.1287,0.1291,0.1272,0.1279,8454908.0
0.1279,0.1287,0.1273,0.1281,4788366.0
0.1281,0.1286,0.1272,0.1276,3522156.0
0.1275,0.1277,0.1266,0.127,3388847.0
0.1269,0.1269,0.1235,0.1236,11505367.0
0.1236,0.1237,0.1211,0.1218,14878761.0
0.1217,0.1225,0.1206,0.1223,6521317.0
0.1223,0.1229,0.1202,0.1218,8573991.0
0.1217,0.1217,0.1204,0.121,4186922.0
0.121,0.1231,0.121,0.1228,7188374.0
0.1228,0.1241,0.1224,0.123,3542657.0
0.1231,0.1233,0.1221,0.1231,4832952.0
0.123,0.1235,0.1222,0.1227,3103456.0
0.1227,0.1236,0.1227,0.1227,3006703.0
0.1228,0.1235,0.1223,0.123,3358716.0
0.1229,0.1232,0.1214,0.1221,4302292.0
0.1221,0.1257,0.1205,0.1251,10663891.0
0.1252,0.1296,0.1252,0.1267,13418789.0
0.1268,0.1287,0.1266,0.1286,4796390.0
0.1287,0.1325,0.1278,0.1322,9683679.0
0.1322,0.1374,0.1318,0.1371,15316118.0
0.1372,0.1381,0.1346,0.138,14178722.0
0.1381,0.1418,0.135,0.136,43920071.0
0.136,0.1451,0.1334,0.1443,49368405.0
0.1444,0.1462,0.1379,0.1418,41679564.0
0.1418,0.1478,0.1409,0.1471,27773770.0
0.147,0.1512,0.1464,0.1478,41320937.0
0.1479,0.1479,0.1413,0.1415,27411264.0
0.1415,0.1442,0.1414,0.1429,20292012.0
0.1429,0.147,0.1427,0.1444,25238210.0
0.1443,0.1452,0.1424,0.1442,14539654.0
0.1441,0.1449,0.1426,0.1445,8878405.0
0.1444,0.1477,0.1444,0.1462,14485140.0
0.1463,0.1463,0.1431,0.1437,16507065.0
0.1438,0.1451,0.1434,0.1439,8573209.0
0.1438,0.1438,0.1408,0.1421,12850649.0
0.1421,0.1424,0.138,0.139,16898343.0
0.139,0.1409,0.1378,0.1398,14740540.0
0.1397,0.1408,0.1395,0.1399,8078425.0
0.14,0.1421,0.1398,0.1417,12789258.0
0.1418,0.1424,0.1398,0.1407,10888150.0
0.1407,0.1414,0.1397,0.1408,8086348.0
0.1408,0.141,0.1394,0.1404,11124954.0
0.1403,0.1405,0.1374,0.1382,15526237.0
0.1383,0.139,0.1376,0.138,7124649.0
0.138,0.1408,0.1376,0.1403,19082615.0
0.1404,0.142,0.1391,0.1418,12477996.0
