open,high,low,close,volume
0.3008,0.3017,0.2977,0.2986,1028879.5
0.2984,0.3007,0.2975,0.2992,737911.9
0.2993,0.3063,0.2989,0.3035,1713555.0
0.3035,0.3035,0.2997,0.3001,1564257.7
0.3001,0.3026,0.2985,0.2992,2002777.8
0.2993,0.3006,0.2892,0.2905,3779000.5
0.2905,0.2948,0.2838,0.2882,7125602.4
0.2883,0.2886,0.2785,0.2806,5265688.2
0.2806,0.2818,0.2722,0.2738,5335127.0
0.2738,0.2773,0.2705,0.271,3394016.4
0.2709,0.2765,0.27,0.2723,2614239.2
0.2723,0.2779,0.271,0.2769,2147854.1
0.277,0.279,0.2751,0.276,1479923.7
0.276,0.2791,0.2739,0.2773,2458897.7
0.2772,0.2814,0.2761,0.281,1686112.2
0.2811,0.2816,0.2754,0.2787,1642306.6
0.2786,0.2849,0.2779,0.2837,1206698.9
0.2839,0.2842,0.2818,0.2825,864297.4
0.2825,0.284,0.2808,0.2811,578528.7
0.2811,0.2847,0.2806,0.2829,880737.2
0.2827,0.2842,0.2822,0.2828,542180.4
0.2827,0.2829,0.2775,0.2781,1572119.3
0.278,0.2816,0.276,0.2801,1193934.4
0.2802,0.2809,0.2786,0.2799,868260.1
0.2798,0.2814,0.2772,0.2793,1505628.0
0.2794,0.2805,0.2774,0.2785,919171.0
0.2783,0.2818,0.2777,0.2815,916643.8
0.2816,0.2825,0.2791,0.2791,902907.1
0.2791,0.2796,0.2668,0.2705,5173414.2
0.2706,0.2706,0.262,0.263,4433304.2
0.2631,0.2656,0.2537,0.2545,6559388.1
0.2545,0.2611,0.2487,0.2586,8716789.7
0.2586,0.2675,0.2547,0.2668,4178178.1
0.2668,0.275,0.2649,0.2725,2977542.6
0.2725,0.2778,0.2706,0.2735,2313239.4
0.2735,0.2742,0.27,0.2711,1294902.2
0.2711,0.275,0.2692,0.2706,1671713.4
0.2705,0.2705,0.2623,0.2638,2374513.2
0.2638,0.2668,0.2503,0.2532,8063301.4
0.2532,0.2544,0.2184,0.232,28450532.4
0.232,0.2337,0.2257,0.2334,8850384.1
0.2334,0.2337,0.2268,0.2282,5345476.6
0.2281,0.2357,0.228,0.2301,9457115.5
0.2302,0.2316,0.2192,0.225,13626161.7
0.2249,0.2268,0.2038,0.2181,36240495.1
0.218,0.2272,0.2163,0.2242,7696897.6
0.2242,0.2254,0.2189,0.2206,4878229.8
0.2205,0.2219,0.2144,0.2189,4926523.7
0.2188,0.2189,0.2091,0.2112,7680592.6
0.2111,0.2115,0.2031,0.2112,12619395.2
0.2111,0.2138,0.2049,0.2074,13563470.8
0.2073,0.2218,0.2036,0.2208,21633649.6
0.2208,0.2315,0.2208,0.2299,13091301.8
0.23,0.2358,0.2275,0.2345,6768257.0
0.2343,0.2399,0.2299,0.2302,6142143.5
0.23,0.2342,0.2293,0.2306,3838580.4
0.2307,0.2307,0.2224,0.2226,4990764.3
0.2226,0.2279,0.2223,0.226,4274624.9
0.2261,0.2296,0.2255,0.2276,2853649.8
0.2276,0.2313,0.2253,0.2259,2538831.0
0.226,0.2286,0.2228,0.2267,4062696.1
0.2268,0.2287,0.2236,0.2237,2267009.6
0.2238,0.2391,0.2236,0.2389,5711734.0
0.2387,0.2425,0.2353,0.2372,5067158.8
0.237,0.2401,0.2364,0.2401,2477464.5
0.24,0.2404,0.237,0.238,1852618.7
0.2379,0.2419,0.2369,0.2413,1790593.1
