open,high,low,close,volume
66.86,67.24,66.65,67.0,4186.2
67.01,67.16,66.77,66.93,3329.5
66.93,67.15,66.56,66.96,3826.0
66.95,67.05,66.51,66.59,3503.3
66.57,66.94,66.33,66.38,4309.6
66.38,66.51,65.52,65.65,7993.7
65.64,65.86,64.61,64.88,13311.0
64.85,64.92,63.44,63.64,11605.0
63.65,64.04,63.0,63.13,8757.0
63.13,63.83,62.69,62.99,6790.4
63.0,64.21,62.75,63.96,5312.3
63.96,64.54,63.68,64.07,6330.4
64.06,64.34,63.58,64.27,3699.7
64.29,64.62,63.95,64.37,3705.7
64.36,64.51,63.71,64.5,3692.9
64.5,64.59,63.5,64.14,3307.1
64.14,64.85,64.08,64.36,3358.5
64.38,64.46,63.93,64.1,1489.2
64.08,64.21,63.7,63.74,2017.3
63.73,64.22,63.72,64.13,1828.2
64.13,64.68,64.09,64.68,1651.9
64.65,64.67,63.24,63.51,3217.7
63.53,64.17,63.22,63.86,3181.7
63.9,64.01,63.46,63.53,2014.6
63.52,63.73,63.26,63.42,2152.4
63.42,63.45,63.12,63.19,1833.4
63.19,63.89,63.14,63.86,1928.0
63.88,63.93,63.46,63.51,1306.8
63.52,63.6,61.77,61.96,7054.1
61.96,62.23,61.68,61.82,5028.0
61.82,61.92,60.62,60.75,9774.5
60.74,60.86,59.42,60.13,12914.9
60.14,61.32,59.47,60.99,7556.5
60.97,62.98,60.83,62.42,12688.7
62.4,63.12,61.92,62.38,4770.3
62.39,62.69,59.9,59.92,12080.8
59.9,60.97,59.45,60.36,10291.9
60.35,60.42,59.77,59.93,7120.6
59.92,60.69,56.83,57.75,19904.8
57.77,57.83,52.37,55.23,59594.6
55.23,56.22,53.87,55.31,20351.1
55.31,56.07,54.42,55.38,9743.1
55.38,56.37,54.93,55.22,13208.6
55.24,55.91,53.28,54.26,20532.0
54.27,54.62,50.08,52.48,45055.8
52.49,56.18,52.21,55.81,16584.3
55.83,56.13,53.92,54.41,12652.4
54.42,55.74,54.28,55.72,8920.2
55.73,55.75,53.69,54.07,9792.7
54.04,54.28,52.12,53.62,16121.5
53.61,53.82,51.69,52.12,17068.2
52.1,55.34,50.87,55.1,28737.4
55.13,58.19,55.1,57.97,19902.1
57.99,59.74,57.42,59.25,17353.0
59.24,60.26,58.77,59.04,15707.8
59.06,60.63,58.96,59.94,10952.0
59.95,60.16,57.18,57.24,15083.2
57.22,58.32,57.13,57.8,13248.6
57.83,58.5,57.8,58.19,7132.3
58.19,59.19,57.86,58.26,7505.2
58.28,59.56,58.27,59.32,5394.2
59.33,59.74,58.34,58.39,4804.1
58.41,61.27,58.39,61.27,9858.0
61.24,61.69,60.06,60.23,9006.1
60.23,60.56,59.97,60.22,4138.5
60.21,60.55,60.06,60.06,3164.5
60.06,60.29,59.12,59.22,6028.8
59.2,61.27,59.19,61.05,8259.9
61.03,61.12,59.95,60.41,7238.8
60.42,61.02,60.23,60.97,3927.1
60.97,61.01,59.15,59.6,6626.9
59.6,59.99,59.35,59.98,5069.1
59.99,60.1,59.52,59.98,3471.0
59.95,60.14,59.34,59.74,4433.6
59.71,60.37,59.57,59.75,4971.1
59.77,60.15,59.26,60.06,5461.2
60.06,61.96,60.02,61.3,7591.5
61.32,61.63,60.83,61.51,3598.4
61.55,62.49,61.43,62.01,3641.5
61.99,62.16,61.23,61.23,2582.0
61.22,62.0,61.19,61.25,3694.6
61.25,61.46,60.56,61.06,5093.1
61.01,61.76,60.87,61.36,4588.0
61.37,61.7,61.19,61.34,2276.0
61.39,62.06,60.9,61.27,4016.2
61.28,61.48,60.83,61.46,2643.6
61.46,61.6,60.71,61.25,4646.8
61.25,62.43,60.72,62.37,4437.5
62.39,62.73,61.7,62.02,3578.1
62.02,62.52,61.81,62.06,1960.3
62.07,63.85,61.99,63.51,5725.5
63.52,63.64,62.72,62.76,3367.0
62.76,63.52,62.53,62.63,3356.9
62.62,62.7,61.98,62.11,5545.6
62.11,62.5,61.92,62.29,3321.8
62.3,62.88,62.12,62.41,2629.3
62.38,62.79,62.01,62.04,2679.0
62.03,62.17,61.61,61.85,3306.9
61.89,62.38,61.68,62.22,1921.4
62.23,62.41,61.4,61.71,3007.2
61.72,61.83,59.3,60.11,12247.2
60.11,60.67,59.78,60.07,5373.8
60.08,60.25,59.57,59.68,4625.5
59.68,59.96,58.87,59.57,5994.0
59.53,59.65,58.62,58.78,5555.3
58.81,59.05,58.56,58.69,4245.9
58.7,59.02,57.75,58.5,10019.8
58.52,59.26,58.26,59.2,5677.2
59.22,59.53,58.55,59.5,7570.9
59.53,59.69,58.91,59.01,3559.3
59.02,59.22,58.19,59.09,7497.2
59.07,61.48,59.07,61.41,8921.8
61.38,61.96,61.12,61.57,5807.2
