open,high,low,close,volume
2.327,2.334,2.321,2.331,35868.4
2.33,2.334,2.325,2.326,27797.6
2.326,2.337,2.318,2.322,82773.2
2.322,2.33,2.316,2.322,40172.8
2.322,2.333,2.313,2.316,31035.1
2.314,2.318,2.253,2.257,169517.2
2.256,2.263,2.209,2.23,427984.5
2.231,2.231,2.167,2.174,391751.1
2.175,2.192,2.155,2.169,235835.3
2.17,2.188,2.157,2.161,135995.3
2.162,2.183,2.15,2.161,147120.6
2.162,2.191,2.158,2.189,114159.6
2.189,2.261,2.142,2.181,1686302.4
2.182,2.199,2.172,2.189,303525.6
2.189,2.212,2.186,2.209,131307.8
2.21,2.213,2.178,2.198,139248.0
2.198,2.229,2.195,2.225,114486.7
2.225,2.228,2.216,2.221,47830.7
2.22,2.23,2.211,2.214,63759.0
2.214,2.227,2.211,2.227,62557.9
2.226,2.228,2.216,2.22,79202.7
2.22,2.23,2.197,2.198,112193.7
2.198,2.213,2.18,2.204,124447.9
2.205,2.208,2.199,2.2,30639.1
2.199,2.202,2.189,2.2,100431.4
2.2,2.21,2.195,2.202,52530.8
2.202,2.216,2.193,2.214,61885.9
2.214,2.217,2.195,2.195,74541.4
2.194,2.197,2.114,2.128,430901.7
2.128,2.128,2.101,2.105,314867.7
2.105,2.118,2.071,2.074,332060.7
2.074,2.089,2.025,2.072,563691.6
2.072,2.121,2.051,2.117,273269.6
2.116,2.171,2.099,2.155,270899.2
2.155,2.183,2.143,2.156,147618.3
2.156,2.157,2.135,2.146,102738.7
2.147,2.183,2.139,2.162,152247.4
2.163,2.163,2.129,2.136,106109.9
2.136,2.16,2.021,2.048,736043.7
2.048,2.053,1.807,1.965,2456742.1
1.964,1.971,1.905,1.965,854093.7
1.966,1.967,1.921,1.93,454982.9
1.93,1.965,1.926,1.942,208438.4
1.942,1.973,1.872,1.935,618956.0
1.935,1.944,1.767,1.886,1282261.6
1.885,1.999,1.878,1.981,535077.2
1.981,1.984,1.927,1.955,332772.5
1.953,1.974,1.916,1.949,588584.9
1.95,1.95,1.863,1.871,1025803.5
1.872,1.876,1.806,1.869,741045.6
1.868,1.885,1.8,1.812,772259.2
1.812,1.931,1.789,1.917,1132305.1
1.918,2.014,1.917,1.998,916434.1
1.997,2.031,1.974,2.02,377764.4
2.019,2.061,2.009,2.014,391245.5
2.013,2.038,2.004,2.02,254508.8
2.021,2.021,1.96,1.961,326149.8
1.96,1.993,1.949,1.982,571571.9
1.983,2.011,1.981,2.001,323774.0
2.001,2.028,1.986,1.994,333517.0
1.995,2.024,1.99,2.016,155846.2
2.016,2.03,1.987,1.99,151865.7
1.991,2.074,1.987,2.07,495172.5
2.069,2.09,2.044,2.054,340051.7
2.053,2.062,2.034,2.052,145145.7
2.052,2.056,2.039,2.05,93642.4
2.051,2.061,2.042,2.057,106853.2
2.056,2.08,2.046,2.079,124098.7
2.079,2.087,2.064,2.077,146086.6
2.076,2.088,2.065,2.085,137011.9
2.085,2.086,2.023,2.038,296263.5
2.038,2.043,2.022,2.035,264283.8
2.036,2.044,2.016,2.024,154448.2
2.024,2.037,2.016,2.028,133336.6
2.027,2.042,2.012,2.02,181546.4
2.018,2.035,1.994,2.019,336634.5
2.018,2.098,2.017,2.073,424610.4
2.074,2.09,2.051,2.079,166629.7
2.079,2.099,2.066,2.088,130458.8
2.087,2.095,2.068,2.068,90403.2
2.067,2.092,2.067,2.076,64579.4
2.076,2.086,2.068,2.073,60200.0
2.072,2.081,2.062,2.073,100949.6
2.073,2.078,2.063,2.07,97781.3
2.07,2.092,2.053,2.066,146713.3
2.066,2.07,2.047,2.062,96387.6
2.062,2.077,2.042,2.069,158204.7
2.07,2.104,2.045,2.102,198892.5
2.101,2.117,2.08,2.091,127638.9
2.091,2.105,2.086,2.097,136608.2
2.097,2.111,2.094,2.097,56673.9
2.097,2.117,2.095,2.098,92956.5
2.097,2.104,2.091,2.095,56352.2
2.095,2.101,2.085,2.094,54315.2
2.093,2.11,2.09,2.102,73921.2
2.103,2.121,2.1,2.106,117358.9
2.106,2.13,2.1,2.111,86573.9
2.11,2.112,2.086,2.089,134114.3
2.089,2.114,2.079,2.111,161159.7
2.11,2.117,2.084,2.088,205605.6
2.089,2.094,2.009,2.046,438692.9
2.046,2.069,2.036,2.058,212472.9
2.058,2.062,2.035,2.045,176773.8
2.045,2.055,2.017,2.035,204557.6
2.034,2.041,2.002,2.012,285175.1
2.014,2.029,2.011,2.026,227042.5
2.026,2.056,2.009,2.039,352681.1
2.04,2.051,2.03,2.043,144775.6
2.043,2.056,2.018,2.055,162685.4
2.055,2.06,2.037,2.045,133172.1
2.045,2.051,2.004,2.034,302351.7
2.035,2.101,2.032,2.092,363637.1
2.091,2.134,2.09,2.133,179981.8
2.133,2.14,2.11,2.11,72014.5
2.11,2.138,2.109,2.116,91675.0
2.115,2.135,2.115,2.131,61048.9
2.131,2.143,2.122,2.133,85706.2
2.132,2.139,2.117,2.118,80746.1
2.119,2.132,2.118,2.124,59043.1
2.125,2.138,2.12,2.129,90692.2
2.128,2.129,2.115,2.124,74143.4
2.124,2.133,2.119,2.122,41544.3
2.121,2.18,2.115,2.146,257180.3
2.147,2.161,2.118,2.139,150996.7
2.139,2.18,2.136,2.179,138721.8
2.179,2.193,2.171,2.187,163528.7
2.187,2.206,2.184,2.187,167853.4
2.187,2.192,2.173,2.173,62170.4
2.174,2.178,2.169,2.174,52998.6
2.173,2.178,2.16,2.164,61299.2
2.164,2.172,2.161,2.166,46306.0
2.167,2.217,2.166,2.214,84777.1
2.215,2.25,2.205,2.242,227611.2
2.243,2.257,2.23,2.249,150297.9
2.249,2.251,2.223,2.229,165823.2
2.23,2.231,2.216,2.219,94160.6
2.22,2.222,2.21,2.214,61930.3
2.213,2.222,2.209,2.214,91378.5
2.214,2.217,2.19,2.191,90031.8
2.191,2.213,2.187,2.212,52306.9
2.212,2.219,2.204,2.218,73331.4
2.217,2.23,2.215,2.219,82956.9
2.219,2.227,2.213,2.224,51931.1
2.225,2.233,2.215,2.222,68558.3
2.221,2.225,2.201,2.216,70964.1
2.216,2.22,2.208,2.218,35166.6
2.218,2.221,2.198,2.213,49983.9
2.211,2.216,2.184,2.205,102430.3
2.205,2.235,2.165,2.2,301232.5
2.199,2.204,2.177,2.177,62107.0
2.177,2.206,2.176,2.194,116368.0
2.195,2.208,2.192,2.195,53589.7
2.195,2.202,2.189,2.197,51964.8
2.197,2.209,2.195,2.204,46610.2
2.205,2.218,2.202,2.207,57803.4
2.208,2.219,2.194,2.216,99317.6
2.215,2.226,2.202,2.217,107589.2
2.217,2.227,2.205,2.226,90448.7
2.225,2.259,2.213,2.214,171786.8
2.213,2.23,2.208,2.212,63261.2
2.213,2.231,2.209,2.227,61009.7
2.225,2.228,2.214,2.221,41490.2
2.221,2.225,2.216,2.225,44163.2
2.224,2.23,2.215,2.223,19639.6
2.222,2.233,2.222,2.233,36986.8
2.233,2.243,2.229,2.241,39448.8
2.241,2.242,2.231,2.233,47242.9
2.233,2.247,2.231,2.239,60794.3
2.239,2.251,2.235,2.248,36183.3
2.248,2.259,2.247,2.258,51838.7
2.258,2.259,2.238,2.244,80954.2
2.243,2.245,2.228,2.231,64179.6
2.23,2.239,2.229,2.238,29447.7
2.237,2.251,2.236,2.237,58041.9
2.237,2.247,2.233,2.239,61211.0
2.238,2.248,2.231,2.247,63368.3
2.246,2.257,2.243,2.247,60942.3
2.246,2.258,2.242,2.251,47028.5
2.251,2.258,2.247,2.253,46250.3
2.253,2.257,2.249,2.25,41432.5
2.249,2.25,2.241,2.243,42162.9
2.242,2.245,2.235,2.241,81342.1
2.24,2.247,2.234,2.243,51475.6
2.244,2.255,2.239,2.248,35473.1
2.248,2.251,2.238,2.243,47110.8
2.243,2.261,2.243,2.247,61168.1
2.247,2.248,2.233,2.236,36970.6
2.235,2.244,2.233,2.244,59633.8
2.243,2.253,2.243,2.25,43670.2
2.248,2.255,2.244,2.248,43356.6
2.249,2.271,2.247,2.262,78852.8
2.262,2.285,2.258,2.264,111577.2
2.265,2.27,2.256,2.256,48591.9
2.257,2.257,2.226,2.232,108709.2
2.231,2.236,2.204,2.211,88178.7
2.21,2.211,2.192,2.207,87309.2
2.208,2.214,2.18,2.187,86112.0
2.186,2.192,2.168,2.181,105973.3
2.18,2.19,2.172,2.183,73926.5
2.182,2.189,2.179,2.184,61422.8
2.184,2.186,2.175,2.179,47156.1
2.178,2.178,2.14,2.146,117615.7
2.147,2.151,2.118,2.12,233124.3
2.121,2.126,2.107,2.12,111360.1
2.12,2.128,2.097,2.112,147561.3
2.112,2.117,2.102,2.113,67867.6
2.113,2.149,2.112,2.14,250917.1
2.14,2.152,2.135,2.143,80572.9
2.142,2.143,2.131,2.142,68419.2
2.141,2.144,2.133,2.135,47566.3
2.135,2.139,2.131,2.137,39332.5
2.136,2.143,2.13,2.136,47290.8
2.136,2.136,2.119,2.127,65189.8
2.127,2.157,2.106,2.151,208227.2
2.15,2.17,2.139,2.142,107098.0
2.143,2.16,2.141,2.159,82477.7
2.159,2.187,2.152,2.187,115162.9
2.187,2.223,2.184,2.223,178927.6
2.223,2.227,2.208,2.216,134331.9
2.215,2.22,2.145,2.151,258973.4
2.152,2.236,2.132,2.228,340161.2
2.228,2.24,2.185,2.224,241106.7
2.225,2.236,2.216,2.22,94935.0
2.22,2.23,2.21,2.213,47855.6
2.213,2.217,2.168,2.172,105100.9
2.172,2.197,2.171,2.186,87336.4
2.186,2.198,2.177,2.18,57071.5
2.179,2.183,2.163,2.181,60085.4
2.18,2.189,2.171,2.181,58995.3
