open,high,low,close,volume
0.07136,0.07142,0.07092,0.07126,2376032.0
0.07126,0.07156,0.07115,0.07135,2223494.0
0.07135,0.07234,0.07129,0.07192,3067629.0
0.07192,0.07209,0.07153,0.07184,2801545.0
0.07183,0.07229,0.0716,0.07166,3435039.0
0.07165,0.07186,0.06913,0.06927,12685487.0
0.06927,0.06958,0.06769,0.06882,27085216.0
0.06882,0.06884,0.06653,0.06685,20243888.0
0.06685,0.06718,0.06547,0.06562,23774483.0
0.06561,0.06674,0.06548,0.0659,10105884.0
0.06589,0.06632,0.06529,0.06553,13528065.0
0.06551,0.06723,0.06519,0.06679,17269553.0
0.0668,0.06741,0.06657,0.06679,12016376.0
0.06681,0.06735,0.06637,0.06692,7227409.0
0.06689,0.06783,0.0668,0.06776,5601230.0
0.06782,0.06794,0.0669,0.06781,3838042.0
0.0678,0.06894,0.06777,0.06854,4596701.0
0.06855,0.06858,0.06797,0.06817,2387308.0
0.06819,0.0685,0.06771,0.06772,4040922.0
0.06774,0.06864,0.06772,0.06842,4251954.0
0.06839,0.06863,0.06823,0.06832,1964400.0
0.06829,0.06849,0.06716,0.06728,5372358.0
0.06729,0.06789,0.06701,0.06746,5298558.0
0.06746,0.06774,0.06725,0.06752,1974628.0
0.06749,0.06755,0.067,0.06754,2184202.0
0.06754,0.0678,0.06722,0.06743,2898444.0
0.06743,0.06823,0.06733,0.0682,2171943.0
0.0682,0.06837,0.06749,0.06749,3487967.0
0.06749,0.06756,0.06482,0.06497,17060963.0
0.06499,0.06506,0.06348,0.06355,17315162.0
0.06361,0.06417,0.0626,0.06273,20477175.0
0.06272,0.06333,0.06127,0.06287,29923124.0
0.06289,0.06452,0.0623,0.0645,12942295.0
0.0645,0.06672,0.06378,0.06621,19845001.0
0.0662,0.06699,0.06516,0.06553,8270729.0
0.06555,0.06592,0.06503,0.0653,5996398.0
0.06529,0.06653,0.0651,0.06554,11230815.0
0.06552,0.06563,0.06423,0.06432,7030520.0
0.06432,0.06504,0.06126,0.06193,27991139.0
0.06192,0.06214,0.05236,0.05732,119054773.0
0.05732,0.05755,0.0553,0.05722,51020692.0
0.05722,0.05729,0.05553,0.05573,16924146.0
0.05575,0.05676,0.05492,0.05519,19412926.0
0.05519,0.05593,0.05293,0.05425,43012774.0
0.05423,0.05455,0.04906,0.05232,94514814.0
0.05234,0.0554,0.05174,0.05494,32991276.0
0.05495,0.05512,0.05359,0.05412,22610522.0
0.05411,0.05497,0.05316,0.05441,22144664.0
0.05439,0.05439,0.05175,0.0518,29234241.0
0.0518,0.05205,0.05008,0.05183,34874887.0
0.05183,0.05235,0.05012,0.05044,31790200.0
0.05043,0.05357,0.04948,0.05335,53386788.0
0.05336,0.05652,0.05334,0.056,37217128.0
0.05603,0.05761,0.05542,0.05711,23060849.0
0.05712,0.05886,0.05686,0.05716,27584488.0
0.05717,0.05788,0.05659,0.05729,21556305.0
0.05732,0.05733,0.05524,0.05528,19019729.0
0.05525,0.05621,0.05499,0.05574,19138645.0
0.05573,0.05656,0.05561,0.05618,13780747.0
0.05618,0.05704,0.05582,0.05622,14466867.0
0.05627,0.05757,0.05606,0.05705,13132608.0
0.05706,0.05765,0.05661,0.05684,10904691.0
0.05684,0.06065,0.05674,0.06065,24966683.0
0.06064,0.06113,0.05922,0.05966,18186406.0
0.05964,0.05996,0.05933,0.05992,6135188.0
0.05989,0.06007,0.05915,0.05962,7155775.0
0.05962,0.0603,0.05931,0.05996,5738041.0
0.05994,0.06073,0.05956,0.06068,8412155.0
0.06071,0.06124,0.06021,0.06088,11248206.0
0.06087,0.06143,0.06053,0.06138,9252657.0
0.06135,0.06135,0.05872,0.05958,21069385.0
0.0596,0.0598,0.05912,0.05968,12590223.0
0.05969,0.05983,0.05906,0.05939,5678408.0
0.05939,0.05983,0.05913,0.05944,6635261.0
0.05944,0.06025,0.05929,0.05954,9365631.0
0.05951,0.06023,0.05878,0.05972,14167293.0
0.0597,0.0626,0.05967,0.06165,20459333.0
0.06166,0.06174,0.06021,0.06132,13202057.0
0.0613,0.06212,0.06078,0.06173,7013458.0
0.0617,0.0622,0.06082,0.06084,9964589.0
0.06084,0.06167,0.06076,0.06103,6118488.0
0.06101,0.06133,0.06063,0.06081,7221371.0
0.06079,0.06105,0.06037,0.06077,6975350.0
0.06074,0.06097,0.06036,0.06077,3117743.0
0.06076,0.06153,0.06008,0.06045,10161252.0
0.06044,0.06066,0.05969,0.05998,5963245.0
0.05997,0.06068,0.05924,0.0603,9860590.0
0.06031,0.06186,0.05961,0.06174,10471703.0
0.06173,0.06236,0.06089,0.0614,10004046.0
0.06138,0.06192,0.06127,0.06139,8362066.0
0.06138,0.06207,0.06131,0.06147,9392295.0
0.06147,0.06216,0.06133,0.06137,6286135.0
0.06137,0.06171,0.06115,0.06127,4617296.0
0.06127,0.06146,0.06072,0.0612,4573033.0
0.06119,0.06183,0.06079,0.06122,8398583.0
0.0612,0.06185,0.06095,0.06137,5146722.0
0.06135,0.06205,0.06111,0.0612,2980202.0
0.06118,0.06132,0.0604,0.06041,6181007.0
0.06042,0.06123,0.06023,0.06113,7714293.0
0.06114,0.06145,0.06054,0.06092,13243260.0
0.06091,0.06118,0.05831,0.05886,26390834.0
0.05888,0.05936,0.05837,0.05905,12296555.0
0.05905,0.05937,0.05834,0.05864,9058963.0
0.05865,0.05889,0.0578,0.05835,11042199.0
0.05834,0.05858,0.05732,0.05745,12842672.0
0.05746,0.05798,0.05712,0.05745,9753695.0
0.05746,0.05808,0.05667,0.05755,16374624.0
0.05755,0.05783,0.05716,0.05759,7766069.0
0.05758,0.05759,0.05634,0.05719,10521809.0
0.05722,0.05754,0.05683,0.05707,6670589.0
0.05708,0.05732,0.05602,0.05705,12313398.0
0.05705,0.05928,0.05698,0.05926,20558588.0
0.05925,0.06066,0.05921,0.06055,7371955.0
0.06054,0.06098,0.05997,0.05999,6790263.0
0.06,0.06083,0.05981,0.05983,4975711.0
0.0598,0.06066,0.05978,0.06053,2979339.0
0.0605,0.06085,0.06005,0.06067,3255690.0
0.06067,0.06085,0.05999,0.06001,3480581.0
0.06003,0.06029,0.05978,0.06,3730820.0
0.06006,0.06069,0.05968,0.06022,5600602.0
0.06022,0.0603,0.05993,0.06026,5271792.0
0.06028,0.06034,0.05992,0.06001,2878752.0
0.05999,0.06161,0.05958,0.0606,14867583.0
0.0606,0.06122,0.05973,0.0603,11545859.0
0.06028,0.06224,0.06021,0.06204,10055865.0
