open,high,low,close,volume
3.682,3.688,3.659,3.677,139612.0
3.677,3.72,3.669,3.699,210013.0
3.7,3.74,3.695,3.708,208871.0
3.709,3.718,3.671,3.69,267170.0
3.69,3.7,3.651,3.652,230285.0
3.652,3.661,3.54,3.545,874607.0
3.545,3.576,3.501,3.542,1157867.0
3.543,3.543,3.459,3.47,799088.0
3.47,3.499,3.435,3.461,541635.0
3.461,3.478,3.429,3.438,409119.0
3.439,3.492,3.425,3.457,381482.0
3.457,3.502,3.434,3.489,356202.0
3.49,3.507,3.472,3.474,222039.0
3.474,3.506,3.465,3.484,312715.0
3.485,3.536,3.48,3.534,272672.0
3.534,3.538,3.489,3.526,183688.0
3.526,3.579,3.523,3.551,292315.0
3.551,3.551,3.526,3.537,179540.0
3.536,3.544,3.509,3.512,124126.0
3.512,3.546,3.51,3.53,102072.0
3.529,3.541,3.523,3.531,77719.0
3.532,3.533,3.474,3.483,225043.0
3.483,3.512,3.463,3.496,323659.0
3.497,3.513,3.484,3.484,276137.0
3.484,3.49,3.456,3.468,536295.0
3.469,3.475,3.426,3.431,553338.0
3.431,3.484,3.411,3.478,628367.0
3.479,3.487,3.449,3.454,302233.0
3.454,3.461,3.334,3.363,1284635.0
3.362,3.362,3.288,3.294,909195.0
3.295,3.308,3.242,3.25,891125.0
3.249,3.257,3.152,3.187,1964749.0
3.188,3.25,3.147,3.247,1314352.0
3.248,3.339,3.223,3.316,824495.0
3.315,3.344,3.265,3.293,486365.0
3.294,3.297,3.261,3.268,245950.0
3.268,3.311,3.259,3.269,462288.0
3.268,3.269,3.192,3.201,475932.0
3.201,3.231,3.031,3.065,2060193.0
3.064,3.074,2.657,2.893,6644336.0
2.892,2.901,2.802,2.888,2177877.0
2.889,2.891,2.818,2.824,1905070.0
2.824,2.889,2.82,2.844,995383.0
2.845,2.853,2.72,2.774,2462164.0
2.775,2.79,2.523,2.693,5798092.0
2.692,2.834,2.674,2.813,1820687.0
2.813,2.831,2.762,2.782,1315472.0
2.783,2.802,2.732,2.792,1193776.0
2.791,2.791,2.666,2.698,1391435.0
2.698,2.731,2.617,2.721,1714707.0
2.721,2.747,2.612,2.621,2265482.0
2.62,2.791,2.587,2.773,2908160.0
2.774,2.931,2.774,2.903,2424621.0
2.904,2.983,2.871,2.961,1546368.0
2.961,3.033,2.931,2.936,1313821.0
2.937,2.999,2.911,2.967,894614.0
2.967,2.978,2.861,2.865,1007024.0
2.864,2.93,2.854,2.905,1083874.0
2.904,2.954,2.903,2.937,884816.0
2.938,2.985,2.918,2.938,573253.0
2.938,2.988,2.931,2.966,534103.0
2.967,3.003,2.93,2.937,545994.0
2.938,3.09,2.931,3.09,1371740.0
3.09,3.11,3.029,3.055,857355.0
3.055,3.076,3.039,3.057,412344.0
3.056,3.062,3.027,3.035,311297.0
3.036,3.064,3.014,3.053,414328.0
3.053,3.118,3.039,3.109,574853.0
3.109,3.12,3.075,3.107,662800.0
3.105,3.14,3.084,3.132,565612.0
3.131,3.136,3.022,3.052,759821.0
