open,high,low,close,volume
1.3933,1.3995,1.2176,1.2306,22472112.7
1.2305,1.2709,1.2211,1.2415,9856557.5
1.2416,1.3509,1.225,1.3266,16779582.8
1.3265,1.3273,1.2221,1.2365,17997214.7
1.2366,1.2818,1.2211,1.244,18005405.4
1.2441,1.2839,1.2112,1.2287,18181424.1
1.2287,1.2492,1.1802,1.1872,18981258.6
1.1875,1.2167,1.1603,1.1792,16863141.5
1.1791,1.2013,1.1553,1.1594,13126466.7
1.1594,1.185,1.1526,1.162,9086993.5
1.1619,1.1738,1.1345,1.1477,11078275.5
1.1478,1.1687,1.1372,1.1466,9981736.6
1.1467,1.1567,1.1261,1.1335,9784702.3
1.1335,1.1663,1.1255,1.1446,8831461.4
1.1448,1.1614,1.1265,1.1352,10786890.1
1.1352,1.1378,1.1103,1.123,9978906.8
1.1232,1.1762,1.118,1.17,9565633.8
1.1701,1.217,1.1609,1.2125,9292338.2
1.2122,1.2209,1.1864,1.1999,8314700.5
1.1995,1.2297,1.1899,1.2219,8608955.0
1.2217,1.294,1.2186,1.2804,10062014.9
1.2804,1.2879,1.2459,1.2598,9207365.1
1.2598,1.2856,1.2472,1.2742,9678221.4
1.2744,1.293,1.2602,1.2818,7950383.0
1.2816,1.2876,1.2615,1.2857,8816403.0
1.2859,1.2891,1.2611,1.2706,8151925.5
1.2706,1.3135,1.27,1.3,13872115.5
1.2998,1.3076,1.2802,1.2852,8898514.7
1.2852,1.2901,1.2422,1.2504,16708754.1
1.2503,1.2542,1.2172,1.2207,12323925.7
1.221,1.2262,1.1772,1.179,12004716.9
1.1793,1.2276,1.1618,1.2171,13771629.2
1.2173,1.2385,1.205,1.2205,9305192.2
1.2203,1.2303,1.1956,1.2102,8097822.0
1.21,1.222,1.189,1.1955,4291228.6
1.1954,1.1997,1.175,1.1939,4031718.9
1.194,1.2173,1.1881,1.1891,5923243.6
1.189,1.195,1.1711,1.1735,4092511.5
1.1736,1.1982,1.1355,1.1606,12023231.8
1.1604,1.1636,1.031,1.0616,25900771.3
1.0616,1.0624,1.0275,1.0406,9150396.8
1.0406,1.0505,0.9959,1.026,11209890.2
1.026,1.044,0.9963,1.0134,8558505.0
1.0135,1.0348,0.9816,1.0133,10618334.0
1.0136,1.0222,0.9045,0.9671,20242630.1
0.9674,1.0017,0.9637,0.9784,7254256.9
0.9789,0.9798,0.9292,0.9386,7733151.1
0.9388,0.9432,0.8939,0.911,9025612.2
0.9109,0.914,0.8736,0.8773,8895256.6
0.8773,0.8798,0.8416,0.8651,13202916.9
0.865,0.8841,0.8489,0.8581,11984830.0
0.8581,0.9198,0.8418,0.9145,15044924.7
0.9147,0.944,0.9145,0.9265,11823275.9
0.9267,0.9564,0.9117,0.939,8945058.1
0.9388,0.9684,0.9217,0.9266,9992871.8
0.9264,0.9487,0.9164,0.9353,7157727.0
0.9356,0.9359,0.9029,0.9049,7500909.1
0.9048,0.925,0.9011,0.9169,5574458.4
0.917,0.93,0.9084,0.9199,3970063.7
0.9196,0.93,0.9053,0.9093,3329591.5
0.9096,0.9256,0.903,0.9246,3504003.9
0.9246,0.9365,0.9131,0.9208,4327374.7
0.9208,1.0267,0.9161,1.0247,10148885.6
1.0246,1.0407,1.0052,1.0226,8555451.7
1.0226,1.0398,1.0072,1.0085,4419266.8
1.0086,1.0106,0.9764,0.9798,5404345.7
0.9798,1.0215,0.9779,1.0206,4694059.7
1.0208,1.0353,1.0021,1.0319,5389865.8
1.0318,1.0354,1.0056,1.0138,5270384.6
1.0139,1.0262,1.0081,1.0215,3549871.4
1.0216,1.0239,0.9774,0.984,7500537.3
0.9842,1.0017,0.9717,0.9944,5776537.9
0.9945,1.0126,0.9912,1.003,3297291.6
1.0032,1.0033,0.9822,0.9848,3129772.3
0.985,1.002,0.9846,0.9913,2840254.3
0.9913,1.0083,0.9784,1.0053,4855509.9
1.0049,1.0683,1.002,1.0584,9551152.0
1.0589,1.0878,1.0368,1.043,11227371.9
1.0429,1.0539,1.0082,1.026,6592832.6
1.0261,1.0363,1.0142,1.0162,3778716.4
1.0163,1.0277,1.0146,1.0163,2429022.7
1.0163,1.0226,1.0093,1.0116,1709303.1
1.0114,1.0187,1.0016,1.0157,2134203.2
1.0154,1.0197,1.0066,1.015,1519940.4
1.015,1.0264,1.001,1.0095,2415365.8
1.0092,1.0147,0.9966,0.9999,1905027.0
0.9999,1.0087,0.9802,0.9992,3438226.8
0.999,1.0176,0.9812,1.0145,2914178.2
1.0142,1.0308,1.002,1.0088,3192527.4
1.0086,1.0205,1.003,1.0177,2192093.7
1.0178,1.0408,1.0144,1.0289,4179734.4
1.0289,1.046,1.0151,1.0197,3649204.2
1.0196,1.0228,0.9963,0.9978,3262727.3
0.9979,1.0021,0.9818,0.9967,4459810.1
0.9967,1.0079,0.9906,1.0003,2291126.5
1.0001,1.008,0.9875,0.9926,2663852.7
0.9922,1.008,0.9888,0.9941,2009817.4
0.9941,0.9953,0.9741,0.979,4180204.8
0.9793,0.9999,0.9743,0.9947,3804153.3
0.9947,1.0012,0.976,0.9783,3682714.7
0.9782,0.9828,0.9175,0.9282,12385697.9
0.9283,0.953,0.9148,0.9493,8678007.9
0.9493,0.962,0.9368,0.9425,5876321.9
0.9425,0.9466,0.9256,0.9375,4046181.5
0.9371,0.9458,0.9232,0.927,4326472.9
0.9273,0.936,0.9206,0.9265,2320055.9
0.9267,0.936,0.9036,0.9185,5283887.4
