open,high,low,close,volume
0.289,0.2891,0.2874,0.2879,2330621.0
0.2879,0.2888,0.287,0.2885,1782316.0
0.2885,0.2906,0.2879,0.2882,2572139.0
0.2881,0.2884,0.2871,0.2881,2659581.0
0.2881,0.2893,0.2873,0.2875,2630634.0
0.2874,0.288,0.2782,0.2785,7716284.0
0.2784,0.2806,0.2738,0.2759,13846410.0
0.276,0.276,0.269,0.2697,10811932.0
0.2697,0.2705,0.2665,0.2673,9786254.0
0.2673,0.2698,0.2655,0.2656,6439617.0
0.2656,0.2688,0.2643,0.2657,5511019.0
0.2657,0.2713,0.265,0.2711,4854217.0
0.2712,0.2728,0.2695,0.271,3609951.0
0.2711,0.2735,0.2697,0.2725,3685690.0
0.2724,0.2756,0.2717,0.2749,3699082.0
0.275,0.2755,0.2722,0.2749,2322875.0
0.2749,0.2793,0.2749,0.2784,2560633.0
0.2784,0.2785,0.2754,0.2759,1685287.0
0.276,0.2779,0.2753,0.2759,1770863.0
0.2759,0.2782,0.2758,0.2778,1229322.0
0.2777,0.2782,0.2768,0.2776,1577917.0
0.2777,0.2778,0.2733,0.2735,3278658.0
0.2736,0.2761,0.2717,0.2746,3868863.0
0.2747,0.2757,0.2733,0.2734,3229083.0
0.2733,0.2741,0.2721,0.274,2764227.0
0.274,0.2752,0.2731,0.2742,2539959.0
0.2742,0.275,0.2726,0.2748,2007153.0
0.2748,0.2753,0.2724,0.2724,1783593.0
0.2724,0.2726,0.2622,0.2629,12753646.0
0.263,0.263,0.2588,0.2595,7797862.0
0.2595,0.2613,0.2543,0.2554,14450264.0
0.2553,0.2572,0.2495,0.256,18593107.0
0.256,0.2593,0.2522,0.2591,8380299.0
0.2592,0.2658,0.2567,0.2641,8425816.0
0.2641,0.2676,0.2619,0.2639,4899866.0
0.2639,0.2641,0.2613,0.2622,2528585.0
0.2623,0.2662,0.2611,0.2639,4096810.0
0.2638,0.264,0.2592,0.2601,3502167.0
0.2602,0.2628,0.2451,0.249,25850675.0
0.2489,0.2497,0.2172,0.233,88940659.0
0.233,0.2335,0.2248,0.2332,34107093.0
0.2331,0.2332,0.2278,0.2283,14515032.0
0.2283,0.2323,0.2269,0.2293,12838752.0
0.2294,0.2317,0.2202,0.2269,31195938.0
0.2269,0.2281,0.2064,0.2184,79553586.0
0.2185,0.2318,0.2173,0.2297,23484101.0
0.2297,0.2301,0.2232,0.2251,13663700.0
0.2251,0.2271,0.2216,0.2261,10917505.0
0.226,0.2261,0.2165,0.2191,16709370.0
0.2191,0.2202,0.2114,0.22,23334817.0
0.22,0.222,0.2127,0.2146,26647029.0
0.2145,0.2304,0.2111,0.2292,39848793.0
0.2292,0.241,0.2291,0.2395,29658302.0
0.2396,0.2446,0.2371,0.2432,15883542.0
0.2432,0.2478,0.2412,0.2413,14908494.0
0.2414,0.2456,0.2405,0.2432,7157777.0
0.2432,0.2436,0.235,0.235,9306529.0
0.235,0.2401,0.2343,0.2378,13144383.0
0.2378,0.2417,0.2374,0.2404,7125563.0
0.2404,0.2434,0.2378,0.2384,6056176.0
0.2384,0.2422,0.2375,0.241,5528795.0
0.241,0.2426,0.2374,0.2376,4163140.0
0.2376,0.2502,0.2373,0.2502,13712944.0
0.2503,0.253,0.2463,0.2482,7813457.0
0.2482,0.249,0.2458,0.2476,3745245.0
0.2475,0.2482,0.246,0.2468,2362447.0
0.2469,0.2493,0.2457,0.2484,3762375.0
0.2484,0.2516,0.247,0.2512,3707695.0
0.2512,0.2521,0.2492,0.2507,4675120.0
0.2507,0.252,0.2492,0.2506,4511771.0
0.2506,0.2507,0.2428,0.2452,9207498.0
0.2452,0.2455,0.2427,0.2446,6259164.0
0.2446,0.2455,0.2423,0.2432,4220174.0
0.2431,0.2442,0.2413,0.2428,4775899.0
0.2427,0.2436,0.2401,0.2407,5168901.0
0.2406,0.243,0.2375,0.2406,10897011.0
0.2406,0.2506,0.2404,0.2468,13818982.0
0.2469,0.249,0.2443,0.2479,7796439.0
0.248,0.2496,0.2462,0.2479,6643372.0
0.2479,0.2494,0.2461,0.2462,4510183.0
0.2461,0.2492,0.2461,0.247,3964653.0
0.247,0.2483,0.2459,0.2464,3294643.0
0.2465,0.2475,0.2445,0.2465,4403822.0
0.2465,0.2474,0.245,0.247,1811344.0
0.247,0.2497,0.2449,0.2466,5614966.0
0.2466,0.2474,0.2443,0.2458,3160417.0
0.2458,0.2475,0.2433,0.246,5734174.0
0.2461,0.2507,0.2432,0.2501,6051089.0
0.2501,0.2519,0.247,0.2486,6025010.0
0.2486,0.2502,0.2476,0.2488,2980196.0
0.2487,0.2517,0.2484,0.25,3194720.0
0.25,0.2523,0.2495,0.2497,3106130.0
0.2497,0.2506,0.2484,0.2487,2932791.0
0.2488,0.2498,0.2468,0.2487,2975245.0
0.2487,0.2506,0.2484,0.2497,3591367.0
0.2496,0.2517,0.2486,0.2494,3713114.0
0.2494,0.2522,0.2488,0.249,2923338.0
0.249,0.2494,0.2472,0.2477,3333869.0
0.2477,0.2501,0.2463,0.2497,4059740.0
0.2496,0.2505,0.2469,0.2477,5740484.0
0.2477,0.2483,0.2368,0.2405,17045270.0
0.2405,0.2429,0.2386,0.2406,10327398.0
0.2405,0.2414,0.2376,0.2387,7018087.0
0.2387,0.2398,0.2353,0.2381,6979544.0
0.2381,0.2391,0.2341,0.2352,9746415.0
0.2352,0.2373,0.2348,0.2367,5396300.0
0.2368,0.2397,0.2331,0.2372,11242799.0
0.2373,0.2391,0.236,0.2383,4003660.0
0.2384,0.2395,0.2347,0.2394,4867383.0
0.2394,0.2405,0.2371,0.2383,2650554.0
0.2384,0.2393,0.2335,0.2374,6945276.0
0.2375,0.2467,0.2371,0.2458,11056794.0
0.2458,0.2506,0.2456,0.2495,6480730.0
0.2496,0.2513,0.2471,0.2473,4440463.0
0.2472,0.2504,0.2471,0.2474,3845572.0
0.2475,0.2499,0.2473,0.2489,2341180.0
0.2489,0.2506,0.2478,0.2499,2949905.0
0.2499,0.2502,0.2476,0.2477,2397288.0
0.2478,0.2492,0.2474,0.2484,1914976.0
0.2485,0.2498,0.2472,0.2482,2161207.0
0.2482,0.2491,0.2471,0.2481,2224314.0
0.2481,0.25,0.2475,0.2479,7693434.0
0.2479,0.2553,0.2467,0.2509,12426730.0
0.2509,0.2535,0.2474,0.2499,7402509.0
0.2499,0.2555,0.2495,0.2553,6715348.0
0.2553,0.2564,0.2537,0.2561,5458204.0
0.2561,0.2591,0.2557,0.2568,8336432.0
0.2568,0.2583,0.2557,0.2559,3677261.0
0.2559,0.2568,0.2558,0.256,1710940.0
0.2561,0.2579,0.2558,0.2565,2153675.0
0.2565,0.2584,0.2563,0.2576,2072549.0
0.2576,0.2634,0.2575,0.2627,4488992.0
0.2628,0.2675,0.261,0.2662,8880006.0
0.2663,0.2677,0.265,0.2668,7916620.0
0.2669,0.2669,0.2639,0.2647,6936414.0
0.2647,0.2651,0.2633,0.2645,3016454.0
0.2645,0.2648,0.2631,0.2632,3112259.0
0.2631,0.2647,0.2628,0.2643,1852485.0
0.2642,0.2646,0.2606,0.2607,2909308.0
0.2607,0.263,0.2599,0.263,2803295.0
0.2631,0.2642,0.2624,0.263,2118284.0
0.263,0.2646,0.2628,0.264,1990437.0
0.2639,0.2656,0.263,0.2652,2683583.0
0.2651,0.2656,0.263,0.2639,3126967.0
0.2639,0.2648,0.2612,0.2638,4743485.0
0.2638,0.2647,0.2631,0.2644,2107941.0
0.2645,0.2647,0.2619,0.2633,2909052.0
0.2633,0.264,0.2594,0.2625,5532469.0
0.2625,0.266,0.2577,0.2621,10468519.0
0.2622,0.2631,0.259,0.2592,5378736.0
0.2591,0.2619,0.2585,0.2611,3687016.0
0.2611,0.2623,0.26,0.261,3378049.0
0.261,0.262,0.26,0.262,2414959.0
0.2619,0.2626,0.2613,0.2619,2265077.0
0.2619,0.2632,0.2614,0.262,1359912.0
0.262,0.2634,0.2597,0.263,3268122.0
0.2629,0.2645,0.2615,0.2632,2477678.0
0.2632,0.2649,0.262,0.2645,2009428.0
0.2646,0.2687,0.2634,0.2636,6294107.0
0.2636,0.2656,0.2629,0.263,2412387.0
0.263,0.2656,0.2627,0.2642,2152401.0
0.2642,0.2642,0.2623,0.2636,2213089.0
0.2637,0.264,0.262,0.2632,1384812.0
0.2633,0.2637,0.2624,0.2631,981196.0
0.2631,0.2646,0.2625,0.2642,1324467.0
0.2642,0.2661,0.264,0.2659,2293224.0
0.2659,0.2661,0.2644,0.2645,1453062.0
0.2645,0.2673,0.2645,0.2665,2296320.0
0.2665,0.2678,0.2652,0.2672,2959670.0
0.2671,0.2677,0.2667,0.2673,1764955.0
0.2674,0.2677,0.2664,0.267,1370628.0
0.2669,0.267,0.2652,0.2653,1715486.0
0.2653,0.2673,0.265,0.2671,1690337.0
0.2671,0.2699,0.2671,0.268,3517396.0
0.2681,0.2709,0.2672,0.2704,5775417.0
0.2704,0.2708,0.2688,0.2703,3252761.0
0.2702,0.2717,0.2699,0.27,2626293.0
0.2699,0.2728,0.2697,0.2724,1826734.0
0.2724,0.2743,0.2723,0.2733,2573884.0
0.2734,0.275,0.2733,0.2737,2676793.0
0.2737,0.2737,0.272,0.2721,1685111.0
0.2722,0.2722,0.2702,0.2714,3265436.0
0.2714,0.272,0.2698,0.2707,3492713.0
0.2706,0.2711,0.2691,0.2704,2105641.0
0.2705,0.2708,0.2695,0.2699,1152066.0
0.2699,0.2718,0.2696,0.2699,1895795.0
0.27,0.2703,0.2686,0.2688,1243867.0
0.2688,0.2708,0.2686,0.2708,1900045.0
0.2707,0.2709,0.2697,0.2697,1436505.0
0.2697,0.2711,0.2697,0.2704,1133442.0
0.2704,0.2724,0.2699,0.2716,1582575.0
0.2715,0.274,0.2705,0.2714,3647049.0
0.2714,0.2714,0.2693,0.2695,2680064.0
0.2695,0.2697,0.2659,0.2669,3368667.0
0.2669,0.2678,0.2629,0.2649,7942302.0
0.2649,0.265,0.2622,0.2641,4355065.0
0.264,0.2644,0.2596,0.2608,4446270.0
0.2607,0.262,0.2589,0.2599,4667435.0
0.26,0.2622,0.2593,0.2613,3466201.0
0.2613,0.2618,0.2599,0.2609,1720607.0
0.2608,0.2611,0.259,0.2593,3114535.0
0.2592,0.2593,0.2543,0.2549,6565907.0
0.2549,0.255,0.2506,0.2512,10067591.0
0.2512,0.2527,0.2494,0.2523,3494138.0
0.2522,0.2533,0.2489,0.2516,4122749.0
0.2515,0.2517,0.25,0.2514,2121865.0
0.2514,0.2541,0.2507,0.2529,5901137.0
0.2529,0.2543,0.2514,0.2526,2339780.0
0.2526,0.2532,0.2516,0.2531,1881010.0
0.253,0.2536,0.2514,0.2524,1346557.0
0.2523,0.254,0.2523,0.2528,1728676.0
0.2528,0.2538,0.2523,0.2536,1206845.0
0.2535,0.2539,0.2513,0.2522,1874709.0
0.2521,0.2565,0.2488,0.2553,7755180.0
0.2552,0.259,0.2541,0.2548,4447427.0
0.2548,0.2574,0.2546,0.2568,2572538.0
0.2568,0.2598,0.2556,0.2597,3577262.0
0.2596,0.2647,0.2592,0.2641,5242873.0
0.2641,0.2656,0.2625,0.2642,3986209.0
0.2641,0.2649,0.2545,0.2554,8886881.0
0.2555,0.2664,0.253,0.2662,16027469.0
0.2662,0.2673,0.2609,0.2656,10553370.0
0.2656,0.2674,0.2642,0.2654,4142315.0
0.2653,0.2666,0.2633,0.2635,2043379.0
0.2635,0.2647,0.2585,0.2589,4394512.0
0.259,0.2616,0.2589,0.2596,3872165.0
0.2596,0.2613,0.2585,0.2589,2771419.0
0.2588,0.2595,0.2564,0.2591,2703853.0
0.2591,0.2604,0.2582,0.2595,2189099.0
