open,high,low,close,volume
0.7778,0.778,0.7746,0.7765,148730.0
0.7764,0.7803,0.7757,0.7788,178287.0
0.7787,0.7812,0.7748,0.7779,368387.0
0.7778,0.7787,0.7741,0.7768,160687.0
0.7769,0.7824,0.7758,0.7798,270633.0
0.7799,0.7814,0.7681,0.769,549000.0
0.7689,0.7766,0.768,0.7705,1056574.0
0.7707,0.773,0.7646,0.7659,584010.0
0.7661,0.7711,0.7647,0.7696,680750.0
0.7697,0.7713,0.7584,0.7586,710204.0
0.7588,0.7655,0.7556,0.7606,467687.0
0.7606,0.7659,0.7587,0.7599,388919.0
0.7601,0.7617,0.7555,0.7556,461894.0
0.7558,0.7616,0.7512,0.7604,1304298.0
0.7603,0.7626,0.755,0.7623,470846.0
0.7621,0.764,0.7578,0.7634,274904.0
0.7634,0.7669,0.7607,0.7627,313512.0
0.7627,0.7663,0.761,0.7637,211873.0
0.7636,0.7651,0.7588,0.7589,191050.0
0.7588,0.7642,0.7588,0.7639,252383.0
0.7639,0.7708,0.7621,0.7698,281342.0
0.77,0.7726,0.7659,0.7683,389493.0
0.7683,0.7712,0.7629,0.7684,417882.0
0.7684,0.7718,0.7676,0.768,304457.0
0.768,0.771,0.7662,0.7696,333035.0
0.7693,0.7707,0.7645,0.7648,181788.0
0.7649,0.7667,0.7637,0.7662,178021.0
0.7662,0.7666,0.7614,0.7614,136306.0
0.7615,0.7619,0.7465,0.7491,921841.0
0.7488,0.7504,0.7442,0.7467,1304684.0
0.7466,0.7622,0.7451,0.7549,1500239.0
0.755,0.7585,0.7434,0.7563,1833029.0
0.7564,0.7567,0.7437,0.7538,1130023.0
0.7538,0.7655,0.7494,0.7633,700650.0
0.7632,0.7679,0.7595,0.7648,398262.0
0.7648,0.7667,0.7625,0.763,265863.0
0.763,0.7713,0.7626,0.7673,376630.0
0.7674,0.7679,0.7591,0.7613,407150.0
0.7613,0.7628,0.7274,0.7345,2085389.0
0.734,0.739,0.709,0.7348,4967938.0
0.7346,0.735,0.7162,0.7276,1872604.0
0.7279,0.7284,0.7165,0.7234,986571.0
0.7234,0.7354,0.7225,0.7326,988191.0
0.7326,0.7425,0.7126,0.7327,2542733.0
0.7329,0.7341,0.6831,0.7139,6177829.0
0.7139,0.7383,0.7082,0.7316,2076579.0
0.7315,0.7358,0.7206,0.7248,1492615.0
0.7247,0.7306,0.7173,0.7268,1202703.0
0.7268,0.7274,0.7016,0.7097,1745703.0
0.7097,0.7189,0.6905,0.716,1986080.0
0.7157,0.7225,0.6932,0.7009,2900193.0
0.7009,0.7314,0.695,0.7276,3451956.0
0.7275,0.775,0.7272,0.7655,4504572.0
0.766,0.7857,0.7609,0.7769,2592165.0
0.7769,0.7936,0.7735,0.7772,2349115.0
0.7774,0.7846,0.7711,0.7758,1152180.0
0.776,0.7769,0.7533,0.7549,890933.0
0.755,0.7634,0.7521,0.761,984254.0
0.7607,0.7693,0.7597,0.7668,674736.0
0.7668,0.7745,0.7634,0.7649,701422.0
0.765,0.7778,0.7646,0.7749,506713.0
0.775,0.7799,0.7662,0.767,743385.0
0.767,0.7905,0.766,0.7903,989967.0
0.7903,0.7992,0.7832,0.786,798773.0
0.7861,0.7897,0.7782,0.7818,494708.0
0.7819,0.7837,0.7762,0.7773,397604.0
0.7773,0.7888,0.7761,0.7885,457677.0
0.7886,0.7951,0.7869,0.795,550405.0
0.795,0.7963,0.7843,0.7852,666851.0
0.7853,0.7912,0.7837,0.7911,487397.0
0.7912,0.7959,0.7738,0.7747,982298.0
0.7747,0.7808,0.77,0.7787,730505.0
0.7787,0.7787,0.7727,0.7768,329324.0
0.7768,0.7801,0.7752,0.7773,433025.0
0.7772,0.7794,0.7699,0.7717,504794.0
0.7716,0.7732,0.7609,0.7669,1189779.0
0.7669,0.7865,0.7665,0.7802,1065828.0
0.7803,0.785,0.7775,0.7833,616897.0
0.7833,0.7935,0.7824,0.7902,604153.0
0.79,0.7937,0.7886,0.7917,364138.0
0.7917,0.7972,0.7917,0.7931,536301.0
0.7931,0.7936,0.7889,0.7898,336506.0
0.7898,0.7935,0.7868,0.7928,378697.0
0.7928,0.8,0.7928,0.7999,405064.0
0.8,0.8141,0.7996,0.8063,1713226.0
0.8063,0.8186,0.8057,0.818,971160.0
0.8179,0.828,0.8118,0.8229,1958356.0
0.8229,0.8264,0.8139,0.8253,1520506.0
0.8253,0.8278,0.8153,0.8199,1036480.0
0.8197,0.8261,0.8191,0.8223,784418.0
0.8223,0.8318,0.8219,0.8301,916128.0
0.8299,0.848,0.8299,0.8391,2628486.0
0.8391,0.8414,0.8224,0.8253,960800.0
0.8252,0.8306,0.8225,0.8226,711764.0
0.8226,0.8283,0.8189,0.821,956387.0
0.8209,0.8288,0.8207,0.8254,577367.0
0.8253,0.8336,0.8244,0.8244,513221.0
0.8244,0.8249,0.8185,0.8207,467912.0
0.8206,0.8247,0.8185,0.822,424696.0
0.8221,0.8255,0.814,0.8162,800602.0
0.8163,0.8195,0.8031,0.8081,1998893.0
0.8082,0.8171,0.8064,0.8143,979971.0
0.8144,0.8152,0.8053,0.8104,690357.0
0.8104,0.8151,0.807,0.8148,678933.0
0.8148,0.8151,0.8046,0.8072,786429.0
0.8073,0.8149,0.8067,0.8128,770479.0
0.8129,0.8176,0.8053,0.8077,878873.0
0.8078,0.8212,0.8068,0.8187,615915.0
0.8187,0.8228,0.8087,0.8162,801874.0
0.8163,0.8204,0.8141,0.8169,503074.0
0.8168,0.8169,0.7981,0.8034,785547.0
0.8036,0.8192,0.8031,0.8161,926396.0
0.816,0.825,0.8154,0.8182,601959.0
0.8182,0.8217,0.816,0.816,432186.0
0.816,0.8246,0.8159,0.8198,527563.0
0.8198,0.8238,0.8183,0.8183,253694.0
0.8183,0.8212,0.8163,0.8204,254297.0
0.8204,0.8236,0.819,0.819,288836.0
0.8191,0.8257,0.8184,0.8248,695014.0
0.8248,0.8286,0.8237,0.8275,509716.0
0.8275,0.8308,0.8263,0.8281,435321.0
0.828,0.8335,0.828,0.8311,370490.0
0.8311,0.8328,0.818,0.8206,1070304.0
0.8207,0.8226,0.8057,0.8106,1014631.0
0.8104,0.8154,0.8089,0.8154,605247.0
0.8153,0.8182,0.8142,0.817,683325.0
0.8168,0.8217,0.816,0.8203,556352.0
0.8204,0.8262,0.8169,0.8176,413824.0
0.8175,0.8216,0.8173,0.8186,252848.0
0.8186,0.8219,0.8174,0.8185,221460.0
0.8185,0.8216,0.8179,0.8208,139531.0
0.8209,0.8277,0.8209,0.8255,350965.0
0.8255,0.8257,0.8171,0.8206,809672.0
0.8206,0.8231,0.8167,0.8174,726594.0
0.8173,0.8269,0.8167,0.8236,858682.0
0.8236,0.8246,0.818,0.822,445840.0
0.822,0.822,0.8121,0.8121,562091.0
0.8121,0.8148,0.8116,0.8142,257228.0
