open,high,low,close,volume
0.05056,0.05073,0.04937,0.04982,24990453.0
0.04982,0.05005,0.049,0.04905,16703543.0
0.04906,0.0497,0.04842,0.04856,20253857.0
0.04856,0.04868,0.04796,0.04828,12598699.0
0.04829,0.0492,0.04752,0.04754,19216750.0
0.04753,0.04845,0.04501,0.04502,86089488.0
0.04501,0.04522,0.04182,0.04199,170521499.0
0.04201,0.04364,0.04098,0.04143,201679925.0
0.04143,0.04304,0.04101,0.04153,134308324.0
0.04153,0.0421,0.04047,0.04068,69803195.0
0.04068,0.04158,0.04042,0.04084,46277524.0
0.04085,0.0421,0.04054,0.04208,43627565.0
0.04206,0.043,0.04173,0.04273,38321169.0
0.04274,0.04416,0.04271,0.0435,46385035.0
0.0435,0.04422,0.04257,0.0426,34015100.0
0.0426,0.04278,0.04191,0.04248,17073251.0
0.04247,0.04307,0.04225,0.04275,17488932.0
0.04275,0.04276,0.0419,0.04224,12347610.0
0.04224,0.04247,0.04172,0.04178,10963733.0
0.04178,0.04199,0.04151,0.04177,9159290.0
0.04178,0.04228,0.04172,0.04221,11290750.0
0.04219,0.04234,0.04162,0.04186,16888730.0
0.04187,0.0425,0.0417,0.04228,21226536.0
0.04228,0.04486,0.04202,0.04461,93447990.0
0.04459,0.04498,0.04272,0.04388,84323450.0
0.04388,0.04458,0.04329,0.0436,35215841.0
0.0436,0.04374,0.04315,0.04356,21571880.0
0.04357,0.04427,0.04302,0.0434,25153641.0
0.04339,0.04367,0.04222,0.04235,38925927.0
0.04235,0.04236,0.0415,0.04162,24430302.0
0.04161,0.04218,0.0408,0.04092,31114226.0
0.0409,0.04125,0.03986,0.04116,36717130.0
0.04119,0.04245,0.04093,0.04227,60426608.0
0.04226,0.04421,0.04202,0.04348,48332488.0
0.04345,0.04364,0.0415,0.04201,38555097.0
0.04202,0.04209,0.04134,0.0416,11369672.0
0.04161,0.04241,0.04139,0.04165,17545755.0
0.04165,0.04165,0.04057,0.04066,14993746.0
0.04069,0.04151,0.03882,0.0394,38147069.0
0.03941,0.03954,0.03526,0.03782,89679934.0
0.03783,0.038,0.03689,0.03795,47155027.0
0.03792,0.03803,0.03704,0.03769,21117387.0
0.0377,0.03918,0.03758,0.03865,27640999.0
0.03865,0.03921,0.03751,0.03837,44954677.0
0.03838,0.03863,0.03295,0.03386,184971316.0
0.03388,0.03573,0.03373,0.03474,55073063.0
0.03476,0.03495,0.03245,0.03248,55902274.0
0.0325,0.03302,0.03138,0.03199,83881350.0
0.03198,0.03218,0.03071,0.03097,53615063.0
0.03097,0.031,0.03002,0.03063,41535624.0
0.03061,0.03111,0.02993,0.03007,50053154.0
0.03006,0.03244,0.02949,0.03111,138645843.0
0.03111,0.03237,0.03091,0.03169,154188703.0
0.0317,0.03272,0.03135,0.03255,84731146.0
0.03255,0.03399,0.03241,0.03264,112183820.0
0.03263,0.03349,0.03259,0.03288,41579430.0
0.03288,0.03303,0.03149,0.03151,43582454.0
0.0315,0.03313,0.03145,0.03295,94174275.0
0.03294,0.03371,0.03292,0.03342,43307000.0
0.03341,0.0339,0.03273,0.03283,37057374.0
0.03284,0.03338,0.0326,0.03294,17619742.0
0.03295,0.03339,0.03238,0.03262,18491502.0
0.03263,0.03514,0.0326,0.03507,48740465.0
0.03505,0.03538,0.03433,0.03504,44900268.0
0.03503,0.03558,0.03469,0.03545,32710443.0
0.03545,0.03574,0.03483,0.03524,41599133.0
0.03526,0.03607,0.03504,0.03562,37876995.0
0.03559,0.03713,0.03536,0.03701,48830699.0
0.03701,0.03998,0.03606,0.03632,114819839.0
0.03631,0.03656,0.03585,0.03613,34595550.0
0.03615,0.03638,0.03497,0.03534,40586426.0
0.03534,0.03535,0.03469,0.03497,27947208.0
0.03498,0.03517,0.0346,0.03468,15303091.0
0.03469,0.035,0.03435,0.03467,29048099.0
0.03465,0.03483,0.03417,0.0343,17751881.0
0.03431,0.03506,0.03421,0.03497,32930833.0
0.03496,0.03618,0.03487,0.03526,50896818.0
0.03528,0.03605,0.035,0.03556,32050757.0
0.03557,0.03571,0.03483,0.03532,23468414.0
0.03533,0.03573,0.03492,0.03492,15477299.0
0.03493,0.03522,0.03489,0.03494,12468036.0
0.03494,0.03531,0.03477,0.03497,10023539.0
0.03496,0.03504,0.03421,0.0346,37941685.0
0.03461,0.03499,0.03448,0.03477,15924698.0
0.03477,0.03521,0.03434,0.03471,19720307.0
0.03472,0.03493,0.03449,0.03472,10561196.0
0.03472,0.03523,0.03422,0.03485,24516794.0
0.03484,0.03553,0.03416,0.03546,18637577.0
0.03548,0.0357,0.03487,0.03519,17100986.0
0.03517,0.03554,0.03507,0.03539,7192223.0
0.03537,0.03572,0.03529,0.03548,15820217.0
0.03547,0.03571,0.03526,0.03542,14119521.0
0.03541,0.03568,0.03522,0.03553,17886496.0
0.03552,0.03558,0.03493,0.03537,13522330.0
0.03537,0.03557,0.03508,0.03512,10886010.0
0.03512,0.03541,0.03495,0.03502,11012216.0
0.03502,0.03546,0.03485,0.03505,13900336.0
0.03503,0.03509,0.03443,0.03445,13716731.0
0.03446,0.03499,0.03438,0.03481,14271208.0
0.03481,0.03501,0.03424,0.03456,17034443.0
0.03454,0.03463,0.03314,0.03361,31897753.0
0.0336,0.03381,0.03293,0.0332,28270548.0
0.03318,0.03334,0.03293,0.03318,12941350.0
0.03318,0.03351,0.03293,0.03326,15366492.0
0.03326,0.03331,0.03252,0.03272,19468796.0
0.03274,0.03313,0.03262,0.03278,11243539.0
0.03279,0.03286,0.03167,0.03212,26764166.0
0.03213,0.03241,0.03198,0.03205,15220345.0
0.03203,0.0323,0.03145,0.03225,18790166.0
0.03225,0.03234,0.0318,0.03202,11075516.0
0.03202,0.03213,0.03125,0.03187,15602354.0
0.03187,0.03317,0.03184,0.03311,14732102.0
0.03309,0.0338,0.03307,0.03363,12877353.0
0.03366,0.03386,0.0332,0.03321,10222408.0
0.03321,0.03395,0.03321,0.0335,9059382.0
0.0335,0.0338,0.03346,0.03363,5417088.0
0.03363,0.03374,0.03342,0.0336,7379022.0
0.03361,0.03376,0.03317,0.03319,6999188.0
0.0332,0.0335,0.03316,0.03343,4577167.0
0.03343,0.03354,0.03324,0.03333,3602330.0
0.03333,0.03347,0.03314,0.03329,7287806.0
0.03329,0.03331,0.03301,0.03309,5804707.0
