open,high,low,close,volume
1.538,1.543,1.527,1.529,305311.1
1.528,1.532,1.525,1.525,116395.7
1.525,1.541,1.52,1.528,377941.6
1.527,1.528,1.512,1.519,161000.7
1.519,1.53,1.516,1.519,272864.5
1.52,1.528,1.478,1.482,377203.7
1.481,1.492,1.455,1.476,1003363.5
1.477,1.477,1.444,1.451,754228.3
1.451,1.453,1.413,1.422,884993.2
1.423,1.438,1.415,1.417,580887.6
1.416,1.437,1.409,1.424,459709.6
1.424,1.446,1.418,1.445,310123.1
1.446,1.453,1.439,1.449,195936.1
1.45,1.457,1.44,1.446,236504.4
1.446,1.465,1.444,1.465,256692.8
1.465,1.466,1.444,1.453,194994.2
1.453,1.48,1.452,1.47,206219.8
1.469,1.486,1.461,1.475,144407.1
1.476,1.487,1.471,1.474,208832.9
1.474,1.483,1.473,1.482,102938.1
1.481,1.488,1.477,1.479,184989.0
1.479,1.48,1.454,1.456,179457.7
1.456,1.474,1.446,1.469,270332.4
1.468,1.471,1.456,1.457,175242.0
1.457,1.462,1.451,1.462,257527.4
1.461,1.464,1.451,1.454,122320.4
1.453,1.465,1.449,1.463,208864.9
1.464,1.465,1.441,1.441,128556.4
1.442,1.443,1.396,1.4,877525.5
1.399,1.4,1.377,1.381,903962.0
1.382,1.394,1.357,1.362,750325.4
1.361,1.368,1.321,1.357,1335869.9
1.357,1.374,1.336,1.372,873250.9
1.371,1.4,1.357,1.388,696563.0
1.388,1.407,1.372,1.38,551684.2
1.381,1.386,1.372,1.377,192610.2
1.377,1.39,1.366,1.374,398458.1
1.374,1.375,1.348,1.353,331180.5
1.353,1.366,1.275,1.289,1675546.0
1.289,1.292,1.112,1.212,6454229.2
1.212,1.23,1.175,1.228,2169311.9
1.229,1.229,1.194,1.2,1029965.9
1.2,1.224,1.193,1.206,798601.2
1.206,1.218,1.158,1.187,2186738.8
1.187,1.195,1.083,1.152,4807019.9
1.152,1.211,1.144,1.182,2605471.5
1.182,1.182,1.15,1.162,1208609.6
1.161,1.165,1.133,1.157,1040720.2
1.156,1.16,1.111,1.123,1380578.1
1.123,1.129,1.085,1.128,1750156.9
1.128,1.138,1.092,1.105,1765649.0
1.105,1.181,1.082,1.173,2564313.1
1.174,1.231,1.174,1.222,2299764.6
1.223,1.274,1.21,1.262,1650961.7
1.262,1.306,1.257,1.276,1284056.4
1.275,1.299,1.26,1.264,868379.9
1.265,1.268,1.221,1.222,728090.6
1.222,1.24,1.211,1.227,954558.7
1.227,1.244,1.223,1.234,490595.1
1.233,1.248,1.22,1.234,549283.3
1.234,1.25,1.226,1.243,426990.9
1.244,1.256,1.231,1.232,354989.7
1.232,1.303,1.228,1.303,1350968.4
1.302,1.322,1.289,1.299,870287.5
1.298,1.308,1.29,1.3,350020.6
1.299,1.311,1.291,1.295,380364.1
1.295,1.306,1.285,1.299,415242.5
1.299,1.319,1.289,1.317,495752.3
1.316,1.323,1.306,1.311,458691.4
1.311,1.32,1.3,1.313,331221.1
1.313,1.313,1.269,1.281,561509.9
1.28,1.291,1.271,1.291,655827.0
1.29,1.295,1.276,1.288,348045.4
1.287,1.291,1.275,1.282,374453.8
1.281,1.293,1.273,1.279,373411.5
1.278,1.285,1.256,1.275,923899.8
1.275,1.333,1.275,1.304,997648.0
1.304,1.315,1.286,1.304,450374.6
1.304,1.32,1.294,1.311,348540.8
1.31,1.321,1.302,1.303,429556.2
1.303,1.315,1.298,1.298,352060.0
1.298,1.301,1.289,1.292,266653.7
1.292,1.302,1.284,1.292,357091.1
1.292,1.299,1.285,1.296,175512.3
1.296,1.306,1.271,1.278,803736.4
1.279,1.288,1.272,1.284,365422.0
1.284,1.298,1.273,1.289,386800.3
1.289,1.321,1.276,1.319,459912.1
1.319,1.331,1.303,1.31,341477.2
1.311,1.325,1.309,1.322,244377.8
1.322,1.339,1.32,1.329,264751.8
1.328,1.337,1.321,1.321,221457.6
1.321,1.326,1.313,1.32,190881.2
1.319,1.329,1.31,1.322,202837.4
1.322,1.33,1.317,1.324,207618.4
1.324,1.338,1.318,1.327,355592.3
1.327,1.339,1.318,1.319,201626.8
1.318,1.32,1.3,1.301,390457.7
1.301,1.312,1.29,1.306,521368.4
1.307,1.313,1.285,1.291,543180.8
1.292,1.295,1.241,1.264,1157007.1
1.263,1.277,1.253,1.265,535628.5
1.265,1.268,1.23,1.235,1113255.3
1.235,1.239,1.215,1.225,794873.2
1.225,1.235,1.207,1.215,1412487.7
1.215,1.223,1.206,1.215,743352.7
1.216,1.228,1.196,1.219,944760.0
1.22,1.223,1.207,1.214,492345.3
1.214,1.215,1.189,1.208,718773.5
1.208,1.214,1.199,1.204,576718.9
1.205,1.209,1.18,1.201,830136.7
1.201,1.247,1.197,1.242,1214258.4
1.242,1.267,1.241,1.258,587792.1
1.258,1.27,1.249,1.25,258921.3
1.25,1.263,1.244,1.247,519860.9
1.246,1.263,1.246,1.257,258760.1
1.258,1.26,1.249,1.251,279152.2
1.251,1.256,1.246,1.249,348798.5
1.25,1.261,1.242,1.259,262804.3
1.259,1.266,1.251,1.255,359512.7
1.255,1.266,1.253,1.26,260507.3
1.261,1.266,1.257,1.258,224256.4
1.258,1.303,1.248,1.274,999089.8
1.274,1.285,1.253,1.268,624654.7
1.267,1.305,1.265,1.304,735782.3
1.303,1.316,1.298,1.313,566962.3
1.314,1.337,1.313,1.323,689495.6
1.323,1.331,1.313,1.315,349346.3
1.315,1.322,1.31,1.313,163236.0
1.312,1.322,1.311,1.32,185905.7
1.319,1.331,1.317,1.322,189115.2
1.322,1.37,1.322,1.365,338518.0
1.365,1.368,1.343,1.363,714238.5
1.363,1.369,1.354,1.368,465028.6
1.368,1.369,1.339,1.345,760111.0
1.345,1.345,1.334,1.339,245416.2
1.339,1.353,1.333,1.345,314856.0
1.345,1.355,1.344,1.348,118206.4
1.347,1.352,1.326,1.326,211382.4
1.326,1.336,1.321,1.33,226991.7
1.33,1.337,1.326,1.332,243012.9
1.333,1.345,1.332,1.339,193430.8
1.34,1.341,1.328,1.335,271267.1
1.336,1.336,1.319,1.321,242388.7
1.322,1.325,1.31,1.32,222722.3
1.321,1.329,1.319,1.328,142864.3
1.327,1.33,1.311,1.319,183729.7
1.32,1.326,1.299,1.305,512616.5
1.305,1.319,1.275,1.29,1009791.8
1.29,1.303,1.281,1.283,497186.1
1.283,1.309,1.282,1.3,388256.3
1.3,1.305,1.293,1.296,352097.7
1.297,1.3,1.285,1.294,265649.5
1.293,1.294,1.283,1.292,188711.6
1.292,1.304,1.287,1.3,219077.3
1.301,1.303,1.284,1.3,266421.4
1.3,1.307,1.289,1.298,254379.0
1.298,1.31,1.291,1.31,256178.4
1.309,1.326,1.295,1.296,406488.2
1.296,1.307,1.292,1.299,199690.0
1.299,1.31,1.296,1.305,115607.2
1.304,1.306,1.288,1.3,127583.1
1.3,1.301,1.284,1.289,157425.7
1.289,1.293,1.285,1.29,133617.3
1.291,1.301,1.288,1.298,131059.4
1.299,1.308,1.297,1.308,132087.6
1.307,1.309,1.297,1.3,113454.7
1.301,1.309,1.297,1.306,209491.7
1.305,1.32,1.303,1.316,261902.7
1.316,1.326,1.313,1.325,143555.8
1.325,1.326,1.314,1.317,144975.4
1.316,1.318,1.307,1.308,126124.5
1.308,1.314,1.303,1.308,202608.5
1.309,1.324,1.306,1.314,178455.6
1.313,1.322,1.31,1.316,142458.4
1.316,1.318,1.307,1.316,129618.0
1.317,1.322,1.311,1.315,155229.2
1.316,1.319,1.314,1.317,99577.8
1.316,1.322,1.309,1.316,139250.1
1.315,1.324,1.314,1.322,113533.6
1.322,1.324,1.314,1.318,134153.1
1.318,1.321,1.312,1.317,98200.3
1.318,1.326,1.313,1.324,175496.3
1.323,1.329,1.318,1.325,201732.9
1.325,1.328,1.318,1.319,106089.5
1.318,1.333,1.317,1.322,196608.8
1.321,1.324,1.316,1.318,92058.8
1.317,1.327,1.317,1.327,67469.5
1.326,1.332,1.323,1.328,134813.0
1.328,1.338,1.328,1.337,137278.4
1.336,1.345,1.332,1.342,105875.5
1.341,1.36,1.336,1.339,307461.8
1.339,1.345,1.332,1.343,146301.6
1.343,1.344,1.318,1.324,297442.6
1.324,1.329,1.308,1.314,312109.0
1.315,1.316,1.3,1.308,252840.5
1.308,1.312,1.282,1.291,383182.3
1.291,1.293,1.278,1.283,406825.9
1.282,1.287,1.268,1.284,275010.0
1.283,1.289,1.277,1.284,194720.6
1.283,1.286,1.27,1.28,243864.0
1.281,1.281,1.25,1.251,375785.0
1.251,1.253,1.221,1.223,777755.1
1.222,1.237,1.218,1.234,372174.3
1.233,1.24,1.212,1.226,423700.8
1.225,1.227,1.213,1.221,244029.8
1.221,1.237,1.217,1.231,502848.5
1.23,1.242,1.226,1.237,268539.5
1.237,1.238,1.229,1.234,194281.6
1.234,1.236,1.228,1.231,174478.0
1.231,1.262,1.23,1.254,801578.2
1.253,1.279,1.251,1.265,1008461.2
1.265,1.278,1.26,1.27,496351.9
1.269,1.29,1.245,1.278,780417.8
1.278,1.298,1.275,1.278,707705.2
1.277,1.303,1.277,1.293,469549.3
1.293,1.315,1.291,1.314,503167.6
1.314,1.343,1.312,1.331,754155.9
1.331,1.339,1.322,1.336,518399.9
1.336,1.339,1.295,1.298,570950.3
1.3,1.366,1.288,1.365,935897.3
1.366,1.379,1.336,1.359,967629.0
1.36,1.371,1.352,1.358,385542.8
1.358,1.367,1.354,1.354,358838.3
1.355,1.363,1.331,1.333,388789.9
1.333,1.349,1.332,1.34,341976.5
1.34,1.35,1.334,1.337,298260.7
1.336,1.336,1.321,1.33,243554.5
1.33,1.337,1.318,1.321,326154.5
1.321,1.349,1.32,1.345,338804.7
1.345,1.349,1.335,1.337,270288.5
1.336,1.346,1.332,1.338,165107.3
1.338,1.338,1.321,1.328,198797.7
1.328,1.334,1.308,1.312,361357.7
1.312,1.331,1.308,1.329,217996.9
1.329,1.335,1.326,1.328,183144.3
1.328,1.339,1.323,1.338,200082.9
1.337,1.341,1.333,1.336,171718.6
1.336,1.34,1.323,1.327,161074.0
1.327,1.328,1.308,1.316,302293.2
1.315,1.318,1.305,1.312,206434.2
1.313,1.322,1.31,1.321,138451.6
1.321,1.34,1.319,1.337,417218.5
1.338,1.346,1.324,1.344,505691.2
1.343,1.347,1.321,1.335,272545.7
1.335,1.34,1.327,1.334,217867.7
1.334,1.367,1.333,1.364,389502.6
1.365,1.378,1.363,1.376,431257.9
1.375,1.378,1.366,1.367,252459.8
1.366,1.371,1.351,1.369,338947.7
1.368,1.368,1.358,1.359,137347.8
1.36,1.374,1.358,1.373,161552.9
1.373,1.376,1.363,1.373,228485.9
1.372,1.378,1.365,1.375,266325.6
1.374,1.382,1.365,1.38,316441.3
1.379,1.379,1.353,1.354,210675.2
1.354,1.357,1.349,1.351,160801.4
1.351,1.359,1.349,1.353,115960.2
1.351,1.356,1.348,1.349,132537.8
1.349,1.352,1.342,1.342,239022.0
1.342,1.352,1.336,1.341,238977.8
1.341,1.342,1.333,1.338,137047.8
1.339,1.34,1.329,1.337,182877.6
1.336,1.336,1.329,1.333,160908.3
1.334,1.349,1.332,1.338,333473.4
1.338,1.341,1.327,1.338,255903.3
1.338,1.365,1.334,1.342,727595.9
1.342,1.347,1.312,1.315,581480.2
1.314,1.324,1.297,1.321,543221.7
1.321,1.374,1.315,1.343,5760000.2
1.343,1.343,1.314,1.329,1598204.7
1.328,1.331,1.312,1.325,574893.4
1.325,1.335,1.321,1.33,486961.7
1.329,1.331,1.319,1.324,270469.9
1.323,1.334,1.323,1.329,265980.4
1.33,1.336,1.324,1.326,289814.1
1.326,1.34,1.315,1.338,314980.1
1.339,1.34,1.332,1.339,166797.0
1.338,1.345,1.329,1.338,353302.1
1.338,1.342,1.329,1.332,233461.2
1.332,1.342,1.328,1.334,275179.5
