open,high,low,close,volume
150.944,152.066,150.263,151.7,539525.0
151.701,152.541,151.319,152.311,589243.0
152.31,153.54,151.854,152.569,635355.0
152.569,152.809,151.265,151.935,504319.0
151.936,152.853,150.86,151.239,485242.0
151.239,151.945,145.988,146.111,2180095.0
146.109,147.549,144.623,145.766,3434827.0
145.765,146.468,141.8,142.398,2295307.0
142.398,142.843,139.412,141.59,2253921.0
141.591,142.999,140.353,140.387,1122157.0
140.386,142.313,140.0,140.779,1279093.0
140.779,143.27,140.23,142.783,932090.0
142.777,143.096,141.793,142.778,446197.0
142.781,143.882,142.156,142.456,657610.0
142.455,144.15,142.218,144.013,549526.0
144.015,144.181,141.821,144.036,747768.0
144.035,145.984,143.938,145.37,743008.0
145.371,145.727,143.89,144.25,532490.0
144.25,144.433,142.828,142.949,487042.0
142.949,144.387,142.82,143.561,340064.0
143.566,143.95,142.923,143.627,254771.0
143.627,143.679,140.509,140.799,988976.0
140.79,142.599,139.5,142.185,1396663.0
142.191,143.497,141.819,143.364,616845.0
143.364,144.211,142.522,143.959,575137.0
143.958,144.47,143.131,143.436,548812.0
143.437,144.937,143.006,144.833,627387.0
144.832,145.032,143.556,143.568,639551.0
143.568,143.857,137.285,137.728,3189613.0
137.729,137.783,134.873,135.163,2744234.0
135.163,136.777,132.652,133.151,2554071.0
133.14,135.856,131.0,134.918,3897024.0
134.921,140.003,134.416,139.007,2788814.0
139.018,142.91,138.1,141.922,2134046.0
141.921,143.951,141.084,142.692,1320642.0
142.683,142.827,140.005,140.359,853319.0
140.36,142.606,139.802,140.698,1219748.0
140.699,140.833,137.32,138.291,1079630.0
138.291,139.343,129.81,131.386,4271076.0
131.377,133.588,119.0,130.975,10383921.0
130.971,131.297,125.4,130.839,3719408.0
130.847,130.917,125.807,126.038,2362824.0
126.024,130.11,123.2,123.804,3276344.0
123.801,124.07,112.244,118.539,9891741.0
118.54,120.056,109.162,117.552,9931021.0
117.541,124.439,116.452,122.796,4839142.0
122.789,123.9,119.395,120.797,2869530.0
120.812,122.189,117.797,119.93,2226372.0
119.914,120.278,114.998,115.924,3048282.0
115.901,117.12,110.484,115.902,4718025.0
115.903,118.606,111.504,111.784,4524780.0
111.783,123.4,109.903,122.454,7404067.0
122.492,131.397,122.492,129.174,6787288.0
129.177,132.544,127.675,130.369,3485026.0
130.371,135.49,129.939,131.147,3433901.0
131.149,135.274,130.427,134.293,2046137.0
134.293,134.391,128.358,128.508,2212669.0
128.505,130.547,126.702,128.732,2087736.0
128.716,132.394,128.274,131.852,1453957.0
131.845,135.434,130.195,131.212,1371270.0
131.213,134.19,130.696,132.457,1056054.0
132.458,134.638,129.458,129.768,1065779.0
129.775,138.894,129.352,138.862,2652633.0
138.852,140.56,137.1,138.553,1840583.0
138.551,141.0,138.202,139.303,1096001.0
139.303,139.693,137.47,138.534,850466.0
138.533,141.185,137.425,141.057,1189692.0
141.057,143.37,139.241,143.007,1351126.0
143.001,143.913,141.35,141.438,1411806.0
141.437,142.359,139.916,141.892,1228754.0
141.885,142.021,136.574,137.436,2105304.0
137.447,139.386,136.3,138.809,1612432.0
138.808,139.776,137.78,139.16,1067301.0
139.16,141.0,137.945,139.348,1207448.0
139.347,140.484,137.467,137.78,1460456.0
137.766,140.568,136.052,138.871,2424000.0
138.869,146.313,138.615,144.732,3661219.0
144.735,146.3,143.646,145.8,1459743.0
145.799,147.898,144.818,147.334,1795910.0
147.329,148.44,145.04,145.056,1566666.0
145.055,147.666,145.011,145.968,1059591.0
145.965,147.75,145.054,146.233,1081254.0
146.233,147.86,145.056,147.282,1480153.0
147.287,147.636,145.795,147.187,988749.0
147.186,149.5,144.511,145.083,1888160.0
145.095,145.882,143.163,144.328,1078427.0
144.329,145.968,142.632,144.701,1350870.0
144.701,149.145,142.1,149.015,1713038.0
149.021,151.77,147.534,149.311,2186292.0
149.301,151.536,148.895,151.459,994815.0
151.473,154.549,151.103,153.235,1825802.0
153.24,154.888,152.821,153.158,1233145.0
153.173,153.936,151.552,151.97,1014395.0
151.97,153.171,150.475,152.37,1143189.0
152.355,154.483,151.9,153.704,1059072.0
153.706,154.854,152.6,152.735,1420881.0
152.73,154.466,152.251,152.369,1072286.0
152.372,152.666,150.644,151.552,1295846.0
151.573,153.676,150.8,153.195,1466081.0
153.195,154.447,151.151,151.983,1856436.0
151.98,152.671,146.464,147.039,4186371.0
147.04,149.07,146.185,148.391,1941454.0
148.391,149.379,146.392,147.839,1607332.0
147.839,148.356,145.23,145.982,1679894.0
145.984,146.4,143.152,143.531,2196159.0
143.531,144.844,142.26,143.096,1187351.0
143.1,145.924,142.223,144.735,1877027.0
144.739,147.485,144.029,146.278,1187041.0
146.277,146.591,142.423,145.763,1260680.0
145.763,146.796,144.152,144.736,721396.0
144.732,145.829,141.315,144.062,1625767.0
144.069,152.964,143.272,152.658,2711732.0
152.648,155.498,152.614,154.78,1757783.0
154.784,156.448,153.006,153.069,1444900.0
153.069,154.333,151.357,151.734,1168407.0
151.733,153.589,151.6,152.836,706347.0
152.832,154.71,151.823,154.037,810305.0
154.038,155.462,153.404,153.618,852243.0
153.62,154.89,153.333,154.593,635230.0
154.593,155.686,153.82,154.342,864374.0
154.343,154.602,152.825,153.849,814599.0
153.835,155.044,153.32,154.04,672823.0
154.039,158.8,152.5,155.574,2849510.0
155.565,157.757,152.775,154.1,2439666.0
154.1,160.375,153.707,159.466,2957966.0
159.466,160.85,158.28,160.499,1794405.0
160.5,162.755,158.784,158.895,2528741.0
158.895,159.23,156.734,156.932,1405765.0
156.934,157.855,156.322,156.854,758175.0
156.854,157.215,155.033,155.683,928570.0
155.697,156.409,155.23,155.695,482347.0
155.695,160.72,155.668,160.433,1245924.0
160.432,162.3,157.708,161.479,1744578.0
161.466,163.712,160.389,163.069,1864288.0
163.069,163.496,160.823,161.097,1202635.0
161.107,161.931,160.019,160.218,675368.0
160.217,160.874,158.238,158.298,646750.0
158.299,160.195,158.142,158.872,592235.0
158.873,159.072,156.0,156.013,902466.0
156.013,157.443,155.555,157.125,680824.0
157.127,157.986,156.068,157.258,659899.0
157.259,158.944,157.168,157.861,691394.0
157.861,159.635,157.641,159.215,585541.0
159.216,159.462,156.763,157.386,710863.0
157.387,157.528,155.229,156.114,1068900.0
156.115,156.892,155.312,156.553,561466.0
156.553,156.656,154.3,155.224,912992.0
155.223,155.739,153.076,155.211,1439140.0
155.212,157.266,151.538,153.567,2680016.0
