open,high,low,close,volume
0.3315,0.332,0.3307,0.3316,188883.0
0.3315,0.3328,0.3312,0.3319,203484.0
0.332,0.334,0.3313,0.3323,429827.0
0.3323,0.3323,0.3301,0.3312,291213.0
0.3312,0.3333,0.3308,0.3313,418674.0
0.3314,0.3317,0.3243,0.3248,1033857.0
0.3247,0.3272,0.3211,0.3252,2426255.0
0.3251,0.3251,0.3208,0.3221,1178581.0
0.3221,0.323,0.3182,0.3197,1424058.0
0.3196,0.323,0.3183,0.3184,854447.0
0.3184,0.3214,0.3169,0.3188,950434.0
0.319,0.3224,0.3182,0.3222,853941.0
0.3223,0.3225,0.3193,0.3197,356737.0
0.3197,0.3213,0.318,0.3188,452023.0
0.3188,0.3225,0.3187,0.322,606066.0
0.3219,0.3223,0.3184,0.3208,363931.0
0.3207,0.3239,0.3203,0.3232,503268.0
0.3233,0.3234,0.3216,0.3224,342331.0
0.3223,0.3234,0.3207,0.3208,311409.0
0.3208,0.3225,0.32,0.322,313609.0
0.322,0.3237,0.3213,0.323,227390.0
0.323,0.3231,0.3177,0.3179,999084.0
0.3179,0.3215,0.3164,0.3199,1287276.0
0.3199,0.3209,0.3189,0.3197,359318.0
0.3197,0.32,0.3174,0.3184,705435.0
0.3183,0.3207,0.3183,0.3193,302620.0
0.3194,0.321,0.3187,0.3206,200075.0
0.3207,0.3215,0.3187,0.3187,213199.0
0.3186,0.3191,0.3085,0.3096,2370776.0
0.3096,0.3101,0.3055,0.3065,1883161.0
0.3065,0.3065,0.2986,0.2996,3906324.0
0.2996,0.3016,0.2932,0.2998,2857854.0
0.2998,0.3032,0.2966,0.3026,1398673.0
0.3025,0.3072,0.3006,0.3041,1716281.0
0.3039,0.3072,0.3022,0.3045,966379.0
0.3044,0.3049,0.3021,0.3026,453037.0
0.3026,0.3059,0.302,0.3032,1014269.0
0.3031,0.3033,0.3,0.3006,779522.0
0.3006,0.3039,0.2868,0.289,4954601.0
0.2887,0.2894,0.2562,0.2766,19252917.0
0.2765,0.28,0.27,0.2798,10221862.0
0.2797,0.2799,0.2746,0.2755,3325751.0
0.2757,0.2775,0.2723,0.2738,3322341.0
0.2738,0.2763,0.2646,0.2721,7859658.0
0.2721,0.2729,0.2527,0.2668,17713826.0
0.2668,0.2758,0.2658,0.2735,7054001.0
0.2736,0.2745,0.2679,0.2703,3858123.0
0.2703,0.2737,0.2695,0.2737,2523918.0
0.2736,0.2736,0.2648,0.2661,3497331.0
0.2662,0.2682,0.2616,0.2679,4310685.0
0.2679,0.2696,0.2612,0.264,5358886.0
0.2638,0.2776,0.2599,0.2767,10445657.0
0.2768,0.2864,0.2768,0.2838,8154317.0
0.2839,0.289,0.2811,0.2876,4481431.0
0.2876,0.2921,0.2862,0.287,4121310.0
0.2869,0.2903,0.2851,0.2884,2146281.0
0.2884,0.2888,0.2805,0.2807,2423895.0
0.2806,0.2844,0.2795,0.283,2857812.0
0.2831,0.286,0.2826,0.2854,1476952.0
0.2855,0.2882,0.2829,0.2839,1777835.0
0.2839,0.2884,0.2834,0.2866,947217.0
0.2867,0.2884,0.2831,0.2834,1011516.0
0.2835,0.2943,0.2832,0.2941,4071182.0
0.294,0.2964,0.2906,0.2924,2835503.0
0.2922,0.2955,0.2921,0.295,1763954.0
0.2949,0.2949,0.2927,0.2927,755922.0
0.2927,0.2953,0.2922,0.2948,786737.0
0.2948,0.2968,0.293,0.2964,983870.0
0.2964,0.2978,0.2949,0.2963,1431151.0
0.2963,0.2983,0.2946,0.2975,1128047.0
0.2976,0.2978,0.2895,0.291,2069388.0
0.291,0.2913,0.2885,0.291,1637399.0
0.2912,0.2917,0.2884,0.2894,856709.0
0.2894,0.2906,0.2881,0.2896,896895.0
0.2895,0.2918,0.2869,0.2879,1501548.0
0.2878,0.291,0.2854,0.2887,2132795.0
0.2886,0.2973,0.2886,0.2948,3097168.0
0.295,0.2963,0.2918,0.2953,1119715.0
0.2954,0.2977,0.2941,0.2968,942581.0
0.2968,0.2979,0.2947,0.2947,654209.0
0.2948,0.2977,0.2948,0.2963,723789.0
0.2965,0.2972,0.295,0.2957,645890.0
0.2956,0.2968,0.2941,0.2956,759433.0
0.2957,0.2967,0.2947,0.2964,273573.0
0.2965,0.2989,0.2936,0.2955,1088197.0
0.2955,0.2964,0.2933,0.2946,342032.0
0.2945,0.2963,0.2922,0.2949,1045624.0
0.295,0.2985,0.2919,0.2982,1272792.0
0.2982,0.3,0.2964,0.2984,1251968.0
0.2984,0.2996,0.2968,0.2991,573722.0
0.2989,0.3006,0.2987,0.2999,569516.0
0.2998,0.301,0.2988,0.299,540139.0
0.2991,0.3,0.2978,0.2993,785628.0
0.2993,0.3003,0.2975,0.2994,316717.0
0.2992,0.3009,0.2985,0.2999,623900.0
0.2998,0.302,0.2989,0.2999,851256.0
0.2999,0.3026,0.2992,0.2999,439502.0
0.2998,0.3005,0.2976,0.298,923557.0
0.2981,0.3,0.2967,0.2996,474177.0
0.2997,0.301,0.2971,0.2979,703359.0
0.2979,0.2987,0.2873,0.2908,3275437.0
0.2907,0.2937,0.2897,0.2925,1198994.0
0.2924,0.293,0.2891,0.2907,1150569.0
0.2906,0.292,0.2871,0.29,1182461.0
0.29,0.2905,0.2858,0.2875,1221721.0
0.2876,0.2892,0.2867,0.2886,410314.0
0.2887,0.2909,0.2851,0.2889,1613000.0
0.2891,0.2912,0.2881,0.2903,786495.0
0.2903,0.2909,0.2861,0.2908,1047716.0
0.2908,0.2912,0.2885,0.2893,645779.0
0.2894,0.2895,0.2847,0.2882,1407532.0
0.2884,0.2967,0.2882,0.2966,2513007.0
0.2964,0.3003,0.2963,0.2997,1420337.0
0.2999,0.3009,0.2972,0.2972,507868.0
0.2973,0.3003,0.2971,0.2973,437361.0
0.2973,0.3001,0.2972,0.2991,229403.0
0.2991,0.3002,0.2984,0.2993,349985.0
0.2991,0.2996,0.2973,0.2975,358525.0
0.2977,0.3,0.2974,0.2992,343563.0
0.2993,0.3004,0.2982,0.2992,204176.0
0.2992,0.3005,0.2984,0.2995,169286.0
0.2995,0.3012,0.2994,0.3002,229922.0
0.3,0.3063,0.2995,0.3029,1895744.0
0.3028,0.3043,0.3011,0.303,939311.0
0.303,0.3085,0.3025,0.3075,1368907.0
0.3075,0.3087,0.3069,0.308,692939.0
0.3081,0.3107,0.3075,0.3088,982483.0
0.3088,0.3092,0.3057,0.3058,625849.0
0.3059,0.3065,0.3056,0.3058,251876.0
0.3058,0.3078,0.3055,0.306,295422.0
0.306,0.3087,0.3058,0.3084,410409.0
0.3083,0.3123,0.3082,0.3121,743098.0
0.3122,0.3158,0.3107,0.3151,1538308.0
0.3152,0.3161,0.3136,0.314,784168.0
0.3139,0.3141,0.3113,0.3125,1051088.0
0.3126,0.3138,0.311,0.3128,610530.0
0.3128,0.3138,0.3126,0.313,362970.0
0.313,0.3142,0.3128,0.3138,248539.0
0.3139,0.3141,0.311,0.3111,526335.0
0.311,0.3139,0.3105,0.3135,430093.0
0.3136,0.3157,0.3135,0.315,623898.0
0.315,0.3166,0.3148,0.3164,412677.0
0.3165,0.3181,0.3157,0.3181,397736.0
0.318,0.3189,0.3159,0.3162,461673.0
0.3163,0.3169,0.3137,0.3153,528812.0
0.3153,0.3165,0.3148,0.3164,218261.0
0.3164,0.3166,0.3131,0.3152,1255501.0
0.3152,0.3156,0.3111,0.3147,945425.0
0.3146,0.3178,0.31,0.3141,1723377.0
0.314,0.3145,0.3104,0.3105,436178.0
0.3105,0.3131,0.31,0.3118,523238.0
0.3118,0.3132,0.3111,0.3118,283699.0
0.3118,0.312,0.3101,0.3108,269813.0
0.3108,0.3111,0.31,0.3106,435559.0
0.3106,0.312,0.3102,0.3109,309571.0
0.3109,0.3123,0.3088,0.312,825911.0
0.3119,0.3135,0.3107,0.3129,402839.0
0.3129,0.3142,0.3113,0.3139,310450.0
0.3138,0.3161,0.3122,0.3124,681195.0
0.3123,0.314,0.3118,0.3126,231090.0
0.3127,0.3143,0.3123,0.3134,286348.0
0.3135,0.3138,0.3122,0.3132,229822.0
0.3133,0.3135,0.3115,0.3125,237891.0
0.3126,0.3135,0.3117,0.3129,176385.0
0.313,0.3198,0.3124,0.3186,3802695.0
0.3186,0.3224,0.3171,0.3205,1316427.0
0.3205,0.3212,0.3186,0.3189,589849.0
0.3189,0.3207,0.318,0.3194,480954.0
0.3195,0.3241,0.318,0.3222,1164883.0
0.3223,0.3277,0.3219,0.3275,1028853.0
0.3276,0.331,0.3219,0.3274,5785749.0
0.3273,0.3317,0.3253,0.3278,3131717.0
0.3276,0.3328,0.3269,0.3303,3080784.0
0.3304,0.3352,0.3303,0.333,1472488.0
0.3329,0.3405,0.3321,0.3366,4953461.0
0.3366,0.3373,0.3327,0.3338,1699937.0
0.3338,0.336,0.3331,0.3337,1189548.0
0.3337,0.3343,0.3329,0.334,579601.0
0.3341,0.3354,0.3333,0.334,798231.0
0.3341,0.335,0.3338,0.3341,544321.0
0.3341,0.3341,0.3314,0.3324,866399.0
0.3325,0.3349,0.3313,0.3342,1156604.0
0.3341,0.3707,0.3339,0.37,56040106.0
0.37,0.382,0.3653,0.3724,44558163.0
0.3724,0.3878,0.3683,0.3864,30184046.0
0.3864,0.3925,0.3842,0.388,30085475.0
0.388,0.3982,0.3862,0.3916,35622173.0
0.3915,0.3923,0.3858,0.3883,17259368.0
0.3884,0.3948,0.3864,0.3891,21515536.0
0.3891,0.3938,0.3873,0.3936,21337667.0
0.3937,0.3937,0.373,0.376,56555025.0
0.376,0.379,0.368,0.3705,26583599.0
0.3705,0.3771,0.3689,0.3725,14439559.0
0.3726,0.3732,0.3562,0.361,31872292.0
0.361,0.3613,0.3546,0.359,16204047.0
0.359,0.3622,0.3509,0.3526,17794551.0
0.3526,0.3542,0.3485,0.3519,9485936.0
0.3519,0.3531,0.349,0.3501,7251088.0
0.3501,0.3513,0.3471,0.3508,8088585.0
0.3507,0.3521,0.3477,0.3501,3754271.0
0.35,0.3538,0.3487,0.3533,3683069.0
0.3532,0.3559,0.3441,0.3442,13901836.0
0.3444,0.3445,0.3402,0.3422,9674352.0
0.3422,0.348,0.3397,0.3459,7678781.0
0.3458,0.3486,0.3414,0.3429,7336674.0
0.3429,0.3455,0.3414,0.3424,5236366.0
0.3424,0.3441,0.3339,0.3381,29214661.0
0.3382,0.3444,0.3382,0.3425,7635502.0
0.3426,0.3491,0.3402,0.3485,5598193.0
0.3485,0.3503,0.346,0.3501,4631624.0
0.3502,0.3509,0.3444,0.345,5395861.0
0.345,0.3475,0.3435,0.3439,3701617.0
0.3438,0.3444,0.3376,0.3392,4833366.0
0.3392,0.34,0.3326,0.3369,9374811.0
0.3369,0.3435,0.3365,0.3372,6816470.0
0.3372,0.3401,0.3367,0.339,3611173.0
0.339,0.3474,0.3372,0.3461,7340610.0
0.346,0.3498,0.3457,0.3487,5043057.0
0.3486,0.3488,0.3447,0.3456,5302355.0
0.3457,0.3475,0.3348,0.3363,8347131.0
0.3365,0.3493,0.333,0.3488,11902944.0
0.3487,0.3495,0.3419,0.3465,7119583.0
0.3465,0.3485,0.3441,0.3457,2992359.0
0.3457,0.3481,0.3447,0.3451,1886192.0
0.3451,0.3462,0.3372,0.3379,4206106.0
0.3379,0.341,0.3374,0.3395,2639016.0
0.3396,0.3422,0.3378,0.3385,1640647.0
0.3385,0.3412,0.3364,0.3412,1420211.0
0.3412,0.3433,0.3408,0.3421,1646537.0
0.3421,0.3467,0.3419,0.3461,3086297.0
0.3461,0.3487,0.3418,0.3419,5311347.0
0.342,0.3427,0.3395,0.3413,2279566.0
0.3413,0.3415,0.3365,0.3399,1551033.0
0.3398,0.3401,0.3341,0.3347,2646208.0
0.3347,0.3382,0.3335,0.3375,1250628.0
0.3376,0.3387,0.3365,0.3372,546022.0
0.3372,0.3397,0.3366,0.339,828115.0
0.339,0.3402,0.3373,0.338,896242.0
0.3381,0.3396,0.3347,0.3353,1901468.0
