open,high,low,close,volume
0.3805,0.3826,0.3778,0.3806,3044305.0
0.3806,0.3821,0.3793,0.3805,1332208.0
0.3806,0.3838,0.38,0.3815,2932974.0
0.3814,0.382,0.3778,0.3787,2402360.0
0.3787,0.3796,0.375,0.3763,3658523.0
0.3763,0.3765,0.3634,0.3643,8727853.0
0.3642,0.3647,0.3555,0.3561,12030597.0
0.3561,0.3565,0.3427,0.3435,12879723.0
0.3434,0.3437,0.3363,0.3384,13684357.0
0.3384,0.3434,0.3367,0.3372,8695158.0
0.3372,0.3403,0.3343,0.3365,6537618.0
0.3365,0.3425,0.3351,0.3397,6461093.0
0.3397,0.3431,0.3377,0.3389,5286559.0
0.339,0.3424,0.3373,0.3406,4189828.0
0.3407,0.3414,0.3369,0.3404,5086540.0
0.3404,0.3405,0.3323,0.3354,6578529.0
0.3354,0.341,0.3339,0.3382,5506419.0
0.3382,0.3385,0.3355,0.3379,2388824.0
0.338,0.3406,0.3358,0.3366,3704225.0
0.3366,0.3391,0.3352,0.3389,2858214.0
0.3388,0.3403,0.3371,0.3384,3766737.0
0.3385,0.3426,0.3364,0.3367,5222444.0
0.3368,0.3391,0.3337,0.337,4927677.0
0.3371,0.3381,0.3346,0.3354,3621681.0
0.3354,0.3368,0.3331,0.3359,3950250.0
0.3359,0.3368,0.3341,0.335,2574479.0
0.3349,0.3368,0.3336,0.3365,3358396.0
0.3366,0.3372,0.334,0.3348,3354389.0
0.3347,0.335,0.3184,0.3195,20050022.0
0.3196,0.3198,0.3133,0.3143,14104734.0
0.3143,0.3151,0.3053,0.3059,16819257.0
0.3059,0.3128,0.3011,0.3105,17333221.0
0.3104,0.3148,0.3073,0.3136,8622010.0
0.3135,0.321,0.3122,0.3182,7065886.0
0.3182,0.3204,0.3144,0.3174,5012071.0
0.3174,0.3184,0.3142,0.315,2312544.0
0.315,0.3182,0.3135,0.3149,4542618.0
0.3149,0.3152,0.3081,0.3089,3847612.0
0.3089,0.3138,0.293,0.2976,23996919.0
0.2976,0.2987,0.2649,0.2856,50662344.0
0.2856,0.2909,0.2774,0.2904,25121779.0
0.2905,0.2906,0.2835,0.2848,10086241.0
0.2848,0.2901,0.2835,0.2872,8242982.0
0.2871,0.2893,0.2746,0.2829,19141821.0
0.2829,0.2843,0.2578,0.2766,47363604.0
0.2767,0.3026,0.2749,0.3023,23310697.0
0.3022,0.3044,0.2949,0.3016,14070584.0
0.3017,0.3104,0.3013,0.3101,24341690.0
0.31,0.3102,0.3019,0.307,21716342.0
0.307,0.3091,0.2949,0.3088,29990103.0
0.3087,0.3107,0.2987,0.3024,30390696.0
0.3023,0.3264,0.2983,0.325,58437376.0
0.325,0.3688,0.325,0.3635,88024151.0
0.3635,0.4026,0.3625,0.3805,149770774.0
