open,high,low,close,volume
0.4193,0.4214,0.4188,0.4209,3062505.5
0.4208,0.4214,0.418,0.419,2627839.5
0.419,0.4266,0.419,0.4251,3759401.5
0.425,0.4253,0.4205,0.4238,2732241.1
0.4239,0.4286,0.4237,0.4243,4119961.0
0.4243,0.4266,0.4125,0.4135,8602357.6
0.4136,0.4188,0.4048,0.4099,17430076.6
0.4099,0.4103,0.3945,0.3978,17127984.1
0.3979,0.3989,0.3855,0.3883,14757933.7
0.3883,0.3964,0.3869,0.3917,8280564.0
0.3916,0.4077,0.3898,0.4035,10529810.0
0.4034,0.4097,0.401,0.4056,6697349.5
0.4056,0.4058,0.4019,0.4044,2873180.1
0.4044,0.4081,0.4016,0.404,3838847.3
0.404,0.4059,0.4021,0.4049,2919946.4
0.405,0.4056,0.3971,0.4019,3775723.8
0.4018,0.4091,0.4015,0.4071,3460892.4
0.4071,0.4078,0.4031,0.4038,1805681.0
0.4038,0.4076,0.4008,0.401,2370321.7
0.4011,0.4053,0.4011,0.4045,1538283.3
0.4044,0.4074,0.4036,0.4056,1881844.0
0.4057,0.4062,0.399,0.4001,2914827.3
0.4003,0.4063,0.3977,0.4034,5022442.4
0.4035,0.407,0.4023,0.4049,3791167.8
0.4048,0.4067,0.4028,0.4059,2002448.3
0.406,0.4084,0.4027,0.4034,2141019.5
0.4034,0.4079,0.403,0.4074,2064012.6
0.4075,0.4108,0.405,0.4062,4846080.3
0.4063,0.4072,0.3902,0.3936,10316353.3
0.3937,0.3937,0.3868,0.3883,8440608.9
0.3884,0.3907,0.3787,0.3801,12649987.4
0.38,0.3851,0.3697,0.3836,17373484.3
0.3838,0.3927,0.3778,0.3923,11641923.0
0.3923,0.4088,0.3873,0.4051,13773202.8
0.4049,0.4134,0.4038,0.412,8554162.9
0.4121,0.4149,0.4085,0.4096,5228162.2
0.4097,0.4167,0.4075,0.4113,7942408.9
0.4113,0.4114,0.3986,0.3997,6949156.1
0.3996,0.4042,0.3763,0.3814,21290836.9
0.3813,0.3827,0.3278,0.3508,66089753.6
0.3509,0.3552,0.339,0.3542,27462822.6
0.3542,0.3544,0.3435,0.3456,14854971.9
0.3456,0.357,0.3452,0.3504,11931779.3
0.3503,0.3559,0.3361,0.3468,30924438.1
0.3469,0.3496,0.3133,0.3372,55951397.7
0.3374,0.3625,0.3357,0.3543,25243492.0
0.3543,0.3547,0.3424,0.3465,14853815.5
0.3465,0.3482,0.3366,0.3435,13088269.1
0.3435,0.3435,0.3291,0.3345,23702612.7
0.3346,0.3352,0.3225,0.3342,27471533.3
0.3342,0.3389,0.3231,0.3254,30565319.8
0.3253,0.3473,0.3186,0.3457,41251329.5
0.3457,0.3614,0.3457,0.3565,23118912.6
0.3566,0.3621,0.3526,0.3566,13009975.0
0.3565,0.3619,0.3507,0.3508,14904305.7
0.3509,0.3589,0.3496,0.354,8318895.8
0.354,0.3559,0.3452,0.3457,7856422.6
0.3457,0.3536,0.3456,0.3515,11135003.3
0.3515,0.3586,0.3514,0.3567,8230221.8
0.3565,0.3618,0.3534,0.3544,6152853.6
0.3544,0.3575,0.3497,0.3545,7730164.1
0.3546,0.3581,0.349,0.3492,6263448.4
0.3492,0.3686,0.3489,0.3677,12312009.3
0.3676,0.3737,0.3637,0.3689,9238464.2
0.3688,0.3715,0.3652,0.369,5264023.2
0.369,0.37,0.3662,0.3663,4349784.0
0.3663,0.372,0.364,0.3715,4256129.7
0.3715,0.3782,0.3694,0.3775,4900014.1
0.3775,0.3832,0.3763,0.3806,9548534.8
0.3806,0.3837,0.3766,0.3832,6777524.9
0.3831,0.3842,0.371,0.374,8836265.1
0.3741,0.3766,0.3705,0.3762,6950981.5
0.3761,0.3763,0.3696,0.3729,4313764.4
0.373,0.3779,0.3712,0.3743,3966038.3
0.3743,0.3789,0.3702,0.372,6409332.3
0.372,0.3767,0.368,0.3738,9646396.0
0.3738,0.391,0.3735,0.386,12348102.2
0.3861,0.389,0.3773,0.3853,17208340.1
0.3854,0.3886,0.3799,0.3823,9706705.0
0.3824,0.3843,0.3742,0.3773,8517193.2
0.3773,0.3818,0.376,0.3782,4555765.2
0.3782,0.3794,0.3738,0.3751,3422689.7
0.3751,0.3763,0.3715,0.3744,5339875.8
0.3743,0.3764,0.3718,0.3751,2450134.5
0.375,0.3804,0.3708,0.3741,5949507.0
0.3741,0.376,0.3688,0.3715,4941556.0
0.3714,0.3754,0.3666,0.3723,6643238.8
0.3724,0.3803,0.3663,0.3793,7551156.1
0.3792,0.3851,0.3754,0.3775,8294174.3
0.3774,0.3811,0.3756,0.378,3286527.1
0.378,0.3838,0.3773,0.3778,3958654.1
0.3778,0.3806,0.3741,0.3744,4058318.8
0.3744,0.376,0.3724,0.3737,3766256.1
0.3737,0.3763,0.3713,0.3747,3578506.1
0.3748,0.379,0.3743,0.3781,4202324.9
0.3783,0.3805,0.3752,0.3774,4740117.7
0.3774,0.3811,0.3739,0.3741,3849444.0
0.3741,0.375,0.3678,0.3685,5349085.6
0.3685,0.3729,0.3669,0.3717,5358789.1
0.3716,0.3748,0.3681,0.3694,7423746.5
0.3694,0.3713,0.3533,0.3571,14900580.8
0.3572,0.3619,0.3527,0.356,9150505.1
0.3561,0.3573,0.351,0.3535,8053425.5
0.3535,0.3553,0.3474,0.3516,8624620.5
0.3516,0.3538,0.3465,0.3485,8759224.5
0.3485,0.3499,0.345,0.3465,6120058.7
0.3465,0.3515,0.3407,0.3467,10674271.0
0.3467,0.348,0.343,0.3463,4966786.3
0.3463,0.3477,0.3396,0.3471,6987822.5
0.3472,0.3482,0.344,0.3457,3695616.1
0.3457,0.3472,0.3386,0.3446,7496803.7
0.3446,0.3658,0.3441,0.3646,12848721.6
0.3645,0.3728,0.364,0.3694,6329098.9
0.3695,0.3712,0.3652,0.3653,3223321.3
0.3654,0.3699,0.3652,0.3654,3991595.4
0.3655,0.3722,0.3655,0.3699,4451597.6
0.37,0.3729,0.3682,0.3691,3357262.9
0.3692,0.3704,0.3655,0.3665,3240078.4
0.3666,0.3702,0.3654,0.3696,2330358.9
0.3697,0.3719,0.3673,0.3702,2641976.5
0.3704,0.3743,0.3685,0.3719,3199621.5
0.3719,0.3754,0.3709,0.3719,2634658.2
0.372,0.3886,0.3703,0.3787,10597093.2
0.3787,0.3793,0.3679,0.3721,8146322.3
0.3721,0.3805,0.3714,0.38,6845998.0
0.3799,0.3823,0.3753,0.3785,6990948.9
0.3787,0.3887,0.3774,0.3867,11260342.7
0.3867,0.3877,0.3811,0.3816,3896300.6
0.3815,0.3832,0.3803,0.3821,1771927.3
0.382,0.3841,0.3813,0.383,2704340.4
0.383,0.3856,0.3823,0.3845,2142519.9
0.3845,0.3946,0.3823,0.3938,3044424.6
0.3939,0.4016,0.3905,0.3997,7719876.1
0.3998,0.4019,0.3957,0.3966,5523172.4
0.3966,0.3991,0.3932,0.3962,6648476.9
0.3961,0.3966,0.3936,0.3951,3214436.2
0.3952,0.3971,0.3916,0.3916,1983438.9
0.3916,0.3935,0.3905,0.3921,1458797.2
0.3922,0.3929,0.3833,0.3833,3432419.3
0.3834,0.3868,0.3809,0.3866,2875773.3
0.3865,0.3888,0.3855,0.3873,2276806.8
0.3873,0.3884,0.3811,0.3817,7334740.2
0.3819,0.386,0.381,0.3857,5275944.8
0.3856,0.3874,0.3818,0.3828,3084152.1
0.3829,0.385,0.3786,0.3816,3557462.8
0.3817,0.383,0.3794,0.3812,2815317.7
0.3813,0.3835,0.3771,0.3797,3335008.9
0.3798,0.381,0.3723,0.3773,6636107.8
0.3773,0.3839,0.3708,0.3768,9147117.0
