open,high,low,close,volume
1.547,1.5479,1.5333,1.5408,1051730.0
1.541,1.548,1.5362,1.5411,967820.0
1.5412,1.5633,1.5394,1.5463,1412537.0
1.5462,1.5581,1.5411,1.5513,1062956.0
1.5512,1.5596,1.5443,1.5468,680312.0
1.547,1.5531,1.4951,1.5007,2882561.0
1.5007,1.5196,1.4722,1.4976,5502321.0
1.4976,1.501,1.4519,1.458,3050444.0
1.4577,1.4664,1.4315,1.4453,2980447.0
1.4455,1.477,1.4352,1.4582,2711153.0
1.4586,1.4825,1.4578,1.4648,1520213.0
1.4652,1.4991,1.456,1.4973,2542595.0
1.4977,1.5072,1.4874,1.4908,836785.0
1.491,1.5046,1.4858,1.4934,1020486.0
1.4934,1.5016,1.479,1.4945,1393247.0
1.4946,1.4976,1.4686,1.481,1940100.0
1.4808,1.5083,1.4769,1.4934,1204335.0
1.4931,1.4951,1.4831,1.4873,522826.0
1.487,1.4918,1.474,1.4754,628830.0
1.4755,1.4935,1.4751,1.4847,569410.0
1.4846,1.4958,1.4827,1.4925,384727.0
1.4924,1.4925,1.4608,1.464,1329696.0
1.464,1.4798,1.45,1.468,1300043.0
1.4679,1.4733,1.455,1.4656,1439183.0
1.4658,1.4698,1.4548,1.4681,671498.0
1.4682,1.4729,1.46,1.4624,528389.0
1.4624,1.4765,1.4616,1.4756,609098.0
1.4755,1.4776,1.459,1.4607,938633.0
1.4605,1.4628,1.3929,1.4004,5498896.0
1.4008,1.4011,1.3501,1.3522,5519297.0
1.3524,1.3662,1.3223,1.325,4613719.0
1.325,1.3438,1.2874,1.3382,6095932.0
1.3381,1.3781,1.3301,1.3686,3771329.0
1.3684,1.4065,1.3566,1.3973,2421724.0
1.397,1.4191,1.3833,1.395,1618758.0
1.3949,1.4008,1.3798,1.3872,1349189.0
1.3873,1.4009,1.3778,1.3841,2111786.0
1.3841,1.3853,1.355,1.3606,1956473.0
1.3609,1.3749,1.2864,1.3052,7647402.0
1.3048,1.3085,1.1689,1.2544,23016114.0
1.2544,1.2641,1.2235,1.2581,7284325.0
1.2584,1.2593,1.2135,1.2163,5995287.0
1.2163,1.238,1.1975,1.2143,6022505.0
1.2146,1.2231,1.163,1.199,10778333.0
1.1991,1.2096,1.0998,1.1676,23328735.0
1.168,1.24,1.1598,1.223,9401591.0
1.2232,1.2264,1.1528,1.1533,8654284.0
1.1534,1.1748,1.1408,1.1627,5452102.0
1.1628,1.1655,1.1095,1.1159,5735747.0
1.1158,1.117,1.056,1.1008,10816677.0
1.1009,1.113,1.0544,1.0658,10040342.0
1.0655,1.1613,1.0564,1.1555,14145635.0
1.1548,1.2244,1.1547,1.2161,13302795.0
1.2161,1.256,1.1971,1.2392,7208221.0
1.2392,1.276,1.2292,1.2321,6273938.0
1.2321,1.2627,1.2254,1.2512,3796443.0
1.2512,1.2572,1.2047,1.2057,2714835.0
1.2059,1.2305,1.199,1.2192,3316264.0
1.2191,1.2413,1.2178,1.2319,2038042.0
1.2319,1.2566,1.2213,1.2281,1785866.0
1.2281,1.2526,1.224,1.244,1565870.0
1.2442,1.2558,1.2233,1.2254,1769200.0
1.2254,1.3271,1.2219,1.3267,7553764.0
1.3264,1.352,1.3099,1.3215,5058866.0
1.3216,1.3354,1.3166,1.3275,2117328.0
1.3273,1.3306,1.3022,1.3079,2282699.0
1.308,1.3246,1.2995,1.3186,2030591.0
1.3186,1.3435,1.3071,1.3386,2077892.0
1.3385,1.3453,1.3283,1.3305,2458022.0
1.3304,1.3404,1.3159,1.3378,1509075.0
1.3372,1.3372,1.2763,1.2904,5167646.0
1.2904,1.2972,1.2789,1.2934,4874506.0
1.2933,1.294,1.2726,1.2837,2427068.0
1.2838,1.2917,1.2749,1.2824,1436007.0
1.282,1.2962,1.2651,1.2699,2356716.0
1.2702,1.2878,1.2475,1.2722,5566005.0
1.2721,1.3417,1.2695,1.3147,6792255.0
1.3143,1.3274,1.2987,1.3245,2770137.0
1.3242,1.3486,1.317,1.3377,2724410.0
1.3378,1.3466,1.3261,1.3268,1605050.0
1.3266,1.35,1.3262,1.3379,1375521.0
1.3379,1.3383,1.3212,1.3274,1298025.0
1.3275,1.333,1.3118,1.3258,1692241.0
1.3254,1.332,1.3166,1.3288,994722.0
1.3287,1.3472,1.3146,1.3195,2550402.0
1.3196,1.3276,1.3074,1.3174,1014993.0
1.3174,1.3359,1.3035,1.329,2784607.0
1.3291,1.3822,1.3114,1.3813,4316153.0
1.3813,1.404,1.3599,1.394,5290232.0
1.3942,1.4135,1.3813,1.3902,2543582.0
1.3902,1.4042,1.385,1.39,2060178.0
1.3901,1.4083,1.3899,1.3907,1858255.0
1.3905,1.3998,1.3802,1.3955,1266008.0
1.3955,1.3995,1.3749,1.3897,1367778.0
1.3902,1.4048,1.3863,1.4023,1132166.0
1.4024,1.4244,1.3983,1.4066,2275238.0
1.4065,1.4255,1.4004,1.4031,1058841.0
1.403,1.4057,1.374,1.3812,2206664.0
1.3811,1.408,1.372,1.4043,2235443.0
