open,high,low,close,volume
0.6482,0.649,0.6446,0.6475,1261710.8
0.6473,0.6485,0.6447,0.6465,1035488.8
0.6464,0.653,0.6446,0.649,2119638.6
0.6489,0.6499,0.6452,0.6484,1035693.7
0.6483,0.6507,0.641,0.6419,1772089.2
0.6419,0.6454,0.6276,0.6281,4651122.5
0.6282,0.6317,0.6147,0.6219,11222582.0
0.6217,0.6226,0.6043,0.6071,8003200.3
0.6071,0.6096,0.595,0.5993,8324426.0
0.5992,0.604,0.5953,0.5962,4193959.1
0.5962,0.604,0.5935,0.5977,2993633.2
0.5975,0.6101,0.5955,0.6098,3419928.9
0.6099,0.6116,0.6044,0.609,1754536.9
0.6091,0.614,0.6064,0.6099,1855857.6
0.6099,0.6157,0.6083,0.6146,1969387.3
0.6146,0.6148,0.6065,0.6111,1535331.5
0.6111,0.6202,0.6103,0.6188,1892686.2
0.6189,0.622,0.6167,0.6206,1591202.6
0.6206,0.6255,0.6177,0.6179,1674405.9
0.6178,0.6224,0.6173,0.6219,800745.9
0.6218,0.6242,0.6194,0.6229,1374958.1
0.6229,0.6231,0.614,0.6157,2150077.3
0.6155,0.6213,0.6121,0.6204,2350534.0
0.6204,0.623,0.6193,0.6216,1052937.3
0.6216,0.6258,0.6189,0.625,1355961.7
0.625,0.6293,0.6238,0.6246,1413743.5
0.6245,0.6253,0.6207,0.6226,1642565.4
0.6226,0.6231,0.612,0.6122,2402230.8
0.6121,0.6134,0.5904,0.5914,9480254.1
0.5914,0.5916,0.5801,0.5819,8126107.5
0.5819,0.5874,0.5759,0.5774,9217129.6
0.5773,0.5802,0.5623,0.5773,19307704.0
0.5774,0.5891,0.5723,0.5868,6778723.7
0.5868,0.6068,0.5823,0.6021,7535981.7
0.602,0.6089,0.5916,0.5937,3789906.8
0.5938,0.595,0.5876,0.5886,2629264.9
0.5887,0.596,0.5841,0.5861,5527171.7
0.5861,0.5861,0.5744,0.5772,3403278.0
0.5771,0.5812,0.55,0.557,18588806.4
0.557,0.5583,0.4927,0.5325,59384366.9
0.5325,0.5369,0.5125,0.5338,24084636.8
0.5338,0.5343,0.5222,0.5228,10756044.0
0.5228,0.5338,0.5219,0.528,10174649.6
0.528,0.5341,0.509,0.5252,25632923.0
0.5253,0.5291,0.472,0.4972,56125947.7
0.4972,0.5242,0.494,0.5168,18852203.7
0.5168,0.5174,0.5052,0.5091,11344886.4
0.5091,0.5111,0.4948,0.5038,11595240.5
0.5037,0.5042,0.483,0.4867,14265376.7
0.4865,0.4871,0.4656,0.483,23890144.9
0.4829,0.4892,0.4657,0.4692,25323632.4
0.4691,0.5097,0.4623,0.5072,43761303.1
0.5073,0.5363,0.5071,0.5339,35588587.8
0.534,0.5547,0.5292,0.5477,17015740.3
0.5476,0.5566,0.539,0.5397,12945793.3
0.5397,0.5477,0.5353,0.5428,6755432.7
0.5428,0.5432,0.5252,0.5263,6496731.1
0.5263,0.5365,0.5258,0.5319,8581464.9
0.532,0.5401,0.5278,0.531,6010733.4
0.5309,0.5384,0.527,0.5293,5905382.1
0.5293,0.5404,0.5285,0.5393,4773622.5
0.5394,0.5452,0.5338,0.5344,4491717.5
0.5344,0.5741,0.5338,0.5734,14847418.4
0.5735,0.5837,0.5707,0.5738,8568835.0
0.5737,0.5804,0.5719,0.5765,4525792.5
0.5764,0.578,0.5652,0.5652,3635726.0
0.5653,0.5704,0.562,0.5694,3126016.1
0.5693,0.5832,0.5678,0.5823,4564581.4
0.5822,0.5873,0.578,0.5802,5440678.2
0.5801,0.5939,0.5787,0.5911,6658992.9
0.5911,0.5911,0.5688,0.5729,10579405.9
0.573,0.5793,0.5683,0.5772,5704251.1
0.5771,0.5798,0.5713,0.574,3844015.7
0.574,0.5779,0.57,0.5739,6040583.5
0.5738,0.5791,0.5686,0.5717,5252886.6
0.5715,0.577,0.5644,0.573,7964618.2
0.5729,0.6055,0.5723,0.5985,14188284.1
