open,high,low,close,volume
0.5579,0.5599,0.5543,0.5553,385895.0
0.5553,0.5573,0.5524,0.5561,260332.0
0.5561,0.5651,0.5551,0.5601,281372.0
0.5601,0.5602,0.5538,0.5557,180833.0
0.5557,0.5606,0.5535,0.5546,250232.0
0.5547,0.5569,0.5348,0.5364,822965.0
0.5361,0.5414,0.5267,0.5295,1544203.0
0.5294,0.5299,0.5125,0.5146,1410438.0
0.5149,0.5173,0.5051,0.5088,893368.0
0.5089,0.5124,0.502,0.5026,753928.0
0.5027,0.5106,0.5,0.5051,594063.0
0.505,0.5163,0.5027,0.5147,815668.0
0.5148,0.5178,0.5121,0.5139,295947.0
0.514,0.518,0.5095,0.5134,454028.0
0.5134,0.5211,0.5129,0.5196,407171.0
0.5197,0.5209,0.5115,0.5179,260297.0
0.5178,0.5263,0.5173,0.5231,442286.0
0.5233,0.5245,0.5196,0.5213,134953.0
0.5213,0.525,0.5187,0.5187,170805.0
0.519,0.5241,0.519,0.5233,274724.0
0.5233,0.5251,0.5226,0.524,143852.0
0.5239,0.524,0.5144,0.515,320915.0
0.5152,0.5233,0.5122,0.5209,372286.0
0.5209,0.5223,0.5187,0.5209,143727.0
0.5207,0.5237,0.5167,0.5236,256722.0
0.5236,0.5249,0.5184,0.5216,321470.0
0.5214,0.5275,0.5191,0.5272,264166.0
0.5273,0.5278,0.5211,0.5221,442956.0
0.5218,0.5225,0.502,0.5049,962832.0
0.5051,0.5051,0.4895,0.4906,860290.0
0.4906,0.4943,0.4797,0.4809,1439946.0
0.4805,0.4842,0.4687,0.4784,1716593.0
0.4786,0.4876,0.4722,0.4864,859341.0
0.4866,0.5054,0.483,0.5004,1229214.0
0.5002,0.5065,0.4947,0.5015,544039.0
0.5012,0.5018,0.4946,0.4985,446964.0
0.4986,0.5068,0.4958,0.4966,451900.0
0.4964,0.4974,0.4858,0.488,412940.0
0.4881,0.4934,0.4625,0.4679,1929509.0
0.4679,0.4698,0.401,0.4307,6755758.0
0.4306,0.4355,0.4181,0.4346,2260010.0
0.4344,0.4349,0.4225,0.4239,1313557.0
0.4241,0.4327,0.4211,0.4236,1309156.0
0.4238,0.4264,0.4035,0.4142,2833778.0
0.4142,0.4171,0.3755,0.3956,5927319.0
0.3956,0.423,0.3925,0.4178,2444265.0
0.4183,0.4205,0.4094,0.4137,1261653.0
0.4135,0.4191,0.4051,0.4145,1158662.0
0.4147,0.4149,0.3947,0.3981,1902699.0
0.3981,0.3983,0.3803,0.3938,2993845.0
0.3938,0.3983,0.3743,0.3773,4647974.0
0.377,0.4021,0.367,0.4003,6864954.0
0.4004,0.4231,0.4001,0.4188,4101957.0
0.4189,0.4289,0.4136,0.425,1946955.0
0.425,0.4379,0.4225,0.4261,2374402.0
0.4262,0.4306,0.416,0.4271,2815926.0
0.4274,0.4286,0.4084,0.4091,1436617.0
0.409,0.4173,0.4048,0.4119,1893733.0
0.4118,0.4193,0.4089,0.4151,1453375.0
0.4151,0.4226,0.412,0.4128,1084939.0
0.413,0.4189,0.4093,0.4151,802619.0
0.4152,0.417,0.4043,0.4047,1594426.0
0.405,0.4355,0.4049,0.4343,1786654.0
0.4343,0.4419,0.429,0.4349,2008007.0
0.4346,0.4429,0.434,0.4397,892456.0
0.4395,0.4418,0.4369,0.4385,806594.0
0.4385,0.4432,0.436,0.4388,675788.0
0.4387,0.447,0.4356,0.4465,968996.0
0.4462,0.449,0.4404,0.4456,943156.0
0.4453,0.449,0.4414,0.4478,698008.0
0.4478,0.4479,0.4313,0.4366,1252517.0
0.4366,0.4394,0.4337,0.4389,813501.0
0.4389,0.4414,0.4349,0.4396,515693.0
0.4396,0.4446,0.4371,0.4401,473884.0
0.4403,0.4457,0.4347,0.4366,1324863.0
0.4365,0.4444,0.4337,0.4414,1137604.0
0.4411,0.4669,0.4408,0.4578,2718192.0
0.4579,0.4622,0.4488,0.4613,1473438.0
0.4613,0.4689,0.4554,0.4652,930068.0
0.4652,0.4712,0.4631,0.4637,969205.0
0.4636,0.4726,0.4625,0.4673,735509.0
0.4673,0.468,0.461,0.4616,928800.0
0.4615,0.4629,0.4552,0.4596,1037855.0
0.4595,0.4625,0.4559,0.4617,316833.0
0.4616,0.4678,0.4574,0.4611,692317.0
0.4609,0.4638,0.4563,0.4597,455706.0
0.4595,0.4624,0.4513,0.4574,752490.0
0.4574,0.4719,0.4517,0.4714,729550.0
0.4716,0.476,0.4638,0.4684,573053.0
0.4684,0.474,0.4675,0.4706,488085.0
0.4706,0.4832,0.4698,0.4789,814173.0
0.4791,0.4851,0.4749,0.4755,800706.0
0.4755,0.4791,0.4724,0.4771,396695.0
0.4769,0.4807,0.4718,0.4787,609976.0
0.4786,0.4845,0.4778,0.4815,566828.0
0.4813,0.4869,0.479,0.4846,946136.0
0.484,0.4871,0.4776,0.4781,627114.0
0.4778,0.4788,0.4705,0.4732,788689.0
0.4733,0.4786,0.4715,0.4775,568516.0
0.4774,0.48,0.468,0.4703,878216.0
0.4707,0.4718,0.4454,0.4507,1799715.0
0.4507,0.4567,0.4452,0.4496,1741804.0
0.4494,0.4506,0.4409,0.443,730290.0
0.4433,0.4459,0.4382,0.4423,771477.0
0.4423,0.4434,0.433,0.4349,1145391.0
0.4348,0.4384,0.4315,0.4353,734232.0
0.4355,0.441,0.4238,0.4318,1488479.0
0.4319,0.4335,0.4275,0.4292,652356.0
0.4293,0.4305,0.4216,0.4283,587648.0
0.4282,0.4306,0.4238,0.4253,514173.0
0.4252,0.4275,0.4177,0.425,746322.0
0.425,0.4531,0.4243,0.4524,1466733.0
0.4523,0.4695,0.4515,0.4661,1229110.0
0.4662,0.4726,0.4609,0.4614,1190489.0
0.4614,0.4719,0.4607,0.4614,1058032.0
0.4613,0.4665,0.46,0.4647,642153.0
0.4646,0.4713,0.4618,0.4679,611922.0
0.468,0.4689,0.4604,0.4607,544577.0
0.4608,0.4649,0.4604,0.4621,309367.0
0.4623,0.4648,0.4589,0.4619,572935.0
0.4618,0.4661,0.459,0.4631,346059.0
0.463,0.4643,0.4595,0.46,384578.0
0.4599,0.4679,0.4534,0.4553,2392546.0
0.4555,0.4603,0.447,0.4503,1229450.0
0.4502,0.4695,0.4489,0.4679,1238231.0
0.4679,0.4766,0.4656,0.4754,998228.0
0.4755,0.4857,0.4746,0.4846,1166054.0
0.4846,0.4858,0.4765,0.4767,452737.0
0.4765,0.4807,0.4746,0.4759,482934.0
0.4758,0.4817,0.4748,0.4761,329329.0
0.4761,0.4811,0.4757,0.4801,289173.0
0.48,0.4985,0.4795,0.4982,995784.0
0.4985,0.509,0.4927,0.5085,1274261.0
0.5085,0.5155,0.5072,0.512,1619658.0
0.5123,0.5157,0.5075,0.5097,935006.0
0.5095,0.5097,0.5021,0.5027,576944.0
0.5026,0.506,0.4991,0.5026,508083.0
0.5025,0.5076,0.5024,0.5051,276056.0
