open,high,low,close,volume
0.6138,0.6157,0.6118,0.6146,366280.0
0.6145,0.6169,0.6139,0.6149,219005.0
0.6149,0.6208,0.6123,0.617,868390.0
0.617,0.6187,0.614,0.6169,279856.0
0.6168,0.619,0.6137,0.6142,409674.0
0.6144,0.6167,0.5979,0.5999,1588044.0
0.5999,0.6041,0.5896,0.5959,2559616.0
0.5958,0.5962,0.5822,0.5847,2087222.0
0.5846,0.5892,0.5801,0.5842,1578592.0
0.5843,0.5875,0.5798,0.5803,1274323.0
0.5802,0.5892,0.5775,0.5825,1424563.0
0.5824,0.5915,0.5797,0.5894,1017518.0
0.5895,0.5914,0.5868,0.5879,493094.0
0.5881,0.5913,0.5839,0.5884,581769.0
0.5884,0.5953,0.5866,0.5947,751866.0
0.5947,0.5956,0.5857,0.5937,561035.0
0.5936,0.6011,0.5933,0.5995,592577.0
0.5995,0.6001,0.5962,0.5981,347852.0
0.5981,0.603,0.5966,0.5976,490899.0
0.5975,0.6024,0.5964,0.6017,267969.0
0.6017,0.6021,0.5987,0.6009,280598.0
0.601,0.6012,0.5921,0.5923,517970.0
0.5925,0.5996,0.5897,0.5959,605039.0
0.5959,0.6003,0.5959,0.597,338291.0
0.5969,0.599,0.5938,0.5989,250144.0
0.5989,0.6005,0.5955,0.597,305152.0
0.5969,0.5992,0.5933,0.5985,393924.0
0.5986,0.5997,0.5923,0.5923,416873.0
0.5923,0.5938,0.5757,0.5786,1802606.0
0.5786,0.5789,0.5693,0.57,1615909.0
0.5701,0.5743,0.5584,0.56,2135445.0
0.56,0.5638,0.5458,0.5568,3253570.0
0.5569,0.5648,0.5473,0.5645,2206866.0
0.5645,0.5764,0.5587,0.5724,1855356.0
0.5723,0.5791,0.5664,0.571,1330335.0
0.571,0.5713,0.5646,0.566,560296.0
0.5661,0.5719,0.5633,0.565,1024239.0
0.5648,0.5653,0.552,0.5524,1144743.0
0.5524,0.5586,0.5251,0.5319,4815675.0
0.5316,0.5336,0.46,0.4988,17944581.0
0.4988,0.5046,0.483,0.5032,7381796.0
0.5032,0.5038,0.4912,0.4921,3487632.0
0.492,0.5029,0.4907,0.4937,2715787.0
0.4938,0.4997,0.475,0.4883,7028826.0
0.4883,0.4919,0.4451,0.4738,14847853.0
0.4738,0.4997,0.4707,0.4944,5480459.0
0.4944,0.4948,0.4801,0.485,2942105.0
0.4851,0.4888,0.4774,0.4865,2678941.0
0.4865,0.4865,0.4672,0.4717,3811062.0
