open,high,low,close,volume
0.2257,0.2297,0.2246,0.2251,9074500.4
0.2251,0.2293,0.2245,0.2276,4353226.0
0.2276,0.228,0.2259,0.226,3262942.8
0.226,0.2261,0.2236,0.224,1538015.9
0.224,0.2243,0.2225,0.2225,1522822.4
0.2226,0.2234,0.2145,0.2152,5730861.2
0.2152,0.2158,0.2106,0.2137,4965813.8
0.2138,0.2138,0.2091,0.2098,3414799.5
0.2098,0.2112,0.208,0.2089,2162541.0
0.209,0.2116,0.2081,0.2082,2770079.2
0.2083,0.2101,0.2072,0.208,2090510.9
0.208,0.2121,0.2075,0.2116,1723621.4
0.2116,0.2137,0.2114,0.2122,1238394.7
0.2123,0.2146,0.2112,0.2145,1890182.1
0.2144,0.2148,0.2121,0.2143,1787915.1
0.2144,0.2144,0.2109,0.2129,1294043.4
0.2128,0.2157,0.2125,0.2154,1004180.7
0.2154,0.2159,0.2139,0.2155,735496.0
0.2156,0.217,0.2145,0.2147,673711.1
0.2147,0.2161,0.2144,0.2156,474443.3
0.2156,0.2168,0.2149,0.2161,402167.5
0.2161,0.2163,0.213,0.2134,1352012.4
0.2134,0.2154,0.212,0.2143,1344121.6
0.2144,0.2159,0.2141,0.2146,1234027.4
0.2145,0.2145,0.2126,0.2141,1557324.5
0.2141,0.215,0.2137,0.2137,653759.3
0.2137,0.2146,0.2128,0.2146,622634.2
0.2146,0.2149,0.2133,0.214,587317.1
0.2138,0.214,0.2065,0.2071,3073541.3
0.2072,0.2073,0.2028,0.2033,2701070.2
0.2033,0.2047,0.2001,0.2006,3308070.2
0.2005,0.2019,0.1956,0.2,6297252.3
0.2,0.2023,0.1975,0.2022,4131927.6
0.2022,0.2071,0.2006,0.2059,2582859.7
0.206,0.2074,0.2033,0.204,1108794.1
0.2041,0.2044,0.2026,0.2035,1302448.8
0.2036,0.2067,0.2031,0.2045,1631884.9
0.2045,0.2045,0.2013,0.2018,1933845.0
0.2017,0.2037,0.1892,0.1919,9735498.5
0.1917,0.1924,0.1666,0.1807,30937716.8
0.1806,0.1811,0.1749,0.1806,10920956.7
0.1806,0.1807,0.1771,0.1778,5022291.7
0.1778,0.1817,0.1776,0.1795,3520863.2
0.1796,0.181,0.172,0.177,10271300.4
0.177,0.178,0.1624,0.173,21021231.9
0.1728,0.1823,0.1715,0.1812,8383511.9
0.1812,0.1817,0.1766,0.1784,4807799.5
0.1784,0.1807,0.1769,0.1799,3577358.2
0.1799,0.18,0.1734,0.1758,5414104.2
0.1758,0.1759,0.1686,0.1755,7042485.5
0.1755,0.1777,0.1703,0.1716,8259152.7
0.1715,0.1835,0.1692,0.1826,10596354.4
0.1827,0.1915,0.1827,0.189,9437070.7
0.1891,0.1928,0.1874,0.1915,4869731.7
0.1914,0.1953,0.1904,0.1908,5205481.7
0.1908,0.1937,0.19,0.1916,3164377.6
0.1916,0.192,0.1865,0.1867,3212690.2
0.1866,0.1914,0.1861,0.1888,5679136.5
0.1887,0.1916,0.1886,0.1907,2000254.4
0.1906,0.1925,0.1884,0.1889,3065357.7
0.189,0.1914,0.1884,0.1906,1728017.2
0.1906,0.1918,0.1879,0.1884,1609020.0
0.1884,0.1954,0.1879,0.1953,5431647.3
0.1953,0.1977,0.1932,0.1942,3306968.0
0.1941,0.1954,0.1933,0.1947,1382949.0
0.1946,0.1952,0.1936,0.1943,1238136.3
0.1943,0.1954,0.1934,0.1953,1514380.3
0.1953,0.1982,0.195,0.1979,1557109.5
0.1979,0.1995,0.1968,0.1979,1746518.6
0.1978,0.1992,0.1969,0.1984,1415439.7
0.1985,0.1987,0.1921,0.1937,2957400.0
0.1938,0.1943,0.1923,0.1941,1947547.6
0.1942,0.1943,0.1917,0.1925,1184293.3
0.1924,0.1945,0.1916,0.1934,1227655.5
0.1933,0.195,0.1921,0.1926,1668974.5
0.1926,0.1946,0.1902,0.1927,3089111.6
0.1926,0.1996,0.1925,0.1969,3412672.9
0.1969,0.1984,0.1951,0.1975,1566815.2
0.1976,0.2004,0.1968,0.1989,1566320.4
0.1988,0.1994,0.1974,0.1974,990594.6
0.1974,0.1998,0.1973,0.1981,863117.6
0.1981,0.1997,0.1975,0.1982,925666.6
0.1981,0.199,0.197,0.1981,1070860.2
0.198,0.199,0.1971,0.1989,553365.1
0.1989,0.2005,0.1968,0.1984,1698015.9
0.1983,0.1988,0.1964,0.1978,966833.6
0.1977,0.1996,0.1959,0.1993,2467607.2
0.1993,0.2023,0.197,0.2021,2268422.6
0.202,0.2038,0.2001,0.2018,1763701.1
0.2019,0.2033,0.2011,0.2017,821881.5
0.2016,0.2034,0.2013,0.2017,915953.0
0.2018,0.2025,0.2006,0.2007,941888.6
0.2006,0.2015,0.2,0.2004,779530.4
0.2003,0.2012,0.1994,0.2002,661809.5
0.2001,0.2015,0.1999,0.2007,869387.5
0.2007,0.2028,0.2003,0.2016,1417054.8
0.2014,0.2028,0.2008,0.2017,1128195.0
0.2016,0.202,0.1995,0.1996,1078441.3
0.1996,0.2014,0.199,0.2009,1238506.6
0.2008,0.2017,0.1991,0.1996,1442148.3
0.1996,0.2003,0.1923,0.1956,4153715.1
0.1956,0.1977,0.1947,0.1965,1708493.9
0.1965,0.197,0.1937,0.1946,1658592.9
0.1946,0.1954,0.1919,0.1932,1450610.9
0.1932,0.1937,0.1903,0.1913,1912943.3
0.1913,0.1924,0.1903,0.1918,1000764.6
0.1918,0.1945,0.1896,0.1923,2503378.9
0.1924,0.1935,0.1915,0.1926,1089218.4
0.1926,0.1936,0.1894,0.1935,1303136.9
0.1935,0.1942,0.192,0.1928,945906.7
0.1928,0.1937,0.1895,0.193,1725623.2
0.193,0.199,0.1926,0.1984,3510928.5
0.1983,0.202,0.1982,0.2016,1659371.4
0.2016,0.2026,0.1994,0.1994,916216.6
0.1995,0.2017,0.1993,0.1994,790384.1
0.1994,0.2008,0.1992,0.2005,533457.9
0.2005,0.2016,0.1999,0.2013,654421.2
0.2013,0.2015,0.2,0.2002,620399.8
0.2003,0.2009,0.1994,0.1995,787975.9
0.1996,0.2004,0.1991,0.1996,633009.0
0.1995,0.201,0.1992,0.2003,902144.4
0.2002,0.2012,0.2,0.2004,513136.9
0.2004,0.2059,0.2002,0.2026,2007665.5
0.2026,0.2038,0.2003,0.2025,1581887.2
0.2025,0.2062,0.2021,0.2052,1392248.2
0.2052,0.2059,0.2045,0.2059,1433726.5
0.2058,0.2078,0.2057,0.2068,1690249.4
0.2069,0.2079,0.2063,0.2065,879580.8
0.2066,0.2074,0.206,0.2066,673154.7
0.2066,0.2075,0.206,0.2064,730868.1
0.2064,0.2077,0.2063,0.2075,412516.8
0.2074,0.2105,0.2073,0.2103,1150909.9
0.2103,0.2131,0.2092,0.2124,1465114.8
0.2125,0.2132,0.2111,0.213,1739521.2
0.2129,0.2133,0.211,0.212,2136372.4
0.212,0.2128,0.2116,0.2123,609710.5
0.2122,0.2126,0.2105,0.2106,673471.2
0.2107,0.2117,0.2104,0.211,446091.4
0.211,0.2111,0.2086,0.2086,814793.5
0.2087,0.2112,0.2082,0.2106,804709.6
