open,high,low,close,volume
267.17,267.72,265.03,265.74,1895.813
265.74,267.58,265.25,266.98,2289.083
266.97,271.44,266.32,268.18,3538.035
268.21,268.71,265.8,266.79,1934.396
266.75,270.06,266.6,266.8,3934.243
266.85,269.06,260.22,260.8,7120.823
260.8,263.98,256.86,260.88,11192.191
260.84,261.0,250.0,251.07,11136.109
251.06,253.47,248.92,249.77,7053.924
249.81,250.93,246.66,246.8,8055.149
246.87,251.68,245.75,247.82,5051.14
247.86,251.3,246.19,250.92,4362.678
250.93,252.27,248.0,249.55,4304.806
249.62,251.47,247.95,248.21,3197.817
248.16,251.15,247.42,250.06,3731.703
250.18,250.37,247.37,248.99,2390.035
248.96,254.13,248.82,251.94,2085.727
251.85,252.61,250.82,252.21,1743.597
252.25,252.72,249.7,249.83,1647.213
249.84,252.15,249.41,250.52,1373.999
250.52,250.98,248.64,249.73,1898.391
249.68,249.68,245.21,245.85,2667.625
245.81,249.13,244.8,248.13,3458.847
248.17,248.92,246.39,246.39,2593.257
246.45,246.9,245.25,246.78,2168.505
246.77,247.94,246.05,246.56,2317.102
246.52,247.96,245.62,247.41,2981.626
247.43,247.81,245.65,245.81,2653.917
245.78,245.97,232.4,233.2,18242.104
233.21,233.6,223.73,223.87,15116.421
223.9,224.04,208.43,208.83,47404.036
208.84,217.62,207.5,216.42,32289.401
216.45,225.22,214.58,224.12,20496.224
224.14,229.8,221.44,229.26,13972.271
229.27,229.96,221.76,227.31,14229.765
227.37,228.14,224.96,225.64,7368.463
225.7,228.49,223.76,224.76,9006.516
224.75,224.81,216.47,217.54,13914.336
217.54,219.08,202.42,205.41,30066.635
205.38,206.69,180.19,191.54,94654.243
191.57,193.21,185.0,192.29,31079.898
192.34,192.57,186.46,186.91,23737.287
186.96,195.81,186.54,189.76,27856.684
189.77,190.16,179.92,184.72,43529.819
184.76,185.28,163.38,174.4,94045.291
174.4,194.84,173.12,191.68,51096.484
191.67,201.76,190.0,200.66,31658.12
200.61,203.95,194.13,198.1,32635.867
198.06,198.5,186.33,191.61,26106.868
191.6,191.72,181.9,190.26,28859.796
190.21,192.56,181.08,183.5,31222.261
183.5,196.99,180.68,196.24,52291.664
196.27,211.2,196.27,208.45,49830.991
208.35,222.63,205.22,216.26,33225.997
216.3,229.88,213.76,221.26,38184.759
221.32,227.89,215.86,224.32,28382.908
224.28,227.05,212.43,212.95,26922.825
212.93,219.82,211.9,219.48,19499.212
219.43,226.51,219.38,225.84,21871.076
225.74,232.74,224.7,229.77,18845.037
229.79,237.66,229.17,234.56,23114.328
234.65,237.24,228.49,228.85,14588.841
228.92,247.78,227.66,247.7,26769.938
247.63,250.18,241.67,245.03,21562.39
245.12,252.85,244.26,251.39,20543.34
251.38,252.49,246.64,249.43,16204.225
249.43,250.43,245.21,249.16,14725.167
249.13,255.39,248.12,254.07,19068.446
254.07,260.22,252.21,258.5,30849.233
258.51,261.83,254.0,259.16,24007.235
259.15,261.03,251.0,253.08,32844.234
253.06,256.85,250.81,255.22,19594.048
255.2,258.17,252.57,255.68,14329.652
255.68,256.82,248.16,248.8,23259.92
248.72,256.5,247.43,253.72,30808.358
253.62,257.92,250.02,253.62,27811.036
253.59,271.0,253.42,264.04,52071.613
264.04,267.21,258.22,262.96,25546.928
262.97,266.96,259.0,262.34,18759.52
262.3,263.76,257.3,257.5,11076.407
257.63,262.15,256.92,258.52,11056.841
258.52,260.18,255.84,258.08,8051.606
258.09,260.81,255.57,257.67,12660.366
257.67,261.03,256.06,260.88,6444.085
260.84,264.53,257.5,260.89,13284.901
261.0,263.05,258.36,259.21,6172.305
259.19,261.37,255.35,258.49,12207.217
258.51,268.4,256.22,265.81,21071.593
265.79,269.22,263.38,265.36,11110.648
265.37,269.56,262.34,264.14,8737.707
264.1,272.47,263.38,268.93,12990.414
268.93,270.71,265.66,265.93,11938.343
265.89,269.94,263.9,268.52,10023.432
268.44,268.88,264.26,268.38,6652.916
268.4,272.07,266.52,268.04,9769.704
267.98,271.4,265.91,267.69,8752.244
267.66,270.99,264.57,265.02,6361.863
265.02,265.39,260.49,261.21,12401.291
261.21,269.6,259.0,264.94,22449.3
264.94,268.54,262.06,264.39,19331.326
264.35,266.94,250.95,251.01,41507.325
251.07,257.5,248.88,254.99,20128.615
255.03,257.44,252.41,254.95,13103.804
254.91,256.75,250.86,254.47,11562.487
254.51,255.7,248.64,251.82,16618.029
251.83,255.98,249.77,250.61,11315.921
250.62,253.52,246.63,251.73,13764.332
251.77,253.95,248.15,251.92,8248.405
251.9,252.28,245.52,249.23,11015.847
249.28,250.1,246.42,247.72,6256.478
247.7,250.21,243.24,248.26,12264.576
248.36,263.22,248.15,261.68,19942.458
261.68,268.86,260.74,267.35,13969.759
267.37,269.62,264.2,264.42,8430.278
264.41,269.43,263.27,264.5,11880.349
264.45,270.4,264.22,269.05,7460.611
269.07,269.16,266.21,267.64,4491.471
267.67,269.97,267.1,267.56,4989.101
267.58,272.0,266.27,271.69,7680.916
271.72,282.93,271.47,280.18,26344.668
280.27,287.85,277.26,285.52,20078.788
285.61,288.16,283.0,284.71,21948.36
284.73,287.88,279.11,285.21,32813.857
285.2,286.77,271.86,275.94,27953.33
275.88,284.66,275.63,283.81,16232.13
283.82,287.24,282.6,286.0,12085.064
286.05,293.48,285.87,291.33,17329.993
291.31,293.01,289.5,291.66,7524.027
291.71,291.78,288.04,290.43,7271.025
290.41,293.37,289.5,290.3,6893.649
290.27,298.8,288.85,295.6,18495.459
295.51,318.59,295.36,316.86,35811.729
316.92,317.99,302.34,311.5,33185.759
311.43,313.61,303.34,305.02,16053.709
305.02,306.03,299.16,300.39,12137.995
300.41,305.57,298.79,302.88,10539.736
302.89,308.85,301.33,307.82,8981.718
307.76,313.82,307.67,310.78,14208.418
310.71,311.73,303.61,303.91,12476.357
303.86,311.26,303.41,311.03,10230.329
311.04,316.0,308.63,313.34,12047.833
313.31,315.85,309.97,310.64,8191.123
310.67,314.71,307.09,314.16,10993.327
314.15,320.62,307.38,309.42,20177.181
309.41,312.3,305.91,310.83,12512.728
310.82,310.88,304.72,309.3,9756.82
309.28,310.2,296.56,301.15,22827.472
301.15,302.44,294.84,297.94,18209.077
298.0,304.1,293.28,299.04,21517.02
299.11,301.6,294.57,294.82,8237.604
294.82,301.62,294.21,297.86,11458.172
297.9,300.69,294.58,296.59,7408.647
296.59,297.25,290.78,295.31,10514.344
295.31,297.36,293.46,296.58,5061.832
296.67,297.61,293.92,294.94,4190.127
294.92,307.71,291.25,298.5,23762.842
298.51,299.76,294.31,297.77,9613.102
297.75,300.08,295.06,297.67,5462.672
297.75,303.29,295.45,296.94,10194.053
296.9,299.83,295.4,298.42,6164.446
298.43,301.98,296.53,301.76,4909.649
301.76,301.8,296.57,297.82,8752.609
297.85,297.97,293.19,294.83,4658.14
294.83,295.93,293.27,293.98,3546.53
294.0,295.6,292.72,293.74,3756.858
293.76,295.48,292.62,293.68,5002.249
293.75,293.85,289.99,291.59,7829.083
291.56,295.56,291.4,294.35,5620.645
294.44,295.79,291.11,293.31,5918.91
