open,high,low,close,volume
1.2403,1.2429,1.2348,1.2373,342736.2
1.2369,1.2449,1.2342,1.2422,337610.1
1.2421,1.2613,1.2402,1.2459,1444057.9
1.246,1.2551,1.2432,1.2494,376162.3
1.2496,1.257,1.243,1.245,446626.1
1.2449,1.2479,1.2039,1.2063,1666596.5
1.2066,1.2145,1.1952,1.2035,4349865.9
1.2037,1.2039,1.1821,1.1897,4148440.0
1.1895,1.1996,1.1741,1.1809,1898651.6
1.1809,1.192,1.1719,1.173,972902.2
1.1728,1.1933,1.169,1.1797,1152877.7
1.1799,1.1995,1.1749,1.1972,904545.0
1.1972,1.2049,1.1933,1.1997,485338.7
1.1997,1.2116,1.1953,1.2062,606769.4
1.2062,1.216,1.2011,1.2137,578266.9
1.2144,1.215,1.2009,1.2115,439313.7
1.2114,1.2307,1.2096,1.2277,468400.5
1.2277,1.2282,1.2196,1.224,314766.3
1.2241,1.2281,1.2146,1.2149,418450.9
1.2151,1.2227,1.2143,1.2188,378399.9
1.2183,1.2235,1.2167,1.2211,283648.9
1.2217,1.2217,1.1945,1.199,652490.6
1.1988,1.2068,1.1908,1.2003,837204.6
1.2003,1.2068,1.1987,1.2002,475966.8
1.2,1.205,1.1965,1.2026,494159.7
1.2026,1.2067,1.1979,1.1997,385775.1
1.1996,1.2097,1.1966,1.2075,366983.6
1.2078,1.2095,1.1942,1.1958,462217.2
1.1958,1.1975,1.1506,1.158,2248501.8
1.1579,1.1579,1.1334,1.1345,1341537.2
1.1348,1.1468,1.1167,1.1186,3176890.9
1.1187,1.1226,1.0855,1.1126,3753396.4
1.1129,1.1367,1.0993,1.1363,1929544.1
1.1357,1.1687,1.1235,1.159,2158589.9
1.1585,1.1749,1.148,1.1595,1167216.2
1.1594,1.1617,1.1488,1.1514,628774.8
1.1516,1.1686,1.1469,1.1555,1048049.2
1.1555,1.1556,1.1353,1.1368,870068.5
1.1372,1.1535,1.0767,1.0933,3021348.8
1.0928,1.0966,0.9657,1.0316,10568892.9
1.0314,1.0345,1.0016,1.0308,3860005.0
1.0307,1.0316,0.9991,1.0004,2376060.7
1.0004,1.0219,0.9896,0.9981,2347870.0
0.998,1.0015,0.954,0.9731,5464391.8
0.9733,0.9789,0.8902,0.9385,10442217.3
0.9386,0.9923,0.9295,0.9772,3985170.8
0.9771,0.983,0.9566,0.9618,2185093.6
0.9618,0.9765,0.9534,0.9736,1684447.3
0.9737,0.9744,0.9289,0.9364,2710102.9
0.936,0.9367,0.9003,0.9334,3544091.2
0.9334,0.9475,0.8998,0.9071,6468836.7
0.907,0.9938,0.9015,0.9863,7921555.1
0.987,1.0469,0.9868,1.0373,4452377.3
1.0379,1.0635,1.0257,1.0573,2150598.3
1.057,1.0837,1.0512,1.0564,2497388.9
1.0566,1.0852,1.0518,1.0734,1497974.9
1.0735,1.079,1.0329,1.0338,2003093.6
1.0339,1.0584,1.0288,1.0512,2124289.6
1.0512,1.0674,1.0505,1.0628,1504588.6
1.0627,1.0782,1.0522,1.0554,1258734.3
1.0555,1.0801,1.0551,1.0717,856448.3
1.0718,1.0805,1.0576,1.0583,881972.9
1.0585,1.1208,1.0548,1.1206,2521569.4
