open,high,low,close,volume
5.3892,5.3899,5.2776,5.2809,1287697.0
5.281,5.37,5.2688,5.3443,971923.0
5.3444,5.5049,5.324,5.4763,2212782.0
5.4761,5.526,5.4362,5.5219,1943139.0
5.5218,5.547,5.4807,5.4873,1625072.0
5.4872,5.5231,5.38,5.395,2732576.0
5.3948,5.4332,5.2322,5.2863,5209611.0
5.2872,5.2893,5.116,5.1484,3307843.0
5.1478,5.1774,4.989,5.0158,3230280.0
5.0167,5.0651,4.9451,4.9532,2637603.0
4.9534,5.0281,4.896,4.9255,2085806.0
4.9256,5.0528,4.9027,5.0225,1395297.0
5.0225,5.0235,4.9403,4.9715,976033.0
4.9704,5.0448,4.9468,4.9624,1380902.0
4.9623,5.0275,4.9167,4.9998,1284093.0
5.0,5.0091,4.9241,4.9752,925329.0
4.9747,5.04,4.9627,4.9953,972743.0
4.9954,5.0237,4.9653,5.0075,732082.0
5.0073,5.1501,5.0073,5.0876,1590612.0
5.0876,5.2156,5.0615,5.1822,1233600.0
5.1823,5.295,5.1809,5.2803,1521511.0
5.2804,5.2925,5.1728,5.1935,1591096.0
5.1929,5.2081,5.1161,5.1958,1424264.0
5.1962,5.1984,5.083,5.0914,869269.0
5.0914,5.1245,5.0728,5.1064,733692.0
5.1064,5.2019,5.1049,5.1346,921448.0
5.135,5.1534,5.0911,5.1376,687228.0
5.137,5.1649,5.0851,5.1436,658463.0
5.1444,5.1491,4.9679,4.9822,2640902.0
4.9818,4.9851,4.788,4.8058,3915251.0
4.8071,4.8552,4.6667,4.6737,3115266.0
4.6737,4.7625,4.5666,4.7013,3922644.0
4.7018,4.7986,4.6293,4.7814,2704419.0
4.7813,4.9197,4.7248,4.8594,1821562.0
4.8594,4.9279,4.7854,4.8167,1801459.0
4.8167,4.8436,4.7796,4.796,753000.0
4.7961,4.8969,4.7706,4.8172,1643921.0
4.8177,4.831,4.7012,4.7168,1255035.0
4.7167,4.8181,4.5816,4.664,3661188.0
4.6636,4.6946,4.1339,4.5083,14305235.0
4.5081,4.5963,4.335,4.505,5349007.0
4.5042,4.5068,4.38,4.3881,2489676.0
4.3885,4.4898,4.315,4.387,2596880.0
4.3873,4.4683,4.2012,4.3793,4403617.0
4.3794,4.4121,3.8888,4.2289,9688182.0
4.2289,4.4967,4.2041,4.4648,3322168.0
4.4656,4.5322,4.4113,4.5209,2798226.0
4.5208,4.6149,4.484,4.5912,2296103.0
4.5916,4.61,4.3842,4.4235,3666621.0
4.4229,4.4288,4.226,4.3783,4091360.0
4.3778,4.4574,4.2244,4.2423,4469367.0
4.2411,4.4851,4.1631,4.4724,6256846.0
4.4724,4.8321,4.4716,4.7872,6223196.0
4.7873,5.278,4.7333,5.1009,8224990.0
