open,high,low,close,volume
0.413,0.4133,0.407,0.4094,1783209.5
0.4094,0.4108,0.4064,0.4086,1366226.5
0.4086,0.4195,0.4082,0.4145,2637234.2
0.4145,0.415,0.4094,0.4117,1516821.0
0.4116,0.4146,0.4085,0.4096,1512680.0
0.4097,0.4116,0.3967,0.3984,3959564.0
0.3985,0.3997,0.3846,0.3882,8729082.2
0.3883,0.3888,0.3749,0.3771,5687946.9
0.3771,0.3798,0.3685,0.3716,5202171.0
0.3716,0.3746,0.367,0.3674,2727721.5
0.3675,0.3738,0.3648,0.3679,2917282.1
0.3679,0.3776,0.3662,0.3754,2715562.3
0.3755,0.3764,0.371,0.3718,1231472.9
0.3717,0.3758,0.3695,0.373,1532355.9
0.3729,0.379,0.371,0.3784,2272045.1
0.3785,0.379,0.3726,0.3773,1491840.5
0.3773,0.3879,0.3763,0.3854,2270338.1
0.3855,0.3866,0.3817,0.3834,1213312.0
0.3832,0.3863,0.38,0.3803,997383.6
0.3803,0.3858,0.3801,0.3826,806409.2
0.3825,0.3845,0.3808,0.382,1364309.0
0.3821,0.383,0.3765,0.3772,1400541.5
0.3772,0.3834,0.3744,0.3822,1730475.7
0.3823,0.3878,0.3818,0.3824,3058259.3
0.3824,0.3843,0.3788,0.3836,1807579.1
0.3836,0.3847,0.3793,0.3815,1144397.8
0.3814,0.3858,0.3793,0.3843,1175743.7
0.3843,0.385,0.3805,0.3807,968510.9
0.3807,0.3812,0.3626,0.3648,5697861.6
0.3649,0.3651,0.3554,0.3565,4360170.2
0.3565,0.3587,0.34,0.341,10877085.6
0.3408,0.3466,0.3317,0.3428,8835605.5
0.3429,0.3473,0.3372,0.3458,4827279.1
0.3457,0.3595,0.3415,0.354,8376048.9
0.3538,0.3627,0.3524,0.3598,3573074.1
0.3599,0.3601,0.3532,0.3544,1401029.2
0.3544,0.3603,0.3524,0.3541,2515263.3
0.354,0.3544,0.3463,0.3477,1816499.9
0.3478,0.3532,0.3288,0.3341,8687686.9
0.3342,0.3358,0.2775,0.2987,44090300.0
