open,high,low,close,volume
6.1285,6.1516,6.1209,6.1426,213532.3
6.1429,6.1763,6.1369,6.1691,264695.3
6.1691,6.1837,6.1477,6.1525,455099.2
6.1525,6.1597,6.1018,6.1248,375097.9
6.1239,6.1513,6.121,6.1318,258738.0
6.1301,6.1399,6.0011,6.0047,1175978.5
6.0047,6.0243,5.9,5.926,2210797.2
5.9261,5.93,5.8108,5.8385,1479888.3
5.8385,5.8699,5.8015,5.8461,673993.2
5.8462,5.8839,5.8236,5.8298,579584.2
5.8302,5.9061,5.8235,5.8805,512458.6
5.8804,5.9287,5.8572,5.9237,418564.1
5.9237,5.9576,5.9101,5.9441,324051.2
5.9445,5.9712,5.9245,5.9675,331924.8
5.9684,6.011,5.966,5.9928,269652.3
5.9929,6.0,5.9525,5.9975,264641.1
5.9974,6.0365,5.9886,6.0193,344403.5
6.0193,6.0379,5.9919,6.032,273568.4
6.0298,6.0544,6.0172,6.0202,291048.1
6.0211,6.0549,6.0211,6.0347,252375.6
6.0346,6.0498,6.0053,6.0107,241727.1
6.011,6.02,5.963,5.9731,327835.8
5.9732,5.9818,5.9337,5.9628,481914.3
5.9629,5.9825,5.9513,5.9707,201731.8
5.9708,5.9949,5.951,5.9945,234058.3
5.9948,6.0652,5.9942,6.0561,1227147.4
6.0561,6.1514,6.0385,6.1428,729236.4
6.1432,6.1879,6.1206,6.1784,857288.2
6.1781,6.1816,6.0285,6.0401,1846460.8
6.0401,6.0414,5.8928,5.904,2280796.9
5.9049,5.9751,5.8487,5.8891,1665598.7
5.8888,5.8967,5.7477,5.832,1837746.9
5.8321,6.1528,5.8113,6.0635,2962084.0
6.0636,6.1941,6.0356,6.0809,2286340.9
6.08,6.123,6.04,6.0687,827133.1
6.0691,6.0856,6.0321,6.0356,414889.4
6.0344,6.0989,6.025,6.0535,587822.6
6.0535,6.0552,6.0,6.0049,492592.4
6.0044,6.0392,5.8126,5.8641,1988331.2
5.8634,5.8769,5.0095,5.5654,8327788.1
5.5652,5.5743,5.3144,5.4155,4243077.6
5.4151,5.4366,5.34,5.3582,2305832.1
5.3586,5.4253,5.288,5.2981,1927056.6
5.2982,5.3189,5.1317,5.2153,2745542.1
5.216,5.2482,4.6739,5.0586,6975121.0
5.0594,5.269,5.0301,5.2411,2969894.7
