open,high,low,close,volume
3.44,3.44,3.4,3.432,275466.6
3.431,3.435,3.403,3.419,182851.5
3.418,3.487,3.41,3.471,354586.8
3.47,3.48,3.442,3.452,250463.8
3.452,3.473,3.399,3.414,365321.1
3.416,3.429,3.322,3.341,428408.1
3.34,3.349,3.25,3.259,640998.1
3.26,3.261,3.131,3.165,760294.9
3.166,3.208,3.141,3.143,369277.6
3.144,3.194,3.137,3.149,396124.8
3.15,3.249,3.137,3.197,286251.8
3.198,3.288,3.186,3.282,251229.9
3.283,3.29,3.238,3.24,143555.8
3.24,3.274,3.224,3.248,130029.5
3.248,3.275,3.232,3.255,115380.0
3.256,3.26,3.205,3.237,123828.6
3.237,3.285,3.23,3.265,99944.4
3.266,3.27,3.237,3.242,67074.6
3.243,3.267,3.228,3.232,95775.0
3.232,3.275,3.232,3.266,83018.3
3.265,3.284,3.251,3.277,63750.4
3.276,3.276,3.222,3.236,122869.3
3.237,3.279,3.217,3.257,165392.1
3.257,3.271,3.25,3.259,72379.3
3.257,3.269,3.239,3.265,64774.9
3.265,3.276,3.237,3.253,77314.2
3.253,3.262,3.227,3.248,86598.8
3.249,3.251,3.224,3.226,70204.0
3.225,3.228,3.092,3.118,455541.1
3.119,3.119,3.048,3.067,377574.0
3.068,3.095,2.852,2.879,1211261.8
2.878,2.9,2.721,2.834,1468455.7
2.833,2.877,2.813,2.872,495006.7
2.869,2.971,2.856,2.957,365403.7
2.956,2.981,2.907,2.93,247755.8
2.93,2.932,2.876,2.891,253958.6
2.89,2.918,2.828,2.832,472440.8
2.831,2.833,2.73,2.755,552241.3
2.756,2.806,2.639,2.695,1242329.9
2.694,2.703,2.222,2.464,3211747.2
2.464,2.474,2.373,2.423,1013597.1
2.423,2.425,2.333,2.341,1005793.4
2.34,2.381,2.302,2.375,1388588.6
2.376,2.38,2.242,2.292,2065979.0
2.291,2.299,2.032,2.212,4245134.9
2.212,2.326,2.191,2.293,1951524.5
2.294,2.295,2.235,2.247,1261366.4
