open,high,low,close,volume
6.68,6.706,6.668,6.696,133965.0
6.697,6.727,6.691,6.713,136373.0
6.713,6.779,6.703,6.764,250930.0
6.764,6.764,6.677,6.69,459792.0
6.69,6.744,6.687,6.701,255367.0
6.701,6.733,6.569,6.573,530498.0
6.573,6.613,6.452,6.52,1182857.0
6.52,6.553,6.418,6.507,833555.0
6.507,6.633,6.503,6.558,1463192.0
6.558,6.6,6.477,6.501,1081919.0
6.502,6.592,6.452,6.489,1223169.0
6.488,6.625,6.471,6.542,1027423.0
6.542,6.646,6.531,6.593,1203873.0
6.594,6.665,6.565,6.623,1023977.0
6.623,6.678,6.558,6.649,1343149.0
6.65,6.651,6.533,6.61,1444442.0
6.609,6.656,6.585,6.634,1383017.0
6.634,6.662,6.594,6.627,1140867.0
6.626,6.669,6.61,6.625,1129589.0
6.626,6.657,6.602,6.647,1162501.0
6.646,6.68,6.591,6.651,1220172.0
6.651,6.669,6.576,6.598,1544282.0
6.598,6.608,6.494,6.542,1892057.0
6.541,6.56,6.507,6.521,1760570.0
6.521,6.555,6.431,6.506,2339535.0
6.507,6.536,6.491,6.53,1850839.0
6.529,6.54,6.46,6.515,2012581.0
6.515,6.539,6.493,6.515,2132538.0
6.515,6.518,6.28,6.324,3391707.0
6.325,6.325,6.19,6.216,1679418.0
6.217,6.274,6.141,6.158,1341381.0
6.157,6.176,5.97,6.097,1843176.0
6.098,6.189,6.023,6.174,859888.0
6.173,6.315,6.105,6.281,849560.0
6.28,6.338,6.218,6.275,550873.0
6.273,6.282,6.233,6.25,238607.0
6.25,6.308,6.224,6.242,373306.0
6.242,6.251,6.129,6.145,548634.0
6.144,6.189,5.743,5.802,2832581.0
5.801,5.821,4.91,5.316,8822293.0
5.315,5.391,5.161,5.355,3872794.0
5.355,5.374,5.224,5.301,2067509.0
5.301,5.501,5.292,5.405,1939666.0
5.407,5.429,5.201,5.284,2512435.0
5.285,5.323,4.781,5.087,6804227.0
5.089,5.256,5.047,5.195,3535675.0
5.195,5.201,5.065,5.106,1468263.0
5.107,5.16,5.037,5.112,1043974.0
5.112,5.115,4.878,4.928,2205168.0
4.927,4.941,4.696,4.937,3765498.0
4.937,4.996,4.826,4.865,2661942.0
4.864,5.219,4.788,5.199,3477507.0
5.2,5.395,5.198,5.342,2451889.0
5.343,5.431,5.285,5.383,1675527.0
5.382,5.467,5.328,5.336,1459459.0
5.335,5.413,5.319,5.354,1015714.0
5.355,5.392,5.197,5.204,968784.0
5.204,5.302,5.188,5.267,841961.0
5.267,5.36,5.261,5.329,721103.0
5.329,5.436,5.28,5.351,877961.0
5.351,5.424,5.33,5.391,488236.0
5.392,5.446,5.347,5.361,903572.0
5.361,5.669,5.357,5.661,1667970.0
5.66,5.752,5.618,5.698,1391815.0
5.699,5.703,5.633,5.676,611792.0
5.677,5.697,5.631,5.647,439148.0
5.648,5.702,5.624,5.696,361457.0
5.695,5.773,5.654,5.756,495172.0
5.755,5.814,5.721,5.781,479193.0
5.78,5.806,5.735,5.799,411827.0
5.798,5.806,5.609,5.66,1070358.0
5.661,5.663,5.586,5.626,978967.0
5.627,5.644,5.582,5.63,457581.0
5.63,5.662,5.605,5.632,391428.0
5.632,5.689,5.586,5.614,690928.0
5.614,5.685,5.571,5.652,813423.0
5.652,5.892,5.644,5.793,1243500.0
5.794,5.848,5.735,5.812,580005.0
5.813,5.884,5.771,5.837,526209.0
5.837,5.864,5.79,5.791,332842.0
5.791,5.858,5.789,5.817,281471.0
5.816,5.847,5.786,5.813,331777.0
5.812,5.827,5.738,5.798,541339.0
5.798,5.82,5.763,5.8,236332.0
5.8,5.852,5.727,5.784,551280.0
5.785,5.802,5.738,5.782,737046.0
5.783,5.825,5.742,5.783,591410.0
5.783,5.927,5.703,5.92,644713.0
5.919,5.96,5.847,5.892,556427.0
5.892,5.939,5.877,5.907,308003.0
5.904,5.971,5.898,5.932,320557.0
5.932,5.964,5.881,5.887,399554.0
5.887,5.915,5.861,5.886,369272.0
5.887,5.924,5.856,5.899,202739.0
5.898,5.93,5.884,5.913,173304.0
5.913,5.958,5.891,5.925,276322.0
5.925,6.009,5.911,5.93,508279.0
5.929,5.939,5.831,5.837,513336.0
5.838,5.869,5.806,5.851,366290.0
5.851,5.873,5.773,5.8,560048.0
5.8,5.818,5.603,5.665,1164880.0
5.666,5.716,5.641,5.695,582431.0
5.695,5.717,5.656,5.684,416686.0
5.683,5.704,5.594,5.639,663680.0
5.64,5.668,5.542,5.557,640793.0
5.557,5.619,5.552,5.609,367191.0
5.61,5.662,5.52,5.605,703563.0
5.605,5.647,5.574,5.642,274855.0
5.641,5.661,5.55,5.661,393958.0
5.662,5.695,5.625,5.657,362055.0
5.658,5.693,5.575,5.687,496872.0
5.687,5.906,5.674,5.864,932490.0
5.863,5.98,5.859,5.931,560676.0
5.931,5.962,5.87,5.872,247842.0
5.872,5.92,5.865,5.888,272537.0
5.888,5.98,5.884,5.976,253606.0
5.976,6.026,5.935,5.998,401286.0
5.998,6.001,5.898,5.901,374339.0
5.902,5.942,5.893,5.929,254702.0
5.929,5.945,5.89,5.919,199713.0
5.92,5.956,5.9,5.953,156769.0
5.953,5.972,5.866,5.873,644659.0
5.873,6.068,5.853,5.941,909465.0
5.941,5.989,5.826,5.894,632692.0
5.893,5.994,5.882,5.989,424671.0
5.989,6.032,5.957,5.991,442832.0
5.992,6.088,5.977,6.067,733467.0
6.067,6.085,6.029,6.061,291840.0
6.061,6.08,6.027,6.049,186854.0
6.048,6.066,6.014,6.029,161778.0
6.029,6.044,6.015,6.017,145780.0
6.017,6.175,6.017,6.171,316793.0
6.172,6.301,6.123,6.294,789482.0
6.293,6.32,6.252,6.278,614363.0
6.279,6.279,6.194,6.219,512472.0
6.218,6.233,6.186,6.215,267922.0
6.215,6.222,6.167,6.171,148850.0
6.172,6.225,6.167,6.215,197663.0
6.214,6.23,6.131,6.132,224758.0
6.132,6.177,6.107,6.176,158442.0
6.176,6.224,6.166,6.201,163489.0
6.201,6.235,6.185,6.199,138995.0
6.198,6.222,6.176,6.213,135161.0
6.213,6.232,6.165,6.182,165472.0
6.182,6.195,6.117,6.164,348744.0
6.164,6.178,6.13,6.168,137968.0
6.168,6.186,6.076,6.09,499866.0
6.09,6.118,6.008,6.086,555955.0
6.086,6.164,5.952,6.048,804280.0
6.049,6.062,5.978,5.982,308019.0
5.981,6.071,5.971,6.065,283615.0
6.065,6.138,6.054,6.118,406420.0
6.117,6.149,6.096,6.119,256559.0
6.119,6.142,6.111,6.125,118817.0
6.125,6.153,6.11,6.126,169636.0
6.125,6.126,6.061,6.115,320647.0
6.115,6.152,6.082,6.123,242660.0
6.122,6.142,6.078,6.139,139235.0
6.14,6.216,6.091,6.107,438935.0
6.107,6.155,6.094,6.108,202410.0
6.108,6.149,6.102,6.117,144246.0
6.117,6.127,6.092,6.119,87828.0
6.119,6.125,6.084,6.113,87666.0
6.113,6.127,6.096,6.114,73733.0
6.115,6.152,6.105,6.149,93359.0
6.149,6.179,6.142,6.174,123303.0
6.174,6.181,6.149,6.157,109225.0
6.158,6.197,6.153,6.176,117936.0
6.176,6.196,6.16,6.188,123046.0
6.189,6.225,6.18,6.223,148501.0
6.223,6.227,6.2,6.205,106273.0
6.204,6.212,6.165,6.172,163158.0
6.171,6.205,6.16,6.191,95913.0
6.191,6.243,6.188,6.197,172507.0
6.197,6.231,6.186,6.213,138074.0
6.213,6.223,6.196,6.215,77021.0
6.216,6.234,6.193,6.196,110652.0
6.195,6.229,6.186,6.216,66501.0
6.217,6.23,6.204,6.214,47113.0
6.213,6.222,6.205,6.211,61257.0
6.211,6.213,6.186,6.192,94256.0
6.192,6.195,6.16,6.184,65354.0
6.185,6.22,6.17,6.205,107002.0
6.204,6.236,6.197,6.233,92138.0
6.234,6.242,6.215,6.219,118506.0
6.219,6.29,6.213,6.243,258729.0
6.244,6.252,6.217,6.222,134019.0
6.221,6.238,6.209,6.236,62491.0
6.236,6.238,6.205,6.234,114596.0
6.235,6.283,6.234,6.283,149823.0
6.283,6.343,6.281,6.314,134770.0
6.315,6.397,6.31,6.334,387729.0
6.335,6.338,6.302,6.303,155844.0
6.302,6.307,6.219,6.236,311985.0
6.235,6.245,6.178,6.204,208846.0
6.205,6.205,6.133,6.179,249306.0
6.178,6.197,6.073,6.084,319427.0
6.084,6.107,6.023,6.069,408441.0
6.07,6.122,6.055,6.101,161394.0
6.1,6.135,6.084,6.119,156952.0
6.118,6.142,6.093,6.111,108667.0
6.111,6.113,5.997,5.998,373317.0
5.998,6.004,5.899,5.92,550625.0
5.92,5.962,5.896,5.954,210344.0
5.953,5.979,5.866,5.92,365298.0
5.919,5.919,5.882,5.902,146087.0
5.901,5.957,5.858,5.906,442299.0
5.906,5.949,5.887,5.938,221004.0
5.939,5.952,5.913,5.944,124246.0
5.943,5.96,5.907,5.933,131820.0
5.933,5.959,5.925,5.927,166670.0
5.926,5.964,5.921,5.952,142795.0
5.951,5.958,5.892,5.915,176794.0
5.914,6.008,5.848,5.982,554686.0
5.982,6.098,5.981,5.996,333446.0
5.997,6.07,5.995,6.067,177843.0
6.067,6.182,6.039,6.172,353256.0
6.171,6.304,6.155,6.231,706882.0
6.231,6.256,6.19,6.226,356815.0
6.225,6.246,6.016,6.043,857639.0
6.044,6.301,5.982,6.276,1341936.0
6.274,6.309,6.095,6.2,1735084.0
6.2,6.235,6.168,6.185,391665.0
6.184,6.198,6.131,6.133,255325.0
6.134,6.158,6.032,6.044,338762.0
6.045,6.103,6.045,6.083,159438.0
6.084,6.162,6.078,6.105,223235.0
6.104,6.117,6.052,6.106,135335.0
6.106,6.167,6.105,6.151,172096.0
6.151,6.271,6.15,6.235,317721.0
6.234,6.259,6.199,6.244,260227.0
6.244,6.281,6.226,6.271,190827.0
6.27,6.271,6.187,6.243,238507.0
6.242,6.251,6.132,6.145,482828.0
6.146,6.209,6.114,6.202,198459.0
6.2,6.208,6.166,6.178,174886.0
6.179,6.202,6.128,6.195,180581.0
6.195,6.197,6.138,6.144,121378.0
6.143,6.184,6.122,6.165,224272.0
6.164,6.164,6.099,6.129,243032.0
6.128,6.133,6.073,6.116,226494.0
6.115,6.143,6.102,6.139,108307.0
6.138,6.194,6.134,6.182,281712.0
6.181,6.238,6.148,6.227,236629.0
6.228,6.244,6.141,6.207,311608.0
6.207,6.229,6.188,6.22,196094.0
6.219,6.325,6.218,6.323,439364.0
