open,high,low,close,volume
1.7025,1.7029,1.6842,1.6961,6895863.7
1.6961,1.7155,1.6906,1.7062,9214830.9
1.7061,1.736,1.6982,1.7152,13028974.5
1.7151,1.7156,1.696,1.7076,7345550.2
1.7075,1.7209,1.6957,1.6973,7973175.5
1.6972,1.7088,1.6419,1.6485,25299733.5
1.6484,1.672,1.592,1.6098,61659478.7
1.6098,1.6154,1.5588,1.5731,35058454.4
1.5731,1.59,1.5501,1.569,22328890.8
1.569,1.5844,1.5486,1.551,18877478.1
1.551,1.5831,1.5363,1.5654,17687830.1
1.5654,1.6185,1.554,1.6091,16352699.3
1.6092,1.6157,1.5919,1.6015,8126946.3
1.6017,1.6179,1.5948,1.5958,7584872.3
1.5959,1.6105,1.5809,1.6021,9135501.2
1.6022,1.6072,1.57,1.5955,8681919.9
1.5954,1.6343,1.5931,1.62,12044790.5
1.62,1.623,1.5983,1.601,5490743.5
1.601,1.6074,1.5648,1.5689,10757303.9
1.5689,1.5889,1.567,1.575,6624769.5
1.5751,1.5803,1.567,1.5734,4972048.9
1.5734,1.5776,1.5309,1.536,15285205.2
1.5359,1.5873,1.5222,1.5776,18452941.2
1.5776,1.5873,1.5677,1.577,7810458.7
1.577,1.6,1.558,1.5981,9488399.5
1.5981,1.6114,1.5887,1.5933,11152969.4
1.5934,1.625,1.5852,1.6178,11186227.4
1.6177,1.6244,1.5953,1.599,9020819.0
1.599,1.6029,1.5314,1.547,33835619.0
1.547,1.5478,1.4955,1.5052,33399630.2
1.5053,1.5075,1.3832,1.3908,74472738.8
1.3908,1.422,1.3446,1.392,81478296.0
1.392,1.491,1.379,1.4718,47902231.0
1.4717,1.5312,1.4616,1.5013,37834430.9
1.5013,1.5318,1.4696,1.4957,25053630.7
1.4959,1.4974,1.4734,1.4782,9021133.8
1.4782,1.5019,1.4658,1.4769,14345551.7
1.4769,1.4769,1.4331,1.4394,15575710.5
1.4394,1.4697,1.3531,1.3861,47010656.4
1.3858,1.3948,1.2051,1.3057,136470059.5
1.3058,1.3313,1.2417,1.3057,63245452.9
1.3057,1.3066,1.2703,1.2738,27889705.8
1.2739,1.3028,1.2328,1.244,34673843.3
1.2441,1.2548,1.1773,1.195,74633441.3
1.195,1.2153,1.0501,1.1552,141094506.1
1.1549,1.2693,1.1348,1.2326,85989793.5
1.2328,1.2372,1.188,1.2048,44168594.7
1.2049,1.2142,1.1731,1.197,27618889.7
1.1969,1.1973,1.1233,1.127,49077456.2
1.1269,1.13,1.0758,1.1222,69186006.0
1.1225,1.1809,1.1165,1.1423,84109992.4
1.1422,1.2674,1.1298,1.2515,95061595.6
1.2515,1.3465,1.251,1.3316,98467960.6
1.3316,1.3607,1.3018,1.3194,48550470.0
1.3191,1.3844,1.2979,1.3052,58387430.9
1.3053,1.3436,1.3041,1.3218,24386668.7
1.322,1.3245,1.2663,1.2684,30277142.3
1.2684,1.3117,1.2654,1.2902,24136960.7
1.2902,1.3165,1.2733,1.2899,21210687.9
1.2896,1.3204,1.2664,1.2703,18860422.3
1.2703,1.3061,1.2701,1.2932,16700916.1
1.2933,1.3122,1.2584,1.2616,15252150.7
1.2616,1.3737,1.2565,1.3692,39748337.7
1.3692,1.4077,1.3541,1.3671,30984404.1
1.3672,1.388,1.3598,1.3806,14241560.8
1.3805,1.3885,1.3681,1.3722,10716653.4
1.3721,1.4025,1.3566,1.3944,16771825.7
1.3942,1.4437,1.3846,1.4426,22050755.6
1.4426,1.458,1.3961,1.4033,28436216.2
1.4032,1.4376,1.3944,1.4275,16349595.2
1.4275,1.428,1.3514,1.3662,27727260.1
1.3664,1.39,1.3508,1.3844,22263805.1
1.3842,1.3866,1.358,1.3732,14564969.7
1.3734,1.3944,1.3633,1.3777,13447834.4
1.3778,1.4034,1.36,1.3674,17534342.5
1.3675,1.3932,1.3468,1.3702,26444873.6
1.37,1.459,1.3683,1.4163,45300454.9
1.4164,1.4356,1.3972,1.4256,18126545.4
1.4256,1.4546,1.4138,1.4481,20340441.6
1.4481,1.4595,1.4172,1.418,15453456.5
1.4181,1.4452,1.417,1.4213,10694567.4
1.4213,1.4324,1.4,1.4172,13444765.3
1.4175,1.4348,1.4051,1.4232,12960816.9
1.4231,1.4439,1.412,1.4378,8885722.9
1.4377,1.4748,1.4209,1.4345,21424330.0
1.4345,1.4369,1.4076,1.4154,11272347.2
1.4153,1.4239,1.3822,1.3976,19393778.9
1.3977,1.4461,1.3678,1.4432,26403938.4
1.443,1.5273,1.4341,1.4982,45477292.1
1.498,1.5824,1.4971,1.5782,31922488.8
1.5782,1.6655,1.5596,1.6384,52556685.9
1.6384,1.7256,1.6266,1.7053,54775893.7
1.7053,1.7225,1.6723,1.6801,37766571.1
1.6801,1.698,1.6507,1.6974,39212623.4
1.6972,1.776,1.6917,1.7494,61320445.7
1.7495,1.7647,1.7328,1.7447,31516285.3
1.7446,1.7707,1.7347,1.7436,29121237.8
1.7434,1.7487,1.7053,1.7264,45202478.3
1.7265,1.7546,1.7092,1.7497,37878578.3
1.7497,1.77,1.7231,1.7386,49039049.1
1.7386,1.7577,1.6232,1.6452,112691101.9
1.6452,1.6741,1.6152,1.6464,50076228.4
1.6465,1.65,1.6101,1.6249,42917209.7
1.625,1.637,1.5798,1.5982,42536105.7
1.5983,1.5997,1.5448,1.5525,35450704.1
1.5522,1.6036,1.5453,1.5667,46768765.2
1.5668,1.6122,1.5573,1.5907,43834941.0
1.5909,1.6344,1.5769,1.6056,23320364.3
1.6056,1.6119,1.5621,1.606,23777568.3
1.6059,1.6285,1.5933,1.6054,16873312.9
1.6054,1.61,1.5491,1.5827,31510697.4
1.5826,1.698,1.5793,1.6801,59123877.5
1.6803,1.7688,1.6762,1.7356,44739415.0
1.7357,1.7499,1.6849,1.687,24818806.6
1.6871,1.6975,1.6542,1.6602,24452409.6
1.6601,1.6912,1.6541,1.6723,18524239.5
1.6722,1.7148,1.658,1.7001,20811729.4
1.7001,1.7079,1.6701,1.6738,15655681.3
1.6739,1.692,1.6652,1.6783,12850360.4
1.6784,1.6996,1.6611,1.6894,14740274.5
1.6895,1.7184,1.678,1.6947,15095225.5
1.6947,1.707,1.6784,1.6977,15280937.8
1.6976,1.777,1.6766,1.7273,50481019.0
1.7274,1.785,1.6574,1.6749,62203207.8
1.6749,1.7729,1.6669,1.7478,45611460.5
1.7478,1.7572,1.6946,1.7179,33721588.8
1.718,1.7484,1.6981,1.7039,26953971.4
1.7041,1.7096,1.6658,1.6687,19696135.9
1.6686,1.6985,1.664,1.6806,14057896.8
1.6805,1.6892,1.666,1.6756,12900942.2
1.6757,1.6945,1.6717,1.69,9450877.0
1.6901,1.75,1.6822,1.7475,15621093.0
1.7478,1.8394,1.7264,1.8213,38585167.4
1.8214,1.9464,1.8001,1.9112,58090604.1
1.9112,1.9584,1.8733,1.8748,44713209.1
1.8747,1.8773,1.8435,1.8582,20737610.0
1.8583,1.8671,1.8236,1.8265,12736732.4
1.8265,1.8528,1.8234,1.8454,11608597.7
1.8453,1.8455,1.7915,1.7936,14063649.5
1.7937,1.835,1.7823,1.8349,15345868.4
1.8348,1.85,1.8118,1.8422,20206452.5
1.8422,1.8668,1.8375,1.8508,16925780.9
1.8509,1.8857,1.8335,1.8786,16230342.3
1.8786,1.8806,1.845,1.8529,12044214.7
1.8529,1.8646,1.8264,1.8502,17119268.0
1.8504,1.852,1.8263,1.8488,9676942.0
1.8488,1.85,1.815,1.8319,11845239.9
1.832,1.8492,1.7832,1.8346,30580206.4
1.8347,1.8778,1.78,1.8022,41066928.2
1.8024,1.8145,1.7678,1.7692,18195539.4
1.7692,1.8077,1.7603,1.7902,17780624.6
1.7903,1.8242,1.7832,1.8068,13130598.7
1.8069,1.8172,1.7863,1.8096,10922635.0
1.8096,1.8145,1.7915,1.8032,6915630.7
1.8033,1.8208,1.7909,1.7962,10429573.6
1.7961,1.7984,1.7655,1.7931,15215639.9
1.7938,1.8275,1.7803,1.8111,16916975.7
1.811,1.8322,1.79,1.8187,10247796.9
1.8186,1.86,1.8006,1.8069,19437952.5
1.8068,1.8342,1.7903,1.7989,11536958.9
1.7994,1.811,1.7814,1.7871,7741175.1
1.787,1.7912,1.7657,1.781,9322053.9
1.7809,1.7835,1.7622,1.7745,6035501.4
1.7746,1.8016,1.7721,1.7928,6659940.7
1.7928,1.7988,1.7847,1.7932,4508975.9
1.7933,1.8196,1.79,1.8172,7626026.2
1.8171,1.82,1.796,1.7979,7061280.8
1.7979,1.8212,1.7953,1.8093,8202021.0
1.8093,1.828,1.8051,1.8156,8462828.5
1.8157,1.832,1.8102,1.8247,7803666.8
1.8249,1.8253,1.7915,1.798,8278892.4
1.7977,1.7977,1.7705,1.773,11442240.6
1.773,1.7885,1.77,1.7836,8259998.8
1.7836,1.8076,1.7782,1.7874,10583727.6
1.7875,1.7964,1.7707,1.7883,8990061.9
1.7882,1.7913,1.7738,1.7882,5218500.1
1.7883,1.7996,1.7795,1.7895,7633212.7
1.7896,1.7984,1.7778,1.7929,5427576.9
1.793,1.811,1.7894,1.8052,4914639.2
1.8052,1.83,1.8004,1.8256,7573664.6
1.8257,1.8493,1.8173,1.822,13636551.9
1.8222,1.825,1.8057,1.8137,9666909.7
1.8137,1.8313,1.793,1.8129,11097537.2
1.8129,1.8308,1.806,1.8265,7389335.4
1.8267,1.842,1.8151,1.8359,9691137.2
1.836,1.8908,1.8332,1.8483,19699173.6
1.8481,1.8581,1.8175,1.8237,11278577.4
1.8237,1.8473,1.8213,1.8433,5402909.9
