open,high,low,close,volume
0.15649,0.15654,0.15528,0.15543,1303827.0
0.15543,0.15588,0.15471,0.15513,1982857.0
0.15512,0.15736,0.155,0.15537,1895521.0
0.15537,0.15586,0.15429,0.15506,1233033.0
0.15506,0.15606,0.15392,0.15423,1114615.0
0.15425,0.15461,0.14972,0.15003,3434547.0
0.15005,0.15135,0.14731,0.14851,5610406.0
0.14852,0.14858,0.14512,0.14564,3684834.0
0.14574,0.14675,0.1442,0.14528,2101656.0
0.14529,0.14595,0.1437,0.1439,2505559.0
0.14392,0.14628,0.143,0.1448,2143097.0
0.14484,0.14727,0.14416,0.1472,1585882.0
0.14725,0.14816,0.14466,0.14474,3301469.0
0.14475,0.14562,0.14351,0.1444,1683592.0
0.1444,0.1459,0.14419,0.14542,1394292.0
0.14547,0.14587,0.14387,0.14566,1129446.0
0.14573,0.14768,0.14565,0.14676,982676.0
0.14679,0.14688,0.1453,0.14586,730343.0
0.14584,0.14649,0.14471,0.14482,575124.0
0.14483,0.14659,0.14453,0.14633,980187.0
0.14632,0.14696,0.1461,0.14666,894909.0
0.14669,0.14684,0.14417,0.14434,1121146.0
0.14435,0.14648,0.14336,0.14546,1089214.0
0.14541,0.14546,0.1444,0.14488,761989.0
0.14487,0.14567,0.14419,0.14558,649283.0
0.14562,0.14595,0.14447,0.14461,451267.0
0.14461,0.14659,0.14448,0.14659,743012.0
0.14658,0.14689,0.14563,0.14591,739670.0
0.14573,0.14582,0.14075,0.14146,3648750.0
0.14152,0.14221,0.13733,0.13761,3935535.0
0.13761,0.13862,0.13511,0.13529,4127390.0
0.1353,0.13548,0.13014,0.13474,7075360.0
0.13474,0.13735,0.13302,0.13686,2934855.0
0.13685,0.14014,0.13524,0.13876,3590393.0
0.13874,0.14096,0.1374,0.13843,2598080.0
0.13839,0.13916,0.13732,0.13873,2030928.0
0.13873,0.14042,0.13826,0.1388,1365548.0
0.13879,0.13898,0.13651,0.137,1182900.0
0.13698,0.13793,0.12907,0.13077,5921743.0
0.13078,0.13111,0.11191,0.12046,30456267.0
0.1204,0.12204,0.11713,0.12174,9803371.0
0.12172,0.12184,0.11867,0.11941,6555175.0
0.11941,0.12196,0.11856,0.11987,4838221.0
0.11988,0.12077,0.11492,0.11769,12302396.0
0.11772,0.11874,0.10797,0.11486,24131110.0
0.11487,0.1231,0.11424,0.12226,8833992.0
0.12232,0.12268,0.11956,0.12098,4808029.0
0.121,0.12259,0.11949,0.12226,3831158.0
0.1222,0.12222,0.11718,0.11801,5476228.0
0.11809,0.11856,0.11414,0.1184,6112669.0
0.11838,0.11999,0.11468,0.11508,6722738.0
0.11505,0.12419,0.1132,0.12303,10117284.0
0.12309,0.1301,0.12309,0.1287,7730347.0
0.12879,0.13218,0.12719,0.13114,4841374.0
0.13118,0.13497,0.13055,0.13132,5033434.0
0.1314,0.13404,0.13057,0.13237,3506834.0
0.13239,0.13257,0.12737,0.12743,3630777.0
0.12746,0.13072,0.12724,0.12923,7032743.0
0.12923,0.13158,0.129,0.13068,3340841.0
0.1306,0.13289,0.12931,0.13006,3156269.0
0.13009,0.13286,0.12998,0.13195,2358118.0
0.13195,0.13361,0.12994,0.13017,1526332.0
0.1302,0.137,0.12983,0.13679,3476042.0
0.13678,0.13782,0.13407,0.13505,2893853.0
0.13503,0.13592,0.13376,0.13484,1422050.0
0.13478,0.13505,0.1337,0.1337,1126779.0
0.13374,0.13548,0.13308,0.13511,1535452.0
0.13507,0.13686,0.1343,0.13638,2052623.0
0.13638,0.13759,0.13528,0.13668,2590632.0
0.13667,0.13742,0.13591,0.13722,1465430.0
0.13717,0.13721,0.13255,0.1336,3003180.0
0.1336,0.1346,0.13248,0.13404,2481104.0
0.13408,0.13473,0.1326,0.13369,1965992.0
0.13363,0.13476,0.13292,0.13356,2204501.0
0.13355,0.13496,0.13237,0.13298,2794533.0
0.13292,0.1351,0.13118,0.1339,5063774.0
0.13388,0.13987,0.13378,0.13781,4914727.0
0.13783,0.13886,0.13623,0.13847,2326541.0
0.13846,0.14028,0.1376,0.13935,2088497.0
