open,high,low,close,volume
0.2256,0.226,0.2237,0.2238,3776022.3
0.2238,0.2257,0.2228,0.2246,6366211.2
0.2245,0.2305,0.2244,0.2279,6189435.8
0.2279,0.2286,0.2258,0.2271,3436221.5
0.2271,0.2287,0.2252,0.2259,3397292.4
0.226,0.227,0.2175,0.2184,12143674.5
0.2184,0.221,0.2136,0.218,18591788.2
0.218,0.2184,0.2102,0.211,13808079.9
0.211,0.2112,0.2043,0.2056,21151001.2
0.2056,0.2089,0.2043,0.205,10421926.0
0.2051,0.2057,0.1998,0.2014,24915171.3
0.2015,0.2065,0.2006,0.2063,8377660.6
0.2063,0.2071,0.2046,0.206,4214971.1
0.2061,0.2082,0.205,0.2067,5520759.2
0.2067,0.2091,0.2058,0.2085,3666986.6
0.2086,0.2089,0.2053,0.2077,4368187.5
0.2077,0.2122,0.2075,0.2109,4824274.1
0.2109,0.2112,0.2093,0.2105,3230150.4
0.2104,0.2116,0.2085,0.2086,3218310.9
0.2086,0.2111,0.2083,0.2105,2709051.8
0.2104,0.2114,0.2097,0.2107,1876968.6
0.2107,0.2109,0.2069,0.2075,4507577.9
0.2075,0.2102,0.206,0.2097,4489106.7
0.2097,0.2105,0.2092,0.2093,2297208.7
0.2093,0.2099,0.2083,0.2098,3653364.8
0.2098,0.211,0.2088,0.2094,2525487.9
0.2093,0.2122,0.2089,0.2115,5247312.8
0.2116,0.2119,0.21,0.2107,4206615.0
0.2108,0.2113,0.2024,0.2033,16050550.8
0.2034,0.2034,0.2,0.2008,13205563.9
0.2008,0.2029,0.1958,0.1963,20404627.8
0.1963,0.2015,0.191,0.2006,28067198.7
0.2006,0.2067,0.199,0.2057,16431340.8
0.2057,0.2133,0.2038,0.2112,16033071.5
0.2112,0.2168,0.2098,0.216,24651091.1
0.216,0.2163,0.2115,0.2143,16999607.2
0.2143,0.2198,0.2136,0.2192,27608618.0
0.2192,0.2201,0.2157,0.2172,21518924.9
0.2172,0.2179,0.2034,0.2084,63042637.1
0.2084,0.2096,0.1721,0.1895,131233480.1
0.1895,0.1898,0.1816,0.1826,49424850.3
0.1826,0.1829,0.1778,0.1797,37949121.7
0.1798,0.1839,0.1787,0.1801,18698765.7
0.1801,0.1828,0.1722,0.1778,45222824.1
0.1779,0.1795,0.1623,0.1696,92860754.5
0.1695,0.1858,0.1684,0.1832,39859684.1
0.1832,0.1839,0.1787,0.181,18524574.4
0.181,0.1832,0.1781,0.1814,14176110.5
0.1813,0.1813,0.1732,0.1737,22781748.4
0.1737,0.1744,0.1657,0.1729,32499416.0
0.1729,0.1758,0.1679,0.1695,34753714.3
0.1695,0.181,0.1658,0.1797,44999724.3
0.1797,0.1858,0.1793,0.1832,27153789.8
0.1832,0.1863,0.181,0.1833,15281105.7
0.1832,0.1866,0.1787,0.1789,18983700.4
0.1789,0.1821,0.1784,0.1798,10796162.9
0.1799,0.1802,0.1744,0.1746,12352562.1
0.1746,0.1788,0.1746,0.1774,14235394.7
0.1773,0.1802,0.177,0.1785,8644009.1
0.1785,0.1809,0.1763,0.1767,8805640.3
0.1767,0.1793,0.1757,0.1778,8015765.2
0.1779,0.1796,0.1747,0.1751,7993202.8
0.1752,0.1863,0.1747,0.1863,21085537.8
