open,high,low,close,volume
0.2649,0.266,0.2624,0.2628,2870888.0
0.2629,0.2642,0.2624,0.2626,1645064.0
0.2627,0.268,0.2627,0.2654,3756214.0
0.2656,0.2661,0.2627,0.2642,3480398.0
0.2642,0.2657,0.2609,0.2609,3449401.0
0.2609,0.2638,0.2555,0.2557,14163667.0
0.2557,0.2564,0.2465,0.2504,19928181.0
0.2504,0.2507,0.2403,0.2433,15273506.0
0.2432,0.2452,0.2383,0.24,9396776.0
0.2401,0.2438,0.2385,0.2402,16218003.0
0.2403,0.2461,0.2392,0.2412,12356900.0
0.2411,0.2456,0.24,0.2439,6338507.0
0.2438,0.2449,0.2421,0.2428,3073627.0
0.2429,0.245,0.241,0.2427,4211536.0
0.2426,0.2473,0.2417,0.2467,3688254.0
0.2468,0.2468,0.243,0.245,4076670.0
0.245,0.2494,0.245,0.2486,3035652.0
0.2487,0.2494,0.2468,0.2471,1709801.0
0.2471,0.2483,0.2448,0.2449,1773959.0
0.2449,0.2483,0.2449,0.247,2588716.0
0.2469,0.2483,0.2461,0.2462,1778021.0
0.2462,0.2465,0.2417,0.2419,4853961.0
0.242,0.2453,0.2406,0.2446,5112437.0
0.2446,0.2454,0.244,0.2444,2131353.0
0.2444,0.2453,0.2427,0.2443,4592479.0
0.2443,0.2452,0.2424,0.2435,2314616.0
0.2435,0.2466,0.2434,0.2464,2262472.0
0.2464,0.2475,0.2441,0.2445,2372498.0
0.2444,0.2453,0.2328,0.234,17807368.0
0.2341,0.2342,0.2277,0.2284,11014924.0
0.2285,0.23,0.2207,0.2209,23709965.0
0.2209,0.2228,0.2126,0.2195,26093536.0
0.2196,0.2247,0.2159,0.2245,13405317.0
0.2244,0.2357,0.2224,0.233,16513927.0
0.2329,0.2377,0.2314,0.2339,7817705.0
0.234,0.2343,0.2303,0.231,4014217.0
0.231,0.2342,0.2296,0.2304,4756924.0
0.2303,0.2303,0.2243,0.2247,5878855.0
0.2247,0.2285,0.213,0.2159,25275455.0
0.2158,0.2167,0.1851,0.2001,71482244.0
0.2001,0.2024,0.1945,0.2015,23612767.0
0.2014,0.2042,0.1968,0.2013,14202266.0
0.2014,0.2053,0.1988,0.201,10668519.0
0.201,0.2025,0.1919,0.198,30133004.0
0.1981,0.2002,0.1802,0.1929,70907176.0
0.1929,0.2041,0.192,0.2021,17006166.0
0.2021,0.2036,0.1983,0.1998,8936238.0
0.1998,0.2014,0.1944,0.1988,8978129.0
0.1988,0.1989,0.1896,0.1922,11847669.0
0.1922,0.1923,0.184,0.1917,18212128.0
0.1917,0.1947,0.1871,0.1894,20469717.0
0.1893,0.2061,0.186,0.2054,31695472.0
0.2054,0.2122,0.2048,0.2099,21900476.0
0.21,0.2132,0.2071,0.2113,8711129.0
0.2112,0.2148,0.2077,0.2079,10871783.0
0.2079,0.2113,0.2068,0.2076,6630002.0
0.2076,0.2088,0.2009,0.2011,7783303.0
0.201,0.2055,0.2006,0.2035,9936252.0
0.2035,0.2066,0.2025,0.2046,5317537.0
0.2045,0.2081,0.2025,0.2035,4510568.0
0.2035,0.2069,0.2021,0.2054,3919355.0
0.2055,0.2079,0.2017,0.2019,5967591.0
0.202,0.2152,0.2017,0.2151,13293145.0
0.215,0.2204,0.2142,0.2161,9469564.0
0.216,0.2204,0.2156,0.2188,5305611.0
0.2188,0.2194,0.2164,0.2168,2597738.0
0.2167,0.2184,0.2153,0.2176,2623464.0
0.2176,0.2214,0.2165,0.2203,4221806.0
0.2203,0.2215,0.2179,0.22,6553945.0
0.2201,0.2204,0.2169,0.2193,4537579.0
0.2193,0.2194,0.2114,0.2137,7113653.0
0.2137,0.2141,0.2112,0.2139,4731188.0
0.2139,0.2153,0.212,0.2136,3635270.0
0.2135,0.215,0.2117,0.2124,3289039.0
0.2123,0.2148,0.2111,0.2125,4175662.0
0.2124,0.2162,0.2098,0.2142,8726963.0
0.2143,0.2258,0.2139,0.223,12002624.0
