open,high,low,close,volume
0.5702,0.5703,0.5657,0.5678,20984872.3
0.5678,0.5741,0.5659,0.57,38212571.7
0.5699,0.573,0.5667,0.5685,40545969.3
0.5686,0.5712,0.5669,0.5708,20070876.0
0.5708,0.5727,0.5665,0.5676,27416886.4
0.5676,0.5679,0.5552,0.556,86101191.9
0.556,0.5664,0.5531,0.5619,141554532.9
0.5619,0.5626,0.5492,0.5508,84857999.8
0.5509,0.5541,0.5442,0.5494,69144827.4
0.5494,0.5523,0.5417,0.5423,70271754.0
0.5423,0.5514,0.54,0.5483,59894441.5
0.5483,0.557,0.5457,0.5559,39570016.5
0.556,0.556,0.5515,0.555,25696033.1
0.555,0.5583,0.5526,0.5556,24194298.6
0.5556,0.5568,0.5519,0.5559,27256396.9
0.556,0.5565,0.5501,0.5542,25810719.4
0.5542,0.5586,0.5534,0.556,28090260.4
0.556,0.5573,0.5543,0.5566,15297433.8
0.5567,0.5587,0.5546,0.5552,20070629.3
0.5552,0.5571,0.554,0.556,16114535.4
0.5561,0.557,0.5533,0.5544,11449637.0
0.5544,0.5549,0.5458,0.5477,35797465.8
0.5477,0.5509,0.5433,0.5489,40853551.9
0.5489,0.5508,0.547,0.548,23201692.8
0.5479,0.5497,0.5448,0.549,22596232.3
0.549,0.5502,0.5416,0.5435,41188933.1
0.5435,0.5493,0.5393,0.5486,53709077.3
0.5486,0.5494,0.5441,0.5442,21376130.7
0.5441,0.5452,0.5267,0.5306,184482933.2
0.5306,0.5307,0.5251,0.5283,95459804.2
0.5284,0.5334,0.5217,0.5228,118135704.3
0.5229,0.5266,0.5128,0.5243,149409562.4
0.5243,0.5305,0.5189,0.5295,79842988.2
0.5296,0.5372,0.526,0.5355,65057955.1
0.5355,0.5399,0.5293,0.5336,51617672.9
0.5336,0.5338,0.527,0.528,30571867.5
0.5281,0.5338,0.5265,0.5281,35669658.8
0.5282,0.5291,0.5222,0.5227,36954971.0
0.5227,0.5256,0.4907,0.4968,254798396.8
0.4968,0.4986,0.4497,0.4742,531835347.3
0.4742,0.4785,0.4638,0.4773,246474151.3
0.4774,0.4782,0.4677,0.473,120087662.0
0.473,0.4805,0.4718,0.477,83265610.1
0.477,0.4779,0.4595,0.4681,209377327.6
0.468,0.4699,0.4326,0.4556,537252649.9
0.4557,0.4749,0.4529,0.4689,205451573.2
0.469,0.4715,0.4609,0.4655,112532008.8
0.4655,0.4693,0.4583,0.4646,89669673.1
0.4645,0.4657,0.4474,0.4511,146419761.5
0.4511,0.4528,0.4378,0.4514,203417874.2
0.4514,0.4561,0.4382,0.4404,163681955.0
0.4403,0.4671,0.4315,0.4649,312129418.3
0.4649,0.4861,0.4648,0.4822,269029859.8
0.4823,0.4925,0.4764,0.4884,137031722.3
0.4883,0.4982,0.4854,0.4858,140493695.2
0.4858,0.4941,0.4834,0.4906,63545871.9
0.4907,0.4919,0.4737,0.4744,69275166.5
0.4744,0.482,0.4724,0.4793,73157563.2
0.4793,0.4907,0.4788,0.4906,67065948.3
0.4907,0.498,0.4873,0.4901,60415306.5
0.4901,0.4973,0.4892,0.4958,36560575.9
0.4957,0.4996,0.4877,0.4887,39305897.6
0.4887,0.5137,0.4875,0.5122,105155451.9
0.5122,0.5158,0.505,0.5102,73787259.2
0.5101,0.5126,0.5075,0.5103,32113211.0
0.5102,0.5132,0.5088,0.5109,31256303.4
0.5109,0.5119,0.5054,0.5087,39648334.3
0.5087,0.5153,0.5067,0.5143,35338988.5
0.5142,0.5179,0.5118,0.514,47371421.5
0.5141,0.5188,0.5101,0.5162,57317300.4
0.5162,0.5165,0.5003,0.5032,87594370.2
0.5033,0.5034,0.4983,0.5017,62863266.9
0.5018,0.5029,0.4973,0.4996,39903598.4
0.4997,0.506,0.497,0.5031,54565057.0
0.503,0.5068,0.4985,0.4996,42268824.8
0.4995,0.504,0.4942,0.5011,87230134.8
0.5011,0.5178,0.5007,0.5121,113548472.9
0.5121,0.5155,0.5035,0.5108,69021855.5
0.5107,0.5174,0.5081,0.5155,58448905.3
0.5155,0.517,0.5109,0.5111,33453835.1
0.5111,0.5163,0.5109,0.514,27048786.9
0.5139,0.5169,0.5102,0.5116,38455048.2
0.5115,0.5127,0.5073,0.5097,38534162.8
0.5096,0.5105,0.5059,0.5097,19945403.7
0.5096,0.5148,0.5045,0.5073,50017324.1
0.5074,0.5084,0.5031,0.5057,25438932.1
0.5057,0.5077,0.5001,0.5059,40856349.8
0.5059,0.5117,0.499,0.5112,46752600.8
0.5113,0.5157,0.5071,0.5108,41902468.3
0.5108,0.5167,0.5108,0.5149,42593168.8
0.5149,0.5187,0.5133,0.5146,52474211.4
0.5146,0.5162,0.5107,0.511,30382996.0
0.5109,0.5134,0.5098,0.5112,20597879.1
0.5113,0.5154,0.5091,0.5129,29021640.0
