open,high,low,close,volume
0.703,0.705,0.701,0.703,353051.1
0.703,0.704,0.7,0.7,216899.0
0.701,0.707,0.699,0.703,311175.1
0.703,0.703,0.696,0.698,272026.9
0.697,0.702,0.697,0.699,320821.9
0.7,0.703,0.683,0.686,1106974.7
0.686,0.691,0.676,0.683,1824781.2
0.683,0.684,0.668,0.669,1639695.3
0.669,0.676,0.666,0.668,1008418.3
0.669,0.672,0.663,0.663,987796.6
0.664,0.671,0.663,0.667,599122.3
0.667,0.677,0.664,0.676,525293.3
0.676,0.681,0.674,0.678,531667.5
0.678,0.685,0.675,0.684,742865.5
0.685,0.687,0.68,0.686,447636.3
0.686,0.688,0.678,0.684,676239.2
0.684,0.69,0.682,0.685,503978.0
0.686,0.687,0.682,0.684,266586.6
0.684,0.687,0.683,0.685,216075.5
0.684,0.688,0.683,0.687,152624.7
0.686,0.688,0.686,0.686,232016.0
0.686,0.687,0.683,0.684,528884.7
0.684,0.688,0.679,0.685,478487.4
0.684,0.686,0.683,0.684,133518.9
0.685,0.689,0.681,0.689,440976.2
0.689,0.693,0.687,0.689,414778.9
0.69,0.691,0.687,0.69,254435.4
0.689,0.69,0.686,0.687,337390.1
0.687,0.688,0.666,0.667,1126050.1
0.668,0.668,0.655,0.657,1443854.7
0.658,0.66,0.648,0.65,1497173.3
0.65,0.652,0.635,0.645,2313166.8
0.646,0.655,0.639,0.654,1519775.8
0.654,0.671,0.649,0.667,944291.8
0.668,0.674,0.662,0.668,810525.4
0.669,0.669,0.663,0.666,489935.6
0.665,0.675,0.664,0.668,1037674.4
0.667,0.668,0.659,0.66,524247.1
0.66,0.665,0.628,0.635,3020576.4
0.635,0.637,0.564,0.603,8829584.4
0.603,0.606,0.587,0.604,3333933.7
0.604,0.604,0.592,0.594,1662184.8
0.594,0.604,0.592,0.596,1424500.2
0.596,0.599,0.573,0.587,3667191.1
0.587,0.59,0.537,0.571,7568765.9
0.571,0.6,0.567,0.595,2248999.4
0.596,0.597,0.581,0.587,1608146.1
0.587,0.593,0.58,0.587,1401788.3
0.588,0.588,0.565,0.569,1597009.0
0.57,0.572,0.554,0.571,2053356.7
0.571,0.575,0.551,0.555,2570651.0
0.555,0.591,0.549,0.59,3227400.7
0.59,0.62,0.59,0.613,2652733.5
0.614,0.625,0.608,0.623,1398480.7
0.624,0.638,0.622,0.623,1555297.2
0.624,0.63,0.621,0.624,981053.0
0.624,0.626,0.605,0.607,1218402.0
0.606,0.616,0.603,0.61,1820487.6
0.611,0.618,0.61,0.616,880044.8
0.617,0.626,0.612,0.615,1079783.0
0.616,0.625,0.614,0.623,748856.3
0.623,0.626,0.613,0.613,712128.9
0.614,0.642,0.613,0.641,1267891.5
0.641,0.651,0.634,0.637,1018485.9
0.637,0.641,0.633,0.639,597779.2
0.64,0.643,0.636,0.636,526715.0
0.636,0.641,0.631,0.637,742024.4
0.638,0.648,0.636,0.647,616989.5
0.647,0.651,0.643,0.647,698897.6
0.646,0.652,0.644,0.651,617485.9
0.65,0.651,0.631,0.637,1027804.4
0.636,0.636,0.629,0.635,921764.7
0.634,0.635,0.627,0.633,618093.2
0.632,0.638,0.629,0.633,793008.5
0.633,0.638,0.629,0.632,798127.9
0.632,0.637,0.625,0.633,1271518.1
0.632,0.655,0.631,0.65,1518893.1
0.65,0.655,0.641,0.65,821124.8
0.65,0.657,0.648,0.654,598066.7
0.654,0.655,0.647,0.647,612354.3
0.648,0.656,0.647,0.648,409177.7
0.648,0.649,0.643,0.645,406090.5
0.645,0.647,0.64,0.644,706074.1
0.644,0.648,0.641,0.647,349502.3
0.647,0.653,0.641,0.646,706190.5
0.646,0.648,0.64,0.644,658968.9
0.644,0.649,0.639,0.647,702409.6
0.646,0.66,0.64,0.659,803565.5
0.659,0.664,0.652,0.657,565984.8
0.657,0.662,0.654,0.658,579667.7
0.658,0.664,0.658,0.661,459955.4
0.662,0.666,0.658,0.658,438918.0
0.658,0.662,0.655,0.657,430806.5
0.657,0.661,0.653,0.659,517747.4
0.658,0.666,0.657,0.664,519423.3
0.663,0.667,0.66,0.666,603289.5
0.666,0.68,0.665,0.672,1092965.1
0.672,0.673,0.659,0.66,713785.9
0.661,0.664,0.656,0.663,830865.6
0.663,0.676,0.659,0.659,1631216.2
