open,high,low,close,volume
6.676,6.686,6.635,6.66,16646.1
6.656,6.685,6.634,6.65,15333.1
6.654,6.772,6.633,6.7,33047.5
6.7,6.719,6.646,6.67,16013.2
6.667,6.703,6.552,6.552,58699.8
6.556,6.581,6.353,6.353,89278.7
6.354,6.357,6.169,6.201,147261.0
6.202,6.209,6.037,6.049,66936.4
6.055,6.187,6.039,6.106,144590.4
6.107,6.127,6.023,6.024,35729.5
6.024,6.274,6.024,6.22,93757.6
6.22,6.237,6.187,6.22,110255.6
6.221,6.24,6.16,6.198,131836.9
6.202,6.212,6.119,6.185,39943.0
6.186,6.283,6.17,6.271,34193.2
6.273,6.284,6.177,6.242,18588.4
6.242,6.302,6.228,6.297,32285.3
6.302,6.304,6.252,6.261,7663.9
6.261,6.342,6.236,6.238,29222.0
6.24,6.263,6.229,6.245,19352.4
6.243,6.268,6.15,6.21,91561.8
6.209,6.233,6.162,6.226,33785.0
6.226,6.273,6.218,6.267,56335.2
6.269,6.273,6.23,6.263,51002.3
6.263,6.303,6.244,6.294,36077.8
6.291,6.437,6.29,6.297,74644.7
6.297,6.361,6.297,6.348,15590.5
6.351,6.359,6.075,6.26,245651.5
6.259,6.284,6.039,6.071,80311.3
6.069,6.07,5.905,5.923,61664.7
5.922,5.962,5.804,5.814,69389.7
5.814,5.86,5.643,5.838,81726.8
5.833,5.945,5.783,5.931,48700.8
5.929,6.048,5.873,5.985,49710.3
5.982,6.056,5.914,5.965,28160.2
5.968,5.97,5.917,5.94,15658.1
5.938,6.002,5.895,5.904,25373.1
5.904,5.904,5.794,5.811,18788.8
5.813,5.868,5.542,5.603,95366.5
5.601,5.63,5.124,5.297,253552.2
5.299,5.363,5.169,5.351,95712.8
5.352,5.352,5.229,5.252,50879.2
5.254,5.416,5.246,5.397,102327.7
5.398,5.427,5.174,5.317,151426.7
5.321,5.342,4.808,5.171,350835.5
5.171,5.422,5.124,5.296,86208.0
5.296,5.323,5.2,5.257,52504.0
5.257,5.307,5.13,5.204,70858.7
5.207,5.21,4.994,5.046,63024.6
5.053,5.06,4.893,5.056,104540.7
5.055,5.102,4.892,4.92,117944.1
4.918,5.233,4.822,5.198,213468.1
5.2,5.482,5.2,5.428,120530.4
5.432,5.571,5.364,5.518,59138.6
5.518,5.695,5.494,5.584,115855.6
5.58,5.667,5.55,5.612,34535.1
5.611,5.646,5.442,5.444,35967.2
5.44,5.541,5.413,5.486,57572.3
5.488,5.564,5.455,5.508,33803.3
5.507,5.597,5.462,5.494,35773.2
5.498,5.599,5.476,5.556,26421.1
5.561,5.607,5.484,5.49,20971.4
5.492,5.785,5.479,5.779,69414.5
5.777,5.839,5.695,5.726,52993.5
5.723,5.772,5.677,5.715,23957.2
5.716,5.729,5.669,5.688,16460.7
5.695,5.745,5.657,5.74,23361.8
5.738,5.81,5.714,5.809,25837.5
5.809,5.835,5.765,5.792,25267.0
5.791,5.819,5.741,5.808,24525.3
5.807,5.808,5.613,5.662,36357.6
5.662,5.726,5.62,5.713,47418.4
5.711,5.726,5.626,5.655,56231.6
5.648,5.686,5.594,5.644,47884.8
5.642,5.681,5.585,5.612,36851.2
5.61,5.678,5.559,5.643,46941.1
5.641,5.844,5.64,5.75,63647.5
5.752,5.783,5.672,5.751,34778.4
5.752,5.797,5.695,5.767,25854.6
5.767,5.781,5.677,5.681,20464.5
5.679,5.748,5.679,5.689,19911.7
5.691,5.743,5.679,5.712,24200.2
5.711,5.75,5.69,5.746,17524.0
5.744,5.749,5.705,5.738,7187.9
5.738,5.803,5.69,5.729,17356.3
5.73,5.75,5.669,5.687,9414.6
5.687,5.752,5.647,5.709,35094.7
5.71,5.812,5.644,5.807,21647.8
5.805,5.859,5.739,5.775,19289.4
5.774,5.821,5.763,5.798,12583.7
5.791,5.866,5.784,5.798,19640.6
5.796,5.856,5.779,5.788,15382.6
5.782,5.805,5.762,5.772,10429.0
5.771,5.793,5.721,5.757,20492.7
5.756,5.811,5.742,5.781,13585.8
5.782,5.848,5.764,5.799,19622.4
5.799,5.869,5.779,5.806,19456.1
5.804,5.814,5.745,5.759,31549.7
5.759,5.822,5.73,5.818,17165.9
5.813,5.841,5.736,5.741,26816.6
5.742,5.764,5.524,5.615,45175.7
5.616,5.68,5.592,5.634,18066.4
