open,high,low,close,volume
0.3886,0.389,0.3847,0.3879,998119.0
0.3878,0.3898,0.3861,0.3875,905533.0
0.3876,0.396,0.3873,0.3922,1229134.0
0.3925,0.393,0.3884,0.3897,815917.0
0.3895,0.3918,0.3865,0.3868,836291.0
0.3868,0.3877,0.3735,0.3746,4816292.0
0.3747,0.378,0.3671,0.3714,6243981.0
0.3715,0.3719,0.3563,0.3587,5388748.0
0.3587,0.3607,0.3488,0.3503,5532769.0
0.3504,0.3538,0.3462,0.3465,3746687.0
0.3466,0.3515,0.3435,0.3449,2412177.0
0.3448,0.3563,0.3443,0.3563,3077951.0
0.3564,0.3564,0.3511,0.3514,1147636.0
0.3515,0.3552,0.3498,0.3536,1410543.0
0.3536,0.3616,0.3526,0.3606,2042718.0
0.3607,0.3615,0.3536,0.3577,1374885.0
0.3577,0.3678,0.3577,0.3665,1348309.0
0.3664,0.3665,0.3629,0.3648,785428.0
0.3647,0.3658,0.3597,0.3602,732712.0
0.3603,0.3627,0.3594,0.3611,644211.0
0.361,0.3627,0.3596,0.3613,570174.0
0.3614,0.3614,0.3542,0.3551,1362396.0
0.3552,0.3632,0.3532,0.3614,1893608.0
0.3615,0.3648,0.3601,0.3606,985684.0
0.3605,0.3629,0.3586,0.3625,919589.0
0.3624,0.3635,0.359,0.3596,441148.0
0.3596,0.3683,0.3588,0.3669,2043942.0
0.3669,0.3683,0.3624,0.3624,962607.0
0.3623,0.3632,0.3484,0.3506,4660162.0
0.3508,0.351,0.3417,0.343,3078673.0
0.3431,0.346,0.3302,0.3316,6280653.0
0.3314,0.3364,0.3225,0.3327,8000431.0
0.3326,0.3402,0.3287,0.3396,2570932.0
0.3396,0.3532,0.3363,0.3502,3510147.0
0.3501,0.3552,0.3462,0.3503,2156513.0
0.3502,0.3527,0.3479,0.3492,1348456.0
0.3493,0.3548,0.3461,0.3474,2321052.0
0.3472,0.3472,0.3374,0.3391,1755206.0
0.3391,0.3419,0.3171,0.3223,8381290.0
0.3222,0.3238,0.2794,0.2959,42544598.0
0.2958,0.2985,0.287,0.2976,11723644.0
0.2976,0.2982,0.2916,0.2931,3512206.0
0.2931,0.2985,0.2875,0.2904,5138588.0
0.2904,0.2919,0.2775,0.2827,12346254.0
0.2827,0.2849,0.2569,0.2731,33682829.0
0.273,0.2888,0.2709,0.2843,10880937.0
0.2844,0.2863,0.2778,0.279,5143527.0
0.2789,0.2815,0.2721,0.2781,4089476.0
0.278,0.278,0.2638,0.2652,6400656.0
0.2651,0.2654,0.2524,0.2631,13295296.0
0.263,0.2667,0.2544,0.2561,9713719.0
0.256,0.2736,0.2519,0.2719,15462447.0
0.272,0.2842,0.2717,0.2813,12220296.0
0.2814,0.2924,0.2785,0.2901,6587200.0
0.2903,0.304,0.2886,0.2919,7855283.0
0.292,0.2977,0.2906,0.294,3000614.0
0.294,0.2942,0.2839,0.284,3467117.0
0.2839,0.2895,0.2824,0.2857,3754587.0
0.2857,0.2911,0.2856,0.288,2178344.0
0.2881,0.2935,0.2857,0.287,2097539.0
0.287,0.2926,0.2857,0.2911,2383374.0
0.2912,0.2941,0.2853,0.2855,1961018.0
0.2855,0.3091,0.2847,0.309,6881569.0
0.3089,0.3158,0.3079,0.312,5016547.0
0.3119,0.3189,0.3114,0.3176,3445838.0
0.3175,0.3183,0.3116,0.312,2301844.0
