open,high,low,close,volume
0.3189,0.3195,0.3166,0.3188,1196759.6
0.3187,0.3246,0.3184,0.3214,5689441.4
0.3215,0.3243,0.3208,0.3226,1376210.9
0.3225,0.3237,0.3211,0.3214,734219.4
0.3213,0.3246,0.3208,0.3212,940603.5
0.3211,0.3216,0.3121,0.3127,2267632.2
0.3126,0.3144,0.3052,0.3091,5340553.7
0.3092,0.3094,0.3025,0.3043,3940900.9
0.3045,0.3074,0.3012,0.303,2829729.3
0.303,0.3045,0.2995,0.2996,2291588.8
0.2997,0.3052,0.299,0.3009,1834491.4
0.3009,0.306,0.2997,0.3049,1817613.7
0.305,0.3065,0.3031,0.3045,890815.1
0.3045,0.3069,0.3032,0.3055,1489693.3
0.3055,0.3091,0.3044,0.3082,721970.6
0.3082,0.3085,0.3049,0.3078,659741.5
0.3078,0.3121,0.3071,0.3108,632968.4
0.3108,0.3114,0.3093,0.3109,784926.3
0.3107,0.312,0.3088,0.309,681436.2
0.309,0.311,0.3082,0.3104,384437.4
0.3102,0.312,0.3095,0.3114,716077.0
0.3115,0.3117,0.3049,0.3057,1123050.1
0.3058,0.3086,0.3034,0.3072,964045.1
0.3073,0.3079,0.3062,0.3062,436486.4
0.3062,0.3071,0.3043,0.307,489859.2
0.307,0.3078,0.3056,0.3061,387704.6
0.306,0.3086,0.305,0.3083,552516.1
0.3083,0.3091,0.3048,0.305,508389.1
0.3051,0.3052,0.2937,0.2947,2458380.2
0.2948,0.2948,0.2886,0.2894,2727239.4
0.2895,0.2918,0.2834,0.284,3494264.6
0.284,0.2881,0.279,0.2855,5602789.4
0.2856,0.2898,0.2821,0.2894,2479516.1
0.2894,0.2975,0.2865,0.2956,2509544.4
0.2956,0.2993,0.2919,0.2953,1209670.3
0.2951,0.2958,0.292,0.2925,1035580.6
0.2924,0.2967,0.2914,0.2935,1639395.7
0.2935,0.2935,0.2874,0.2883,1489353.0
0.2881,0.2907,0.2729,0.2766,8629245.1
0.2764,0.2772,0.2386,0.2556,30518604.3
0.2558,0.2573,0.2483,0.2563,11379099.8
0.256,0.2563,0.2498,0.251,5598271.2
0.2511,0.256,0.25,0.2518,3127956.6
0.252,0.2531,0.2409,0.2469,10208605.4
0.247,0.2483,0.2252,0.2407,20196868.8
0.2406,0.2539,0.2393,0.2519,6717242.0
0.2519,0.2521,0.2445,0.2468,4500368.5
0.2468,0.2491,0.2415,0.2469,4349150.7
0.247,0.2471,0.2371,0.2396,6329506.8
0.2397,0.2406,0.2312,0.2403,8051797.7
0.2403,0.2429,0.2322,0.235,9661504.3
0.235,0.25,0.2313,0.2489,13844232.6
0.249,0.2613,0.2489,0.2585,9626458.7
0.2587,0.2639,0.2557,0.2617,5355074.4
0.2618,0.2683,0.2604,0.2615,5170985.7
0.2615,0.266,0.2602,0.2635,2737891.2
0.2635,0.2645,0.2556,0.2558,2670353.1
0.2556,0.2615,0.2545,0.2599,4233513.3
0.26,0.2641,0.2593,0.2615,2564237.4
0.2615,0.2654,0.2589,0.2605,2419264.7
0.2605,0.2653,0.2598,0.2639,1915136.9
0.264,0.2663,0.2603,0.2606,2524479.3
0.2606,0.2747,0.2601,0.2745,5091350.8
0.2744,0.2781,0.2712,0.273,3865107.0
0.273,0.275,0.2717,0.274,1298280.0
0.2739,0.2747,0.272,0.2726,939687.1
0.2727,0.2757,0.2714,0.2752,1022961.6
0.2751,0.2799,0.2736,0.2794,1797433.6
0.2794,0.2806,0.2768,0.2794,2113234.1
0.2794,0.2812,0.2779,0.2809,1903783.5
0.2809,0.281,0.2713,0.2736,2436911.0
0.2737,0.2745,0.2711,0.2739,1707302.1
0.2739,0.2752,0.2716,0.2737,1161196.5
0.2737,0.2741,0.2708,0.2723,1653989.9
0.2722,0.2735,0.2696,0.2703,1410896.7
0.2703,0.2737,0.2675,0.2712,2914982.7
